Region,2010,2011,2012,2013,2014,2015,2016,2017,2018,Total
Mexico,,1,,2,,3,,1,2,9
ISR,,,,,1,1,2,1,2,7
FIM,1,,,,1,,,2,2,6
Texas,,,,,2,,1,,3,6
CHS,,1,1,1,1,,,1,,5
ONT,,,1,,1,1,,1,1,5
Ohio,1,,,,,,1,1,,3
Québec,,,1,,1,,1,,,3
California,,,,1,,1,,,1,3
PNW,,,,1,,,1,1,,3
Minnesota,,,,,,,,1,2,3
Turkey,,,,,,,,3,,3
MAR,1,,,,,,1,,,2
Arkansas,,,,,1,,,1,,2
Australia,,,,,,1,,1,,2
Florida,,,,,,,1,1,,2
Iowa,,,,,,,,2,,2
New York,,,,,,,,,2,2
Hawaii,,1,,,,,,,,1
South Carolina,,,,1,,,,,,1
Kansas,,,,,1,,,,,1
Wisconsin,,,,,,1,,,,1
NE,,,,,,1,,,,1
Nevada,,,,,,,1,,,1
West Virginia,,,,,,,,1,,1
PCH,,,,,,,,,1,1
IN,,,,,,,,,1,1
Netherlands,,,,,,,,,1,1
