Team #,0,1,2,3,4,5,Elo
None,1836,610,330,210,144,89,
1678,39,25,15,8,6,3,1887
2412,33,21,17,12,9,6,1614
254,30,20,13,10,8,5,1869
4522,29,3,2,1,1,1,1620
2877,27,10,2,2,2,1,1633
2930,27,9,4,1,1,0,1730
4915,26,10,4,3,2,1,1564
1706,26,9,2,1,1,0,1521
1339,25,7,3,1,1,1,1551
4201,23,9,5,5,2,1,1650
540,23,7,3,1,1,1,1569
862,23,10,5,3,1,1,1675
8,23,15,9,4,2,1,1572
2791,22,9,3,3,2,2,1742
1072,22,9,3,2,2,1,1505
2102,21,10,4,3,3,2,1700
2169,21,6,3,1,1,1,1543
1868,21,9,4,2,1,0,1661
5013,21,8,4,2,0,0,1573
6328,20,10,8,5,4,2,1473
111,20,13,6,4,3,1,1721
3476,20,10,3,2,2,1,1619
333,20,10,2,1,1,1,1556
846,20,8,5,2,2,1,1729
971,20,11,7,6,4,2,1853
694,20,10,7,4,3,1,1737
1410,19,10,7,6,3,2,1652
6897,19,10,4,1,1,1,1493
612,19,8,1,1,1,1,1605
226,19,11,7,4,3,0,1679
1690,18,13,6,3,2,2,1822
1403,18,2,2,1,1,1,1589
3128,18,5,3,2,1,1,1723
1736,18,7,4,4,2,1,1583
900,18,7,4,4,3,3,1453
6829,18,9,5,3,2,2,1639
1351,18,8,2,1,1,0,1482
6838,18,2,1,1,0,0,1487
548,17,11,8,7,6,3,1692
5190,17,5,3,1,1,1,1787
3928,17,9,3,2,2,1,1611
3512,17,7,3,2,2,2,1634
2481,17,12,7,3,3,2,1802
3310,17,8,5,3,2,1,1762
948,17,8,4,2,2,1,1680
1391,17,2,1,0,0,0,1638
696,16,9,4,2,2,2,1600
5987,16,12,8,5,3,2,1507
5511,16,9,7,5,3,3,1611
100,16,11,3,3,3,3,1499
125,16,15,9,8,5,2,1733
195,16,5,3,3,2,1,1784
3357,16,7,5,4,3,1,1696
341,16,8,5,4,3,2,1598
7891,16,2,1,1,1,1,1465
4561,16,10,4,2,2,0,1634
4265,16,3,1,1,1,0,1587
2521,16,7,3,1,1,0,1641
6323,16,3,2,1,0,0,1503
599,16,6,4,2,0,0,1624
2590,16,4,4,2,0,0,1662
624,15,7,4,3,1,1,1682
1241,15,5,2,1,1,1,1757
2910,15,10,7,5,5,2,1944
342,15,8,5,3,2,1,1678
2122,15,6,3,2,2,1,1735
2619,15,5,2,2,1,1,1628
987,15,6,5,3,1,1,1821
114,15,10,5,2,1,0,1641
1073,15,4,1,1,0,0,1641
2729,15,5,3,2,0,0,1632
3534,15,4,0,0,0,0,1627
3061,15,4,0,0,0,0,1645
7231,15,1,0,0,0,0,1472
2767,14,9,6,6,3,3,1813
503,14,11,7,4,4,3,1598
3847,14,10,5,3,3,3,1726
1619,14,9,7,5,3,3,1833
610,14,4,4,2,2,1,1751
1533,14,10,7,5,3,1,1631
4607,14,4,2,2,2,2,1658
3322,14,9,4,2,1,1,1552
4795,14,2,2,1,1,1,1606
148,14,11,9,7,6,4,1838
2468,14,7,4,3,2,1,1744
1983,14,5,3,1,1,1,1729
7461,14,8,3,1,1,1,1473
2485,14,7,4,3,1,1,1591
5687,14,8,5,4,2,0,1821
3467,14,6,4,3,2,0,1593
2383,14,4,1,1,1,0,1728
118,14,9,6,3,2,0,1765
1156,14,5,3,2,1,0,1543
379,14,1,1,1,0,0,1653
3506,14,4,2,0,0,0,1566
2883,14,6,3,0,0,0,1590
5980,14,8,0,0,0,0,1580
1452,14,0,0,0,0,0,1484
1939,13,8,6,5,4,2,1634
177,13,7,4,3,3,2,1704
4537,13,4,3,2,2,1,1527
1902,13,6,5,4,3,2,1599
1138,13,6,2,2,1,1,1569
2813,13,6,3,1,1,1,1422
1425,13,8,6,3,3,3,1640
5026,13,6,4,3,2,1,1637
78,13,7,6,4,3,2,1841
2992,13,4,2,1,1,1,1632
2638,13,3,2,1,1,1,1649
88,13,9,5,3,1,1,1697
930,13,5,4,4,1,0,1753
51,13,5,4,3,2,0,1661
5740,13,5,3,3,1,0,1544
910,13,5,3,2,0,0,1774
4183,13,8,4,1,0,0,1597
2996,13,4,2,1,0,0,1685
5822,13,5,2,0,0,0,1573
5557,13,3,0,0,0,0,1447
5943,13,5,0,0,0,0,1459
1261,13,4,0,0,0,0,1597
2733,12,8,4,2,2,1,1683
1710,12,6,2,1,1,1,1566
3316,12,4,3,3,1,1,1568
5406,12,9,5,4,4,2,1810
1712,12,6,2,2,2,2,1678
865,12,6,4,2,1,1,1578
868,12,7,5,4,3,3,1666
747,12,4,2,2,1,1,1670
20,12,5,2,1,1,1,1811
1746,12,7,4,3,2,2,1605
2834,12,5,5,2,2,0,1747
2168,12,7,4,2,2,0,1779
4613,12,6,6,3,1,0,1707
1511,12,6,4,2,1,0,1641
1817,12,6,4,3,1,0,1631
3374,12,7,2,1,1,0,1538
4028,12,5,3,2,0,0,1672
4946,12,5,4,1,0,0,1663
4188,12,5,2,1,0,0,1548
3735,12,4,2,1,0,0,1610
5484,12,3,1,1,0,0,1644
4828,12,4,1,1,0,0,1580
172,12,4,1,0,0,0,1697
6326,12,2,0,0,0,0,1466
2137,11,5,3,3,2,2,1612
1885,11,7,4,2,2,1,1681
27,11,6,5,3,2,1,1736
449,11,5,4,2,1,1,1611
1730,11,4,2,2,2,2,1688
2230,11,5,1,1,1,1,1569
5553,11,5,1,1,1,1,1508
1153,11,5,4,3,3,2,1646
1086,11,8,7,7,7,2,1503
708,11,5,3,2,2,1,1590
2898,11,4,2,2,2,1,1511
3015,11,8,5,2,1,1,1760
1778,11,3,2,2,2,2,1609
4481,11,8,2,2,2,2,1696
3082,11,5,3,3,2,1,1533
