User,Team #,Rookie Year,Likes Recieved,Likes Given,Topics,Replies,Viewed,Read,Visits,Elo
orangemoore,1506,2013,59,307,0,29,4115,72197,366,1685
R.C,1323,2006,1001,354,5,179,4237,67625,366,1917
RickyRobot,1745,2006,120,159,0,75,2845,47053,366,1483
CarlosGJ,696,2009,824,548,7,304,2823,46649,366,1600
Kaleb_Dodd,1114,2013,256,226,2,44,2602,47091,366,1865
SenorZ,4276,2011,641,128,3,276,1718,15677,366,1584
Thad_House,0,2010,331,15,4,254,2297,25820,366,
Ryan_Swanson,,2013,3493,84,24,267,1711,24954,366,
Strategic,4829,2013,301,761,5,252,918,7786,366,1534
roboteer5291,2137,2015,0,2252,0,0,2997,65436,366,1612
Peter_Johnson,0,2008,721,364,2,627,5015,71477,366,
SpacemanNik,4983,2017,67,220,6,37,1047,14199,366,1508
D.Allred,4451,2009,124,85,0,71,1945,41327,366,1690
Mark_Wasserman,2767,2010,341,254,0,144,1150,19985,366,1813
p_h_argo,1018,2009,136,107,1,183,1920,27623,366,1577
sanddrag,696,2002,504,11,19,329,2874,40862,366,1600
Shelby_Lamp,,2017,408,695,0,35,2144,40582,366,
RoboticDaymon,2403,2013,7,0,1,4,2476,51410,366,1736
pchild,None,None,819,1763,1,287,2384,43458,366,
DannyB,,2015,964,964,64,1493,2606,61437,366,
EricKline,2412,2014,3366,1476,10,3734,2700,69547,366,1614
sjsands,6328,2016,5,880,0,2,5576,103857,366,1473
Mysteries548,548,None,205,54,2,30,258,4072,366,1692
AriMB,5987,2012,2716,384,17,823,6102,89416,366,1507
cadandcookies,2220,2009,1001,573,4,221,2753,58726,366,1670
zuzoom101,1939,2013,0,0,0,0,2508,42806,366,1634
marcusbernstein,7599,2013,636,962,9,161,2530,47925,366,1393
1493kd,1493,2005,98,167,2,16,2421,39315,366,1712
Nick_Coussens,,2007,1974,273,10,373,1410,28466,366,
Prateek_M,5190,2018,373,901,2,144,4175,63151,366,1787
MikLast,,2014,3052,2435,30,1446,4635,80470,366,
XaulZan11,1732,2006,337,94,0,132,2287,37995,366,1729
Bryce2471,2471,2006,374,303,4,74,1571,33354,366,1684
bobbysq,4646,2015,1250,2320,10,498,5331,84520,366,1481
Peyton_Yeung,461,2009,75,47,1,33,4263,65364,366,1687
Will_Toth,3005,2004,150,172,0,119,2504,29434,366,1655
AdamHeard,254,2004,3175,15,1,325,2628,46612,366,1869
Ben_Martin,,2005,523,424,4,151,2205,40448,366,
nitzan,3928,2017,5,2,0,2,4457,74546,366,1611
tuyauxtu,781,2010,0,0,0,0,283,1519,365,1444
Knufire,1885,2010,1417,334,2,290,4176,69274,365,1681
Aaron_Li,1665,2017,1086,1482,33,1082,2659,48061,365,1558
Joe_Ross,None,None,625,23,16,475,4969,63075,365,
Nuttyman54,4911,2005,545,165,3,108,2380,34001,365,1788
Michael_Corsetto,1678,2002,2902,937,6,269,2354,39834,365,1887
cad321,3739,2012,161,380,3,133,2232,27651,365,1529
Rachel_Lim,0,2014,437,8,1,48,2285,50294,365,
Richard_Wallace,3620,1996,2233,346,4,611,1522,31506,365,1694
Drew4564,4564,2013,9,14,0,7,3043,64987,365,1649
Karthik,0,1998,3245,1935,11,275,2945,47879,365,
Mike_Marandola,316,2007,402,1256,2,111,2465,38335,365,1631
Connor_H,None,None,1480,1885,1,391,3268,64001,365,
Korny,1690,2018,779,25,4,167,2366,28109,365,1822
hamac2003,4004,2013,323,102,13,101,3106,37630,365,1582
gixxy,3468,2012,264,161,4,249,2412,16992,365,1431
JackTervay,2791,2017,288,479,2,46,2112,37736,365,1742
Mattstewie,1023,2011,2,7,0,1,2739,45375,365,1767
troy_dietz,330, 4201,2015,3980,1664,5,594,3219,48417,365,
Squirrel2412,2412,2018,1425,3241,2,1615,1843,72896,365,1614
Akash_Rastogi,177,2006,4089,2575,5,696,2527,41162,365,1704
nick4130,4130,2012,479,607,8,153,2610,33137,365,1608
NShep98,246,2015,299,223,1,149,3455,48705,365,1502
michchinn,5404,2010,11,252,0,5,2482,42674,365,1693
Nate_Laverdure,2363,1999,1324,283,5,255,1694,31756,365,1658
CharlesM479,5568,2014,93,153,1,28,1513,31849,365,1472
jdao,4201,2012,38,151,2,75,4290,65582,365,1650
TheFlash,0,1776,1818,2388,11,2796,2884,65914,365,
Csherm,1710,2015,116,209,0,85,2301,41777,365,1566
jonathano,3316,2018,238,309,7,135,2637,41185,365,1568
hmccree,2733,2017,306,174,2,54,3427,52720,364,1683
Billfred,1293,2004,1906,681,70,720,3555,36893,364,1573
Andrew_L,299,2011,1369,1406,7,242,2111,36985,364,1442
retrodaredevil,1444,2018,271,138,10,275,2265,22746,364,1578
zsm150,503,2013,43,27,1,11,1619,29101,364,1598
dydx,Ri3D 'Snow Problem,2014,930,341,3,220,1956,25170,364,
stevencw,250,2011,42,6,0,8,3092,48702,364,1570
George1902,None,None,68,214,0,10,1575,34703,364,
Anthony_Galea,3175,2013,2430,1161,6,648,1869,38060,364,1602
AllenGregoryIV,3847,2003,2493,1490,10,448,2802,38925,364,1726
ngreen,1108,2002,407,334,5,270,3394,45773,364,1436
ddg258,3882,2011,6,1,0,9,1232,31507,364,1564
alex.richards48,48,2017,249,112,2,111,2444,38943,364,1582
quin,6378,2017,610,946,4,1776,2350,89570,364,1570
Cory_Walters,2767,2002,242,59,1,25,2366,34832,363,1813
holazola,5818,2016,310,123,0,59,2001,43977,363,1679
IndySam,829,2004,372,57,3,135,2011,25411,363,1693
EricH,1197,2003,3769,830,9,2545,4128,95143,363,1616
Tartan47,0,2007,3,4,0,1,1140,21769,363,
plusparth,4099,2015,838,971,7,298,4273,71650,363,1566
saikiranra,3476,2011,1728,1671,1,211,1602,29419,363,1619
krf,1257,2016,729,1639,5,134,2857,37482,363,1586
StuMcc,111,2010,0,7,0,0,2380,37281,363,1721
DanielYanger,624,2018,22,35,1,12,2658,37350,363,1682
GaryVoshol,0,2000,1117,191,7,402,2851,45192,363,
RayG,1796,2012,0,0,0,0,1826,17798,363,1810
Allison_K,3538,2003,170,59,0,27,1874,35571,363,1928
EricLeifermann,2826,2001,1048,422,3,202,1707,25996,362,1695
nbennett,2075,2014,0,0,0,0,1716,28954,362,1746
Akash_P,115,2018,0,44,0,0,3272,43778,362,1733
Carrotoid,,2017,74,1580,0,27,2717,46176,362,
MeBeMe,6443,2017,130,127,1,86,1080,25332,362,1731
asid61,1072,2013,879,1101,1,287,2025,31644,362,1505
Ryan_Dognaux,1720,2001,3131,639,4,407,2123,38615,362,1718
kgzak,None,None,29,444,1,21,3959,65712,362,
billjester3,4027,,5,0,2,7,2324,33193,362,1593
