team,lat,lng
1,42.668,-83.289
4,34.201,-118.487
8,37.444,-122.15
11,40.845,-74.702
16,36.331,-92.375
20,42.85,-73.785
21,28.627,-80.843
23,41.91,-70.642
25,40.454,-74.482
27,42.724,-83.423
28,40.982,-72.307
31,36.015,-95.98
33,42.658,-83.237
34,34.804,-86.971
41,40.632,-74.51
45,40.451,-86.135
48,41.264,-80.816
51,42.644,-83.279
56,40.568,-74.54
58,43.632,-70.271
59,25.734,-80.359
60,35.133,-113.703
61,42.176,-71.603
63,42.074,-80.148
66,42.233,-83.634
67,42.66,-83.637
68,42.841,-83.429
69,42.249,-70.998
70,42.915,-83.484
71,41.61,-87.508
74,42.769,-86.116
75,40.477,-74.627
78,41.499,-71.299
79,28.146,-82.683
81,42.299,-89.635
85,42.826,-86.01
86,30.241,-81.617
87,40.009,-74.79
88,41.977,-70.972
93,44.242,-88.356
94,42.472,-83.294
95,43.672,-72.381
97,42.377,-71.126
100,37.425,-122.296
101,41.946,-87.806
102,40.588,-74.687
103,40.531,-75.212
107,42.769,-86.116
108,26.142,-80.173
111,42.064,-87.986
114,37.381,-122.126
115,37.318,-122.045
116,38.984,-77.368
117,40.431,-79.921
118,29.517,-95.096
120,41.495,-81.667
121,41.52,-71.273
122,37.046,-76.41
123,42.408,-83.058
125,42.343,-71.092
126,42.418,-71.683
128,39.987,-83.046
131,43.007,-71.448
133,43.814,-70.481
135,41.684,-86.168
136,40.615,-74.415
138,42.857,-71.608
141,42.813,-86.143
144,39.267,-84.599
145,42.541,-75.527
148,33.105,-96.093
151,42.724,-71.489
155,41.621,-72.746
156,42.041,-80.24
157,42.351,-71.543
159,40.581,-105.104
166,42.867,-71.513
167,41.644,-91.567
171,42.739,-90.485
172,43.684,-70.468
173,41.87,-72.372
174,43.153,-76.224
175,41.989,-72.565
176,41.926,-72.646
177,41.834,-72.558
178,41.728,-72.841
179,26.783,-80.064
180,27.14,-80.213
181,41.75,-72.695
188,43.771,-79.214
190,42.283,-71.828
191,43.17,-77.601
192,37.418,-122.127
193,40.845,-74.702
195,41.605,-72.873
199,37.517,-122.293
201,42.659,-83.123
203,39.735,-74.986
204,39.85,-74.965
207,33.914,-118.349
213,42.963,-72.296
216,42.894,-85.762
217,42.612,-83.034
219,40.758,-74.991
222,41.539,-75.947
223,41.054,-74.279
224,40.551,-74.459
225,39.959,-76.659
226,42.599,-83.179
228,41.533,-72.8
229,44.67,-74.981
230,41.305,-73.129
231,29.679,-95.198
233,28.313,-80.732
234,39.678,-86.198
236,41.335,-72.309
237,41.606,-73.122
238,42.966,-71.449
240,41.929,-83.445
244,42.894,-85.762
245,42.726,-83.157
246,42.347,-71.103
247,42.503,-83.189
250,42.72,-73.821
253,37.6,-122.402
254,37.339,-121.895
256,37.296,-121.894
263,40.808,-73.13
269,43.109,-88.486
271,40.705,-73.243
272,40.238,-75.296
279,41.582,-83.663
280,42.232,-83.267
281,34.828,-82.352
283,34.892,-82.4
287,40.766,-72.854
288,42.894,-85.762
291,42.098,-80.094
292,40.415,-86.267
293,40.334,-74.794
294,33.831,-118.383
295,38.743,-121.19
296,45.46,-73.63
299,37.318,-122.045
302,42.743,-83.272
303,40.59,-74.627
308,42.558,-83.477
313,42.277,-83.376
314,43.011,-83.803
316,39.699,-75.45
319,43.463,-71.23
