Team,EngInsp,IndDsgn,Quality,Creativity,EngExlnce,Auton
frc1,5,1,1,2,0,0
frc4,0,0,1,2,0,0
frc5,0,0,1,1,0,0
frc6,0,0,0,0,0,0
frc7,0,1,0,0,0,0
frc8,0,0,0,1,0,1
frc9,0,0,0,0,0,0
frc10,0,0,0,0,0,0
frc11,2,3,3,1,3,0
frc13,0,0,0,1,0,0
frc14,0,0,1,0,0,0
frc15,0,0,0,1,0,0
frc16,1,5,8,3,4,0
frc17,0,0,0,0,0,0
frc18,0,0,0,0,0,0
frc19,0,1,1,0,0,0
frc20,0,3,4,1,2,0
frc21,0,0,0,0,1,0
frc22,1,0,0,0,0,0
frc23,0,0,0,4,0,0
frc24,0,0,0,0,0,0
frc25,4,5,0,8,1,0
frc27,11,6,11,1,0,1
frc28,1,0,0,1,0,0
frc29,0,0,0,0,0,0
frc30,0,0,0,0,0,0
frc31,0,0,0,0,0,0
frc33,0,11,7,5,2,0
frc34,1,1,3,1,0,0
frc35,0,0,0,0,0,0
frc37,0,0,0,0,0,0
frc38,0,2,1,1,0,0
frc39,0,3,0,0,0,0
frc40,0,0,1,2,2,0
frc41,0,0,0,1,0,0
frc42,0,0,0,0,0,0
frc45,2,3,3,2,0,0
frc46,0,0,0,0,0,0
frc47,0,1,2,1,0,0
frc48,2,2,6,0,0,0
frc49,1,0,0,1,1,0
frc51,0,1,2,2,5,0
frc52,0,0,0,0,0,0
frc53,0,0,0,0,0,0
frc55,0,0,0,0,0,0
frc56,0,3,3,4,0,0
frc57,2,0,1,1,1,0
frc58,0,2,3,3,1,0
frc59,0,0,0,1,2,0
frc60,2,2,6,0,1,0
frc61,0,1,3,0,3,0
frc62,0,0,0,0,0,0
frc63,1,0,2,2,1,0
frc64,0,1,3,1,0,0
frc65,0,1,0,0,0,0
frc66,1,2,3,0,0,0
frc67,0,13,11,0,7,0
frc68,6,3,5,1,0,0
frc69,0,1,2,4,1,0
frc70,0,2,3,2,4,0
frc71,4,8,3,6,2,0
frc73,0,0,0,0,0,0
frc74,0,1,3,1,1,0
frc75,12,2,5,0,0,0
frc77,0,0,0,0,0,0
frc78,4,2,2,0,0,0
frc79,2,3,3,1,0,0
frc80,0,0,0,0,0,0
frc81,0,0,0,0,0,0
frc84,0,0,0,0,0,0
frc85,4,5,3,2,1,0
frc86,0,0,1,3,4,0
frc87,0,0,1,0,0,0
frc88,1,1,1,1,1,0
frc89,0,0,0,0,0,0
frc90,0,0,1,0,0,0
frc92,0,0,0,0,0,0
frc93,3,0,1,3,0,0
frc94,2,0,0,1,0,0
