Team,IndDsn,Qual,Creativ,EngEx,Cntrl,Auton
frc27,6,12,1,1,1,1
frc190,4,3,7,6,6,1
frc192,2,1,5,9,6,2
frc222,4,4,1,2,3,1
frc225,5,2,3,3,5,3
frc230,4,5,3,2,7,2
frc303,4,4,2,2,1,2
frc330,13,3,4,5,3,1
frc346,1,2,1,4,2,1
frc503,2,2,3,2,2,1
frc525,2,6,1,1,3,1
frc548,1,4,1,6,1,1
frc836,1,3,2,3,3,1
frc910,2,3,5,2,9,1
frc973,3,6,1,1,3,2
frc987,4,1,1,4,9,1
frc1100,1,1,6,1,3,1
frc1114,16,6,4,4,4,2
frc1261,3,1,3,3,4,1
frc1425,4,1,1,4,4,1
frc1533,3,1,3,2,3,1
frc1678,5,5,1,4,3,1
frc1684,2,3,2,4,2,2
frc1690,4,3,2,5,3,2
frc1701,1,2,2,2,1,2
frc2054,3,3,2,4,10,1
frc4028,2,1,1,1,3,1
frc4362,2,3,2,1,1,1
frc4678,1,1,2,4,2,1
frc5687,2,1,1,4,2,1
