Team,IndDsn,Qual,Creativ,EngEx,Cntrl,Auton
frc16,5,8,3,4,5,0
frc20,4,4,1,2,1,0
frc27,6,11,1,0,1,1
frc33,11,7,5,2,4,0
frc51,1,2,2,5,1,0
frc69,1,2,4,1,2,0
frc70,2,3,2,4,4,0
frc74,1,3,1,1,4,0
frc85,5,3,2,1,1,0
frc88,1,1,1,1,1,0
frc103,2,7,1,1,2,0
frc107,2,2,3,1,1,0
frc111,4,5,5,2,6,0
frc118,6,5,3,12,2,0
frc125,8,0,3,5,4,1
frc133,3,2,1,2,1,0
frc148,10,12,4,3,2,0
frc179,1,0,1,7,1,1
frc195,5,5,3,4,1,0
frc217,3,3,2,6,2,0
frc233,7,4,2,2,2,0
frc234,2,2,0,2,5,2
frc238,1,3,1,1,1,0
frc254,9,12,0,1,7,1
frc263,1,1,1,1,1,0
frc271,2,4,2,2,3,0
frc272,2,2,2,1,5,0
frc287,1,1,1,1,1,0
frc293,4,3,7,4,1,0
frc302,2,2,1,2,3,0
frc308,1,3,2,1,4,0
frc339,3,2,2,1,2,0
frc357,1,1,3,1,2,0
frc358,1,1,1,2,1,0
frc365,0,5,2,1,5,1
frc399,3,2,2,4,1,0
frc456,3,4,3,2,4,0
frc469,5,3,4,7,9,0
frc476,1,1,1,1,1,0
frc494,3,7,2,1,9,0
frc533,1,3,1,1,1,0
frc548,1,4,1,2,1,0
frc573,2,0,2,1,2,1
frc610,5,7,2,6,2,0
frc624,3,2,0,2,10,1
frc706,1,2,1,1,1,0
frc842,3,1,1,2,2,0
frc846,0,3,1,2,4,2
frc868,5,2,6,4,5,0
frc910,1,3,5,2,9,0
frc948,1,1,2,1,2,0
frc1086,2,1,1,1,1,0
frc1153,3,6,2,3,1,0
frc1241,2,2,1,1,2,0
frc1319,1,6,3,1,2,0
frc1323,3,4,0,1,4,2
frc1403,3,7,3,2,1,0
frc1477,7,2,1,1,6,0
frc1507,2,1,3,1,1,0
frc1533,3,1,3,2,3,0
frc1538,5,8,1,3,1,0
frc1540,1,3,1,0,5,1
frc1574,3,2,1,3,2,0
frc1619,3,7,2,5,4,0
frc1625,1,1,2,3,4,0
frc1629,0,2,2,1,5,1
frc1640,2,3,3,1,6,0
frc1684,2,3,2,4,2,0
frc1714,2,1,2,2,1,0
frc1717,4,5,1,2,4,0
frc1718,1,0,1,1,1,1
frc1726,2,2,2,1,1,0
frc1731,1,1,3,3,3,0
frc1768,4,5,1,2,1,0
frc1983,4,7,1,3,2,0
frc1987,2,3,2,1,0,1
frc2046,6,3,1,2,2,0
frc2056,5,10,0,10,2,1
frc2084,1,0,1,1,2,1
frc2122,4,6,2,4,5,0
frc2137,1,1,1,2,1,0
frc2200,1,3,4,2,2,0
frc2283,1,1,1,3,1,0
frc2337,4,5,2,3,2,0
frc2363,2,2,1,1,2,0
frc2370,1,1,1,1,1,0
frc2481,2,1,1,2,3,0
frc2485,1,2,3,3,1,0
frc2522,1,1,1,1,0,1
frc2612,3,1,1,1,1,0
frc2767,3,3,3,5,1,0
frc2826,2,4,3,4,1,0
frc2832,1,1,1,1,1,0
frc2848,2,1,2,3,3,0
frc3117,2,1,1,1,1,0
frc3310,5,2,0,3,4,1
frc3419,1,3,2,1,4,0
frc3489,1,1,1,2,1,0
frc3539,4,2,2,1,1,0
frc3641,1,2,2,3,1,0
frc3663,1,2,1,4,1,0
frc3683,4,2,3,1,1,0
frc3688,2,1,1,2,2,0
frc4003,0,1,1,1,6,2
frc4026,1,0,1,1,6,1
frc4028,2,1,0,1,3,1
frc4256,0,1,2,1,1,2
frc4334,1,2,1,1,2,0
frc4362,2,3,2,1,1,0
frc4522,2,2,1,2,1,0
frc4564,1,1,1,1,4,0
frc4678,0,1,2,4,2,1
frc4967,1,1,0,1,1,1
frc5460,2,1,1,1,1,0
