Region,2010,2011,2012,2013,2014,2015,2016,2017,2018,
FIM,140,171,190,203,277,347,411,451,508,
California,130,147,170,192,216,239,259,281,313,
MD,10,10,8,5,2,,,,,
MAR,86,90,99,110,110,121,121,121,124,
Arkansas,1,2,4,6,10,17,17,22,25,
New York,102,110,116,129,143,147,155,160,172,
Florida,28,32,43,49,53,64,70,76,80,
Oklahoma,31,36,39,41,42,48,51,51,48,
Alabama,7,7,9,9,8,9,12,11,14,
AZ,12,7,8,5,3,1,,,,
NH,6,5,2,,,,,,,
IN,34,34,42,51,52,49,49,49,49,
Ohio,29,33,43,48,52,56,58,60,64,
CHS,81,87,92,105,113,118,134,128,125,
Texas,55,70,89,101,111,135,142,156,162,
NE,103,122,137,146,162,176,182,194,209,
Arizona,27,30,36,39,45,51,50,58,60,
Pennsylvania,12,15,24,28,29,30,28,25,26,
Illinois,30,33,46,52,56,57,58,55,57,
PA,4,3,6,5,4,,,,,
Wisconsin,24,26,30,34,38,41,48,57,60,
Colorado,22,24,29,31,33,35,36,35,36,
Iowa,4,4,5,6,7,9,12,22,28,
FL,15,23,32,23,11,,1,,,
ONT,31,38,47,52,89,105,125,146,156,
NY,17,18,17,15,5,,,,,
OH,18,14,13,12,3,,,,,
South Carolina,14,17,24,31,39,41,42,44,45,
Québec,8,13,24,27,35,43,45,43,48,
West Virginia,3,4,4,4,4,4,4,3,3,
Hawaii,19,25,29,26,27,26,26,27,25,
PNW,80,101,124,148,154,153,158,155,154,
Mississippi,6,6,7,8,8,8,9,9,11,
WA,7,11,10,8,,,,,,
Brazil,5,5,5,6,5,5,6,7,9,
Virginia,3,3,3,3,4,4,,,,
VA,10,10,7,4,2,1,,,,
TX,49,74,58,39,21,1,,,,
NC,18,34,35,40,41,46,52,60,66,
CO,13,11,11,10,6,,,,,
MS,6,4,3,2,1,,,,,
MT,4,4,4,3,,,,,,
OK,18,12,9,7,4,,,,,
MA,15,12,7,5,,,,,,
Tennessee,6,12,22,28,37,45,34,35,34,
Kentucky,5,10,10,10,9,12,13,12,11,
Kingdom,1,1,1,1,,,,,,
SC,7,7,6,4,1,,,,,
CT,6,3,1,3,1,,,1,,
CA,23,30,27,22,15,2,,,,
PCH,19,25,35,41,50,60,66,76,82,
ON,19,22,24,13,10,1,,1,,
North Dakota,2,2,2,3,3,3,3,3,4,
Ontario,4,5,7,8,16,22,15,,,
Missouri,38,40,48,55,63,69,74,72,73,
Kansas,18,19,20,20,23,22,22,23,24,
Nevada,3,3,4,6,7,10,9,9,15,
MO,10,12,10,7,3,,,,,
WI,7,5,4,2,1,,,,,
PR,2,1,,,1,,,,,
New Mexico,2,2,3,3,3,5,5,6,8,
Maryland,1,1,2,2,2,2,,,,
Wyoming,3,3,3,3,3,4,4,4,4,
LA,6,8,7,8,2,,,,,
BC,1,,,,,,,,,
NJ,8,5,,,,,,,,
GA,12,12,12,9,6,2,,,,
NV,9,8,6,5,1,,,,,
Alberta,1,1,2,11,22,24,21,22,20,
IL,14,9,9,6,2,1,,,,
Alaska,1,1,1,1,,,,,,
AK,1,,,,,,,,,
Idaho,8,9,10,11,11,13,15,14,15,
ISR,25,25,28,34,41,48,58,64,70,
Israel,26,23,16,13,11,7,4,,,
Montana,2,2,2,2,2,2,1,2,2,
Minnesota,99,122,143,169,182,192,208,209,215,
Louisiana,11,16,24,24,28,28,34,33,36,
OR,6,6,6,2,,,,,,
DC,6,5,5,2,1,,,,,
Puerto Rico,1,1,1,1,1,1,1,1,1,
United Kingdom,1,1,1,1,1,2,3,3,3,
ME,2,1,,,,,,,,
Netherlands,1,,,2,1,2,2,2,4,
NM,1,,3,2,2,,,,,
UT,5,7,4,4,3,,,,,
Mexico,3,12,21,37,38,39,53,70,80,
KS,1,,,,,,,,,
ND,1,1,,,,,,,,
HI,5,7,7,4,2,,,,,
Utah,11,11,14,16,19,20,21,24,24,
MN,6,9,10,11,4,,,,,
Chile,1,1,1,1,3,2,2,2,3,
TN,4,4,4,8,5,,,,,
ID,3,4,6,5,3,,,,,
Turkey,3,4,5,5,5,8,20,55,53,
Germany,1,1,1,1,1,1,1,1,1,
AL,2,3,2,1,,,,,,
Australia,1,1,1,6,5,25,39,51,52,
QC,1,1,8,5,4,,,,,
North Carolina,1,2,2,2,2,4,,,,
KY,1,2,2,2,1,,,,,
Bosnia-Herzegovina,1,1,,1,,,1,,,
WV,,1,,,,,,,,
AR,,1,3,10,4,1,,,,
Dominican Republic,,,1,2,2,2,2,2,3,
NS,,,1,,,,,,,
Chinese Taipei,,,1,1,1,1,3,3,7,
AB,,,,4,1,,,,,
Saskatchewan,,,,1,1,1,2,3,4,
South Dakota,,,,1,2,2,2,2,1,
RI,,,,1,,,,,,
Singapore,,,,1,1,1,1,1,1,
China,,,,1,8,23,34,53,78,
United Arab Emirates,,,,,1,1,,,,
Colombia,,,,,1,2,1,1,1,
France,,,,,,1,1,2,2,
Japan,,,,,,2,2,1,2,
British Columbia,,,,,,1,1,11,20,
Ecuador,,,,,,,1,1,,
Poland,,,,,,,1,1,1,
Nebraska,,,,,,,1,2,3,
Czech Republic,,,,,,,1,1,1,
India,,,,,,,1,2,2,
Denmark,,,,,,,1,,,
Guam,,,,,,,,2,2,
Switzerland,,,,,,,,1,1,
Vietnam,,,,,,,,1,1,
Morocco,,,,,,,,1,,
Yukon Territory,,,,,,,,1,,
Italy,,,,,,,,1,,
Sweden,,,,,,,,,1,
Paraguay,,,,,,,,,1,
Croatia,,,,,,,,,1,
Norway,,,,,,,,,1,
