Rank,Event,Rookies,Total,% Rookies
1,2005is,10,12,0.833333333
2,2008ok,27,39,0.692307692
3,2006is,16,26,0.615384615
4,2017gush,26,43,0.604651163
5,2018tuis,22,37,0.594594595
6,2002mo,30,53,0.566037736
7,2008mn,30,54,0.555555556
8,2008hi,20,37,0.540540541
9,2007br,8,15,0.533333333
10,2019tuis2,17,32,0.53125
11,2002wa,18,34,0.529411765
12,2003ga,22,42,0.523809524
13,2010ut,17,33,0.515151515
14,2004ga,23,46,0.5
15,2014mimid,20,40,0.5
16,2012qc,18,37,0.486486486
17,2002on,21,44,0.477272727
18,2008br,6,13,0.461538462
19,2009da,24,52,0.461538462
20,2016ausy,24,52,0.461538462
21,2018shmi,20,44,0.454545455
22,2011oc1,18,40,0.45
23,2007wi,23,52,0.442307692
24,2015ausy,16,37,0.432432432
25,2018gush,15,35,0.428571429
26,2009wa,27,64,0.421875
27,2004co,18,43,0.418604651
28,2013abca,12,29,0.413793103
29,2004on,31,75,0.413333333
30,2014glbbb,7,17,0.411764706
31,2017crc,18,44,0.409090909
32,2006il,12,30,0.4
33,2014miket,16,40,0.4
34,2014milan,16,40,0.4
35,2014miwat,16,40,0.4
36,2015mista,16,40,0.4
37,2017ausp,17,43,0.395348837
38,2007is,13,33,0.393939394
39,2018zhrcc2,7,18,0.388888889
40,2009tx,24,63,0.380952381
41,2018bcvi,12,32,0.375
42,2009mn,19,51,0.37254902
43,2004tx,16,43,0.372093023
44,2005co,14,38,0.368421053
45,2003on,19,52,0.365384615
46,2009is,17,47,0.361702128
47,2004or,13,36,0.361111111
48,2011swm,13,36,0.361111111
49,2014onnb,13,36,0.361111111
50,2019tuis,13,36,0.361111111
51,2017abca,18,50,0.36
52,2009mn2,18,51,0.352941176
53,2006tx,19,54,0.351851852
54,2007la,13,37,0.351351351
55,2011ww,14,40,0.35
56,2014mitvc,14,40,0.35
57,2018ausc,14,40,0.35
58,2007kc,15,44,0.340909091
59,2011da,18,53,0.339622642
60,2002ca,20,60,0.333333333
61,2012migl,12,36,0.333333333
62,2014abca,12,36,0.333333333
63,2014miesc,12,36,0.333333333
64,2018aroz,7,21,0.333333333
65,2018crc,13,39,0.333333333
66,2008az,17,52,0.326923077
67,2012mo,14,43,0.325581395
68,2006mo,13,40,0.325
69,2014onwi,13,40,0.325
70,2015mimid,13,40,0.325
71,2016mitvc,13,40,0.325
72,2018milan,13,40,0.325
73,2006ma,14,44,0.318181818
74,2015miket,13,41,0.317073171
75,2018zhrcc,13,41,0.317073171
76,2005nv,12,38,0.315789474
77,2006co,15,48,0.3125
78,2011nc,16,52,0.307692308
79,2003ca,18,59,0.305084746
80,2016mxmc,16,53,0.301886792
81,2011wc,12,40,0.3
82,2012ga,18,60,0.3
83,2015milan,12,40,0.3
84,2016mimar,12,40,0.3
85,2019arli,18,60,0.3
86,2013txlu,12,41,0.292682927
87,2003mo,16,55,0.290909091
88,2006ga,13,45,0.288888889
89,2012la,14,49,0.285714286
90,2012on2,16,56,0.285714286
91,2014misjo,11,39,0.282051282
92,2011on2,10,36,0.277777778
93,2014cafc2,5,18,0.277777778
94,2011tn,13,47,0.276595745
95,2017turk,13,47,0.276595745
96,2004md,16,58,0.275862069
97,2015miesc,11,40,0.275
98,2018mialp,11,40,0.275
99,2012il,14,51,0.274509804
100,2005roc,9,33,0.272727273
101,2011tx,15,55,0.272727273
102,2018onnob,9,33,0.272727273
103,2019ausc,12,44,0.272727273
104,2013arfa,11,41,0.268292683
105,2014migul,11,41,0.268292683
106,2007co,12,45,0.266666667
107,2013onto2,12,45,0.266666667
108,2014onto2,8,30,0.266666667
109,2017azcmp,8,30,0.266666667
110,2011stx,17,64,0.265625
111,2019flwp,17,64,0.265625
112,2007ma,13,49,0.265306122
113,2006wi,9,34,0.264705882
114,2011hi,9,34,0.264705882
115,2012da,11,42,0.261904762
116,2009ok,13,50,0.26
117,2011wa,13,50,0.26
118,2011wa2,13,50,0.26
119,2007or,14,54,0.259259259
120,2017mxto,9,35,0.257142857
121,2003tx,8,32,0.25
122,2008wi,15,60,0.25
123,2011gt,10,40,0.25
124,2013mitry,10,40,0.25
125,2014mitry,10,40,0.25
126,2015misjo,10,40,0.25
127,2016miann,10,40,0.25
128,2016milak,10,40,0.25
129,2017mxtl,11,44,0.25
130,2018mesh,6,24,0.25
131,2018mimil,10,40,0.25
132,2019mxto,9,36,0.25
133,2019txpas,8,32,0.25
134,2010da,13,53,0.245283019
135,2002sj,12,49,0.244897959
136,2013ista,12,49,0.244897959
137,2012pit,11,45,0.244444444
138,2018mxto,10,41,0.243902439
139,2007il,9,37,0.243243243
140,2018onto1,9,37,0.243243243
141,2019txcha,9,37,0.243243243
142,2012ca,16,66,0.242424242
143,2015abca,8,33,0.242424242
144,2012tn,13,54,0.240740741
145,2003oh,15,63,0.238095238
146,2010mn2,15,63,0.238095238
147,2019ausp,15,63,0.238095238
148,2011fl,14,59,0.237288136
149,2003wa,9,38,0.236842105
150,2011la,9,38,0.236842105
151,2006md,15,64,0.234375
152,2014onwa,7,30,0.233333333
153,2012ut,10,43,0.23255814
154,2012da2,9,39,0.230769231
155,2014mibed,9,39,0.230769231
156,2018turk,12,52,0.230769231
157,2003va,14,61,0.229508197
158,2010nc,10,44,0.227272727
159,2003il,12,53,0.226415094
160,2009il,12,53,0.226415094
161,2008wa,7,31,0.225806452
162,2009la,7,31,0.225806452
163,2011ut,7,31,0.225806452
164,2009dt,9,40,0.225
165,2011gg,9,40,0.225
166,2011mi,9,40,0.225
167,2011oc,9,40,0.225
168,2012in,9,40,0.225
169,2013midet,9,40,0.225
170,2015mibed,9,40,0.225
171,2015mifla,9,40,0.225
172,2015miken,9,40,0.225
173,2016miken,9,40,0.225
174,2016mimid,9,40,0.225
175,2017mimid,9,40,0.225
176,2017mishe,9,40,0.225
177,2005ga,11,49,0.224489796
178,2010ga,11,49,0.224489796
179,2008pit,8,36,0.222222222
180,2011on,8,36,0.222222222
181,2016abca,8,36,0.222222222
182,2019nvlv,10,45,0.222222222
183,2019onnyo,8,36,0.222222222
184,2011dmn,9,41,0.219512195
185,2012swm,9,41,0.219512195
186,2004cmp,7,32,0.21875
187,2018mibb,7,32,0.21875
188,2018rsr,7,32,0.21875
189,2019onto3,7,32,0.21875
190,2018txntx,5,23,0.217391304
191,2017oncmp,13,60,0.216666667
192,2005or,8,37,0.216216216
193,2017gadal,8,37,0.216216216
194,2018njbe,11,51,0.215686275
195,2003sac,6,28,0.214285714
196,2008il,9,42,0.214285714
197,2012sfl,9,42,0.214285714
198,2015onto2,9,42,0.214285714
199,2002va,14,66,0.212121212
200,2018isde3,7,33,0.212121212
201,2004mo,11,52,0.211538462
202,2002oh,12,57,0.210526316
203,2018gadul,8,38,0.210526316
204,2005wat,5,24,0.208333333
205,2013mndu2,10,48,0.208333333
206,2006in,6,29,0.206896552
207,2018inbbb,6,29,0.206896552
208,2010mn,13,63,0.206349206
209,2012fl,13,63,0.206349206
210,2007sac,8,39,0.205128205
211,2017azfl,10,49,0.204081633
212,2017iacf,11,54,0.203703704
213,2017txda,11,54,0.203703704
214,2010wa,13,64,0.203125
215,2013wase,13,64,0.203125
216,2003pit,7,35,0.2
217,2006az,9,45,0.2
218,2008kc,11,55,0.2
219,2009dt1,8,40,0.2
220,2009oc,8,40,0.2
221,2011sdc,12,60,0.2
222,2012gt,8,40,0.2
223,2013onto,7,35,0.2
224,2013tnkn,10,50,0.2
225,2015migul,8,40,0.2
226,2016gaalb,5,25,0.2
227,2016mibro,8,40,0.2
228,2016miesc,8,40,0.2
229,2016vapor,7,35,0.2
230,2017ausc,6,30,0.2
231,2017migay,8,40,0.2
232,2018fsurd,4,20,0.2
233,2018miliv,8,40,0.2
234,2018qcmo,11,55,0.2
235,2019miliv,8,40,0.2
236,2010is,11,56,0.196428571
237,2012sdc,11,56,0.196428571
238,2007nv,10,51,0.196078431
239,2008ca,10,51,0.196078431
240,2006wa,9,46,0.195652174
241,2007sdc,9,46,0.195652174
242,2008tx,9,46,0.195652174
243,2004fl,8,41,0.195121951
244,2014qcmo,8,41,0.195121951
245,2016mitry,8,41,0.195121951
246,2016miwmi,8,41,0.195121951
247,2018milak,8,41,0.195121951
248,2018mishe,8,41,0.195121951
249,2004az,7,36,0.194444444
250,2017gaalb,7,36,0.194444444
251,2019hiho,7,36,0.194444444
252,2019ncpem,7,36,0.194444444
253,2003ny,6,31,0.193548387
254,2017mabos,6,31,0.193548387
255,2012wa,9,47,0.191489362
256,2015qcmo,9,47,0.191489362
257,2017flwp,9,47,0.191489362
258,2004sc,8,42,0.19047619
259,2012mn2,12,63,0.19047619
260,2016capl,8,42,0.19047619
261,2017onham,8,42,0.19047619
262,2018scriw,4,21,0.19047619
263,2003az,7,37,0.189189189
264,2008sac,7,37,0.189189189
265,2011sac,10,53,0.188679245
266,2004sac,6,32,0.1875
267,2017nccmp,6,32,0.1875
268,2017onwat,6,32,0.1875
269,2018nyhvr,3,16,0.1875
270,2018wowcmp,6,32,0.1875
271,2012sc,8,43,0.186046512
272,2018onosh,7,38,0.184210526
273,2014tnkn,9,49,0.183673469
274,2004oh,11,60,0.183333333
275,2013gadu,11,60,0.183333333
276,2016flwp,11,60,0.183333333
277,2008ios,2,11,0.181818182
278,2008or,10,55,0.181818182
279,2009hi,6,33,0.181818182
280,2017ncral,6,33,0.181818182
281,2014scmb,12,67,0.179104478
282,2011mo,5,28,0.178571429
283,2016lake,10,56,0.178571429
284,2007mo,8,45,0.177777778
285,2018alhu,8,45,0.177777778
286,2007az,6,34,0.176470588
287,2012ohc,10,57,0.175438596
288,2005li,7,40,0.175
289,2010dt1,7,40,0.175
290,2014miliv,7,40,0.175
291,2014misou,7,40,0.175
292,2014miwmi,7,40,0.175
293,2015miliv,7,40,0.175
294,2015mitvc,7,40,0.175
295,2016miliv,7,40,0.175
296,2017milsu,7,40,0.175
297,2018gagai,7,40,0.175
298,2018mifor,7,40,0.175
299,2018nysu,7,40,0.175
300,2018oncmp1,7,40,0.175
301,2018oncmp2,7,40,0.175
302,2019mikng,7,40,0.175
303,2017nytv,4,23,0.173913043
304,2005ca,9,52,0.173076923
305,2016onwi,9,52,0.173076923
306,2018onbar,5,29,0.172413793
307,2006cmp,6,35,0.171428571
308,2007pit,6,35,0.171428571
309,2016milsu,7,41,0.170731707
310,2004nj,8,47,0.170212766
311,2014flfo,8,47,0.170212766
312,2014arc,17,100,0.17
313,2004il,9,53,0.169811321
314,2005nj,9,53,0.169811321
315,2010dc,10,59,0.169491525
316,2019lake,10,59,0.169491525
317,2009dc,11,65,0.169230769
318,2005mi,7,42,0.166666667
319,2005on,11,66,0.166666667
320,2008is,6,36,0.166666667
321,2009mo,6,36,0.166666667
322,2009or,9,54,0.166666667
323,2011ga,8,48,0.166666667
324,2012ny,11,66,0.166666667
325,2012tx,9,54,0.166666667
326,2012wat,5,30,0.166666667
327,2016txho,11,66,0.166666667
328,2016warr,2,12,0.166666667
329,2017azpx,7,42,0.166666667
330,2017onsi,4,24,0.166666667
331,2018ausp,7,42,0.166666667
332,2018mvrc,3,18,0.166666667
333,2018txda,10,60,0.166666667
334,2019bcvi,6,36,0.166666667
335,2019ncwak,6,36,0.166666667
336,2019qcmo,7,42,0.166666667
337,2008fl,10,61,0.163934426
338,2005md,9,55,0.163636364
339,2010ok,9,55,0.163636364
340,2013ncre,9,55,0.163636364
341,2015ncre,9,55,0.163636364
342,2007ct,8,49,0.163265306
343,2014azch,8,49,0.163265306
344,2009sdc,6,37,0.162162162
345,2012on,6,37,0.162162162
346,2018gadal,6,37,0.162162162
347,2002gl,10,62,0.161290323
348,2015melew,5,31,0.161290323
349,2017orlak,5,31,0.161290323
350,2019mial2,5,31,0.161290323
351,2019onto1,5,31,0.161290323
352,2010az,9,56,0.160714286
353,2015txho,9,56,0.160714286
354,2006ca,8,50,0.16
355,2012az,8,50,0.16
356,2012cur,16,100,0.16
357,2014cur,16,100,0.16
358,2014gal,16,100,0.16
359,2014new,16,100,0.16
360,2002mi,7,44,0.159090909
361,2009az,7,44,0.159090909
362,2011cur,14,88,0.159090909
363,2011gal,14,88,0.159090909
364,2018nvlv,7,44,0.159090909
365,2016ista,10,63,0.158730159
366,2016mndu,10,63,0.158730159
367,2002ny,6,38,0.157894737
368,2017gacol,6,38,0.157894737
369,2018lake,9,57,0.157894737
370,2018onlon,6,38,0.157894737
371,2019txdls,6,38,0.157894737
372,2004nh,8,51,0.156862745
373,2005ny,5,32,0.15625
374,2008ny,10,64,0.15625
375,2013onwa,5,32,0.15625
376,2014gadu,10,64,0.15625
377,2015ncth,5,32,0.15625
378,2017ncgre,5,32,0.15625
379,2018ncash,5,32,0.15625
380,2008ga,7,45,0.155555556
381,2011ct,9,58,0.155172414
382,2014mokc,9,58,0.155172414
383,2010in,6,39,0.153846154
384,2013miliv,6,39,0.153846154
385,2014micen,6,39,0.153846154
386,2017aurb,2,13,0.153846154
387,2017gagai,6,39,0.153846154
388,2017miesc,6,39,0.153846154
389,2017miken,6,39,0.153846154
390,2018cair,8,52,0.153846154
391,2018lafwbb1,2,13,0.153846154
392,2018mosc,4,26,0.153846154
393,2015casd,9,59,0.152542373
394,2015micmp,16,105,0.152380952
395,2015gadu,10,66,0.151515152
396,2016ncbui,5,33,0.151515152
397,2016txsa,10,66,0.151515152
398,2017txwo,5,33,0.151515152
399,2018ncwin,5,33,0.151515152
400,2009wi,8,53,0.150943396
401,2012ma,8,53,0.150943396
402,2002new,11,73,0.150684932
403,2005tx,6,40,0.15
404,2006nh,3,20,0.15
405,2006or,3,20,0.15
406,2006sac,6,40,0.15
407,2010oh,9,60,0.15
408,2010ruc,3,20,0.15
409,2012arc,15,100,0.15
410,2012gal,15,100,0.15
411,2012oc,6,40,0.15
412,2013arc,15,100,0.15
413,2013cur,15,100,0.15
414,2013gal,15,100,0.15
415,2013misjo,6,40,0.15
416,2013new,15,100,0.15
417,2015marea,6,40,0.15
418,2015mihow,6,40,0.15
419,2015misou,6,40,0.15
