Team #,Region,Age
1,FIM,22
4,California,22
8,California,23
11,MAR,22
16,Arkansas,23
20,New York,27
21,Florida,21
23,NE,24
25,MAR,22
27,FIM,22
28,New York,23
31,Oklahoma,22
33,FIM,23
34,Alabama,22
41,MAR,22
45,IN,27
48,Ohio,21
51,FIM,23
56,MAR,22
58,NE,23
59,Florida,22
60,Arizona,22
61,NE,24
63,Pennsylvania,22
66,FIM,21
67,FIM,22
68,FIM,21
69,NE,21
70,FIM,21
71,IN,23
74,FIM,24
75,MAR,23
78,NE,23
79,Florida,21
81,Illinois,25
85,FIM,23
86,Florida,21
87,MAR,22
88,NE,23
93,Wisconsin,22
94,FIM,21
95,NE,22
97,NE,23
100,California,24
101,Illinois,22
102,MAR,21
103,MAR,22
107,FIM,22
108,Florida,24
111,Illinois,23
114,California,22
115,California,21
116,CHS,23
117,Pennsylvania,21
118,Texas,22
120,Ohio,24
121,NE,23
122,CHS,22
123,FIM,22
125,NE,21
126,NE,27
128,Ohio,22
131,NE,27
133,NE,22
135,IN,21
136,MAR,22
138,NE,23
141,FIM,24
144,Ohio,25
145,New York,22
148,Texas,27
151,NE,27
155,NE,25
156,Pennsylvania,22
157,NE,27
159,Colorado,21
166,NE,24
167,Iowa,21
171,Wisconsin,24
172,NE,23
173,NE,24
174,New York,21
175,NE,23
176,NE,23
177,NE,24
178,NE,22
179,Florida,21
180,Florida,21
181,NE,21
188,ONT,21
190,NE,27
191,New York,27
192,California,22
193,MAR,22
195,NE,21
199,California,21
201,FIM,21
203,MAR,21
204,MAR,21
207,California,20
213,NE,20
216,FIM,20
217,FIM,20
219,MAR,20
222,MAR,20
223,MAR,20
224,MAR,20
225,MAR,20
226,FIM,20
228,NE,20
229,New York,20
230,NE,20
231,Texas,21
233,Florida,20
234,IN,20
236,NE,20
237,NE,20
238,NE,20
240,FIM,20
244,FIM,20
245,FIM,20
246,NE,20
247,FIM,20
250,New York,20
253,California,20
254,California,20
256,California,20
263,New York,20
269,Wisconsin,20
271,New York,20
272,MAR,21
279,Ohio,20
280,FIM,20
281,South Carolina,20
283,South Carolina,20
287,New York,20
288,FIM,20
291,Pennsylvania,20
292,IN,20
293,MAR,20
294,California,20
295,California,20
296,Canada,20
299,California,21
302,FIM,20
303,MAR,20
308,FIM,20
313,FIM,20
314,FIM,20
316,MAR,20
319,NE,20
321,MAR,20
322,FIM,20
323,Arkansas,23
329,New York,20
330,California,20
333,New York,20
334,New York,20
335,New York,20
337,West Virginia,19
339,CHS,19
340,New York,19
341,MAR,19
342,South Carolina,19
343,South Carolina,19
346,CHS,19
348,NE,19
352,New York,19
353,New York,19
354,New York,19
358,New York,19
359,Hawaii,19
360,PNW,19
364,Mississippi,19
365,MAR,19
368,Hawaii,19
369,New York,19
371,New York,19
378,New York,19
379,Ohio,19
383,Brazil,19
384,CHS,19
386,Florida,19
395,New York,19
399,California,19
401,CHS,19
418,Texas,19
422,CHS,19
423,MAR,19
433,MAR,19
435,NC,19
441,Texas,19
442,Alabama,19
447,IN,19
449,CHS,19
451,Ohio,19
453,FIM,19
456,Mississippi,19
457,Texas,19
461,IN,19
467,NE,19
468,FIM,19
469,FIM,19
470,FIM,19
484,MAR,19
486,MAR,19
488,PNW,19
492,PNW,18
494,FIM,18
496,New York,18
498,Arizona,18
501,NE,18
503,FIM,18
509,NE,18
514,New York,18
522,New York,18
525,Iowa,18
527,New York,18
533,New York,18
537,Wisconsin,18
538,Alabama,18
539,CHS,18
540,CHS,18
545,New York,18
547,Tennessee,18
548,FIM,18
554,Kentucky,18
555,MAR,18
558,NE,18
564,New York,18
568,PNW,18
569,New York,18
571,NE,18
573,FIM,18
578,New York,18
580,California,18
581,California,18
585,California,18
587,NC,18
589,California,18
590,Mississippi,18
597,California,18
599,California,18
601,New York,18
604,California,18
606,California,18
610,ONT,18
611,CHS,18
612,CHS,18
614,CHS,18
617,CHS,18
619,CHS,18
620,CHS,18
623,CHS,18
624,Texas,18
639,New York,18
640,New York,18
647,Texas,18
648,Iowa,18
649,California,18
653,Texas,18
662,Colorado,18
663,NE,18
668,California,18
670,California,18
677,Ohio,18
686,CHS,18
687,California,18
691,California,18
692,California,18
694,New York,18
695,Ohio,18
696,California,18
698,Arizona,18
701,California,18
702,California,18
703,FIM,18
706,Wisconsin,18
708,MAR,18
709,MAR,18
714,MAR,18
716,NE,18
743,New York,17
744,Florida,17
746,ONT,17
747,MAR,17
751,California,17
753,PNW,17
766,California,17
771,ONT,17
772,ONT,17
773,ONT,17
781,ONT,17
801,Florida,17
806,New York,17
810,New York,17
811,NE,17
812,California,17
815,FIM,17
816,MAR,17
818,FIM,17
829,IN,17
830,FIM,17
832,PCH,17
834,MAR,17
835,FIM,17
836,CHS,17
839,NE,17
841,California,17
842,Arizona,17
846,California,17
847,PNW,17
848,California,17
852,California,17
854,ONT,17
857,FIM,17
858,FIM,17
862,FIM,17
865,ONT,17
867,California,17
868,IN,17
870,New York,17
871,New York,17
876,North Dakota,17
877,North Dakota,17
884,New York,17
885,NE,17
888,CHS,17
894,FIM,17
900,NC,17
904,FIM,17
907,ONT,17
910,FIM,17
919,ONT,17
930,Wisconsin,17
931,Missouri,17
932,Oklahoma,17
935,Kansas,17
937,Kansas,17
938,Kansas,17
945,Florida,17
948,PNW,17
949,PNW,17
955,PNW,17
957,PNW,17
967,Iowa,17
968,California,17
971,California,17
972,California,17
973,California,17
977,CHS,17
980,California,17
981,California,17
987,Nevada,17
988,Nevada,17
991,Arizona,17
996,Arizona,17
997,PNW,17
999,NE,17
1002,PCH,16
1011,Arizona,16
1014,Ohio,16
1018,IN,16
1023,FIM,16
1024,IN,16
1025,FIM,16
1027,NE,16
1038,Ohio,16
1051,South Carolina,16
1058,NE,16
1065,Florida,16
1071,NE,16
1072,California,16
1073,NE,16
1075,ONT,16
1076,FIM,16
1080,CHS,16
1085,NE,16
1086,CHS,16
1089,MAR,16
1091,Wisconsin,16
1094,Missouri,16
1099,NE,16
1100,NE,16
1102,PCH,16
1108,Kansas,16
1111,CHS,16
1114,ONT,16
1123,CHS,16
1124,NE,16
1126,New York,16
1137,CHS,16
1138,California,16
1143,MAR,16
1153,NE,16
1155,New York,16
1156,Brazil,16
1157,Colorado,16
1159,California,16
1160,California,16
1164,New Mexico,16
1165,Arizona,16
1168,MAR,16
1178,Missouri,16
1188,FIM,16
1189,FIM,16
1197,California,16
1208,Illinois,16
1209,Oklahoma,16
1212,Arizona,16
1218,MAR,16
1225,NC,16
1228,MAR,16
1230,New York,16
1241,ONT,15
1243,FIM,15
1245,Colorado,15
1246,ONT,15
1247,NE,15
1248,Ohio,15
1250,FIM,15
1251,Florida,15
1254,FIM,15
1255,Texas,15
1257,MAR,15
1258,PNW,15
1259,Wisconsin,15
1261,PCH,15
1262,CHS,15
1266,California,15
1277,NE,15
1279,MAR,15
1280,California,15
1285,ONT,15
1287,South Carolina,15
1288,Missouri,15
1289,NE,15
1290,Arizona,15
1293,South Carolina,15
1294,PNW,15
1296,Texas,15
1303,Wyoming,15
1305,ONT,15
1306,Wisconsin,15
1307,NE,15
1308,Ohio,15
1310,ONT,15
1311,PCH,15
1317,Ohio,15
1318,PNW,15
1319,South Carolina,15
1322,FIM,15
1323,California,15
1325,ONT,15
1329,Missouri,15
1332,Colorado,15
1334,ONT,15
1339,Colorado,15
1350,NE,15
1351,California,15
1359,PNW,15
1360,ONT,15
1369,Florida,15
1370,MAR,15
1374,ONT,15
1378,Hawaii,15
1382,Brazil,15
1388,California,15
1389,CHS,15
1391,MAR,15
1398,South Carolina,15
1403,MAR,15
1405,New York,15
1410,Colorado,15
1413,CHS,15
