Rank,City1,City2,AvgTime
1,Cleveland,OklahomaCity,11.09
2,Cleveland,Wichita,11.11
3,OklahomaCity,Toledo,11.11
4,Cleveland,Lincoln,11.12
5,Buffalo,OklahomaCity,11.14
6,Detroit,OklahomaCity,11.15
7,Cleveland,KansasCity,11.15
8,Toledo,Wichita,11.16
9,Buffalo,Wichita,11.16
10,Cleveland,Omaha,11.16
11,Lincoln,Pittsburgh,11.16
12,Cleveland,Tulsa,11.16
13,Buffalo,Lincoln,11.17
14,Pittsburgh,Wichita,11.17
15,Omaha,Pittsburgh,11.19
16,Toledo,Tulsa,11.19
17,Buffalo,KansasCity,11.20
18,Detroit,Wichita,11.20
19,KansasCity,Pittsburgh,11.21
20,Buffalo,Omaha,11.22
21,Buffalo,Tulsa,11.22
22,KansasCity,Toledo,11.22
23,Lincoln,Toledo,11.22
24,OklahomaCity,Pittsburgh,11.23
25,Detroit,Tulsa,11.23
26,Detroit,KansasCity,11.26
27,Omaha,Toledo,11.27
28,Detroit,Lincoln,11.28
29,Pittsburgh,Tulsa,11.28
30,Cleveland,Denver,11.32
31,Detroit,Omaha,11.32
32,Baltimore,Lincoln,11.32
33,Aurora,Cleveland,11.33
34,Baltimore,Omaha,11.34
35,Lincoln,Washington,11.35
36,Omaha,Washington,11.37
37,Cleveland,DesMoines,11.37
38,Buffalo,Denver,11.37
39,Denver,Pittsburgh,11.37
40,Columbus,Lincoln,11.37
41,Aurora,Buffalo,11.38
42,DesMoines,Pittsburgh,11.38
43,Aurora,Pittsburgh,11.38
44,Baltimore,Wichita,11.39
45,Columbus,Omaha,11.39
46,Columbus,Wichita,11.40
47,Columbus,OklahomaCity,11.41
48,Aurora,Toledo,11.41
49,Baltimore,KansasCity,11.41
50,Washington,Wichita,11.41
51,Denver,Toledo,11.42
52,Buffalo,DesMoines,11.42
53,Columbus,KansasCity,11.44
54,KansasCity,Washington,11.44
55,Lincoln,Philadelphia,11.45
56,Aurora,Detroit,11.46
57,Denver,Detroit,11.46
58,Omaha,Philadelphia,11.47
59,Columbus,Tulsa,11.48
60,Baltimore,OklahomaCity,11.48
61,DesMoines,Toledo,11.48
62,Lincoln,Newark,11.48
63,Cleveland,FortWorth,11.48
64,FortWorth,Toledo,11.49
65,Cleveland,ColoradoSprings,11.49
66,Cleveland,Dallas,11.49
67,Dallas,Toledo,11.50
68,Baltimore,Denver,11.50
69,Cleveland,Lubbock,11.51
70,Philadelphia,Wichita,11.51
71,Newark,Omaha,11.51
72,Detroit,FortWorth,11.52
73,Cleveland,Irving,11.52
74,Baltimore,DesMoines,11.52
75,OklahomaCity,Washington,11.53
76,Irving,Toledo,11.53
77,Dallas,Detroit,11.53
78,Cleveland,Plano,11.53
79,Cleveland,Garland,11.53
80,Buffalo,FortWorth,11.53
81,KansasCity,Philadelphia,11.54
82,Baltimore,Tulsa,11.54
83,Plano,Toledo,11.54
84,Lubbock,Toledo,11.54
85,Newark,Wichita,11.54
86,Arlington,Cleveland,11.54
87,Garland,Toledo,11.54
88,DesMoines,Washington,11.54
89,JerseyCity,Lincoln,11.54
90,Detroit,Lubbock,11.54
91,Albuquerque,Toledo,11.54
92,Buffalo,Dallas,11.55
93,Arlington,Toledo,11.55
94,Buffalo,ColoradoSprings,11.55
95,DesMoines,Detroit,11.55
96,Aurora,Baltimore,11.56
97,Detroit,Irving,11.56
98,ColoradoSprings,Pittsburgh,11.56
99,Buffalo,Lubbock,11.56
100,JerseyCity,Omaha,11.56
101,Detroit,Garland,11.57
102,KansasCity,Newark,11.57
103,Detroit,Plano,11.57
104,FortWayne,OklahomaCity,11.57
105,Buffalo,Irving,11.57
106,Arlington,Detroit,11.57
107,Albuquerque,Buffalo,11.58
108,ColoradoSprings,Toledo,11.58
109,Albuquerque,Detroit,11.58
110,Tulsa,Washington,11.58
111,OklahomaCity,Philadelphia,11.58
112,Buffalo,Plano,11.58
113,Buffalo,Garland,11.59
