City,AvgDuration,Lng,Lat
Albuquerque,22.00160678156301,-106.6474,35.1056
Anaheim,29.490519520651176,-117.7601,33.8555
Anchorage,68.77604162898213,-149.2843,61.1743
Arlington,19.047344873212054,-97.1247,32.7007
Atlanta,17.295235344856465,-84.4227,33.7629
Aurora,19.77716110608651,-104.6897,39.688
Austin,20.804208337520535,-97.7544,30.3039
Bakersfield,29.958710347368815,-119.0183,35.3212
Baltimore,17.398639969182344,-76.6105,39.3
BatonRouge,19.47565346028872,-91.1309,30.4422
Boise,27.289224684286285,-116.2317,43.6002
Boston,20.832135530767424,-71.0202,42.332
Buffalo,16.29196992764544,-78.8597,42.8925
Chandler,26.410357786487122,-111.8549,33.2829
Charlotte,17.588781906341072,-80.831,35.2078
Chesapeake,19.285931748902957,-76.3018,36.6794
Chicago,14.180764998492627,-87.6818,41.8376
ChulaVista,30.118286612735734,-117.0152,32.6277
Cincinnati,14.519889148494284,-84.5058,39.1402
Cleveland,14.839199025223596,-81.6794,41.4785
ColoradoSprings,20.228793119619482,-104.7607,38.8673
Columbus,14.589653259303928,-82.9848,39.9852
CorpusChristi,23.270406567179162,-97.1734,27.7543
Dallas,18.784185818845682,-96.7665,32.7933
Denver,19.81474888620909,-104.8811,39.7619
DesMoines,15.177011975345884,-93.6102,41.5726
Detroit,14.716435684855808,-83.1022,42.383
Durham,17.991668517401944,-78.9029,35.9811
ElPaso,23.620881217968062,-106.427,31.8484
FortWayne,14.178086984557668,-85.1439,41.0882
FortWorth,19.041807272300925,-97.3467,32.7815
Fremont,32.09740546176267,-121.9412,37.4945
Fresno,31.317492128094347,-119.7934,36.7836
Garland,18.77841764646766,-96.6303,32.9098
Gilbert,26.454155696244907,-111.7431,33.3103
Glendale,26.549871445080868,-112.1899,33.5331
Greensboro,17.504327622014525,-79.827,36.0951
Henderson,26.822420024788133,-115.0357,36.0097
Hialeah,25.40267700901084,-80.3029,25.8699
Honolulu,0.8200277777777778,-157.8476,21.3243
Houston,20.701168550899393,-95.3909,29.7866
Indianapolis,14.195492814792464,-86.1459,39.7767
Irvine,29.662943640505098,-117.7713,33.6784
Irving,18.922317706763128,-96.97,32.8577
Jacksonville,20.48922614142637,-81.6616,30.3369
JerseyCity,18.473299425518373,-74.0648,40.7114
KansasCity,15.64024435567616,-94.551,39.1251
Laredo,23.60962361404218,-99.4892,27.5604
LasVegas,26.795851488962573,-115.2601,36.2292
Lexington,14.978220019763485,-84.4583,38.0407
Lincoln,16.264927293739316,-96.6803,40.8105
LongBeach,29.811336322982626,-118.1553,33.8092
LosAngeles,29.986633261313717,-118.4108,34.0194
Louisville,14.834214392188391,-85.6474,38.1654
Lubbock,20.54478062506281,-101.8867,33.5656
Madison,15.251572865373666,-89.4299,43.0878
Memphis,16.228109821458485,-89.9774,35.1028
Mesa,26.344884952936063,-111.7174,33.4019
Miami,25.387119711586784,-80.2086,25.7752
Milwaukee,14.95622336113625,-87.9667,43.0633
Minneapolis,16.665664882926336,-93.2683,44.9633
Nashville,15.474384458848327,-86.785,36.1718
Newark,18.350392263759076,-74.1726,40.7242
NewOrleans,19.481478846347102,-89.9345,30.0534
NewYork,18.864421674538576,-73.9387,40.6635
Norfolk,19.06877603590928,-76.2446,36.923
NorthLasVegas,26.67923046260009,-115.0939,36.2857
Oakland,31.798110273674286,-122.2257,37.7698
OklahomaCity,17.489637172143496,-97.5137,35.4671
Omaha,16.010604754966018,-96.0451,41.2644
Orlando,22.39816611395841,-81.2736,28.4166
Philadelphia,18.00560632097272,-75.1333,40.0094
Phoenix,26.526315370314496,-112.0901,33.5722
Pittsburgh,15.554162755836973,-79.9766,40.4398
Plano,18.80187569925971,-96.7479,33.0508
Portland,32.426383537667895,-122.65,45.537
Raleigh,18.276847921481934,-78.6418,35.8306
Reno,29.61654719793654,-119.8499,39.5491
Richmond,17.96094689813421,-77.476,37.5314
Riverside,29.137337219039996,-117.3932,33.9381
Sacramento,30.858530901416966,-121.4686,38.5666
SaintPaul,16.558337394901685,-93.1041,44.9489
SanAntonio,21.607878136200668,-98.5251,29.4724
SanDiego,29.988972465078906,-117.135,32.8153
SanFrancisco,32.88563888888886,-123.0322,37.7272
SanJose,32.04841670853856,-121.8189,37.2967
SantaAna,29.693645069172344,-117.883,33.7363
Scottsdale,26.434475027635383,-111.8611,33.6843
Seattle,32.38290447358721,-122.3509,47.6205
StLouis,14.689868095333818,-90.2446,38.6357
Stockton,31.258969617793806,-121.3133,37.9763
StPetersburg,22.983941438046458,-82.6441,27.762
Tampa,22.662796720597573,-82.4797,27.9701
Toledo,14.285427226744364,-83.5819,41.6641
Tucson,26.208451428667132,-110.8706,32.1531
Tulsa,16.778419848926383,-95.9023,36.1279
VirginiaBeach,19.382973009412787,-76.0252,36.78
Washington,17.338264370415033,-77.0172,38.9041
Wichita,17.049068996415798,-97.3459,37.6907
WinstonSalem,17.314239180316903,-80.261,36.1027
