FIPS,Lng,Lat,Duration,Density
26125,-83.38421,42.660452,0.6278055555555555,28
6037,-118.261862,34.196398,35.47427777777778,66
6081,-122.371542,37.414664,37.60466666666667,29
34027,-74.547427,40.858581,9.265944444444445,5
5005,-92.330438,36.28071,12.819833333333333,2
36093,-74.043583,42.817542,8.480166666666666,2
12117,-81.13198,28.690079,18.18138888888889,2
25023,-70.741942,41.987196,11.775166666666665,4
34023,-74.407585,40.439593,9.903083333333333,6
36103,-72.692218,40.943554,11.293166666666668,15
40143,-95.941731,36.120121,14.408000000000001,10
1083,-86.9814,34.810239,9.986194444444445,1
34035,-74.61993,40.565522,9.610138888888889,9
18067,-86.114118,40.483537,4.158277777777777,3
39155,-80.767656,41.308936,3.7203333333333335,4
23005,-70.330375,43.808348,12.967472222222222,7
12086,-80.499045,25.610494,21.738166666666665,5
4015,-113.749689,35.717705,32.03236111111111,1
44007,-71.578242,41.870488,11.222944444444444,7
42049,-80.096386,42.117952,4.395972222222222,4
26161,-83.844634,42.252327,0.9215833333333333,20
25025,-71.020173,42.33196,11.338861111111111,21
26049,-83.706372,43.021077,1.1200555555555556,32
18089,-87.374337,41.472239,4.099583333333333,3
26159,-86.305697,42.283986,2.9656944444444444,12
44005,-71.284063,41.502732,11.809333333333333,2
12103,-82.739518,27.903122,18.505666666666666,2
17177,-89.665994,42.349726,6.548194444444444,1
26081,-85.547446,43.032497,2.417138888888889,26
12031,-81.648113,30.335245,16.060833333333335,2
34005,-74.663006,39.875786,9.97925,3
55087,-88.464988,44.418226,7.484361111111111,1
26163,-83.261953,42.284664,0.3656111111111111,48
50027,-72.591515,43.588143,10.943138888888889,1
17031,-87.645455,41.894294,4.604749999999999,17
42017,-75.10706,40.336887,9.458638888888888,4
12011,-80.476658,26.19352,21.121000000000002,16
17043,-88.086038,41.852058,4.887694444444445,4
6087,-122.007205,37.012488,37.70263888888889,21
51600,-77.299025,38.853183,8.463166666666668,5
42003,-79.98092,40.46892,4.711833333333333,11
48167,-94.894865,29.228706,21.545416666666668,1
39035,-81.724217,41.760392,3.071638888888889,4
51650,-76.297149,37.04803,11.230138888888888,2
Windsor CAN,-83.026772,42.317432,0.2920277777777778,62
25027,-71.940282,42.311693,10.765027777777778,8
39049,-83.008258,39.969447,3.423777777777778,13
33011,-71.723101,42.911643,11.549055555555555,13
18141,-86.288159,41.617699,3.5433055555555555,9
34039,-74.308696,40.659871,9.729416666666667,6
26139,-86.655342,42.942346,2.9158333333333335,5
39061,-84.544187,39.196927,4.246638888888889,4
36017,-75.604905,42.489732,7.8742222222222225,1
48231,-96.083807,33.123438,17.751277777777776,1
25017,-71.396507,42.479477,11.28,21
9003,-72.732916,41.806053,10.492944444444444,17
8069,-105.482131,40.663091,20.48247222222222,3
19103,-91.588812,41.668737,7.759722222222222,1
55043,-90.695368,42.870062,7.988611111111111,1
9013,-72.340977,41.858076,10.672583333333334,3
36067,-76.196117,43.00653,6.699833333333333,1
25013,-72.635648,42.136198,9.938416666666667,4
12099,-80.448673,26.645763,20.688333333333333,6
12085,-80.398211,27.079954,20.311027777777777,1
Pickering CAN,-79.086761,43.838413,4.354444444444445,3
36055,-77.664656,43.464475,5.514638888888889,9
26099,-82.910869,42.671467,0.6763055555555555,15
34007,-74.961251,39.802352,9.773583333333335,5
33005,-72.248217,42.925455,10.746333333333334,5
34041,-75.009542,40.853524,8.925277777777778,3
42131,-76.00878,41.525137,8.35663888888889,1
34031,-74.300308,41.033763,9.561472222222223,2
42133,-76.728446,39.921839,8.088777777777777,1
9009,-72.900204,41.349717,10.95938888888889,9
36089,-75.074311,44.488113,8.111500000000001,1
48201,-95.393037,29.857273,20.598388888888888,17
12009,-80.700384,28.298276,18.4455,4
18097,-86.135794,39.782976,4.7011666666666665,6
9007,-72.524227,41.434525,10.927888888888889,5
9005,-73.235428,41.791897,10.316527777777777,6
26115,-83.487106,41.916097,0.9534166666666667,5
36001,-73.974014,42.588271,8.897416666666667,4
6085,-121.690622,37.220777,37.50161111111111,14
55133,-88.306707,43.019308,6.022027777777778,20
36059,-73.589384,40.729687,10.43525,31
42091,-75.370201,40.209999,9.219472222222223,4
39095,-83.468867,41.682321,1.174361111111111,6
45045,-82.372077,34.892645,10.760472222222221,5
34021,-74.703724,40.282503,9.641777777777778,15
6067,-121.340441,38.450011,35.556305555555554,12
Longueuil CAN,-73.510712,45.536945,9.366666666666667,23
34033,-75.357356,39.573828,9.880277777777778,1
33001,-71.425366,43.519109,12.17238888888889,4
42101,-75.133346,40.009376,9.318888888888889,13
36047,-73.950777,40.635133,10.386111111111111,10
54045,-81.940853,37.830591,7.022138888888889,1
51179,-77.459043,38.418933,9.085694444444444,1
36051,-77.76978,42.727485,5.701361111111112,2
45019,-79.94248,32.800458,13.402222222222223,5
45073,-83.061522,34.748759,11.28875,1
51041,-77.585847,37.378434,10.499722222222223,2
53053,-122.144709,47.040716,36.123527777777774,16
28047,-89.083376,30.416536,15.976694444444444,3
10003,-75.644132,39.575915,9.536027777777777,3
36085,-74.137063,40.563855,10.098472222222222,4
36063,-78.792143,43.456731,4.572638888888889,2
51087,-77.300333,37.437521,10.226083333333333,4
36005,-73.852939,40.848711,10.063944444444443,12
51121,-80.387314,37.174885,8.421277777777778,1
48453,-97.69127,30.239513,21.66925,9
51760,-77.476009,37.531399,10.10275,5
37183,-78.650624,35.789846,11.068333333333333,11
1089,-86.55108,34.764238,10.340694444444445,5
18095,-85.722454,40.166203,4.126027777777778,1
11001,-77.017094,38.904149,8.60175,15
28149,-90.851791,32.357005,15.388972222222224,1
48029,-98.520147,29.448671,22.915055555555554,19
18157,-86.893943,40.38926,4.7901388888888885,4
