FIPS,Lng,Lat,Duration,Density
26125,-83.38421,42.660452,35.05825,28
6037,-118.261862,34.196398,1.378111111111111,66
6081,-122.371542,37.414664,6.902444444444444,29
34027,-74.547427,40.858581,42.42605555555555,5
5005,-92.330438,36.28071,26.40025,2
36093,-74.043583,42.817542,42.97358333333333,2
12117,-81.13198,28.690079,38.82169444444445,2
25023,-70.741942,41.987196,46.26858333333333,4
34023,-74.407585,40.439593,42.775555555555556,6
36103,-72.692218,40.943554,44.45327777777777,15
40143,-95.941731,36.120121,22.351277777777778,10
1083,-86.9814,34.810239,31.207194444444443,1
34035,-74.61993,40.565522,42.559444444444445,9
18067,-86.114118,40.483537,32.91983333333333,3
39155,-80.767656,41.308936,36.88044444444444,4
23005,-70.330375,43.808348,47.460888888888896,7
12086,-80.499045,25.610494,42.248111111111115,5
4015,-113.749689,35.717705,7.3396944444444445,1
44007,-71.578242,41.870488,45.71636111111111,7
42049,-80.096386,42.117952,37.55608333333333,4
26161,-83.844634,42.252327,34.364583333333336,20
25025,-71.020173,42.33196,45.83227777777778,21
26049,-83.706372,43.021077,34.84191666666666,32
18089,-87.374337,41.472239,31.344638888888888,3
26159,-86.305697,42.283986,32.502805555555554,12
44005,-71.284063,41.502732,45.99652777777778,2
12103,-82.739518,27.903122,39.01561111111111,2
17177,-89.665994,42.349726,30.132361111111113,1
26081,-85.547446,43.032497,33.59527777777778,26
12031,-81.648113,30.335245,37.02483333333333,2
34005,-74.663006,39.875786,42.69138888888889,3
55087,-88.464988,44.418226,32.336,1
26163,-83.261953,42.284664,34.79233333333333,48
50027,-72.591515,43.588143,45.43655555555556,1
17031,-87.645455,41.894294,31.289777777777775,17
42017,-75.10706,40.336887,42.21383333333333,4
12011,-80.476658,26.19352,41.630944444444445,16
17043,-88.086038,41.852058,30.757944444444448,4
6087,-122.007205,37.012488,6.275833333333333,21
51600,-77.299025,38.853183,41.03966666666666,5
42003,-79.98092,40.46892,37.61636111111111,11
48167,-94.894865,29.228706,24.689666666666668,1
39035,-81.724217,41.760392,36.23175,4
51650,-76.297149,37.04803,41.71513888888889,2
Windsor CAN,-83.026772,42.317432,35.12411111111111,62
25027,-71.940282,42.311693,45.25844444444444,8
39049,-83.008258,39.969447,34.63455555555555,13
33011,-71.723101,42.911643,46.04247222222222,13
18141,-86.288159,41.617699,32.21041666666667,9
34039,-74.308696,40.659871,42.88952777777777,6
26139,-86.655342,42.942346,33.32322222222222,5
39061,-84.544187,39.196927,33.60919444444445,4
36017,-75.604905,42.489732,42.16852777777778,1
48231,-96.083807,33.123438,22.91547222222222,1
25017,-71.396507,42.479477,45.77341666666666,21
9003,-72.732916,41.806053,44.62641666666667,17
8069,-105.482131,40.663091,18.09063888888889,3
19103,-91.588812,41.668737,27.531194444444445,1
55043,-90.695368,42.870062,29.477138888888888,1
9013,-72.340977,41.858076,44.853611111111114,3
36067,-76.196117,43.00653,41.193250000000006,1
25013,-72.635648,42.136198,44.43183333333334,4
12099,-80.448673,26.645763,41.198277777777776,6
12085,-80.398211,27.079954,40.820972222222224,1
Pickering CAN,-79.086761,43.838413,39.08975,3
36055,-77.664656,43.464475,40.15738888888889,9
26099,-82.910869,42.671467,35.50344444444444,15
34007,-74.961251,39.802352,42.48572222222222,5
33005,-72.248217,42.925455,45.23975,5
34041,-75.009542,40.853524,42.085388888888886,3
42131,-76.00878,41.525137,41.791694444444445,1
34031,-74.300308,41.033763,42.721583333333335,2
42133,-76.728446,39.921839,40.800916666666666,1
9009,-72.900204,41.349717,44.342305555555555,9
36089,-75.074311,44.488113,42.846805555555555,1
48201,-95.393037,29.857273,23.859055555555557,17
12009,-80.700384,28.298276,39.21361111111111,4
18097,-86.135794,39.782976,32.06325,6
9007,-72.524227,41.434525,44.74330555555555,5
9005,-73.235428,41.791897,44.40519444444445,6
26115,-83.487106,41.916097,34.93266666666667,5
36001,-73.974014,42.588271,43.39083333333333,4
6085,-121.690622,37.220777,5.986277777777778,14
55133,-88.306707,43.019308,31.329138888888888,20
36059,-73.589384,40.729687,43.59536111111111,31
42091,-75.370201,40.209999,41.94386111111111,4
39095,-83.468867,41.682321,34.629083333333334,6
45045,-82.372077,34.892645,36.07761111111111,5
34021,-74.703724,40.282503,42.35391666666667,15
6067,-121.340441,38.450011,6.531694444444444,12
Longueuil CAN,-73.510712,45.536945,44.10197222222222,23
34033,-75.357356,39.573828,42.498361111111116,1
33001,-71.425366,43.519109,46.66580555555555,4
42101,-75.133346,40.009376,42.03102777777778,13
36047,-73.950777,40.635133,43.54622222222222,10
54045,-81.940853,37.830591,36.503027777777774,1
51179,-77.459043,38.418933,40.89519444444445,1
36051,-77.76978,42.727485,40.05766666666667,2
45019,-79.94248,32.800458,38.495805555555556,5
45073,-83.061522,34.748759,35.667388888888894,1
51041,-77.585847,37.378434,40.58486111111111,2
53053,-122.144709,47.040716,18.735333333333333,16
28047,-89.083376,30.416536,29.93525,3
10003,-75.644132,39.575915,42.166916666666665,3
36085,-74.137063,40.563855,43.02283333333334,4
36063,-78.792143,43.456731,39.307944444444445,2
51087,-77.300333,37.437521,40.70655555555556,4
36005,-73.852939,40.848711,43.22405555555556,12
51121,-80.387314,37.174885,37.34491666666667,1
48453,-97.69127,30.239513,21.36925,9
51760,-77.476009,37.531399,40.48572222222222,5
37183,-78.650624,35.789846,39.281416666666665,11
1089,-86.55108,34.764238,31.36283333333333,5
18095,-85.722454,40.166203,32.841722222222224,1
11001,-77.017094,38.904149,41.232638888888886,15
28149,-90.851791,32.357005,27.677666666666667,1
48029,-98.520147,29.448671,20.59722222222222,19
18157,-86.893943,40.38926,32.32863888888889,4
42045,-75.398786,39.91667,41.97488888888889,10
53035,-122.649636,47.639687,18.760444444444445,22
53033,-121.832375,47.493554,18.775055555555554,14
4013,-112.495534,33.346541,5.777,31
19013,-92.306059,42.472888,27.775805555555554,4
1095,-86.321668,34.309564,32.009027777777774,1
47103,-86.593388,35.142532,31.625583333333335,1
34013,-74.246136,40.787217,42.68205555555556,8
2020,-149.274354,61.177549,65.8985,1
36069,-77.303277,42.856695,40.328250000000004,11
6029,-118.729506,35.346629,3.241166666666667,3
37135,-79.119355,36.062499,38.766444444444446,3
28099,-89.119274,32.752518,29.732138888888887,1
East York CAN,-79.341667,43.6912,38.92713888888889,16
51610,-77.174639,38.883787,41.01125,5
51685,-77.448681,38.768991,40.90483333333333,5
51510,-77.082026,38.818343,41.18044444444445,4
51540,-78.485381,38.037658,39.44111111111111,1
48157,-95.771015,29.526602,23.526055555555555,6
36109,-76.473712,42.453281,41.24283333333334,2
36081,-73.837929,40.658557,43.58488888888889,13
48027,-97.481921,31.04211,21.67875,5
17161,-90.572203,41.468404,28.465416666666666,2
8073,-103.507555,38.99374,17.869055555555555,1
24021,-77.397627,39.470427,40.31363888888889,3
34017,-74.078627,40.731384,42.873444444444445,4
39153,-81.534936,41.121851,36.357277777777774,2
4021,-111.367257,32.91891,7.372333333333334,14
6095,-121.939594,38.267226,6.944000000000001,5
26145,-84.05541,43.328267,35.34880555555556,14
Vaughan CAN,-79.508278,43.837208,38.715111111111106,11
41017,-121.225575,43.915118,13.905833333333334,4
Mississauga CAN,-79.640579,43.59531,38.43369444444444,17
26069,-82.849447,44.329482,36.74794444444444,1
6073,-116.776117,33.023604,2.1569166666666666,46
13067,-84.574166,33.93994,33.85794444444445,10
42077,-75.590627,40.614241,41.6075,1
24037,-76.534271,38.222666,42.184666666666665,1
6013,-121.951543,37.919479,6.567972222222222,14
41003,-123.426317,44.490623,15.045,5
26061,-88.652066,46.998305,35.323027777777774,5
18057,-86.020586,40.04987,32.495916666666666,4
38035,-97.450851,47.926003,28.486027777777778,1
38095,-99.248158,48.682183,28.077083333333334,1
50017,-72.369687,44.003392,46.023388888888896,2
24027,-76.924406,39.252264,40.81725,7
37063,-78.877919,36.036589,38.99886111111111,7
29510,-90.244582,38.635699,28.279916666666665,12
20079,-97.436707,38.050144,22.263972222222222,1
20209,-94.763087,39.115384,24.72577777777778,19
20059,-95.278962,38.558019,24.31497222222222,1
12095,-81.323295,28.514435,38.516527777777775,8
19113,-91.597674,42.077951,28.030055555555556,2
6079,-120.44754,35.385227,4.197111111111111,3
51083,-78.939614,36.766461,39.55733333333333,1
32003,-115.013819,36.214236,4.9882222222222214,13
39017,-84.565397,39.439915,33.81036111111111,2
45067,-79.362131,34.080701,38.706805555555555,2
33015,-71.099437,42.98936,46.53172222222223,8
Whitby CAN,-78.942932,43.897545,39.17144444444445,4
51085,-77.490992,37.760166,40.40991666666667,4
55131,-88.232917,43.391156,31.789305555555554,6
29183,-90.674915,38.781102,28.20013888888889,5
9001,-73.366757,41.228103,43.93811111111111,7
13245,-82.074998,33.361487,36.00530555555556,6
20121,-94.832963,38.566772,24.766694444444447,1
24003,-76.560511,38.993374,41.30027777777778,5
St. Catharines CAN,-79.246864,43.159374,38.597277777777784,3
51115,-76.268808,37.425348,41.805388888888885,1
42069,-75.609587,41.44025,41.626916666666666,1
25021,-71.179875,42.169703,45.794472222222225,7
8013,-105.398382,40.094826,16.865555555555556,3
35013,-106.832182,32.350912,11.96111111111111,1
29189,-90.445954,38.640702,28.12936111111111,9
17163,-89.928546,38.470198,28.570583333333335,1
37089,-82.479634,35.336424,35.86094444444444,1
8014,-105.052125,39.953383,16.390722222222223,5
Markham CAN,-79.337021,43.856098,38.810138888888886,8
33013,-71.68013,43.299485,46.238166666666665,8
39103,-81.899566,41.116051,36.16561111111111,4
48071,-94.668875,29.703933,24.654944444444446,1
13135,-84.022938,33.959101,34.23013888888889,6
51690,-79.863648,36.683527,38.320361111111104,2
45051,-78.976675,33.909269,39.23622222222222,10
25009,-70.865107,42.642711,46.28513888888889,6
45063,-81.272853,33.892554,36.660555555555554,1
48397,-96.407501,32.889216,22.599444444444444,2
56025,-106.764877,42.973641,17.405555555555555,1
Sudbury CAN,-80.995415,46.493919,40.733,4
55025,-89.417852,43.067468,30.37638888888889,1
33017,-71.035927,43.293177,46.808,4
39041,-83.007462,40.278941,35.03941666666667,2
6039,-119.749852,37.210039,4.695916666666666,1
8045,-107.90978,39.599352,15.190138888888889,1
8031,-104.880625,39.761849,16.239638888888887,11
41043,-122.543756,44.494824,15.466611111111112,1
12057,-82.349568,27.90659,38.78447222222223,4
42029,-75.749732,39.973965,41.66116666666667,4
45079,-80.896566,34.029783,37.18255555555556,5
51117,-78.368959,36.687256,39.979416666666665,1
13121,-84.468182,33.790034,33.68383333333333,10
28109,-89.586832,30.773791,29.877444444444446,1
6019,-119.655019,36.761006,4.124638888888889,11
41067,-123.097615,45.553542,16.19611111111111,8
41051,-122.417173,45.547693,16.148194444444446,16
20099,-95.297473,37.191468,24.0475,1
47093,-83.937721,35.992727,33.809916666666666,8
48339,-95.503523,30.302364,24.22813888888889,3
High River CAN,-113.873505,50.584435,23.27766666666667,14
18069,-85.478598,40.826394,33.56161111111111,1
26065,-84.373811,42.603534,34.290277777777774,6
37081,-79.788665,36.079065,38.194472222222224,3
45091,-81.183189,34.97019,37.25852777777778,1
45055,-80.590885,34.338356,37.569472222222224,1
18039,-85.863986,41.600693,32.543305555555555,2
12069,-81.712282,28.764113,38.26463888888889,3
40109,-97.409401,35.554611,20.90511111111111,13
16019,-111.621878,43.395171,14.501972222222221,1
16005,-112.228986,42.692939,12.790055555555554,3
8001,-104.331872,39.874325,16.87538888888889,1
8047,-105.528947,39.861082,16.12863888888889,1
39093,-82.179722,41.438805,35.68058333333334,3
53063,-117.404392,47.620379,20.119611111111112,11
26033,-84.52063,46.321819,37.15766666666667,8
51590,-79.408071,36.583334,38.811527777777776,1
36061,-73.970174,40.776557,43.18369444444444,17
51620,-76.941396,36.684014,41.21238888888889,1
17201,-89.161205,42.337396,30.37236111111111,3
24023,-79.269416,39.529871,38.89141666666667,1
48439,-97.291291,32.77204,21.67216666666667,9
6077,-121.272237,37.935034,5.906305555555556,1
36021,-73.626805,42.247729,43.79625,2
34003,-74.074522,40.95909,42.875166666666665,5
26077,-85.532854,42.246266,32.89469444444444,13
6113,-121.903178,38.679268,7.122583333333333,3
26087,-83.224325,43.088633,35.276694444444445,9
20091,-94.82233,38.883907,24.804166666666667,6
26055,-85.553848,44.718688,35.53058333333333,7
55009,-87.995926,44.473961,32.63875,1
24005,-76.616569,39.443167,41.12913888888889,3
18035,-85.398856,40.227165,33.05475,1
29095,-94.342507,39.007233,25.198555555555558,11
4023,-110.84519,31.525904,9.027916666666666,5
51061,-77.821585,38.744103,40.74888888888889,2
17179,-89.51626,40.508074,30.107416666666666,3
29047,-94.421502,39.315551,25.23736111111111,7
9011,-72.103452,41.47863,45.08338888888889,3
18081,-86.0946,39.495986,32.218,3
12021,-81.400884,26.118713,41.176472222222216,1
48113,-96.778424,32.766987,22.1355,19
13117,-84.127336,34.225143,34.370555555555555,8
40119,-96.975255,36.079225,21.764833333333332,1
17143,-89.767358,40.785999,29.630861111111113,3
45041,-79.710233,34.028535,38.39113888888889,1
39055,-81.173505,41.499322,36.55280555555556,2
34015,-75.143708,39.721019,42.48713888888889,2
51710,-76.244641,36.923015,41.85738888888889,1
8059,-105.245601,39.58646,16.072222222222223,2
27053,-93.475185,45.006064,29.321777777777775,21
48303,-101.819944,33.611469,17.6085,6
22017,-93.882423,32.577195,25.067916666666665,1
45013,-80.68932,32.358147,38.10180555555556,1
51683,-77.484727,38.747561,40.82277777777778,2
16001,-116.244456,43.447861,14.535527777777778,4
51131,-75.923868,37.302629,42.62755555555556,1
22103,-89.951962,30.410022,29.095055555555554,5
26123,-85.791423,43.562709,34.25944444444445,4
6025,-115.355395,33.040816,3.732388888888889,5
34037,-74.691855,41.137424,42.49944444444444,2
Barrie CAN,-79.690331,44.389355,39.30236111111111,7
17089,-88.42804,41.939594,30.456972222222223,4
27123,-93.100141,45.01525,29.654,38
36007,-75.830291,42.161977,41.59447222222222,1
26015,-85.31455,42.582811,33.64366666666667,4
Hamilton CAN,-79.843826,43.255203,38.13638888888889,6
22105,-90.406633,30.621581,28.887749999999997,1
51075,-77.914273,37.724166,39.99866666666667,1
16021,-116.524619,48.773065,22.78372222222222,1
55035,-91.286414,44.726355,30.936055555555555,1
12127,-81.161813,29.057617,38.61797222222223,1
29037,-94.354242,38.647159,25.398999999999997,2
40147,-95.906155,36.70438,23.05027777777778,1
29147,-94.883281,40.360484,25.077694444444443,1
27139,-93.534553,44.651932,28.900916666666667,6
27163,-92.890117,45.037929,29.75016666666667,8
27003,-93.242723,45.27411,29.743000000000002,5
22089,-90.359314,29.913833,29.202111111111112,3
28035,-89.259447,31.18858,30.089194444444445,1
55039,-88.493284,43.754722,31.55977777777778,1
24013,-77.015512,39.563189,40.91525,1
Burlington CAN,-79.817734,43.328674,38.13775,5
6001,-121.913304,37.648081,6.162472222222223,6
27037,-93.062481,44.670893,29.528666666666666,9
