FIPS,Lng,Lat,Duration,Density
26125,-83.38421,42.660452,34.638,28
6037,-118.261862,34.196398,1.7285277777777777,66
6081,-122.371542,37.414664,7.288555555555555,29
34027,-74.547427,40.858581,42.005805555555554,5
5005,-92.330438,36.28071,25.97288888888889,2
36093,-74.043583,42.817542,42.553333333333335,2
12117,-81.13198,28.690079,38.394333333333336,2
25023,-70.741942,41.987196,45.848333333333336,4
34023,-74.407585,40.439593,42.348194444444445,6
36103,-72.692218,40.943554,44.033027777777775,15
40143,-95.941731,36.120121,21.923916666666667,10
1083,-86.9814,34.810239,30.779833333333332,1
34035,-74.61993,40.565522,42.132083333333334,9
18067,-86.114118,40.483537,32.49247222222222,3
39155,-80.767656,41.308936,36.46019444444445,4
23005,-70.330375,43.808348,47.040638888888886,7
12086,-80.499045,25.610494,41.820750000000004,5
4015,-113.749689,35.717705,6.919444444444444,1
44007,-71.578242,41.870488,45.29611111111111,7
42049,-80.096386,42.117952,37.13583333333333,4
26161,-83.844634,42.252327,33.94433333333333,20
25025,-71.020173,42.33196,45.41202777777777,21
26049,-83.706372,43.021077,34.42166666666667,32
18089,-87.374337,41.472239,30.92438888888889,3
26159,-86.305697,42.283986,32.08255555555556,12
44005,-71.284063,41.502732,45.57627777777778,2
12103,-82.739518,27.903122,38.58825,2
17177,-89.665994,42.349726,29.712111111111113,1
26081,-85.547446,43.032497,33.17502777777778,26
12031,-81.648113,30.335245,36.59747222222222,2
34005,-74.663006,39.875786,42.26402777777778,3
55087,-88.464988,44.418226,31.91575,1
26163,-83.261953,42.284664,34.372083333333336,48
50027,-72.591515,43.588143,45.01630555555556,1
17031,-87.645455,41.894294,30.86952777777778,17
42017,-75.10706,40.336887,41.786472222222216,4
12011,-80.476658,26.19352,41.203583333333334,16
17043,-88.086038,41.852058,30.337694444444445,4
6087,-122.007205,37.012488,6.661944444444444,21
51600,-77.299025,38.853183,40.61230555555555,5
42003,-79.98092,40.46892,37.189,11
48167,-94.894865,29.228706,24.262305555555557,1
39035,-81.724217,41.760392,35.811499999999995,4
51650,-76.297149,37.04803,41.28777777777778,2
Windsor CAN,-83.026772,42.317432,34.70386111111111,62
25027,-71.940282,42.311693,44.83819444444445,8
39049,-83.008258,39.969447,34.20719444444444,13
33011,-71.723101,42.911643,45.62222222222222,13
18141,-86.288159,41.617699,31.790166666666668,9
34039,-74.308696,40.659871,42.469277777777776,6
26139,-86.655342,42.942346,32.902972222222225,5
39061,-84.544187,39.196927,33.18183333333334,4
36017,-75.604905,42.489732,41.74827777777777,1
48231,-96.083807,33.123438,22.48811111111111,1
25017,-71.396507,42.479477,45.35316666666667,21
9003,-72.732916,41.806053,44.20616666666667,17
8069,-105.482131,40.663091,17.67038888888889,3
19103,-91.588812,41.668737,27.110944444444442,1
55043,-90.695368,42.870062,29.05688888888889,1
9013,-72.340977,41.858076,44.43336111111111,3
36067,-76.196117,43.00653,40.772999999999996,1
25013,-72.635648,42.136198,44.011583333333334,4
12099,-80.448673,26.645763,40.770916666666665,6
12085,-80.398211,27.079954,40.39361111111111,1
Pickering CAN,-79.086761,43.838413,38.669500000000006,3
36055,-77.664656,43.464475,39.73713888888889,9
26099,-82.910869,42.671467,35.083194444444445,15
34007,-74.961251,39.802352,42.05836111111111,5
33005,-72.248217,42.925455,44.819500000000005,5
34041,-75.009542,40.853524,41.66513888888889,3
42131,-76.00878,41.525137,41.37144444444445,1
34031,-74.300308,41.033763,42.30133333333333,2
42133,-76.728446,39.921839,40.373555555555555,1
