FIPS,Lng,Lat,Duration,Density
26125,-83.38421,42.660452,34.880944444444445,28
6037,-118.261862,34.196398,1.6995833333333332,66
6081,-122.371542,37.414664,7.259611111111111,29
34027,-74.547427,40.858581,42.24875,5
5005,-92.330438,36.28071,26.21702777777778,2
36093,-74.043583,42.817542,42.79627777777778,2
12117,-81.13198,28.690079,38.63847222222222,2
25023,-70.741942,41.987196,46.091277777777776,4
34023,-74.407585,40.439593,42.59233333333333,6
36103,-72.692218,40.943554,44.27597222222222,15
40143,-95.941731,36.120121,22.168055555555554,10
1083,-86.9814,34.810239,31.023972222222223,1
34035,-74.61993,40.565522,42.37622222222222,9
18067,-86.114118,40.483537,32.73661111111111,3
39155,-80.767656,41.308936,36.70313888888889,4
23005,-70.330375,43.808348,47.28358333333333,7
12086,-80.499045,25.610494,42.06488888888889,5
4015,-113.749689,35.717705,7.162388888888889,1
44007,-71.578242,41.870488,45.53905555555556,7
42049,-80.096386,42.117952,37.37877777777778,4
26161,-83.844634,42.252327,34.18727777777778,20
25025,-71.020173,42.33196,45.65497222222222,21
26049,-83.706372,43.021077,34.664611111111114,32
18089,-87.374337,41.472239,31.167333333333332,3
26159,-86.305697,42.283986,32.3255,12
44005,-71.284063,41.502732,45.81922222222222,2
12103,-82.739518,27.903122,38.83238888888889,2
17177,-89.665994,42.349726,29.955055555555553,1
26081,-85.547446,43.032497,33.41797222222222,26
12031,-81.648113,30.335245,36.841611111111106,2
34005,-74.663006,39.875786,42.50816666666667,3
55087,-88.464988,44.418226,32.15869444444444,1
26163,-83.261953,42.284664,34.615027777777776,48
50027,-72.591515,43.588143,45.259249999999994,1
17031,-87.645455,41.894294,31.11247222222222,17
42017,-75.10706,40.336887,42.030611111111114,4
12011,-80.476658,26.19352,41.44772222222222,16
17043,-88.086038,41.852058,30.58063888888889,4
6087,-122.007205,37.012488,6.633,21
51600,-77.299025,38.853183,40.85644444444445,5
42003,-79.98092,40.46892,37.433138888888884,11
48167,-94.894865,29.228706,24.506444444444444,1
39035,-81.724217,41.760392,36.05444444444444,4
51650,-76.297149,37.04803,41.53191666666667,2
Windsor CAN,-83.026772,42.317432,34.94680555555556,62
25027,-71.940282,42.311693,45.08113888888889,8
39049,-83.008258,39.969447,34.45133333333333,13
33011,-71.723101,42.911643,45.86516666666667,13
18141,-86.288159,41.617699,32.03311111111111,9
34039,-74.308696,40.659871,42.71222222222222,6
26139,-86.655342,42.942346,33.145916666666665,5
39061,-84.544187,39.196927,33.42597222222222,4
36017,-75.604905,42.489732,41.99122222222222,1
48231,-96.083807,33.123438,22.73225,1
25017,-71.396507,42.479477,45.596111111111114,21
9003,-72.732916,41.806053,44.44911111111111,17
8069,-105.482131,40.663091,17.913333333333334,3
19103,-91.588812,41.668737,27.35388888888889,1
55043,-90.695368,42.870062,29.299833333333332,1
9013,-72.340977,41.858076,44.67630555555556,3
36067,-76.196117,43.00653,41.01594444444444,1
25013,-72.635648,42.136198,44.254527777777774,4
12099,-80.448673,26.645763,41.015055555555556,6
12085,-80.398211,27.079954,40.63775,1
Pickering CAN,-79.086761,43.838413,38.91244444444444,3
36055,-77.664656,43.464475,39.98008333333333,9
26099,-82.910869,42.671467,35.32613888888889,15
34007,-74.961251,39.802352,42.3025,5
33005,-72.248217,42.925455,45.06244444444444,5
34041,-75.009542,40.853524,41.90808333333334,3
42131,-76.00878,41.525137,41.61438888888888,1
34031,-74.300308,41.033763,42.54427777777778,2
42133,-76.728446,39.921839,40.617694444444446,1
9009,-72.900204,41.349717,44.165,9
36089,-75.074311,44.488113,42.669500000000006,1
48201,-95.393037,29.857273,23.675833333333333,17
12009,-80.700384,28.298276,39.030388888888886,4
18097,-86.135794,39.782976,31.88002777777778,6
9007,-72.524227,41.434525,44.566,5
9005,-73.235428,41.791897,44.227888888888884,6
26115,-83.487106,41.916097,34.755361111111114,5
36001,-73.974014,42.588271,43.213527777777784,4
6085,-121.690622,37.220777,6.343444444444445,14
55133,-88.306707,43.019308,31.151833333333336,20
36059,-73.589384,40.729687,43.418055555555554,31
42091,-75.370201,40.209999,41.760638888888884,4
39095,-83.468867,41.682321,34.45177777777778,6
45045,-82.372077,34.892645,35.89438888888889,5
34021,-74.703724,40.282503,42.17069444444444,15
6067,-121.340441,38.450011,6.888861111111112,12
Longueuil CAN,-73.510712,45.536945,43.92466666666667,23
34033,-75.357356,39.573828,42.31513888888889,1
33001,-71.425366,43.519109,46.4885,4
42101,-75.133346,40.009376,41.84780555555556,13
36047,-73.950777,40.635133,43.36891666666667,10
54045,-81.940853,37.830591,36.319805555555554,1
51179,-77.459043,38.418933,40.71197222222222,1
36051,-77.76978,42.727485,39.88036111111111,2
45019,-79.94248,32.800458,38.31258333333333,5
45073,-83.061522,34.748759,35.48416666666667,1
51041,-77.585847,37.378434,40.40163888888889,2
53053,-122.144709,47.040716,19.0925,16
28047,-89.083376,30.416536,29.75202777777778,3
10003,-75.644132,39.575915,41.98369444444444,3
36085,-74.137063,40.563855,42.83961111111111,4
36063,-78.792143,43.456731,39.13063888888889,2
51087,-77.300333,37.437521,40.52333333333333,4
36005,-73.852939,40.848711,43.046749999999996,12
51121,-80.387314,37.174885,37.16169444444444,1
48453,-97.69127,30.239513,21.186027777777777,9
51760,-77.476009,37.531399,40.3025,5
37183,-78.650624,35.789846,39.098194444444445,11
1089,-86.55108,34.764238,31.179611111111114,5
18095,-85.722454,40.166203,32.658500000000004,1
11001,-77.017094,38.904149,41.049416666666666,15
28149,-90.851791,32.357005,27.494444444444444,1
48029,-98.520147,29.448671,20.413999999999998,19
18157,-86.893943,40.38926,32.15133333333333,4
42045,-75.398786,39.91667,41.791666666666664,10
53035,-122.649636,47.639687,19.11761111111111,22
53033,-121.832375,47.493554,19.13222222222222,14
4013,-112.495534,33.346541,5.5937777777777775,31
19013,-92.306059,42.472888,27.5985,4
1095,-86.321668,34.309564,31.825805555555554,1
47103,-86.593388,35.142532,31.44236111111111,1
34013,-74.246136,40.787217,42.50475,8
2020,-149.274354,61.177549,65.72119444444444,1
36069,-77.303277,42.856695,40.15094444444444,11
6029,-118.729506,35.346629,3.598333333333333,3
37135,-79.119355,36.062499,38.583222222222226,3
28099,-89.119274,32.752518,29.548916666666667,1
East York CAN,-79.341667,43.6912,38.749833333333335,16
51610,-77.174639,38.883787,40.82802777777778,5
51685,-77.448681,38.768991,40.72161111111111,5
51510,-77.082026,38.818343,40.99722222222222,4
51540,-78.485381,38.037658,39.257888888888886,1
48157,-95.771015,29.526602,23.34283333333333,6
36109,-76.473712,42.453281,41.065527777777774,2
36081,-73.837929,40.658557,43.40758333333333,13
48027,-97.481921,31.04211,21.495527777777777,5
17161,-90.572203,41.468404,28.28811111111111,2
8073,-103.507555,38.99374,17.691750000000003,1
24021,-77.397627,39.470427,40.13041666666667,3
34017,-74.078627,40.731384,42.69613888888889,4
39153,-81.534936,41.121851,36.17997222222222,2
4021,-111.367257,32.91891,7.189111111111111,14
6095,-121.939594,38.267226,7.301166666666667,5
26145,-84.05541,43.328267,35.1715,14
Vaughan CAN,-79.508278,43.837208,38.53780555555556,11
41017,-121.225575,43.915118,14.263000000000002,4
Mississauga CAN,-79.640579,43.59531,38.256388888888885,17
26069,-82.849447,44.329482,36.57063888888889,1
6073,-116.776117,33.023604,1.9816388888888887,46
13067,-84.574166,33.93994,33.67472222222222,10
42077,-75.590627,40.614241,41.424277777777775,1
24037,-76.534271,38.222666,42.001444444444445,1
