FIPS,Lng,Lat,Duration,Density
26125,-83.38421,42.660452,4.530861111111111,28
6037,-118.261862,34.196398,34.18519444444444,66
6081,-122.371542,37.414664,37.26463888888889,29
34027,-74.547427,40.858581,9.922055555555556,5
5005,-92.330438,36.28071,9.619,2
36093,-74.043583,42.817542,10.760416666666666,2
12117,-81.13198,28.690079,14.232083333333334,2
25023,-70.741942,41.987196,14.055416666666666,4
34023,-74.407585,40.439593,9.79063888888889,6
36103,-72.692218,40.943554,11.695333333333332,15
40143,-95.941731,36.120121,11.441999999999998,10
1083,-86.9814,34.810239,5.906527777777778,1
34035,-74.61993,40.565522,9.574527777777778,9
18067,-86.114118,40.483537,2.5999166666666667,3
39155,-80.767656,41.308936,4.542944444444444,4
23005,-70.330375,43.808348,15.247722222222222,7
12086,-80.499045,25.610494,17.6585,5
4015,-113.749689,35.717705,29.06636111111111,1
44007,-71.578242,41.870488,13.05175,7
42049,-80.096386,42.117952,5.3429166666666665,4
26161,-83.844634,42.252327,4.031666666666666,20
25025,-71.020173,42.33196,13.619111111111112,21
26049,-83.706372,43.021077,4.7316111111111105,32
18089,-87.374337,41.472239,4.066916666666667,3
26159,-86.305697,42.283986,4.877416666666667,12
44005,-71.284063,41.502732,13.277388888888888,2
12103,-82.739518,27.903122,14.426,2
17177,-89.665994,42.349726,6.730416666666667,1
26081,-85.547446,43.032497,5.8471111111111105,26
12031,-81.648113,30.335245,12.39113888888889,2
34005,-74.663006,39.875786,9.706472222222223,3
55087,-88.464988,44.418226,8.048111111111112,1
26163,-83.261953,42.284664,4.013916666666667,48
50027,-72.591515,43.588143,13.223388888888888,1
17031,-87.645455,41.894294,4.829111111111111,17
42017,-75.10706,40.336887,9.228916666666667,4
12011,-80.476658,26.19352,17.041333333333334,16
17043,-88.086038,41.852058,5.069916666666667,4
6087,-122.007205,37.012488,37.36261111111111,21
51600,-77.299025,38.853183,8.10913888888889,5
42003,-79.98092,40.46892,4.631444444444445,11
48167,-94.894865,29.228706,17.602055555555555,1
39035,-81.724217,41.760392,4.126111111111111,4
51650,-76.297149,37.04803,9.621166666666666,2
Windsor CAN,-83.026772,42.317432,4.21825,62
25027,-71.940282,42.311693,13.036972222222222,8
39049,-83.008258,39.969447,1.7351666666666667,13
33011,-71.723101,42.911643,13.829305555555555,13
18141,-86.288159,41.617699,3.9409444444444444,9
34039,-74.308696,40.659871,9.88561111111111,6
26139,-86.655342,42.942346,5.6978333333333335,5
39061,-84.544187,39.196927,0.22902777777777777,4
36017,-75.604905,42.489732,9.955361111111111,1
48231,-96.083807,33.123438,13.807916666666667,1
25017,-71.396507,42.479477,13.56025,21
9003,-72.732916,41.806053,12.122416666666666,17
8069,-105.482131,40.663091,19.80913888888889,3
19103,-91.588812,41.668737,7.570611111111111,1
55043,-90.695368,42.870062,8.20338888888889,1
9013,-72.340977,41.858076,12.34961111111111,3
36067,-76.196117,43.00653,8.980083333333333,1
25013,-72.635648,42.136198,12.218666666666666,4
12099,-80.448673,26.645763,16.608666666666664,6
12085,-80.398211,27.079954,16.231361111111113,1
Pickering CAN,-79.086761,43.838413,8.253388888888889,3
36055,-77.664656,43.464475,7.944222222222223,9
26099,-82.910869,42.671467,4.663888888888889,15
34007,-74.961251,39.802352,9.500805555555557,5
33005,-72.248217,42.925455,13.026583333333333,5
34041,-75.009542,40.853524,9.328222222222221,3
42131,-76.00878,41.525137,9.287694444444444,1
34031,-74.300308,41.033763,10.002444444444444,2
42133,-76.728446,39.921839,7.816,1
9009,-72.900204,41.349717,11.615472222222222,9
36089,-75.074311,44.488113,11.16938888888889,1
48201,-95.393037,29.857273,16.65502777777778,17
12009,-80.700384,28.298276,14.624,4
18097,-86.135794,39.782976,1.861611111111111,6
9007,-72.524227,41.434525,12.2285,5
9005,-73.235428,41.791897,11.901194444444446,6
26115,-83.487106,41.916097,3.5993055555555555,5
36001,-73.974014,42.588271,11.177666666666667,4
6085,-121.690622,37.220777,37.16158333333334,14
55133,-88.306707,43.019308,6.5833611111111106,20
36059,-73.589384,40.729687,10.837416666666666,31
42091,-75.370201,40.209999,8.958944444444445,4
39095,-83.468867,41.682321,3.2957222222222224,6
45045,-82.372077,34.892645,6.680805555555556,5
34021,-74.703724,40.282503,9.369,15
6067,-121.340441,38.450011,35.216277777777776,12
Longueuil CAN,-73.510712,45.536945,13.23525,23
34033,-75.357356,39.573828,9.513444444444445,1
33001,-71.425366,43.519109,14.452638888888888,4
42101,-75.133346,40.009376,9.046111111111111,13
36047,-73.950777,40.635133,10.531166666666666,10
54045,-81.940853,37.830591,4.126055555555555,1
51179,-77.459043,38.418933,8.731666666666667,1
36051,-77.76978,42.727485,7.8445,2
45019,-79.94248,32.800458,9.732527777777777,5
45073,-83.061522,34.748759,7.209083333333334,1
51041,-77.585847,37.378434,8.701805555555556,2
53053,-122.144709,47.040716,36.211194444444445,16
28047,-89.083376,30.416536,11.897027777777778,3
10003,-75.644132,39.575915,9.181999999999999,3
36085,-74.137063,40.563855,10.037916666666666,4
36063,-78.792143,43.456731,7.503666666666667,2
51087,-77.300333,37.437521,8.612583333333333,4
36005,-73.852939,40.848711,10.466111111111111,12
51121,-80.387314,37.174885,5.775027777777777,1
48453,-97.69127,30.239513,17.72588888888889,9
51760,-77.476009,37.531399,8.39175,5
37183,-78.650624,35.789846,8.422083333333333,11
1089,-86.55108,34.764238,6.261027777777778,5
18095,-85.722454,40.166203,2.408861111111111,1
11001,-77.017094,38.904149,8.247722222222222,15
28149,-90.851791,32.357005,11.309305555555556,1
48029,-98.520147,29.448671,18.971694444444445,19
18157,-86.893943,40.38926,2.89525,4
42045,-75.398786,39.91667,8.989972222222223,10
53035,-122.649636,47.639687,36.40094444444444,22
53033,-121.832375,47.493554,35.0465,14
4013,-112.495534,33.346541,28.433722222222222,31
19013,-92.306059,42.472888,8.59361111111111,4
1095,-86.321668,34.309564,7.010722222222221,1
47103,-86.593388,35.142532,5.711666666666667,1
34013,-74.246136,40.787217,9.960694444444444,8
2020,-149.274354,61.177549,69.42222222222222,1
36069,-77.303277,42.856695,8.115083333333333,11
6029,-118.729506,35.346629,34.315444444444445,3
37135,-79.119355,36.062499,7.907111111111111,3
28099,-89.119274,32.752518,10.089111111111112,1
East York CAN,-79.341667,43.6912,8.090777777777777,16
51610,-77.174639,38.883787,8.026333333333334,5
51685,-77.448681,38.768991,8.221027777777778,5
51510,-77.082026,38.818343,8.195527777777778,4
51540,-78.485381,38.037658,7.347138888888889,1
48157,-95.771015,29.526602,17.25252777777778,6
36109,-76.473712,42.453281,9.029666666666666,2
36081,-73.837929,40.658557,10.568222222222222,13
48027,-97.481921,31.04211,16.803722222222223,5
17161,-90.572203,41.468404,6.583083333333333,2
8073,-103.507555,38.99374,16.899166666666666,1
24021,-77.397627,39.470427,7.328722222222223,3
34017,-74.078627,40.731384,9.98325,4
39153,-81.534936,41.121851,3.7904166666666668,2
4021,-111.367257,32.91891,28.500416666666666,14
6095,-121.939594,38.267226,35.760777777777776,5
26145,-84.05541,43.328267,5.4021944444444445,14
Vaughan CAN,-79.508278,43.837208,7.87875,11
41017,-121.225575,43.915118,34.76952777777778,4
Mississauga CAN,-79.640579,43.59531,7.597333333333334,17
26069,-82.849447,44.329482,6.637638888888889,1
6073,-116.776117,33.023604,33.40497222222222,46
13067,-84.574166,33.93994,7.032,10
42077,-75.590627,40.614241,8.622583333333333,1
24037,-76.534271,38.222666,9.413222222222222,1
6013,-121.951543,37.919479,36.34313888888889,14
41003,-123.426317,44.490623,37.44947222222223,5
26061,-88.652066,46.998305,11.550944444444445,5
18057,-86.020586,40.04987,2.115111111111111,4
38035,-97.450851,47.926003,15.751527777777778,1
38095,-99.248158,48.682183,17.530416666666667,1
50017,-72.369687,44.003392,13.810222222222222,2
24027,-76.924406,39.252264,7.832333333333334,7
37063,-78.877919,36.036589,8.139527777777777,7
29510,-90.244582,38.635699,5.568138888888889,12
20079,-97.436707,38.050144,12.03486111111111,1
