FIPS,Lng,Lat,Duration,Density
26125,-83.38421,42.660452,1.462,28
6037,-118.261862,34.196398,34.90105555555556,66
6081,-122.371542,37.414664,37.031444444444446,29
34027,-74.547427,40.858581,8.327833333333334,5
5005,-92.330438,36.28071,11.78438888888889,2
36093,-74.043583,42.817542,8.875361111111111,2
12117,-81.13198,28.690079,17.128,2
25023,-70.741942,41.987196,12.170361111111111,4
34023,-74.407585,40.439593,8.964972222222222,6
36103,-72.692218,40.943554,10.355055555555555,15
40143,-95.941731,36.120121,13.372555555555556,10
1083,-86.9814,34.810239,8.932805555555555,1
34035,-74.61993,40.565522,8.672027777777778,9
18067,-86.114118,40.483537,3.1228333333333333,3
39155,-80.767656,41.308936,2.7822222222222224,4
23005,-70.330375,43.808348,13.362666666666666,7
12086,-80.499045,25.610494,20.68477777777778,5
4015,-113.749689,35.717705,30.996916666666664,1
44007,-71.578242,41.870488,11.61813888888889,7
42049,-80.096386,42.117952,3.457861111111111,4
26161,-83.844634,42.252327,1.040722222222222,20
25025,-71.020173,42.33196,11.734055555555555,21
26049,-83.706372,43.021077,1.7406666666666666,32
18089,-87.374337,41.472239,3.526361111111111,3
26159,-86.305697,42.283986,3.1096944444444445,12
44005,-71.284063,41.502732,11.898305555555556,2
12103,-82.739518,27.903122,17.452277777777777,2
17177,-89.665994,42.349726,5.982222222222222,1
26081,-85.547446,43.032497,2.9189166666666666,26
12031,-81.648113,30.335245,15.007444444444445,2
34005,-74.663006,39.875786,9.041138888888888,3
55087,-88.464988,44.418226,7.22175,1
26163,-83.261953,42.284664,0.9450555555555555,48
50027,-72.591515,43.588143,11.338333333333333,1
17031,-87.645455,41.894294,3.9956944444444447,17
42017,-75.10706,40.336887,8.520527777777778,4
12011,-80.476658,26.19352,20.06761111111111,16
17043,-88.086038,41.852058,4.314472222222222,4
6087,-122.007205,37.012488,37.129416666666664,21
51600,-77.299025,38.853183,7.525055555555555,5
42003,-79.98092,40.46892,3.773722222222222,11
48167,-94.894865,29.228706,20.50997222222222,1
39035,-81.724217,41.760392,2.1335277777777777,4
51650,-76.297149,37.04803,10.292027777777779,2
Windsor CAN,-83.026772,42.317432,1.149388888888889,62
25027,-71.940282,42.311693,11.160222222222224,8
39049,-83.008258,39.969447,2.370388888888889,13
33011,-71.723101,42.911643,11.94425,13
18141,-86.288159,41.617699,2.645138888888889,9
34039,-74.308696,40.659871,8.791305555555557,6
26139,-86.655342,42.942346,3.417611111111111,5
39061,-84.544187,39.196927,3.1932500000000004,4
36017,-75.604905,42.489732,8.070305555555555,1
48231,-96.083807,33.123438,16.715833333333332,1
25017,-71.396507,42.479477,11.675194444444443,21
9003,-72.732916,41.806053,10.528194444444445,17
8069,-105.482131,40.663091,19.90925,3
19103,-91.588812,41.668737,7.1865000000000006,1
55043,-90.695368,42.870062,7.422638888888889,1
9013,-72.340977,41.858076,10.75538888888889,3
36067,-76.196117,43.00653,7.095027777777777,1
25013,-72.635648,42.136198,10.33361111111111,4
12099,-80.448673,26.645763,19.634944444444447,6
12085,-80.398211,27.079954,19.257638888888888,1
Pickering CAN,-79.086761,43.838413,5.184527777777777,3
36055,-77.664656,43.464475,6.059166666666667,9
26099,-82.910869,42.671467,1.595027777777778,15
34007,-74.961251,39.802352,8.835472222222222,5
33005,-72.248217,42.925455,11.141527777777778,5
34041,-75.009542,40.853524,7.987166666666666,3
42131,-76.00878,41.525137,7.693472222222222,1
34031,-74.300308,41.033763,8.62336111111111,2
42133,-76.728446,39.921839,7.150666666666667,1
9009,-72.900204,41.349717,10.244083333333332,9
36089,-75.074311,44.488113,8.941583333333334,1
48201,-95.393037,29.857273,19.562944444444447,17
12009,-80.700384,28.298276,17.39211111111111,4
18097,-86.135794,39.782976,3.665722222222222,6
9007,-72.524227,41.434525,10.645083333333334,5
9005,-73.235428,41.791897,10.306972222222221,6
26115,-83.487106,41.916097,0.5304444444444444,5
36001,-73.974014,42.588271,9.292611111111112,4
6085,-121.690622,37.220777,36.92838888888889,14
55133,-88.306707,43.019308,5.757000000000001,20
36059,-73.589384,40.729687,9.497138888888887,31
42091,-75.370201,40.209999,8.281361111111112,4
39095,-83.468867,41.682321,0.2796944444444444,6
45045,-82.372077,34.892645,9.707083333333333,5
34021,-74.703724,40.282503,8.703666666666667,15
6067,-121.340441,38.450011,34.98308333333333,12
Longueuil CAN,-73.510712,45.536945,10.196750000000002,23
34033,-75.357356,39.573828,8.942166666666667,1
33001,-71.425366,43.519109,12.567583333333333,4
42101,-75.133346,40.009376,8.380777777777778,13
36047,-73.950777,40.635133,9.448,10
54045,-81.940853,37.830591,5.96875,1
51179,-77.459043,38.418933,8.147583333333333,1
36051,-77.76978,42.727485,5.959444444444444,2
45019,-79.94248,32.800458,12.348833333333333,5
45073,-83.061522,34.748759,10.235361111111112,1
51041,-77.585847,37.378434,9.561611111111112,2
53053,-122.144709,47.040716,35.55755555555555,16
28047,-89.083376,30.416536,14.923305555555556,3
10003,-75.644132,39.575915,8.597916666666666,3
36085,-74.137063,40.563855,9.160361111111111,4
36063,-78.792143,43.456731,5.402722222222222,2
51087,-77.300333,37.437521,9.287972222222221,4
36005,-73.852939,40.848711,9.125833333333333,12
51121,-80.387314,37.174885,7.367888888888889,1
48453,-97.69127,30.239513,20.633805555555554,9
51760,-77.476009,37.531399,9.164638888888888,5
37183,-78.650624,35.789846,10.014944444444446,11
1089,-86.55108,34.764238,9.287305555555557,5
18095,-85.722454,40.166203,3.0905833333333335,1
11001,-77.017094,38.904149,7.6636388888888884,15
28149,-90.851791,32.357005,14.335583333333332,1
48029,-98.520147,29.448671,21.879611111111114,19
18157,-86.893943,40.38926,3.7546944444444446,4
42045,-75.398786,39.91667,8.32463888888889,10
53035,-122.649636,47.639687,35.747305555555556,22
53033,-121.832375,47.493554,34.39286111111111,14
4013,-112.495534,33.346541,30.364277777777776,31
19013,-92.306059,42.472888,8.2095,4
1095,-86.321668,34.309564,10.036999999999999,1
47103,-86.593388,35.142532,8.737944444444445,1
34013,-74.246136,40.787217,8.583833333333333,8
2020,-149.274354,61.177549,68.67402777777778,1
36069,-77.303277,42.856695,6.230027777777777,11
6029,-118.729506,35.346629,35.031305555555555,3
37135,-79.119355,36.062499,9.499972222222222,3
28099,-89.119274,32.752518,13.115388888888889,1
East York CAN,-79.341667,43.6912,5.021916666666667,16
51610,-77.174639,38.883787,7.44225,5
51685,-77.448681,38.768991,7.673694444444444,5
51510,-77.082026,38.818343,7.6114444444444445,4
51540,-78.485381,38.037658,8.735916666666666,1
48157,-95.771015,29.526602,20.160444444444447,6
36109,-76.473712,42.453281,7.144611111111111,2
36081,-73.837929,40.658557,9.486666666666666,13
48027,-97.481921,31.04211,19.71163888888889,5
17161,-90.572203,41.468404,6.189444444444445,2
8073,-103.507555,38.99374,18.451083333333333,1
24021,-77.397627,39.470427,6.744638888888889,3
34017,-74.078627,40.731384,8.775222222222222,4
39153,-81.534936,41.121851,2.259055555555556,2
4021,-111.367257,32.91891,30.430972222222223,14
6095,-121.939594,38.267226,35.52758333333333,5
26145,-84.05541,43.328267,2.41125,14
Vaughan CAN,-79.508278,43.837208,4.809888888888889,11
41017,-121.225575,43.915118,34.53633333333333,4
Mississauga CAN,-79.640579,43.59531,4.528472222222222,17
26069,-82.849447,44.329482,3.5215833333333335,1
6073,-116.776117,33.023604,35.33552777777778,46
13067,-84.574166,33.93994,10.058277777777779,10
42077,-75.590627,40.614241,7.833527777777778,1
24037,-76.534271,38.222666,8.82913888888889,1
6013,-121.951543,37.919479,36.109944444444444,14
41003,-123.426317,44.490623,37.216277777777776,5
26061,-88.652066,46.998305,9.313166666666667,5
18057,-86.020586,40.04987,3.4213055555555556,4
38035,-97.450851,47.926003,15.003333333333334,1
38095,-99.248158,48.682183,16.782222222222224,1
50017,-72.369687,44.003392,11.925166666666666,2
24027,-76.924406,39.252264,7.2482500000000005,7
37063,-78.877919,36.036589,9.732388888888888,7
29510,-90.244582,38.635699,7.498694444444444,12
20079,-97.436707,38.050144,13.965416666666666,1
20209,-94.763087,39.115384,11.235888888888889,19
20059,-95.278962,38.558019,11.917361111111111,1
12095,-81.323295,28.514435,16.953194444444446,8
19113,-91.597674,42.077951,7.663194444444445,2
6079,-120.44754,35.385227,36.78447222222223,3
51083,-78.939614,36.766461,9.866611111111112,1
32003,-115.013819,36.214236,30.10622222222222,13
39017,-84.565397,39.439915,3.0991111111111107,2
45067,-79.362131,34.080701,11.438444444444444,2
33015,-71.099437,42.98936,12.4335,8
Whitby CAN,-78.942932,43.897545,5.266222222222223,4
51085,-77.490992,37.760166,8.847833333333334,4
55131,-88.232917,43.391156,6.008027777777778,6
29183,-90.674915,38.781102,7.835055555555556,5
9001,-73.366757,41.228103,9.839888888888888,7
13245,-82.074998,33.361487,11.916166666666665,6
20121,-94.832963,38.566772,11.764944444444446,1
24003,-76.560511,38.993374,7.731277777777778,5
St. Catharines CAN,-79.246864,43.159374,4.692055555555556,3
51115,-76.268808,37.425348,10.27038888888889,1
42069,-75.609587,41.44025,7.528694444444445,1
25021,-71.179875,42.169703,11.69625,7
8013,-105.398382,40.094826,19.279083333333332,3
35013,-106.832182,32.350912,25.43247222222222,1
29189,-90.445954,38.640702,7.650944444444445,9
17163,-89.928546,38.470198,7.532416666666667,1
37089,-82.479634,35.336424,9.108194444444445,1
8014,-105.052125,39.953383,18.63341666666667,5
Markham CAN,-79.337021,43.856098,4.904916666666667,8
33013,-71.68013,43.299485,12.139944444444446,8
39103,-81.899566,41.116051,2.067388888888889,4
48071,-94.668875,29.703933,19.980027777777778,1
13135,-84.022938,33.959101,10.58438888888889,6
51690,-79.863648,36.683527,8.85175,2
45051,-78.976675,33.909269,11.95813888888889,10
25009,-70.865107,42.642711,12.186916666666667,6
45063,-81.272853,33.892554,10.922833333333333,1
48397,-96.407501,32.889216,17.21677777777778,2
56025,-106.764877,42.973641,21.05247222222222,1
Sudbury CAN,-80.995415,46.493919,8.29288888888889,4
55025,-89.417852,43.067468,6.409944444444444,1
33017,-71.035927,43.293177,12.709777777777777,4
39041,-83.007462,40.278941,1.9792222222222222,2
6039,-119.749852,37.210039,36.912000000000006,1
8045,-107.90978,39.599352,23.871805555555557,1
8031,-104.880625,39.761849,18.663249999999998,11
41043,-122.543756,44.494824,36.495805555555556,1
12057,-82.349568,27.90659,17.221138888888888,4
42029,-75.749732,39.973965,8.010916666666667,4
45079,-80.896566,34.029783,10.715305555555554,5
51117,-78.368959,36.687256,10.366083333333334,1
13121,-84.468182,33.790034,10.25913888888889,10
28109,-89.586832,30.773791,14.46513888888889,1
6019,-119.655019,36.761006,36.340722222222226,11
41067,-123.097615,45.553542,36.28013888888889,8
41051,-122.417173,45.547693,35.52936111111111,16
20099,-95.297473,37.191468,12.705944444444444,1
47093,-83.937721,35.992727,7.0128611111111105,8
48339,-95.503523,30.302364,19.41061111111111,3
High River CAN,-113.873505,50.584435,28.605722222222223,14
18069,-85.478598,40.826394,2.2830833333333334,1
26065,-84.373811,42.603534,1.8525555555555555,6
37081,-79.788665,36.079065,8.927999999999999,3
45091,-81.183189,34.97019,9.846277777777777,1
45055,-80.590885,34.338356,10.772055555555555,1
18039,-85.863986,41.600693,2.354861111111111,2
12069,-81.712282,28.764113,16.701305555555553,3
