FIPS,Lng,Lat,Duration,Density
26125,-83.38421,42.660452,144026.2,51
6037,-118.261862,34.196398,9180.5,152
26163,-83.261953,42.284664,142591.3,78
27053,-93.475185,45.006064,120036.8,32
24510,-76.610516,39.300214,168500.8,15
6081,-122.371542,37.414664,29167.5,43
17031,-87.645455,41.894294,126156.3,60
34027,-74.547427,40.858581,175178.9,10
17111,-88.452245,42.324298,125240.6,2
12103,-82.739518,27.903122,159078.4,9
5005,-92.330438,36.28071,104499.7,2
34017,-74.078627,40.731384,177396.9,16
36119,-73.745912,41.15277,179676.8,7
36093,-74.043583,42.817542,179810.5,4
12117,-81.13198,28.690079,158227.4,3
25023,-70.741942,41.987196,194071.6,7
18105,-86.523325,39.160751,129218.7,4
34023,-74.407585,40.439593,177020.4,8
36103,-72.692218,40.943554,183786.7,21
27037,-93.062481,44.670893,119274,9
34025,-74.152446,40.287056,177392.6,6
40143,-95.941731,36.120121,87998.2,21
1083,-86.9814,34.810239,125701.3,4
26121,-86.751892,43.289258,139618.7,3
12086,-80.499045,25.610494,173055,25
9005,-73.235428,41.791897,183800.6,13
4021,-111.367257,32.91891,28381.3,28
33011,-71.723101,42.911643,193871,33
34035,-74.61993,40.565522,176128.4,12
25017,-71.396507,42.479477,192169.9,30
18067,-86.114118,40.483537,134013.8,4
26049,-83.706372,43.021077,142810.7,48
39155,-80.767656,41.308936,151283.2,7
26145,-84.05541,43.328267,145672.7,18
11001,-77.017094,38.904149,168549.1,30
48201,-95.393037,29.857273,93920.1,72
23005,-70.330375,43.808348,199804.7,8
4015,-113.749689,35.717705,27516,3
44007,-71.578242,41.870488,189652,13
42049,-80.096386,42.117952,154785.6,5
4013,-112.495534,33.346541,21812.3,66
26161,-83.844634,42.252327,140656.2,28
25025,-71.020173,42.33196,192069.2,46
18089,-87.374337,41.472239,127403.2,6
36055,-77.664656,43.464475,166212.4,24
26159,-86.305697,42.283986,133040,18
44005,-71.284063,41.502732,191033,3
17177,-89.665994,42.349726,122808,1
42015,-76.502124,41.791495,171113.7,1
26081,-85.547446,43.032497,137513.5,41
12031,-81.648113,30.335245,150638.5,13
34005,-74.663006,39.875786,175775.4,4
42081,-77.055253,41.343624,166649.4,1
17043,-88.086038,41.852058,124442.6,13
55087,-88.464988,44.418226,132937.8,2
50027,-72.591515,43.588143,190182.1,1
25013,-72.635648,42.136198,186540.5,7
42095,-75.307447,40.752791,173417,4
42029,-75.749732,39.973965,172150.1,6
25027,-71.940282,42.311693,189475.3,20
42101,-75.133346,40.009376,173476.1,36
12011,-80.476658,26.19352,170327.7,35
