FIPS,Lng,Lat,Duration,Density
26125,-83.38421,42.660452,45218.8,51
6037,-118.261862,34.196398,184337.5,152
26163,-83.261953,42.284664,42958.8,78
27053,-93.475185,45.006064,83617.4,32
24510,-76.610516,39.300214,11015.4,15
6081,-122.371542,37.414664,189355.8,43
17031,-87.645455,41.894294,55051.9,60
34027,-74.547427,40.858581,9979.9,10
17111,-88.452245,42.324298,59758.6,2
12103,-82.739518,27.903122,76542,9
5005,-92.330438,36.28071,82193,2
34017,-74.078627,40.731384,8600.2,16
36119,-73.745912,41.15277,11459.3,7
36093,-74.043583,42.817542,20174.3,4
12117,-81.13198,28.690079,70531,3
25023,-70.741942,41.987196,25913.3,7
18105,-86.523325,39.160751,52859.7,4
34023,-74.407585,40.439593,7049.9,8
36103,-72.692218,40.943554,15473.8,21
27037,-93.062481,44.670893,82607.8,9
34025,-74.152446,40.287056,5892.7,6
40143,-95.941731,36.120121,90513.1,21
1083,-86.9814,34.810239,62496.7,4
26121,-86.751892,43.289258,56201.2,3
12086,-80.499045,25.610494,85767,25
9005,-73.235428,41.791897,16575.6,13
4021,-111.367257,32.91891,161633.5,28
33011,-71.723101,42.911643,27043.9,33
34035,-74.61993,40.565522,7634.9,12
25017,-71.396507,42.479477,24716.7,30
18067,-86.114118,40.483537,51582.7,4
26049,-83.706372,43.021077,46817.6,48
39155,-80.767656,41.308936,30751.1,7
26145,-84.05541,43.328267,50614.7,18
11001,-77.017094,38.904149,13895.5,30
48201,-95.393037,29.857273,107277.4,72
23005,-70.330375,43.808348,32351.5,8
4015,-113.749689,35.717705,161324,3
44007,-71.578242,41.870488,21623,13
42049,-80.096386,42.117952,32394.4,5
4013,-112.495534,33.346541,160431.7,66
26161,-83.844634,42.252327,43703.7,28
25025,-71.020173,42.33196,24616,46
18089,-87.374337,41.472239,53252.6,6
36055,-77.664656,43.464475,30022.4,24
26159,-86.305697,42.283986,52411,18
44005,-71.284063,41.502732,22812.3,3
17177,-89.665994,42.349726,63326.9,1
42015,-76.502124,41.791495,19446,1
26081,-85.547446,43.032497,51914,41
12031,-81.648113,30.335245,61053.4,13
34005,-74.663006,39.875786,4019.7,4
42081,-77.055253,41.343624,18467.7,1
17043,-88.086038,41.852058,57080.1,13
55087,-88.464988,44.418226,69068,2
50027,-72.591515,43.588143,29152.2,1
25013,-72.635648,42.136198,19844.5,7
42095,-75.307447,40.752791,10478.2,4
42029,-75.749732,39.973965,8360.4,6
25027,-71.940282,42.311693,22022.1,20
42101,-75.133346,40.009376,5168.9,36
12011,-80.476658,26.19352,83199.6,35
6087,-122.007205,37.012488,190315.6,23
51600,-77.299025,38.853183,15241.4,8
42003,-79.98092,40.46892,25605.5,22
48167,-94.894865,29.228706,108823.5,6
39035,-81.724217,41.760392,33936.8,20
51650,-76.297149,37.04803,25500.8,2
Windsor CAN,-83.026772,42.317432,43543.9,134
9011,-72.103452,41.47863,18757.8,6
39049,-83.008258,39.969447,37388.6,26
33013,-71.68013,43.299485,29852.7,13
18141,-86.288159,41.617699,49476.4,14
34039,-74.308696,40.659871,7851.1,8
39061,-84.544187,39.196927,44466.5,8
36017,-75.604905,42.489732,20360.9,1
48231,-96.083807,33.123438,96839,1
9003,-72.732916,41.806053,17863.9,28
39025,-84.149614,39.052084,44800.9,1
8069,-105.482131,40.663091,125160,3
24003,-76.560511,38.993374,12679.5,7
19103,-91.588812,41.668737,69219.3,1
55043,-90.695368,42.870062,70353.6,1
9013,-72.340977,41.858076,18721.9,6
36067,-76.196117,43.00653,22996.2,3
12099,-80.448673,26.645763,82124.8,16
12085,-80.398211,27.079954,79599.5,4
12095,-81.323295,28.514435,71156.9,28
Markham CAN,-79.337021,43.856098,40464.6,26
26099,-82.910869,42.671467,45856.8,36
34007,-74.961251,39.802352,3393,7
25005,-71.087062,41.748576,24948.8,5
33005,-72.248217,42.925455,25349,3
48141,-106.241391,31.766403,138212,23
34041,-75.009542,40.853524,9718.4,5
26061,-88.652066,46.998305,80650,8
42131,-76.00878,41.525137,15428.5,1
34031,-74.300308,41.033763,10091.2,6
42133,-76.728446,39.921839,12740.5,1
9009,-72.900204,41.349717,15362.4,15
36089,-75.074311,44.488113,33052.1,5
6055,-122.325995,38.507351,186162.2,7
12009,-80.700384,28.298276,71483.5,11
18097,-86.135794,39.782976,48752.9,14
9007,-72.524227,41.434525,18216.8,8
26115,-83.487106,41.916097,41271.2,9
33015,-71.099437,42.98936,27894.6,12
36001,-73.974014,42.588271,19425.4,6
6085,-121.690622,37.220777,190467.2,30
26165,-85.570046,44.331375,57008.8,6
55133,-88.306707,43.019308,62751.4,32
36059,-73.589384,40.729687,11332,50
42091,-75.370201,40.209999,6962.3,9
39099,-80.770396,41.01088,29276.1,6
39173,-83.622682,41.360183,40140.7,2
45045,-82.372077,34.892645,48444.4,9
42115,-75.800969,41.819665,16527.3,1
34021,-74.703724,40.282503,5866.2,20
6067,-121.340441,38.450011,180638.7,26
Longueuil CAN,-73.510712,45.536945,34324.7,43
6001,-121.913304,37.648081,186223.6,24
42123,-79.313173,41.843669,29776.5,2
17161,-90.572203,41.468404,64884.3,2
34033,-75.357356,39.573828,5401.8,1
48439,-97.291291,32.77204,102248.7,19
33017,-71.035927,43.293177,30172,7
36061,-73.970174,40.776557,9642.2,28
36047,-73.950777,40.635133,9589.7,20
54045,-81.940853,37.830591,38993.6,1
37009,-81.49877,36.436305,39527.4,1
51179,-77.459043,38.418933,17720.9,1
36037,-78.192778,43.00091,29330.9,3
45019,-79.94248,32.800458,49674.8,8
45073,-83.061522,34.748759,52479.9,2
51740,-76.356269,36.85943,25334.9,4
51041,-77.585847,37.378434,23965.5,8
12019,-81.858147,29.987116,64382.1,1
5119,-92.316515,34.773988,80771.4,12
42045,-75.398786,39.91667,6043.1,14
53053,-122.144709,47.040716,188558.4,31
28047,-89.083376,30.416536,83259.9,3
10003,-75.644132,39.575915,6861.8,5
24045,-75.632206,38.367389,13838.5,2
36085,-74.137063,40.563855,8193.4,8
53029,-122.670503,48.158436,190645.2,7
2020,-149.274354,61.177549,304914.2,8
36063,-78.792143,43.456731,33705.7,3
36005,-73.852939,40.848711,9766.4,31
51760,-77.476009,37.531399,21933.6,22
51027,-82.038151,37.26812,42271.1,1
18059,-85.772904,39.822604,47315.5,2
42047,-78.653938,41.427334,25156.1,1
51121,-80.387314,37.174885,31931.6,1
51059,-77.276117,38.833743,15347.5,4
51730,-77.392368,37.20473,23620.8,2
45091,-81.183189,34.97019,44143.9,6
45007,-82.638086,34.519549,50457.9,4
48453,-97.69127,30.239513,112604.1,19
48157,-95.771015,29.526602,109335.7,14
37183,-78.650624,35.789846,32911.5,20
48113,-96.778424,32.766987,99952.7,45
1089,-86.55108,34.764238,60190.1,11
8031,-104.880625,39.761849,117166.2,34
48071,-94.668875,29.703933,105105,2
18095,-85.722454,40.166203,49251.1,1
28149,-90.851791,32.357005,81404.6,1
48029,-98.520147,29.448671,117709.3,40
12001,-82.357221,29.67574,66654.3,4
18157,-86.893943,40.38926,53073.6,5
28121,-89.946552,32.262057,77686.6,5
35001,-106.669065,35.054002,130593,6
30081,-114.119065,46.079298,162825.4,2
40071,-97.143755,36.814842,97289.6,2
6013,-121.951543,37.919479,186337.3,27
53035,-122.649636,47.639687,189701.7,39
9001,-73.366757,41.228103,13504.5,9
53033,-121.832375,47.493554,184469.7,25
39133,-81.196932,41.16864,31210.2,3
51830,-76.706717,37.269293,24719.9,2
51137,-78.00998,38.250439,20629.2,1
51087,-77.300333,37.437521,22620.5,4
40109,-97.409401,35.554611,96893.3,23
6029,-118.729506,35.346629,179572.6,5
19013,-92.306059,42.472888,73934,6
25021,-71.179875,42.169703,24353.3,17
18069,-85.478598,40.826394,48349.8,2
1095,-86.321668,34.309564,60357.1,3
47103,-86.593388,35.142532,60332.2,1
34013,-74.246136,40.787217,8742.5,22
36069,-77.303277,42.856695,27359.6,11
37135,-79.119355,36.062499,32729.5,5
28099,-89.119274,32.752518,75808.3,1
51680,-79.195458,37.399016,28351,1
51107,-77.638857,39.08113,17214.6,3
12127,-81.161813,29.057617,68881.6,5
28127,-89.917707,31.902503,79546,1
13121,-84.468182,33.790034,58243.8,28
6097,-122.945194,38.532574,189732.8,2
East York CAN,-79.341667,43.6912,39613.5,69
51610,-77.174639,38.883787,14868.1,9
51685,-77.448681,38.768991,16248.1,5
51510,-77.082026,38.818343,14878,4
51175,-77.103856,36.720173,27349.1,1
51540,-78.485381,38.037658,23269.4,1
51683,-77.484727,38.747561,16617.7,3
2090,-146.599867,64.690832,297105.6,2
48209,-98.029267,30.061225,114871.3,4
36109,-76.473712,42.453281,21772,2
36081,-73.837929,40.658557,10007.7,21
54107,-81.515928,39.211679,32559.9,2
42077,-75.590627,40.614241,9122.6,2
22103,-89.951962,30.410022,84531.6,11
6041,-122.745974,38.051817,187900,9
48027,-97.481921,31.04211,108828.6,7
17025,-88.483789,38.747312,61121.6,1
42107,-76.2178,40.70369,12195,1
12073,-84.2778,30.45931,69878.2,4
48491,-97.605069,30.64903,110917.1,4
8035,-104.926199,39.326435,119261.3,4
36045,-76.053522,43.995371,27976.1,7
6045,-123.442881,39.432388,194034.1,1
24021,-77.397627,39.470427,14877.6,6
25015,-72.663694,42.339459,21162.1,3
39055,-81.173505,41.499322,32584.2,5
6095,-121.939594,38.267226,182904.2,8
42017,-75.10706,40.336887,7494.7,4
Vaughan CAN,-79.508278,43.837208,39917.2,29
28045,-89.47985,30.391437,83856.7,4
41017,-121.225575,43.915118,180893.7,4
55075,-87.991198,45.346899,73592.6,4
20201,-97.095611,39.776714,92263.6,1
Chatham-Kent CAN,-82.19104,42.404804,47250.9,3
46081,-103.796528,44.353669,115187.7,2
46103,-102.823802,44.002349,111543.7,3
51810,-76.02402,36.779322,25368.2,3
Mississauga CAN,-79.640579,43.59531,38242.8,37
26069,-82.849447,44.329482,54420.7,1
45015,-79.953655,33.2077,47500.5,2
25009,-70.865107,42.642711,26850.7,13
6073,-116.776117,33.023604,182111.1,78
51155,-80.713444,37.063385,32671.5,1
13057,-84.475057,34.244317,59024,8
24037,-76.534271,38.222666,18587.5,1
37077,-78.657634,36.299884,30450.5,2
41003,-123.426317,44.490623,192442.9,7
54061,-80.059074,39.633645,25801.9,2
18057,-86.020586,40.04987,49460.6,5
38089,-102.662026,46.817031,116540.7,1
38053,-103.403215,47.742475,121919.4,1
38035,-97.450851,47.926003,103937.6,5
38095,-99.248158,48.682183,112861.6,1
38069,-99.966497,48.238883,114166.7,1
38061,-102.364756,48.210291,120815.2,1
27155,-96.475049,45.76984,96668.5,1
38015,-100.462001,46.971843,110716.5,1
50017,-72.369687,44.003392,30723.7,2
24027,-76.924406,39.252264,12957,12
39045,-82.628276,39.752935,37365.7,2
37063,-78.877919,36.036589,31813.2,10
29161,-91.790349,37.866326,72937.1,2
20045,-95.290529,38.896573,84387.3,3
48479,-99.326641,27.770584,128426.5,6
37159,-80.525344,35.639218,38880.4,2
29510,-90.244582,38.635699,65346.4,33
17201,-89.161205,42.337396,61556.4,4
20079,-97.436707,38.050144,93723.1,1
20141,-98.767876,39.348649,98860.2,1
20209,-94.763087,39.115384,82063.7,37
20059,-95.278962,38.558019,84899.6,2
46109,-96.947551,45.623397,99920.5,1
46011,-96.797797,44.376675,96097.6,2
46029,-97.198843,44.966324,98969.7,1
46111,-98.092105,44.021032,98225.2,1
32029,-119.524646,39.438385,175496.5,11
32013,-118.127592,41.407914,166295.4,1
39153,-81.534936,41.121851,32457.1,6
19113,-91.597674,42.077951,71295.1,2
47189,-86.29021,36.148476,56372.5,1
6079,-120.44754,35.385227,190258.9,3
51135,-78.052162,37.143696,26919.6,2
51083,-78.939614,36.766461,30124.5,1
39113,-84.290546,39.755218,42553.5,7
46099,-96.795726,43.667472,93222.9,1
32003,-115.013819,36.214236,163194.4,47
2122,-152.321973,60.366373,318906.7,1
18127,-87.071308,41.509922,52333.2,1
13067,-84.574166,33.93994,58775.7,16
Whitby CAN,-78.942932,43.897545,41569.4,11
13135,-84.022938,33.959101,56515.1,20
45031,-79.962116,34.332185,42267.6,2
18035,-85.398856,40.227165,47898.2,2
18003,-85.07223,41.091855,46037.9,1
39095,-83.468867,41.682321,39891.6,6
39017,-84.565397,39.439915,44737.9,5
6065,-116.002239,33.729828,176912.7,4
6059,-117.777207,33.675687,178940.5,80
45067,-79.362131,34.080701,41496.4,2
Major's Hill Park CAN,-75.69883,45.427944,36474.7,18
51029,-78.529169,37.573928,26903.9,1
13303,-82.798112,32.971848,55912,1
55079,-87.481575,43.017655,61153.8,7
Ajax CAN,-79.02037,43.850857,41160.5,5
26147,-82.668914,42.928804,48175.7,20
51085,-77.490992,37.760166,20643.3,6
Pickering CAN,-79.086761,43.838413,40884.7,6
55131,-88.232917,43.391156,63807.4,6
29183,-90.674915,38.781102,67023.4,7
51143,-79.398502,36.821721,31512.8,2
51750,-80.557048,37.120036,32242.5,1
38101,-101.540537,48.216686,118041.9,2
13245,-82.074998,33.361487,52083.6,9
55127,-88.541731,42.66811,60882.9,1
20131,-96.005381,39.791043,87714.8,2
38097,-97.164754,47.446215,101469.2,2
20121,-94.832963,38.566772,84368.3,1
Sudbury CAN,-80.995415,46.493919,56897.2,14
St. Catharines CAN,-79.246864,43.159374,34374.4,4
47093,-83.937721,35.992727,46126.8,13
13117,-84.127336,34.225143,57324.9,15
24043,-77.814671,39.603621,16243.4,2
51115,-76.268808,37.425348,25746.5,1
13089,-84.226343,33.770661,57631.5,10
42069,-75.609587,41.44025,13830.2,1
6111,-119.133143,34.358742,183166.3,23
4025,-112.573745,34.630044,157580.8,5
51660,-78.874197,38.436013,22730.2,2
8013,-105.398382,40.094826,123413.5,4
8045,-107.90978,39.599352,137859,2
46049,-99.153564,45.065476,108785.2,1
35013,-106.832182,32.350912,141289.9,2
13051,-81.091768,31.974756,53631.1,7
29189,-90.445954,38.640702,66151.9,17
24025,-76.299789,39.537429,9323.8,4
55125,-89.501254,46.049848,81221.6,2
24033,-76.847272,38.82588,14154.8,7
42129,-79.466688,40.311068,23789.3,5
28095,-88.485038,33.89003,71984.9,1
42021,-78.715284,40.494127,21583.6,2
48247,-98.700127,27.041212,131393.3,1
39093,-82.179722,41.438805,34606.5,8
17163,-89.928546,38.470198,65663.6,2
29071,-91.07341,38.408313,69541.8,1
37089,-82.479634,35.336424,46878.6,2
Kitchener CAN,-80.495064,43.452969,40295.7,24
28087,-88.439723,33.471424,71864.6,2
51590,-79.408071,36.583334,32479.4,2
39103,-81.899566,41.116051,34071.7,9
55071,-87.313828,44.105108,67369.9,4
26151,-82.642815,43.449155,50752.5,5
8014,-105.052125,39.953383,117294.9,11
54059,-82.158993,37.721151,40583.2,2
26093,-83.911718,42.602532,44975.5,9
51690,-79.863648,36.683527,33842.9,2
1103,-86.846402,34.454484,62889.8,2
23013,-69.038515,44.042045,38389.1,1
45051,-78.976675,33.909269,43128.5,12
Saint John CAN,-66.067657,45.273918,52454.7,2
45063,-81.272853,33.892554,47699.7,2
48397,-96.407501,32.889216,98547.8,4
1121,-86.175805,33.369277,63377.6,1
1073,-86.896536,33.553444,63533.7,9
13227,-84.490256,34.456621,57759.8,1
34037,-74.691855,41.137424,11541,3
56025,-106.764877,42.973641,129107,1
22071,-89.939007,30.068636,84503.5,25
55025,-89.417852,43.067468,65549.6,2
29099,-90.543138,38.257414,68115.9,2
39041,-83.007462,40.278941,38525.7,3
6039,-119.749852,37.210039,190591.2,1
12081,-82.365784,27.481386,78235.6,3
Richmond CAN,-123.133568,49.166592,194907.9,8
46101,-96.676054,44.012429,95010.6,1
41043,-122.543756,44.494824,187855.7,1
8041,-104.527472,38.827383,117041.1,3
12057,-82.349568,27.90659,75227.8,8
34011,-75.121644,39.328387,4391.8,2
39151,-81.365667,40.814131,32489,3
12097,-81.139312,28.059027,76827,2
45079,-80.896566,34.029783,47029.2,11
Distrito Federal MEX,-99.1309882,19.44244244,175702.5,22
13013,-83.712303,33.992009,55583.3,4
25003,-73.213948,42.375314,21696.3,1
Brampton CAN,-79.76667,43.683334,39089.2,17
34003,-74.074522,40.95909,9663.8,13
51117,-78.368959,36.687256,28719.8,1
13215,-84.874946,32.510197,65351.2,5
51770,-79.958472,37.27783,29879.3,2
6019,-119.655019,36.761006,187810.4,17
41067,-123.097615,45.553542,187392.6,14
4001,-109.493747,35.385845,142734.2,2
41051,-122.417173,45.547693,184233.6,28
20099,-95.297473,37.191468,88388.6,1
17119,-89.900195,38.827082,64592.3,3
48121,-97.119046,33.205005,101550.3,7
24013,-77.015512,39.563189,13488.4,2
37081,-79.788665,36.079065,35500.7,7
22033,-91.093174,30.544002,89477.2,9
48339,-95.503523,30.302364,107173.8,8
High River CAN,-113.873505,50.584435,162508.4,38
26065,-84.373811,42.603534,47135.2,12
49057,-111.875879,41.270355,140781.5,8
36075,-76.209258,43.461443,25127,4
26033,-84.52063,46.321819,63379,8
45055,-80.590885,34.338356,45267.7,1
18039,-85.863986,41.600693,48142.1,3
12069,-81.712282,28.764113,71793.6,6
16051,-112.318588,43.796965,150922.4,1
16005,-112.228986,42.692939,147537,5
8047,-105.528947,39.861082,123388.3,1
53063,-117.404392,47.620379,167394.9,16
51620,-76.941396,36.684014,27714.6,1
13103,-81.343337,32.361711,53207.9,1
12053,-82.464835,28.567911,74165.1,1
27131,-93.298503,44.350943,82780,4
53011,-122.485903,45.771674,186548.6,7
24023,-79.269416,39.529871,23768.8,1
42025,-75.709428,40.917833,11549.6,1
30093,-112.660222,45.895959,148702.4,1
55059,-87.424898,42.579703,59626.5,2
51173,-81.539786,36.842318,36377.7,1
6077,-121.272237,37.935034,183136.6,3
36021,-73.626805,42.247729,18321.2,2
20175,-100.854741,37.180585,108789.1,1
20091,-94.82233,38.883907,82703,8
20161,-96.727489,39.291211,90131.6,2
36087,-74.024772,41.154785,10965.3,7
26101,-86.602967,44.350385,60123.3,2
26077,-85.532854,42.246266,48916.5,21
6113,-121.903178,38.679268,181960.1,4
36029,-78.778192,42.752759,31751.3,6
26087,-83.224325,43.088633,48616.3,11
30083,-104.563387,47.785513,127808.9,1
30043,-112.056771,46.126557,148730.5,1
30013,-111.350571,47.316443,147313,3
26055,-85.553848,44.718688,59443.3,9
45083,-81.991053,34.933239,46684.3,4
55009,-87.995926,44.473961,68720.9,2
6083,-120.038485,34.537378,188519.9,4
24005,-76.616569,39.443167,10989.6,5
29095,-94.342507,39.007233,80588.4,20
4003,-109.75412,31.881793,156719.1,3
51061,-77.821585,38.744103,17696.7,2
12091,-86.594194,30.665858,79892.4,7
17179,-89.51626,40.508074,63123,2
