FIPS,Lng,Lat,Duration,Density
26125,-83.38421,42.660452,1845460,51
6037,-118.261862,34.196398,1992671.1,152
26163,-83.261953,42.284664,1815778.5,78
27053,-93.475185,45.006064,1571829.4,32
24510,-76.610516,39.300214,2171504.6,15
6081,-122.371542,37.414664,2474452,43
17031,-87.645455,41.894294,1600935.9,60
34027,-74.547427,40.858581,2420584.6,10
17111,-88.452245,42.324298,1597428.6,2
12103,-82.739518,27.903122,1685303.4,9
5005,-92.330438,36.28071,856520.4,2
34017,-74.078627,40.731384,2447056,16
36119,-73.745912,41.15277,2499947.2,7
36093,-74.043583,42.817542,2440276.2,4
12117,-81.13198,28.690079,1700071.2,3
25023,-70.741942,41.987196,2671154,7
18105,-86.523325,39.160751,1376971.1,4
34023,-74.407585,40.439593,2422961.7,8
36103,-72.692218,40.943554,2557964.1,21
27037,-93.062481,44.670893,1562117.9,9
34025,-74.152446,40.287056,2446476.5,6
40143,-95.941731,36.120121,631151.4,21
1083,-86.9814,34.810239,1159748.9,4
26121,-86.751892,43.289258,1709290.3,3
12086,-80.499045,25.610494,2007092.2,25
9005,-73.235428,41.791897,2551776.8,13
4021,-111.367257,32.91891,1318418,28
33011,-71.723101,42.911643,2630248.3,33
34035,-74.61993,40.565522,2400791.4,12
25017,-71.396507,42.479477,2662669.2,30
18067,-86.114118,40.483537,1510084.3,4
26049,-83.706372,43.021077,1840814.6,48
39155,-80.767656,41.308936,1905051,7
26145,-84.05541,43.328267,1856013.6,18
11001,-77.017094,38.904149,2117303.3,30
48201,-95.393037,29.857273,227027.5,72
23005,-70.330375,43.808348,2768899.6,8
4015,-113.749689,35.717705,1668994.7,3
44007,-71.578242,41.870488,2662491.3,13
42049,-80.096386,42.117952,1981781.2,5
4013,-112.495534,33.346541,1426223.5,66
26161,-83.844634,42.252327,1789551.8,28
25025,-71.020173,42.33196,2688657.1,46
18089,-87.374337,41.472239,1539862.3,6
36055,-77.664656,43.464475,2171940.7,24
26159,-86.305697,42.283986,1657001.7,18
44005,-71.284063,41.502732,2632041.2,3
17177,-89.665994,42.349726,1525928.7,1
42015,-76.502124,41.791495,2240827.1,1
26081,-85.547446,43.032497,1763360.2,41
12031,-81.648113,30.335245,1584974,13
34005,-74.663006,39.875786,2393546.9,4
42081,-77.055253,41.343624,2194913.1,1
17043,-88.086038,41.852058,1571166.8,13
55087,-88.464988,44.418226,1760707.2,2
50027,-72.591515,43.588143,2589497.1,1
25013,-72.635648,42.136198,2570486.6,7
42095,-75.307447,40.752791,2349824.3,4
42029,-75.749732,39.973965,2304675.4,6
25027,-71.940282,42.311693,2623011.1,20
42101,-75.133346,40.009376,2354019.9,36
12011,-80.476658,26.19352,1953469.7,35
6087,-122.007205,37.012488,2412268.1,23
51600,-77.299025,38.853183,2094371.9,8
42003,-79.98092,40.46892,1936766.1,22
48167,-94.894865,29.228706,314202.3,6
39035,-81.724217,41.760392,1862830,20
51650,-76.297149,37.04803,2139050.1,2
Windsor CAN,-83.026772,42.317432,1836352.6,134
9011,-72.103452,41.47863,2614569.5,6
39049,-83.008258,39.969447,1670504.1,26
33013,-71.68013,43.299485,2644401,13
18141,-86.288159,41.617699,1605564.4,14
34039,-74.308696,40.659871,2425819,8
39061,-84.544187,39.196927,1527979.9,8
36017,-75.604905,42.489732,2330265.8,1
48231,-96.083807,33.123438,324291.9,1
9003,-72.732916,41.806053,2595033.3,28
39025,-84.149614,39.052084,1560252.5,1
8069,-105.482131,40.663091,1439510.7,3
24003,-76.560511,38.993374,2159726,7
19103,-91.588812,41.668737,1355219.8,1
55043,-90.695368,42.870062,1513626.7,1
9013,-72.340977,41.858076,2623219.7,6
36067,-76.196117,43.00653,2291794.6,3
12099,-80.448673,26.645763,1888654.4,16
12085,-80.398211,27.079954,1860105.3,4
12095,-81.323295,28.514435,1691647,28
Markham CAN,-79.337021,43.856098,2091544.5,26
26099,-82.910869,42.671467,1860963.7,36
34007,-74.961251,39.802352,2375367.4,7
25005,-71.087062,41.748576,2638631.5,5
33005,-72.248217,42.925455,2584407.7,3
48141,-106.241391,31.766403,808618.7,23
34041,-75.009542,40.853524,2382654.3,5
26061,-88.652066,46.998305,2015994.8,8
42131,-76.00878,41.525137,2295381.2,1
34031,-74.300308,41.033763,2447570.6,6
42133,-76.728446,39.921839,2215870.1,1
9009,-72.900204,41.349717,2562704.1,15
36089,-75.074311,44.488113,2416176.7,5
6055,-122.325995,38.507351,2533458.6,7
12009,-80.700384,28.298276,1753985,11
18097,-86.135794,39.782976,1452564.3,14
9007,-72.524227,41.434525,2593943.6,8
26115,-83.487106,41.916097,1775300.8,9
33015,-71.099437,42.98936,2680285.1,12
36001,-73.974014,42.588271,2454754.7,6
6085,-121.690622,37.220777,2414942.7,30
26165,-85.570046,44.331375,1824832.5,6
55133,-88.306707,43.019308,1652232.1,32
36059,-73.589384,40.729687,2483183.5,50
42091,-75.370201,40.209999,2328735.4,9
39099,-80.770396,41.01088,1885158,6
39173,-83.622682,41.360183,1720959.8,2
45045,-82.372077,34.892645,1624619.6,9
42115,-75.800969,41.819665,2297568.2,1
34021,-74.703724,40.282503,2384940,20
6067,-121.340441,38.450011,2471693,26
Longueuil CAN,-73.510712,45.536945,2532791.3,43
6001,-121.913304,37.648081,2450502.1,24
42123,-79.313173,41.843669,2026908.4,2
17161,-90.572203,41.468404,1405678.6,2
34033,-75.357356,39.573828,2399547.8,1
48439,-97.291291,32.77204,251769.8,19
33017,-71.035927,43.293177,2688530.8,7
36061,-73.970174,40.776557,2456029.6,28
36047,-73.950777,40.635133,2460171.8,20
54045,-81.940853,37.830591,1699889.6,1
37009,-81.49877,36.436305,1684048.6,1
51179,-77.459043,38.418933,2066188.5,1
36037,-78.192778,43.00091,2126804.7,3
45019,-79.94248,32.800458,1823425.5,8
45073,-83.061522,34.748759,1562441.1,2
51740,-76.356269,36.85943,2124493,4
51041,-77.585847,37.378434,2016512.1,8
12019,-81.858147,29.987116,1571808.8,1
5119,-92.316515,34.773988,685327,12
42045,-75.398786,39.91667,2337211.5,14
53053,-122.144709,47.040716,3027781.6,31
28047,-89.083376,30.416536,909906.8,3
10003,-75.644132,39.575915,2316523.3,5
24045,-75.632206,38.367389,2213937.7,2
36085,-74.137063,40.563855,2444353.1,8
53029,-122.670503,48.158436,3123200.2,7
36063,-78.792143,43.456731,2110241,3
36005,-73.852939,40.848711,2467967,31
51760,-77.476009,37.531399,2032703,22
51027,-82.038151,37.26812,1687265.3,1
18059,-85.772904,39.822604,1482485.4,2
42047,-78.653938,41.427334,2054849.1,1
51121,-80.387314,37.174885,1771671.5,1
51059,-77.276117,38.833743,2095124,4
51730,-77.392368,37.20473,2027476,2
45091,-81.183189,34.97019,1724898,6
45007,-82.638086,34.519549,1587270.6,4
48453,-97.69127,30.239513,9549.4,19
48157,-95.771015,29.526602,205075.7,14
37183,-78.650624,35.789846,1941265.9,20
48113,-96.778424,32.766987,260251.2,45
1089,-86.55108,34.764238,1197645.5,11
8031,-104.880625,39.761849,1323190.3,34
48071,-94.668875,29.703933,336954.4,2
18095,-85.722454,40.166203,1507387.1,1
28149,-90.851791,32.357005,1014710.5,1
48029,-98.520147,29.448671,112243.6,40
12001,-82.357221,29.67574,1531335,4
18157,-86.893943,40.38926,1466460.4,5
28121,-89.946552,32.262057,1013205.9,5
35001,-106.669065,35.054002,1015651.2,6
30081,-114.119065,46.079298,2430155.6,2
40071,-97.143755,36.814842,669527,2
6013,-121.951543,37.919479,2460128.4,27
53035,-122.649636,47.639687,3069216.9,39
9001,-73.366757,41.228103,2532831.7,9
53033,-121.832375,47.493554,3035641.7,25
39133,-81.196932,41.16864,1867788.4,3
51830,-76.706717,37.269293,2094086.3,2
51137,-78.00998,38.250439,2016761.1,1
51087,-77.300333,37.437521,2048456.6,4
40109,-97.409401,35.554611,548336.3,23
6029,-118.729506,35.346629,2053768.2,5
19013,-92.306059,42.472888,1403435.8,6
25021,-71.179875,42.169703,2689665.6,17
18069,-85.478598,40.826394,1577991.2,2
1095,-86.321668,34.309564,1236840.9,3
47103,-86.593388,35.142532,1195771.4,1
34013,-74.246136,40.787217,2445664.1,22
36069,-77.303277,42.856695,2207466.7,11
37135,-79.119355,36.062499,1903199.5,5
28099,-89.119274,32.752518,1100442.3,1
51680,-79.195458,37.399016,1884774.3,1
51107,-77.638857,39.08113,2095137.7,3
12127,-81.161813,29.057617,1676655.3,5
28127,-89.917707,31.902503,982689.5,1
13121,-84.468182,33.790034,1410757.5,28
6097,-122.945194,38.532574,2576535.6,2
East York CAN,-79.341667,43.6912,2074691,69
51610,-77.174639,38.883787,2104164.6,9
51685,-77.448681,38.768991,2077847.1,5
51510,-77.082026,38.818343,2108202.8,4
51175,-77.103856,36.720173,2059371,1
51540,-78.485381,38.037658,1967646.5,1
51683,-77.484727,38.747561,2074816,3
48209,-98.029267,30.061225,44182.4,4
36109,-76.473712,42.453281,2261741.9,2
36081,-73.837929,40.658557,2465686.3,21
54107,-81.515928,39.211679,1782974.7,2
42077,-75.590627,40.614241,2325256.4,2
22103,-89.951962,30.410022,869682.3,11
6041,-122.745974,38.051817,2539656.2,9
48027,-97.481921,31.04211,75529.1,7
17025,-88.483789,38.747312,1241180.7,1
42107,-76.2178,40.70369,2267146.4,1
12073,-84.2778,30.45931,1353235.1,4
48491,-97.605069,30.64903,40247.7,4
8035,-104.926199,39.326435,1278727.2,4
36045,-76.053522,43.995371,2338843.3,7
6045,-123.442881,39.432388,2694810.6,1
24021,-77.397627,39.470427,2155729.3,6
25015,-72.663694,42.339459,2560496.9,3
39055,-81.173505,41.499322,1884163.1,5
6095,-121.939594,38.267226,2510561.4,8
42017,-75.10706,40.336887,2352310.6,4
Vaughan CAN,-79.508278,43.837208,2083457.8,29
28045,-89.47985,30.391437,879563.5,4
41017,-121.225575,43.915118,2802705.6,4
55075,-87.991198,45.346899,1874373.3,4
20201,-97.095611,39.776714,953484.4,1
Chatham-Kent CAN,-82.19104,42.404804,1836539.1,3
46081,-103.796528,44.353669,1627174.8,2
46103,-102.823802,44.002349,1545034.2,3
51810,-76.02402,36.779322,2152828.6,3
Mississauga CAN,-79.640579,43.59531,2053822,37
26069,-82.849447,44.329482,1972162.5,1
45015,-79.953655,33.2077,1833324.6,2
25009,-70.865107,42.642711,2694461.2,13
6073,-116.776117,33.023604,1820676.8,78
51155,-80.713444,37.063385,1742924.7,1
13057,-84.475057,34.244317,1406800.4,8
24037,-76.534271,38.222666,2190507.9,1
37077,-78.657634,36.299884,1943816,2
41003,-123.426317,44.490623,3012636.1,7
54061,-80.059074,39.633645,1927725.2,2
18057,-86.020586,40.04987,1481226.8,5
38089,-102.662026,46.817031,1834576.9,1
38053,-103.403215,47.742475,1954503.5,1
38035,-97.450851,47.926003,1741326.1,5
38095,-99.248158,48.682183,1864570.7,1
38069,-99.966497,48.238883,1862628.7,1
38061,-102.364756,48.210291,2001341.5,1
27155,-96.475049,45.76984,1557128.6,1
38015,-100.462001,46.971843,1780931.6,1
50017,-72.369687,44.003392,2624643.6,2
24027,-76.924406,39.252264,2147418.7,12
39045,-82.628276,39.752935,1688794.8,2
37063,-78.877919,36.036589,1924713.6,10
29161,-91.790349,37.866326,1038721.2,2
20045,-95.290529,38.896573,919590.2,3
48479,-99.326641,27.770584,295492.8,6
37159,-80.525344,35.639218,1808590.6,2
29510,-90.244582,38.635699,1186030.6,33
17201,-89.161205,42.337396,1559687.2,4
20079,-97.436707,38.050144,789110.3,1
20141,-98.767876,39.348649,958554.6,1
20209,-94.763087,39.115384,963128.6,37
20059,-95.278962,38.558019,884190.8,2
46109,-96.947551,45.623397,1522571.4,1
46011,-96.797797,44.376675,1419537.4,2
46029,-97.198843,44.966324,1451918.6,1
46111,-98.092105,44.021032,1381953.1,1
32029,-119.524646,39.438385,2421097.7,11
32013,-118.127592,41.407914,2367649.7,1
39153,-81.534936,41.121851,1844974.5,6
19113,-91.597674,42.077951,1397509.6,2
47189,-86.29021,36.148476,1243649.6,1
6079,-120.44754,35.385227,2175647.2,3
51135,-78.052162,37.143696,1974781.5,2
51083,-78.939614,36.766461,1904752.1,1
39113,-84.290546,39.755218,1574217.3,7
46099,-96.795726,43.667472,1331117.1,1
32003,-115.013819,36.214236,1892653.2,47
2122,-152.321973,60.366373,3905937.2,1
18127,-87.071308,41.509922,1558992.5,1
13067,-84.574166,33.93994,1401793.2,16
Whitby CAN,-78.942932,43.897545,2110997.8,11
13135,-84.022938,33.959101,1447559.4,20
45031,-79.962116,34.332185,1834264,2
18035,-85.398856,40.227165,1528115.2,2
18003,-85.07223,41.091855,1620428.3,1
39095,-83.468867,41.682321,1753524.5,6
39017,-84.565397,39.439915,1542991.5,5
6065,-116.002239,33.729828,1798707.9,4
6059,-117.777207,33.675687,1932237,80
45067,-79.362131,34.080701,1902180.2,2
Major's Hill Park CAN,-75.69883,45.427944,2400674.8,18
51029,-78.529169,37.573928,1939500.1,1
13303,-82.798112,32.971848,1580818.6,1
55079,-87.481575,43.017655,1674826.5,7
Ajax CAN,-79.02037,43.850857,2104016.7,5
26147,-82.668914,42.928804,1887670.4,20
51085,-77.490992,37.760166,2044087.7,6
Pickering CAN,-79.086761,43.838413,2099011.4,6
55131,-88.232917,43.391156,1699357.4,6
29183,-90.674915,38.781102,1173008.5,7
51143,-79.398502,36.821721,1862692.1,2
51750,-80.557048,37.120036,1759337,1
38101,-101.540537,48.216686,1955641.1,2
13245,-82.074998,33.361487,1634670.8,9
55127,-88.541731,42.66811,1612464.7,1
20131,-96.005381,39.791043,999499.1,2
38097,-97.164754,47.446215,1704253.8,2
20121,-94.832963,38.566772,910104.7,1
