FIPS,Lng,Lat,Duration,Density
26125,-83.38421,42.660452,146527,51
6037,-118.261862,34.196398,12048.4,152
26163,-83.261953,42.284664,145092.1,78
27053,-93.475185,45.006064,122537.6,32
24510,-76.610516,39.300214,171001.6,15
6081,-122.371542,37.414664,20571,43
17031,-87.645455,41.894294,128657.1,60
34027,-74.547427,40.858581,177679.7,10
17111,-88.452245,42.324298,127741.4,2
12103,-82.739518,27.903122,166496.2,9
5005,-92.330438,36.28071,107000.5,2
34017,-74.078627,40.731384,179897.7,16
36119,-73.745912,41.15277,182177.6,7
36093,-74.043583,42.817542,182311.3,4
12117,-81.13198,28.690079,165645.2,3
25023,-70.741942,41.987196,196572.4,7
18105,-86.523325,39.160751,131719.5,4
34023,-74.407585,40.439593,179521.2,8
36103,-72.692218,40.943554,186287.5,21
27037,-93.062481,44.670893,121774.8,9
34025,-74.152446,40.287056,179893.4,6
40143,-95.941731,36.120121,90499,21
1083,-86.9814,34.810239,128202.1,4
26121,-86.751892,43.289258,142119.5,3
12086,-80.499045,25.610494,180472.8,25
9005,-73.235428,41.791897,186301.4,13
4021,-111.367257,32.91891,37204,28
33011,-71.723101,42.911643,196371.8,33
34035,-74.61993,40.565522,178629.2,12
25017,-71.396507,42.479477,194670.7,30
18067,-86.114118,40.483537,136514.6,4
26049,-83.706372,43.021077,145311.5,48
39155,-80.767656,41.308936,153784,7
26145,-84.05541,43.328267,148173.5,18
11001,-77.017094,38.904149,171049.9,30
48201,-95.393037,29.857273,102742.8,72
23005,-70.330375,43.808348,202305.5,8
4015,-113.749689,35.717705,30016.8,3
44007,-71.578242,41.870488,192152.8,13
42049,-80.096386,42.117952,157286.4,5
4013,-112.495534,33.346541,30635,66
26161,-83.844634,42.252327,143157,28
25025,-71.020173,42.33196,194570,46
18089,-87.374337,41.472239,129904,6
36055,-77.664656,43.464475,168713.2,24
26159,-86.305697,42.283986,135540.8,18
44005,-71.284063,41.502732,193533.8,3
17177,-89.665994,42.349726,125308.8,1
42015,-76.502124,41.791495,173614.5,1
26081,-85.547446,43.032497,140014.3,41
12031,-81.648113,30.335245,158056.3,13
34005,-74.663006,39.875786,178276.2,4
42081,-77.055253,41.343624,169150.2,1
17043,-88.086038,41.852058,126943.4,13
55087,-88.464988,44.418226,135438.6,2
50027,-72.591515,43.588143,192682.9,1
25013,-72.635648,42.136198,189041.3,7
42095,-75.307447,40.752791,175917.8,4
42029,-75.749732,39.973965,174650.9,6
25027,-71.940282,42.311693,191976.1,20
42101,-75.133346,40.009376,175976.9,36
12011,-80.476658,26.19352,177745.5,35
6087,-122.007205,37.012488,17757.5,23
51600,-77.299025,38.853183,170029.1,8
42003,-79.98092,40.46892,156530.6,22
48167,-94.894865,29.228706,106320,6
39035,-81.724217,41.760392,151308.5,20
51650,-76.297149,37.04803,172876.5,2
Windsor CAN,-83.026772,42.317432,146289.8,134
9011,-72.103452,41.47863,189479.3,6
39049,-83.008258,39.969447,143454.1,26
33013,-71.68013,43.299485,196926.2,13
18141,-86.288159,41.617699,134194.6,14
34039,-74.308696,40.659871,179554.5,8
39061,-84.544187,39.196927,138731.5,8
36017,-75.604905,42.489732,177731.3,1
48231,-96.083807,33.123438,94074.7,1
9003,-72.732916,41.806053,187589.7,28
39025,-84.149614,39.052084,141534.1,1
8069,-105.482131,40.663091,76628.4,3
24003,-76.560511,38.993374,172175.2,7
19103,-91.588812,41.668737,113833.3,1
55043,-90.695368,42.870062,122601.1,1
9013,-72.340977,41.858076,188675.9,6
36067,-76.196117,43.00653,174128.8,3
12099,-80.448673,26.645763,176641.5,16
12085,-80.398211,27.079954,174305.3,4
12095,-81.323295,28.514435,164277.6,28
Markham CAN,-79.337021,43.856098,162887.1,26
26099,-82.910869,42.671467,148333.6,36
34007,-74.961251,39.802352,177407.1,7
25005,-71.087062,41.748576,195607.9,5
33005,-72.248217,42.925455,192523.3,3
48141,-106.241391,31.766403,59310.4,23
34041,-75.009542,40.853524,176181.6,5
26061,-88.652066,46.998305,149390,8
42131,-76.00878,41.525137,175538.5,1
34031,-74.300308,41.033763,179117,6
42133,-76.728446,39.921839,171002,1
9009,-72.900204,41.349717,186083.9,15
36089,-75.074311,44.488113,181500.5,5
6055,-122.325995,38.507351,23635.4,7
12009,-80.700384,28.298276,167423.7,11
18097,-86.135794,39.782976,132040.4,14
9007,-72.524227,41.434525,188285.3,8
26115,-83.487106,41.916097,145671.3,9
33015,-71.099437,42.98936,197848.6,12
36001,-73.974014,42.588271,183545.5,6
6085,-121.690622,37.220777,17886.3,30
26165,-85.570046,44.331375,145811.6,6
55133,-88.306707,43.019308,130521.4,32
36059,-73.589384,40.729687,182136.4,50
42091,-75.370201,40.209999,175704.2,9
39099,-80.770396,41.01088,154332,6
