FIPS,Lng,Lat,Duration,Density
26125,-83.38421,42.660452,1095838.1,51
6037,-118.261862,34.196398,4114997.1,152
26163,-83.261953,42.284664,1061578.5,78
27053,-93.475185,45.006064,1823800.6,32
24510,-76.610516,39.300214,558454.6,15
6081,-122.371542,37.414664,4262828.3,43
17031,-87.645455,41.894294,1298666.5,60
34027,-74.547427,40.858581,334578.8,10
17111,-88.452245,42.324298,1376905.8,2
12103,-82.739518,27.903122,1916515.6,9
5005,-92.330438,36.28071,1924568.7,2
34017,-74.078627,40.731384,299144.3,16
36119,-73.745912,41.15277,254664.1,7
36093,-74.043583,42.817542,250234.3,4
12117,-81.13198,28.690079,1821971.3,3
25023,-70.741942,41.987196,47602.8,7
18105,-86.523325,39.160751,1309884.2,4
34023,-74.407585,40.439593,344187.3,8
36103,-72.692218,40.943554,180006.7,21
27037,-93.062481,44.670893,1737708.9,9
34025,-74.152446,40.287056,340445.2,6
40143,-95.941731,36.120121,2166334.4,21
1083,-86.9814,34.810239,1630945.6,4
26121,-86.751892,43.289258,1292254.6,3
12086,-80.499045,25.610494,2149388.5,25
9005,-73.235428,41.791897,191364.7,13
4021,-111.367257,32.91891,3634647.4,28
33011,-71.723101,42.911643,82127.8,33
34035,-74.61993,40.565522,344959.1,12
25017,-71.396507,42.479477,33528.5,30
18067,-86.114118,40.483537,1195175.5,4
26049,-83.706372,43.021077,1126597.9,48
39155,-80.767656,41.308936,803063.4,7
26145,-84.05541,43.328267,1165941,18
11001,-77.017094,38.904149,613758.4,30
48201,-95.393037,29.857273,2643419.6,72
23005,-70.330375,43.808348,177181.3,8
4015,-113.749689,35.717705,3676160.5,3
44007,-71.578242,41.870488,69385.3,13
42049,-80.096386,42.117952,706923.3,5
4013,-112.495534,33.346541,3702783,66
26161,-83.844634,42.252327,1060232,28
25025,-71.020173,42.33196,3.5,46
18089,-87.374337,41.472239,1261466.8,6
36055,-77.664656,43.464475,535027.4,24
26159,-86.305697,42.283986,1218783.2,18
44005,-71.284063,41.502732,95127.7,3
17177,-89.665994,42.349726,1460516.3,1
42015,-76.502124,41.791495,468756.1,1
26081,-85.547446,43.032497,1218475.3,41
12031,-81.648113,30.335245,1631023.1,13
34005,-74.663006,39.875786,404843.9,4
42081,-77.055253,41.343624,517159.2,1
17043,-88.086038,41.852058,1328927.2,13
55087,-88.464988,44.418226,1451828.1,2
50027,-72.591515,43.588143,176438.1,1
25013,-72.635648,42.136198,132033,7
42095,-75.307447,40.752791,388466.7,4
42029,-75.749732,39.973965,453226.5,6
25027,-71.940282,42.311693,73424.9,20
42101,-75.133346,40.009376,410700.3,36
12011,-80.476658,26.19352,2095356.3,35
6087,-122.007205,37.012488,4286343.4,23
51600,-77.299025,38.853183,636178,8
42003,-79.98092,40.46892,821334.7,22
48167,-94.894865,29.228706,2681037.3,6
39035,-81.724217,41.760392,829131.3,20
51650,-76.297149,37.04803,864037.6,2
Windsor CAN,-83.026772,42.317432,902913.3,134
9011,-72.103452,41.47863,130888.9,6
39049,-83.008258,39.969447,1036727.6,26
33013,-71.68013,43.299485,116144.5,13
18141,-86.288159,41.617699,1180977.9,14
34039,-74.308696,40.659871,320192.5,8
39061,-84.544187,39.196927,1183467.5,8
36017,-75.604905,42.489732,379372.6,1
48231,-96.083807,33.123438,2384643.8,1
9003,-72.732916,41.806053,146704.1,28
39025,-84.149614,39.052084,1186999.6,1
8069,-105.482131,40.663091,2767297,3
24003,-76.560511,38.993374,591752,7
19103,-91.588812,41.668737,1574483.6,1
55043,-90.695368,42.870062,1569768,1
9013,-72.340977,41.858076,114997,6
36067,-76.196117,43.00653,406587,3
12099,-80.448673,26.645763,2040968.7,16
12085,-80.398211,27.079954,1997419.9,4
12095,-81.323295,28.514435,1835335.6,28
Markham CAN,-79.337021,43.856098,695953.7,26
26099,-82.910869,42.671467,1106763.7,36
34007,-74.961251,39.802352,425276.7,7
25005,-71.087062,41.748576,65903.7,5
33005,-72.248217,42.925455,113369.6,3
48141,-106.241391,31.766403,3276591.7,23
34041,-75.009542,40.853524,363321.8,5
26061,-88.652066,46.998305,1701847.1,8
42131,-76.00878,41.525137,427572.2,1
34031,-74.300308,41.033763,306530.5,6
42133,-76.728446,39.921839,531502.7,1
9009,-72.900204,41.349717,182401.4,15
36089,-75.074311,44.488113,425130.5,5
6055,-122.325995,38.507351,4200385,7
12009,-80.700384,28.298276,1851757.5,11
18097,-86.135794,39.782976,1236196.3,14
9007,-72.524227,41.434525,157733.7,8
26115,-83.487106,41.916097,1019335.9,9
33015,-71.099437,42.98936,71355.8,12
36001,-73.974014,42.588271,246592.6,6
6085,-121.690622,37.220777,4261928.6,30
26165,-85.570046,44.331375,1335125.8,6
55133,-88.306707,43.019308,1313398.6,32
36059,-73.589384,40.729687,255537.4,50
42091,-75.370201,40.209999,416440.4,9
39099,-80.770396,41.01088,825928.3,6
39173,-83.622682,41.360183,987395.2,2
45045,-82.372077,34.892645,1237434.8,9
42115,-75.800969,41.819665,403492.2,1
34021,-74.703724,40.282503,367698.1,20
6067,-121.340441,38.450011,4118476.5,26
Longueuil CAN,-73.510712,45.536945,406430,43
6001,-121.913304,37.648081,4209795.7,24
42123,-79.313173,41.843669,684617.1,2
17161,-90.572203,41.468404,1498635.8,2
34033,-75.357356,39.573828,460408.3,1
48439,-97.291291,32.77204,2497427.6,19
33017,-71.035927,43.293177,100988.3,7
36061,-73.970174,40.776557,291003,28
36047,-73.950777,40.635133,282691.8,20
54045,-81.940853,37.830591,1119526.8,1
37009,-81.49877,36.436305,1121880.4,1
51179,-77.459043,38.418933,672127.1,1
36037,-78.192778,43.00091,545304.6,3
45019,-79.94248,32.800458,1313189.1,8
45073,-83.061522,34.748759,1304174.6,2
51740,-76.356269,36.85943,898859,4
51041,-77.585847,37.378434,784136,8
12019,-81.858147,29.987116,1677703.1,1
5119,-92.316515,34.773988,2007777.6,12
42045,-75.398786,39.91667,432149.7,14
53053,-122.144709,47.040716,4129570.7,31
28047,-89.083376,30.416536,2082013.7,3
10003,-75.644132,39.575915,472773.7,5
24045,-75.632206,38.367389,561813.8,2
36085,-74.137063,40.563855,310231.8,8
53029,-122.670503,48.158436,4189238.1,7
