FIPS,Lng,Lat,Duration,Density
26125,-83.38421,42.660452,895939.1,51
6037,-118.261862,34.196398,3452841.5,152
26163,-83.261953,42.284664,861679.5,78
27053,-93.475185,45.006064,1607333,32
24510,-76.610516,39.300214,571583.2,15
6081,-122.371542,37.414664,3892237.3,43
17031,-87.645455,41.894294,1016728.7,60
34027,-74.547427,40.858581,812306.8,10
17111,-88.452245,42.324298,1094968,2
12103,-82.739518,27.903122,808765.2,9
5005,-92.330438,36.28071,1085585.4,2
34017,-74.078627,40.731384,831459.9,16
36119,-73.745912,41.15277,882529.2,7
36093,-74.043583,42.817542,1008255.3,4
12117,-81.13198,28.690079,713742.3,3
25023,-70.741942,41.987196,1055557.9,7
18105,-86.523325,39.160751,740612.5,4
34023,-74.407585,40.439593,796473.6,8
36103,-72.692218,40.943554,942368,21
27037,-93.062481,44.670893,1556277,9
34025,-74.152446,40.287056,808968.3,6
40143,-95.941731,36.120121,1422112.9,21
1083,-86.9814,34.810239,599660.6,4
26121,-86.751892,43.289258,1062345.2,3
12086,-80.499045,25.610494,1041159.5,25
9005,-73.235428,41.791897,970366.1,13
4021,-111.367257,32.91891,2893325.7,28
33011,-71.723101,42.911643,1134827,33
34035,-74.61993,40.565522,787144.2,12
25017,-71.396507,42.479477,1116246.1,30
18067,-86.114118,40.483537,825218.4,4
26049,-83.706372,43.021077,926698.9,48
39155,-80.767656,41.308936,731885.6,7
26145,-84.05541,43.328267,966042,18
11001,-77.017094,38.904149,521905.5,30
48201,-95.393037,29.857273,1670639.5,72
23005,-70.330375,43.808348,1279421.8,8
4015,-113.749689,35.717705,3014004.9,3
44007,-71.578242,41.870488,1058551.1,13
42049,-80.096386,42.117952,807547.7,5
4013,-112.495534,33.346541,3001131.2,66
26161,-83.844634,42.252327,860333,28
25025,-71.020173,42.33196,1130041.2,46
18089,-87.374337,41.472239,973645.8,6
36055,-77.664656,43.464475,924581.5,24
26159,-86.305697,42.283986,982207,18
44005,-71.284063,41.502732,1016445.1,3
17177,-89.665994,42.349726,1178578.5,1
42015,-76.502124,41.791495,824623.8,1
26081,-85.547446,43.032497,992405,41
12031,-81.648113,30.335245,522794.1,13
34005,-74.663006,39.875786,763927.2,4
42081,-77.055253,41.343624,753820.4,1
17043,-88.086038,41.852058,1046989.4,13
55087,-88.464988,44.418226,1281972.5,2
50027,-72.591515,43.588143,1143769.1,1
25013,-72.635648,42.136198,1023081.3,7
42095,-75.307447,40.752791,762064.7,4
42029,-75.749732,39.973965,679646.9,6
25027,-71.940282,42.311693,1075122.3,20
42101,-75.133346,40.009376,729652.4,36
12011,-80.476658,26.19352,987127.3,35
6087,-122.007205,37.012488,3830053.4,23
51600,-77.299025,38.853183,504824.7,8
42003,-79.98092,40.46892,639980.3,22
48167,-94.894865,29.228706,1690168.3,6
39035,-81.724217,41.760392,757208.2,20
51650,-76.297149,37.04803,463783,2
Windsor CAN,-83.026772,42.317432,811475.5,134
9011,-72.103452,41.47863,998973.4,6
39049,-83.008258,39.969447,618144.4,26
33013,-71.68013,43.299485,1173785.2,13
18141,-86.288159,41.617699,924861.2,14
34039,-74.308696,40.659871,810222.9,8
39061,-84.544187,39.196927,637151.6,8
36017,-75.604905,42.489732,925337.4,1
48231,-96.083807,33.123438,1460204.8,1
9003,-72.732916,41.806053,993617.8,28
39025,-84.149614,39.052084,606944.1,1
8069,-105.482131,40.663091,2261281.3,3
24003,-76.560511,38.993374,557634.7,7
19103,-91.588812,41.668737,1255607.3,1
55043,-90.695368,42.870062,1287830.2,1
9013,-72.340977,41.858076,1020692.4,6
36067,-76.196117,43.00653,940131.7,3
12099,-80.448673,26.645763,932739.7,16
12085,-80.398211,27.079954,889190.9,4
12095,-81.323295,28.514435,727106.6,28
Markham CAN,-79.337021,43.856098,1042944.8,26
26099,-82.910869,42.671467,906864.7,36
34007,-74.961251,39.802352,746107.6,7
25005,-71.087062,41.748576,1023035.4,5
33005,-72.248217,42.925455,1112764.6,3
48141,-106.241391,31.766403,2419213.5,23
34041,-75.009542,40.853524,783405.5,5
26061,-88.652066,46.998305,1471937.7,8
42131,-76.00878,41.525137,825620.2,1
34031,-74.300308,41.033763,839992.6,6
42133,-76.728446,39.921839,629968.7,1
9009,-72.900204,41.349717,947108,15
36089,-75.074311,44.488113,1144731,5
6055,-122.325995,38.507351,3775715.7,7
12009,-80.700384,28.298276,743528.5,11
18097,-86.135794,39.782976,786223.5,14
9007,-72.524227,41.434525,978347.5,8
26115,-83.487106,41.916097,819436.9,9
33015,-71.099437,42.98936,1173271.1,12
36001,-73.974014,42.588271,983057.2,6
6085,-121.690622,37.220777,3832728,30
26165,-85.570046,44.331375,1118100.1,6
55133,-88.306707,43.019308,1147442.1,32
36059,-73.589384,40.729687,867587.4,50
42091,-75.370201,40.209999,717969.9,9
39099,-80.770396,41.01088,702637.2,6
39173,-83.622682,41.360183,774596.8,2
45045,-82.372077,34.892645,142126.6,9
42115,-75.800969,41.819665,859043.6,1
34021,-74.703724,40.282503,766968.1,20
6067,-121.340441,38.450011,3693807.2,26
Longueuil CAN,-73.510712,45.536945,1271526.3,43
6001,-121.913304,37.648081,3868287.4,24
42123,-79.313173,41.843669,773221.8,2
17161,-90.572203,41.468404,1178863.1,2
34033,-75.357356,39.573828,770288,1
48439,-97.291291,32.77204,1572988.6,19
33017,-71.035927,43.293177,1200182.3,7
36061,-73.970174,40.776557,840433.5,28
36047,-73.950777,40.635133,844575.7,20
54045,-81.940853,37.830591,343680,1
37009,-81.49877,36.436305,149680.9,1
51179,-77.459043,38.418933,464297.1,1
36037,-78.192778,43.00091,896627.2,3
45019,-79.94248,32.800458,266749.3,8
45073,-83.061522,34.748759,205410.4,2
51740,-76.356269,36.85943,422883.9,4
51041,-77.585847,37.378434,363046.2,8
12019,-81.858147,29.987116,569474.1,1
5119,-92.316515,34.773988,1083357.7,12
42045,-75.398786,39.91667,704699.1,14
53053,-122.144709,47.040716,3873243.2,31
28047,-89.083376,30.416536,964123.9,3
10003,-75.644132,39.575915,697023.1,5
24045,-75.632206,38.367389,572001.2,2
36085,-74.137063,40.563855,827958.3,8
53029,-122.670503,48.158436,3968661.8,7
36063,-78.792143,43.456731,929128.8,3
36005,-73.852939,40.848711,852370.9,31
51760,-77.476009,37.531399,383589.1,22
51027,-82.038151,37.26812,300436.9,1
18059,-85.772904,39.822604,763497.5,2
42047,-78.653938,41.427334,728099.7,1
51121,-80.387314,37.174885,222791.3,1
51059,-77.276117,38.833743,508370.2,4
51730,-77.392368,37.20473,370076.2,2
45091,-81.183189,34.97019,53236.2,6
45007,-82.638086,34.519549,178540.2,4
48453,-97.69127,30.239513,1771197.3,19
48157,-95.771015,29.526602,1718847.2,14
37183,-78.650624,35.789846,207433.2,20
48113,-96.778424,32.766987,1526536.3,45
1089,-86.55108,34.764238,565840.8,11
8031,-104.880625,39.761849,2162626.6,34
48071,-94.668875,29.703933,1627922.6,2
18095,-85.722454,40.166203,782838.3,1
28149,-90.851791,32.357005,942418.9,1
48029,-98.520147,29.448671,1876372.3,40
12001,-82.357221,29.67574,620659.4,4
18157,-86.893943,40.38926,873601.7,5
28121,-89.946552,32.262057,869918.6,5
35001,-106.669065,35.054002,2351089.8,6
30081,-114.119065,46.079298,3214209.6,2
40071,-97.143755,36.814842,1487376.4,2
6013,-121.951543,37.919479,3779256.3,27
53035,-122.649636,47.639687,3914678.5,39
9001,-73.366757,41.228103,911200.4,9
53033,-121.832375,47.493554,3881103.3,25
39133,-81.196932,41.16864,719232.3,3
51830,-76.706717,37.269293,418819.2,2
51137,-78.00998,38.250439,421044.7,1
51087,-77.300333,37.437521,404615.5,4
40109,-97.409401,35.554611,1537922.5,23
6029,-118.729506,35.346629,3471553.5,5
19013,-92.306059,42.472888,1358649.8,6
25021,-71.179875,42.169703,1099966.1,17
18069,-85.478598,40.826394,814508.3,2
1095,-86.321668,34.309564,522987.6,3
47103,-86.593388,35.142532,557961.5,1
34013,-74.246136,40.787217,823690.7,22
36069,-77.303277,42.856695,892132.8,11
37135,-79.119355,36.062499,174776,5
28099,-89.119274,32.752518,787154.3,1
51680,-79.195458,37.399016,283183.6,1
51107,-77.638857,39.08113,518159.2,3
12127,-81.161813,29.057617,684495.6,5
28127,-89.917707,31.902503,895571.6,1
13121,-84.468182,33.790034,365198.1,28
6097,-122.945194,38.532574,3838328,2
East York CAN,-79.341667,43.6912,1026092,69
51610,-77.174639,38.883787,515585.8,9
51685,-77.448681,38.768991,488299.9,5
51510,-77.082026,38.818343,510695.8,4
51175,-77.103856,36.720173,364961.6,1
51540,-78.485381,38.037658,370121.9,1
51683,-77.484727,38.747561,485268.8,3
48209,-98.029267,30.061225,1808311.1,4
36109,-76.473712,42.453281,873811.4,2
36081,-73.837929,40.658557,850090.2,21
54107,-81.515928,39.211679,515446.2,2
42077,-75.590627,40.614241,737098.2,2
22103,-89.951962,30.410022,1020028.1,11
6041,-122.745974,38.051817,3842141.9,9
48027,-97.481921,31.04211,1690245.7,7
17025,-88.483789,38.747312,859215,1
42107,-76.2178,40.70369,724186.3,1
12073,-84.2778,30.45931,597114.1,4
48491,-97.605069,30.64903,1733732.4,4
8035,-104.926199,39.326435,2194571.4,4
36045,-76.053522,43.995371,1036728.6,7
6045,-123.442881,39.432388,3855457.1,1
24021,-77.397627,39.470427,557128.3,6
25015,-72.663694,42.339459,1042985.2,3
39055,-81.173505,41.499322,752304.5,5
6095,-121.939594,38.267226,3754444.4,8
42017,-75.10706,40.336887,740975.4,4
Vaughan CAN,-79.508278,43.837208,1035645.8,29
28045,-89.47985,30.391437,984594.6,4
41017,-121.225575,43.915118,3654209.6,4
55075,-87.991198,45.346899,1289748.9,4
20201,-97.095611,39.776714,1541886.3,1
Chatham-Kent CAN,-82.19104,42.404804,811662,3
46081,-103.796528,44.353669,2232839,2
46103,-102.823802,44.002349,2150698.4,3
51810,-76.02402,36.779322,451219.5,3
Mississauga CAN,-79.640579,43.59531,1008523.6,37
26069,-82.849447,44.329482,1038643.6,1
45015,-79.953655,33.2077,230484.3,2
25009,-70.865107,42.642711,1160575.5,13
6073,-116.776117,33.023604,3405327.8,78
51155,-80.713444,37.063385,208501.1,1
13057,-84.475057,34.244317,352471.6,8
24037,-76.534271,38.222666,593000.9,1
37077,-78.657634,36.299884,217316.5,2
41003,-123.426317,44.490623,3864140.1,7
54061,-80.059074,39.633645,546545,2
18057,-86.020586,40.04987,798405.8,5
38089,-102.662026,46.817031,2295094.9,1
38053,-103.403215,47.742475,2379482.7,1
38035,-97.450851,47.926003,2022895.9,5
38095,-99.248158,48.682183,2185480.6,1
38069,-99.966497,48.238883,2191545.4,1
38061,-102.364756,48.210291,2318285.9,1
27155,-96.475049,45.76984,1835337.4,1
38015,-100.462001,46.971843,2151034.6,1
50017,-72.369687,44.003392,1188842.7,2
24027,-76.924406,39.252264,557605.4,12
39045,-82.628276,39.752935,585810.3,2
37063,-78.877919,36.036589,190880.9,10
29161,-91.790349,37.866326,1090605.4,2
20045,-95.290529,38.896573,1377553.5,3
48479,-99.326641,27.770584,2059621.5,6
37159,-80.525344,35.639218,53854.9,2
29510,-90.244582,38.635699,970254.3,33
17201,-89.161205,42.337396,1144105.9,4
20079,-97.436707,38.050144,1549582.2,1
20141,-98.767876,39.348649,1663286.3,1
20209,-94.763087,39.115384,1346319.4,37
20059,-95.278962,38.558019,1373237.3,2
46109,-96.947551,45.623397,1860967.4,1
46011,-96.797797,44.376675,1789796.9,2
46029,-97.198843,44.966324,1852380.9,1
46111,-98.092105,44.021032,1854820.5,1
32029,-119.524646,39.438385,3484297.7,11
32013,-118.127592,41.407914,3370237,1
39153,-81.534936,41.121851,711221.8,6
19113,-91.597674,42.077951,1286663.8,2
47189,-86.29021,36.148476,536883.8,1
6079,-120.44754,35.385227,3615086.1,3
51135,-78.052162,37.143696,315400.9,2
51083,-78.939614,36.766461,238271.9,1
39113,-84.290546,39.755218,663571.5,7
46099,-96.795726,43.667472,1743757.7,1
32003,-115.013819,36.214236,3232606.5,47
2122,-152.321973,60.366373,4751398.8,1
18127,-87.071308,41.509922,956947.8,1
13067,-84.574166,33.93994,364809.8,16
Whitby CAN,-78.942932,43.897545,1062398.8,11
13135,-84.022938,33.959101,317115.8,20
45031,-79.962116,34.332185,114320.3,2
18035,-85.398856,40.227165,761744.5,2
18003,-85.07223,41.091855,814527.8,1
39095,-83.468867,41.682321,793960.4,6
39017,-84.565397,39.439915,660096.1,5
6065,-116.002239,33.729828,3311344.1,4
6059,-117.777207,33.675687,3452294.6,80
45067,-79.362131,34.080701,180994.7,2
Major's Hill Park CAN,-75.69883,45.427944,1210769.6,18
51029,-78.529169,37.573928,326626.7,1
13303,-82.798112,32.971848,302430.6,1
55079,-87.481575,43.017655,1122921.7,7
Ajax CAN,-79.02037,43.850857,1055417.7,5
26147,-82.668914,42.928804,933571.4,20
51085,-77.490992,37.760166,404545.7,6
Pickering CAN,-79.086761,43.838413,1050412.4,6
55131,-88.232917,43.391156,1176861,6
29183,-90.674915,38.781102,1012167,7
51143,-79.398502,36.821721,216107.1,2
51750,-80.557048,37.120036,215790.2,1
38101,-101.540537,48.216686,2262323.3,2
13245,-82.074998,33.361487,225233.9,9
55127,-88.541731,42.66811,1125692.6,1
20131,-96.005381,39.791043,1467682,2
38097,-97.164754,47.446215,1959532.3,2
20121,-94.832963,38.566772,1337170.4,1
Sudbury CAN,-80.995415,46.493919,1490500,14
St. Catharines CAN,-79.246864,43.159374,932031,4
47093,-83.937721,35.992727,318232.4,13
13117,-84.127336,34.225143,317001.1,15
24043,-77.814671,39.603621,556791.5,2
51115,-76.268808,37.425348,514953.1,1
13089,-84.226343,33.770661,342472.8,10
42069,-75.609587,41.44025,830411.2,1
6111,-119.133143,34.358742,3501738.7,23
4025,-112.573745,34.630044,2933353.3,5
51660,-78.874197,38.436013,404817.9,2
8013,-105.398382,40.094826,2211195.2,4
8045,-107.90978,39.599352,2457081.2,2
46049,-99.153564,45.065476,1987154.6,1
35013,-106.832182,32.350912,2441183.4,2
13051,-81.091768,31.974756,355936.9,7
29189,-90.445954,38.640702,985993.4,17
24025,-76.299789,39.537429,609314,4
55125,-89.501254,46.049848,1486213.9,2
24033,-76.847272,38.82588,531129.3,7
42129,-79.466688,40.311068,626448.5,5
28095,-88.485038,33.89003,730910.6,1
42021,-78.715284,40.494127,615866.4,2
48247,-98.700127,27.041212,2104995.3,1
39093,-82.179722,41.438805,746181,8
17163,-89.928546,38.470198,940729,2
29071,-91.07341,38.408313,1044823.1,1
37089,-82.479634,35.336424,150794.7,2
Kitchener CAN,-80.495064,43.452969,1025936.2,24
28087,-88.439723,33.471424,729116.6,2
51590,-79.408071,36.583334,190571,2
39103,-81.899566,41.116051,707940.6,9
55071,-87.313828,44.105108,1161265.1,4
26151,-82.642815,43.449155,990005.9,5
8014,-105.052125,39.953383,2174317.9,11
54059,-82.158993,37.721151,352931.2,2
26093,-83.911718,42.602532,894739.8,9
51690,-79.863648,36.683527,184958.1,2
1103,-86.846402,34.454484,573783.1,2
23013,-69.038515,44.042045,1398160.5,1
45051,-78.976675,33.909269,210639.3,12
Saint John CAN,-66.067657,45.273918,1666603.7,2
45063,-81.272853,33.892554,158094.9,2
48397,-96.407501,32.889216,1494611.8,4
1121,-86.175805,33.369277,529016,1
1073,-86.896536,33.553444,574883.1,9
13227,-84.490256,34.456621,349198.1,1
34037,-74.691855,41.137424,822363.3,3
56025,-106.764877,42.973641,2413781.9,1
22071,-89.939007,30.068636,1048016.8,25
55025,-89.417852,43.067468,1211646.6,2
29099,-90.543138,38.257414,989006.6,2
39041,-83.007462,40.278941,650312.7,3
6039,-119.749852,37.210039,3698514.8,1
12081,-82.365784,27.481386,844596.6,3
Richmond CAN,-123.133568,49.166592,3985027.9,8
46101,-96.676054,44.012429,1751795.4,1
41043,-122.543756,44.494824,3812641.3,1
8041,-104.527472,38.827383,2126464.9,3
12057,-82.349568,27.90659,799201.8,8
34011,-75.121644,39.328387,693220.7,2
39151,-81.365667,40.814131,678687.1,3
12097,-81.139312,28.059027,803690.8,2
45079,-80.896566,34.029783,134650.7,11
Distrito Federal MEX,-99.1309882,19.44244244,3011756.9,22
13013,-83.712303,33.992009,290158.1,4
25003,-73.213948,42.375314,1003513.9,1
Brampton CAN,-79.76667,43.683334,1019776.5,17
34003,-74.074522,40.95909,848004.1,13
51117,-78.368959,36.687256,265778.1,1
13215,-84.874946,32.510197,462997.5,5
51770,-79.958472,37.27783,247145.3,2
6019,-119.655019,36.761006,3648747.5,17
41067,-123.097615,45.553542,3887231.1,14
4001,-109.493747,35.385845,2628018,2
41051,-122.417173,45.547693,3814974.2,28
20099,-95.297473,37.191468,1340672.2,1
17119,-89.900195,38.827082,961443.5,3
48121,-97.119046,33.205005,1543995,7
24013,-77.015512,39.563189,588506.3,2
37081,-79.788665,36.079065,129660.2,7
22033,-91.093174,30.544002,1076650.1,9
48339,-95.503523,30.302364,1641141.3,8
High River CAN,-113.873505,50.584435,3253519.8,38
26065,-84.373811,42.603534,916291.8,12
49057,-111.875879,41.270355,2815282.6,8
36075,-76.209258,43.461443,979536.1,4
26033,-84.52063,46.321819,1284407.8,8
45055,-80.590885,34.338356,95116.4,1
18039,-85.863986,41.600693,894192,3
12069,-81.712282,28.764113,698388.9,6
16051,-112.318588,43.796965,2942907.4,1
16005,-112.228986,42.692939,2889030,5
8047,-105.528947,39.861082,2221672.7,1
53063,-117.404392,47.620379,3510927.3,16
51620,-76.941396,36.684014,371310.8,1
13103,-81.343337,32.361711,301651.6,1
12053,-82.464835,28.567911,734740.3,1
27131,-93.298503,44.350943,1551552.9,4
53011,-122.485903,45.771674,3820957.8,7
24023,-79.269416,39.529871,520990.1,1
