FIPS,Lng,Lat,Duration,Density
26125,-83.38421,42.660452,360343.6,51
6037,-118.261862,34.196398,2914507.7,152
26163,-83.261953,42.284664,350351.5,78
27053,-93.475185,45.006064,594230.7,32
24510,-76.610516,39.300214,940590.8,15
6081,-122.371542,37.414664,2967003.4,43
17031,-87.645455,41.894294,7099.5,60
34027,-74.547427,40.858581,1044133.3,10
17111,-88.452245,42.324298,84135.8,2
12103,-82.739518,27.903122,1569294.4,9
5005,-92.330438,36.28071,742824,2
34017,-74.078627,40.731384,1083261.8,16
36119,-73.745912,41.15277,1123495.9,7
36093,-74.043583,42.817542,1048414.3,4
12117,-81.13198,28.690079,1550246.1,3
25023,-70.741942,41.987196,1333570.3,7
18105,-86.523325,39.160751,304685.2,4
34023,-74.407585,40.439593,1059906.8,8
36103,-72.692218,40.943554,1194169.9,21
27037,-93.062481,44.670893,543174.7,9
34025,-74.152446,40.287056,1085709.2,6
40143,-95.941731,36.120121,991044,21
1083,-86.9814,34.810239,735671.2,4
26121,-86.751892,43.289258,151293.3,3
12086,-80.499045,25.610494,1866094.4,25
9005,-73.235428,41.791897,1148253.4,13
4021,-111.367257,32.91891,2434158,28
33011,-71.723101,42.911643,1238386.4,33
34035,-74.61993,40.565522,1037736.5,12
25017,-71.396507,42.479477,1270807.3,30
18067,-86.114118,40.483537,196846,4
26049,-83.706372,43.021077,347707.5,48
39155,-80.767656,41.308936,524351.7,7
26145,-84.05541,43.328267,362906.5,18
11001,-77.017094,38.904149,935650.7,30
48201,-95.393037,29.857273,1498048.9,72
23005,-70.330375,43.808348,1377037.7,8
4015,-113.749689,35.717705,2475671.1,3
44007,-71.578242,41.870488,1270629.4,13
42049,-80.096386,42.117952,589919.3,5
4013,-112.495534,33.346541,2502293.6,66
26161,-83.844634,42.252327,307658,28
25025,-71.020173,42.33196,1296795.2,46
18089,-87.374337,41.472239,46908.1,6
36055,-77.664656,43.464475,778768.5,24
26159,-86.305697,42.283986,149437.9,18
44005,-71.284063,41.502732,1268247,3
17177,-89.665994,42.349726,164691.4,1
42015,-76.502124,41.791495,872188.4,1
26081,-85.547446,43.032497,255796.4,41
12031,-81.648113,30.335245,1368610.9,13
34005,-74.663006,39.875786,1062297.1,4
42081,-77.055253,41.343624,836343.6,1
17043,-88.086038,41.852058,33102.3,13
55087,-88.464988,44.418226,270708.1,2
50027,-72.591515,43.588143,1197635.2,1
25013,-72.635648,42.136198,1178624.7,7
42095,-75.307447,40.752791,979676.7,4
42029,-75.749732,39.973965,996296.6,6
25027,-71.940282,42.311693,1231149.2,20
42101,-75.133346,40.009376,1032735.7,36
12011,-80.476658,26.19352,1812471.9,35
6087,-122.007205,37.012488,2990518.5,23
51600,-77.299025,38.853183,930721.9,8
42003,-79.98092,40.46892,611548.2,22
48167,-94.894865,29.228706,1535666.6,6
39035,-81.724217,41.760392,470968.1,20
51650,-76.297149,37.04803,1119498.9,2
Windsor CAN,-83.026772,42.317432,443180.4,134
9011,-72.103452,41.47863,1260133.9,6
39049,-83.008258,39.969447,427866.7,26
33013,-71.68013,43.299485,1252539.1,13
18141,-86.288159,41.617699,118832.9,14
34039,-74.308696,40.659871,1062764.1,8
39061,-84.544187,39.196927,381211.2,8
36017,-75.604905,42.489732,946028.9,1
48231,-96.083807,33.123438,1268568.9,1
9003,-72.732916,41.806053,1199771,28
39025,-84.149614,39.052084,412671.5,1
8069,-105.482131,40.663091,1401227.1,3
24003,-76.560511,38.993374,960811.4,7
19103,-91.588812,41.668737,298684.9,1
55043,-90.695368,42.870062,273943.1,1
9013,-72.340977,41.858076,1216792.1,6
36067,-76.196117,43.00653,899932.7,3
12099,-80.448673,26.645763,1747656.6,16
12085,-80.398211,27.079954,1735007.7,4
12095,-81.323295,28.514435,1541821.9,28
Markham CAN,-79.337021,43.856098,698372.3,26
26099,-82.910869,42.671467,390332.8,36
34007,-74.961251,39.802352,1066988.6,7
25005,-71.087062,41.748576,1316639.1,5
33005,-72.248217,42.925455,1192545.8,3
48141,-106.241391,31.766403,2076102.3,23
34041,-75.009542,40.853524,1006203,5
26061,-88.652066,46.998305,546965.9,8
42131,-76.00878,41.525137,925704.7,1
34031,-74.300308,41.033763,1071119.3,6
42133,-76.728446,39.921839,907491.3,1
9009,-72.900204,41.349717,1198909.9,15
36089,-75.074311,44.488113,1023004.5,5
6055,-122.325995,38.507351,2904560.1,7
12009,-80.700384,28.298276,1589345.3,11
18097,-86.135794,39.782976,258404.4,14
9007,-72.524227,41.434525,1230149.4,8
26115,-83.487106,41.916097,320928.4,9
33015,-71.099437,42.98936,1288423.2,12
36001,-73.974014,42.588271,1062892.8,6
6085,-121.690622,37.220777,2966103.7,30
26165,-85.570046,44.331375,266835.5,6
55133,-88.306707,43.019308,136177.7,32
36059,-73.589384,40.729687,1119389.3,50
42091,-75.370201,40.209999,1005569.5,9
39099,-80.770396,41.01088,527587.5,6
39173,-83.622682,41.360183,312269.8,2
45045,-82.372077,34.892645,974389.4,9
42115,-75.800969,41.819665,928929.5,1
34021,-74.703724,40.282503,1047708.7,20
6067,-121.340441,38.450011,2822651.6,26
Longueuil CAN,-73.510712,45.536945,1139619.1,43
6001,-121.913304,37.648081,2913970.8,24
42123,-79.313173,41.843669,637119,2
17161,-90.572203,41.468404,222837.1,2
34033,-75.357356,39.573828,1091169,1
48439,-97.291291,32.77204,1362464.7,19
33017,-71.035927,43.293177,1296668.9,7
36061,-73.970174,40.776557,1092235.4,28
36047,-73.950777,40.635133,1096377.6,20
54045,-81.940853,37.830591,668016.6,1
37009,-81.49877,36.436305,882350.2,1
51179,-77.459043,38.418933,947011,1
36037,-78.192778,43.00091,733632.5,3
45019,-79.94248,32.800458,1281440.5,8
45073,-83.061522,34.748759,973818.3,2
51740,-76.356269,36.85943,1152674.7,4
51041,-77.585847,37.378434,1024835.9,8
12019,-81.858147,29.987116,1398949.5,1
5119,-92.316515,34.773988,862406.9,12
42045,-75.398786,39.91667,1028832.7,14
53053,-122.144709,47.040716,2885849.8,31
28047,-89.083376,30.416536,1204178.8,3
10003,-75.644132,39.575915,1008144.5,5
24045,-75.632206,38.367389,1123341.8,2
36085,-74.137063,40.563855,1085943.6,8
53029,-122.670503,48.158436,2945517.2,7
36063,-78.792143,43.456731,717068.8,3
36005,-73.852939,40.848711,1104172.8,31
51760,-77.476009,37.531399,1014924.8,22
51027,-82.038151,37.26812,752240.8,1
18059,-85.772904,39.822604,270803.7,2
