FIPS,Lng,Lat,Duration,Density
26125,-83.38421,42.660452,13444.8,51
6037,-118.261862,34.196398,154082.6,152
26163,-83.261953,42.284664,11184.8,78
27053,-93.475185,45.006064,51843.4,32
24510,-76.610516,39.300214,25765.4,15
6081,-122.371542,37.414664,157581.8,43
17031,-87.645455,41.894294,23277.9,60
34027,-74.547427,40.858581,29071.8,10
17111,-88.452245,42.324298,27984.6,2
12103,-82.739518,27.903122,75397.7,9
5005,-92.330438,36.28071,56789.8,2
34017,-74.078627,40.731384,31289.8,16
36119,-73.745912,41.15277,33569.7,7
36093,-74.043583,42.817542,32400.7,4
12117,-81.13198,28.690079,69386.7,3
25023,-70.741942,41.987196,47267.3,7
18105,-86.523325,39.160751,25121.9,4
34023,-74.407585,40.439593,31192.4,8
36103,-72.692218,40.943554,37679.6,21
27037,-93.062481,44.670893,50833.8,9
34025,-74.152446,40.287056,32525.9,6
40143,-95.941731,36.120121,62775.3,21
1083,-86.9814,34.810239,41527,4
26121,-86.751892,43.289258,24427.2,3
12086,-80.499045,25.610494,84622.7,25
9005,-73.235428,41.791897,37693.5,13
4021,-111.367257,32.91891,133895.7,28
33011,-71.723101,42.911643,46461.2,33
34035,-74.61993,40.565522,30021.3,12
25017,-71.396507,42.479477,45344.7,30
18067,-86.114118,40.483537,19808.7,4
26049,-83.706372,43.021077,15043.6,48
39155,-80.767656,41.308936,5053.6,7
26145,-84.05541,43.328267,18840.7,18
11001,-77.017094,38.904149,25813.7,30
48201,-95.393037,29.857273,85724.5,72
23005,-70.330375,43.808348,52979.5,8
4015,-113.749689,35.717705,133586.2,3
44007,-71.578242,41.870488,43544.9,13
42049,-80.096386,42.117952,7375.8,5
4013,-112.495534,33.346541,132693.9,66
26161,-83.844634,42.252327,11929.7,28
25025,-71.020173,42.33196,45244,46
18089,-87.374337,41.472239,21478.6,6
36055,-77.664656,43.464475,19551,24
26159,-86.305697,42.283986,20637,18
44005,-71.284063,41.502732,44925.9,3
17177,-89.665994,42.349726,31552.9,1
42015,-76.502124,41.791495,23943.3,1
26081,-85.547446,43.032497,20140,41
12031,-81.648113,30.335245,59909.1,13
34005,-74.663006,39.875786,31250.9,4
42081,-77.055253,41.343624,20542.3,1
17043,-88.086038,41.852058,25306.1,13
55087,-88.464988,44.418226,37294,2
50027,-72.591515,43.588143,42772.3,1
25013,-72.635648,42.136198,39130.7,7
42095,-75.307447,40.752791,27309.9,4
42029,-75.749732,39.973965,27625.6,6
25027,-71.940282,42.311693,42887.6,20
42101,-75.133346,40.009376,28951.6,36
12011,-80.476658,26.19352,82055.3,35
6087,-122.007205,37.012488,158541.6,23
51600,-77.299025,38.853183,26016.8,8
42003,-79.98092,40.46892,9554,22
48167,-94.894865,29.228706,89728.7,6
39035,-81.724217,41.760392,1397.9,20
51650,-76.297149,37.04803,37886,2
Windsor CAN,-83.026772,42.317432,11769.9,134
9011,-72.103452,41.47863,40871.4,6
39049,-83.008258,39.969447,9581.7,26
33013,-71.68013,43.299485,47015.6,13
18141,-86.288159,41.617699,17702.4,14
34039,-74.308696,40.659871,30946.6,8
39061,-84.544187,39.196927,16978,8
36017,-75.604905,42.489732,27820.7,1
48231,-96.083807,33.123438,73999,1
9003,-72.732916,41.806053,38981.8,28
39025,-84.149614,39.052084,17990.4,1
8069,-105.482131,40.663091,93386,3
24003,-76.560511,38.993374,26939,7
19103,-91.588812,41.668737,37445.3,1
55043,-90.695368,42.870062,38579.6,1
9013,-72.340977,41.858076,40068,6
36067,-76.196117,43.00653,24218.2,3
12099,-80.448673,26.645763,80980.5,16
12085,-80.398211,27.079954,78455.2,4
12095,-81.323295,28.514435,70012.6,28
Markham CAN,-79.337021,43.856098,22227.4,26
26099,-82.910869,42.671467,14082.8,36
34007,-74.961251,39.802352,30381.8,7
25005,-71.087062,41.748576,47000,5
33005,-72.248217,42.925455,42612.7,3
48141,-106.241391,31.766403,114427.6,23
34041,-75.009542,40.853524,27573.7,5
26061,-88.652066,46.998305,48876,8
42131,-76.00878,41.525137,26930.6,1
34031,-74.300308,41.033763,30509.1,6
42133,-76.728446,39.921839,23976.7,1
9009,-72.900204,41.349717,37476,15
36089,-75.074311,44.488113,33693.6,5
6055,-122.325995,38.507351,154388.2,7
12009,-80.700384,28.298276,70339.2,11
18097,-86.135794,39.782976,21015.1,14
9007,-72.524227,41.434525,39677.4,8
26115,-83.487106,41.916097,9497.2,9
33015,-71.099437,42.98936,48522.6,12
36001,-73.974014,42.588271,33634.9,6
6085,-121.690622,37.220777,158693.2,30
26165,-85.570046,44.331375,25234.8,6
55133,-88.306707,43.019308,30977.4,32
36059,-73.589384,40.729687,33528.5,50
42091,-75.370201,40.209999,28533.1,9
39099,-80.770396,41.01088,5724.1,6
39173,-83.622682,41.360183,8366.7,2
45045,-82.372077,34.892645,40988,9
42115,-75.800969,41.819665,27422.7,1
