FIPS,Lng,Lat,Duration,Density
26125,-83.38421,42.660452,278342.8,51
6037,-118.261862,34.196398,3138958.1,152
26163,-83.261953,42.284664,244083.2,78
27053,-93.475185,45.006064,1020597.5,32
24510,-76.610516,39.300214,552595.5,15
6081,-122.371542,37.414664,3297073.2,43
17031,-87.645455,41.894294,429993.2,60
34027,-74.547427,40.858581,753657,10
17111,-88.452245,42.324298,508232.5,2
12103,-82.739518,27.903122,1389499.9,9
5005,-92.330438,36.28071,920685.4,2
34017,-74.078627,40.731384,780128.4,16
36119,-73.745912,41.15277,833019.6,7
36093,-74.043583,42.817542,785386.3,4
12117,-81.13198,28.690079,1321138.4,3
25023,-70.741942,41.987196,1004226.4,7
18105,-86.523325,39.160751,294696.7,4
34023,-74.407585,40.439593,756034.1,8
36103,-72.692218,40.943554,891036.5,21
27037,-93.062481,44.670893,969541.5,9
34025,-74.152446,40.287056,779548.9,6
40143,-95.941731,36.120121,1165830.9,21
1083,-86.9814,34.810239,674908,4
26121,-86.751892,43.289258,456504.7,3
12086,-80.499045,25.610494,1648555.6,25
9005,-73.235428,41.791897,852648.2,13
4021,-111.367257,32.91891,2658608.4,28
33011,-71.723101,42.911643,975358.4,33
34035,-74.61993,40.565522,733863.8,12
25017,-71.396507,42.479477,1007779.3,30
18067,-86.114118,40.483537,243344.5,4
26049,-83.706372,43.021077,309102.6,48
39155,-80.767656,41.308936,234064.8,7
26145,-84.05541,43.328267,348445.7,18
11001,-77.017094,38.904149,552263,30
48201,-95.393037,29.857273,1628031.8,72
23005,-70.330375,43.808348,1114009.7,8
4015,-113.749689,35.717705,2700121.5,3
44007,-71.578242,41.870488,1007219.6,13
42049,-80.096386,42.117952,328539.2,5
4013,-112.495534,33.346541,2726744,66
26161,-83.844634,42.252327,242736.7,28
25025,-71.020173,42.33196,1033767.2,46
18089,-87.374337,41.472239,386910.3,6
36055,-77.664656,43.464475,551120.1,24
26159,-86.305697,42.283986,374360.3,18
44005,-71.284063,41.502732,965113.6,3
17177,-89.665994,42.349726,591843,1
42015,-76.502124,41.791495,567979,1
26081,-85.547446,43.032497,386564.5,41
12031,-81.648113,30.335245,1130190.2,13
34005,-74.663006,39.875786,726619.3,4
42081,-77.055253,41.343624,522065,1
17043,-88.086038,41.852058,460253.9,13
55087,-88.464988,44.418226,616078.2,2
50027,-72.591515,43.588143,934607.2,1
25013,-72.635648,42.136198,915596.7,7
42095,-75.307447,40.752791,682896.7,4
42029,-75.749732,39.973965,637747.8,6
25027,-71.940282,42.311693,968121.2,20
42101,-75.133346,40.009376,687092.3,36
12011,-80.476658,26.19352,1594523.4,35
6087,-122.007205,37.012488,3320588.3,23
51600,-77.299025,38.853183,539215.9,8
42003,-79.98092,40.46892,269838.5,22
48167,-94.894865,29.228706,1665649.5,6
39035,-81.724217,41.760392,209117.5,20
51650,-76.297149,37.04803,705109.7,2
Windsor CAN,-83.026772,42.317432,210528.7,134
9011,-72.103452,41.47863,947641.9,6
39049,-83.008258,39.969447,3381.6,26
33013,-71.68013,43.299485,989511.1,13
18141,-86.288159,41.617699,326372.1,14
34039,-74.308696,40.659871,758891.4,8
39061,-84.544187,39.196927,150121.5,8
36017,-75.604905,42.489732,657417.7,1
48231,-96.083807,33.123438,1369256,1
9003,-72.732916,41.806053,928105.7,28
39025,-84.149614,39.052084,139844.5,1
8069,-105.482131,40.663091,1805083.3,3
24003,-76.560511,38.993374,572816.1,7
19103,-91.588812,41.668737,697561,1
55043,-90.695368,42.870062,701094.7,1
9013,-72.340977,41.858076,956292.1,6
36067,-76.196117,43.00653,636904.7,3
12099,-80.448673,26.645763,1540135.8,16
12085,-80.398211,27.079954,1496587,4
12095,-81.323295,28.514435,1327733.8,28
Markham CAN,-79.337021,43.856098,465720.6,26
26099,-82.910869,42.671467,289268.4,36
34007,-74.961251,39.802352,708439.8,7
25005,-71.087062,41.748576,971703.9,5
33005,-72.248217,42.925455,929517.8,3
48141,-106.241391,31.766403,2300552.7,23
34041,-75.009542,40.853524,715726.7,5
26061,-88.652066,46.998305,866097.2,8
42131,-76.00878,41.525137,622533.1,1
34031,-74.300308,41.033763,780643,6
42133,-76.728446,39.921839,548942.5,1
9009,-72.900204,41.349717,895776.5,15
36089,-75.074311,44.488113,792393.2,5
6055,-122.325995,38.507351,3234629.9,7
12009,-80.700384,28.298276,1350924.6,11
18097,-86.135794,39.782976,237364.6,14
9007,-72.524227,41.434525,927016,8
26115,-83.487106,41.916097,201840.6,9
33015,-71.099437,42.98936,1025395.2,12
36001,-73.974014,42.588271,799864.8,6
6085,-121.690622,37.220777,3296173.5,30
26165,-85.570046,44.331375,517630.5,6
55133,-88.306707,43.019308,560706.6,32
36059,-73.589384,40.729687,816255.9,50
42091,-75.370201,40.209999,661807.8,9
39099,-80.770396,41.01088,212309.9,6
39173,-83.622682,41.360183,157000.5,2
45045,-82.372077,34.892645,651705.6,9
42115,-75.800969,41.819665,624720.1,1
34021,-74.703724,40.282503,718012.4,20
6067,-121.340441,38.450011,3152721.4,26
Longueuil CAN,-73.510712,45.536945,949857.5,43
6001,-121.913304,37.648081,3244040.6,24
42123,-79.313173,41.843669,355922.2,2
17161,-90.572203,41.468404,613902,2
34033,-75.357356,39.573828,732620.2,1
48439,-97.291291,32.77204,1482039.8,19
33017,-71.035927,43.293177,1033640.9,7
36061,-73.970174,40.776557,789102,28
36047,-73.950777,40.635133,793244.2,20
54045,-81.940853,37.830591,272097.8,1
37009,-81.49877,36.436305,486431.4,1
51179,-77.459043,38.418933,555343.7,1
36037,-78.192778,43.00091,503275.4,3
45019,-79.94248,32.800458,885521.7,8
45073,-83.061522,34.748759,686680.4,2
51740,-76.356269,36.85943,729610.2,4
51041,-77.585847,37.378434,596972.3,8
12019,-81.858147,29.987116,1171480,1
5119,-92.316515,34.773988,992389.8,12
42045,-75.398786,39.91667,670283.9,14
53053,-122.144709,47.040716,3312216.6,31
28047,-89.083376,30.416536,1186970.6,3
10003,-75.644132,39.575915,649595.7,5
24045,-75.632206,38.367389,739377.3,2
36085,-74.137063,40.563855,777425.5,8
53029,-122.670503,48.158436,3371884,7
36063,-78.792143,43.456731,502237.9,3
36005,-73.852939,40.848711,801039.4,31
51760,-77.476009,37.531399,591860.3,22
51027,-82.038151,37.26812,356322,1
18059,-85.772904,39.822604,212560,2
42047,-78.653938,41.427334,382001,1
51121,-80.387314,37.174885,424984.3,1
51059,-77.276117,38.833743,540016.7,4
51730,-77.392368,37.20473,619187.6,2
45091,-81.183189,34.97019,656481,6
45007,-82.638086,34.519549,694307.7,4
48453,-97.69127,30.239513,1680248.5,19
48157,-95.771015,29.526602,1665928.4,14
37183,-78.650624,35.789846,646448.7,20
48113,-96.778424,32.766987,1435587.5,45
1089,-86.55108,34.764238,646368.1,11
8031,-104.880625,39.761849,1720663.2,34
48071,-94.668875,29.703933,1603403.8,2
18095,-85.722454,40.166203,211873.7,1
28149,-90.851791,32.357005,1108241.2,1
48029,-98.520147,29.448671,1785423.5,40
12001,-82.357221,29.67574,1201394.1,4
18157,-86.893943,40.38926,298815.4,5
28121,-89.946552,32.262057,1067177.4,5
35001,-106.669065,35.054002,2070405.3,6
30081,-114.119065,46.079298,2662707.4,2
40071,-97.143755,36.814842,1241619.9,2
6013,-121.951543,37.919479,3238170.5,27
53035,-122.649636,47.639687,3353651.9,39
9001,-73.366757,41.228103,865904.1,9
53033,-121.832375,47.493554,3289494.5,25
39133,-81.196932,41.16864,196247.4,3
51830,-76.706717,37.269293,660145.9,2
51137,-78.00998,38.250439,529375.7,1
51087,-77.300333,37.437521,605778,4
40109,-97.409401,35.554611,1318617.2,23
6029,-118.729506,35.346629,3157670.1,5
19013,-92.306059,42.472888,792518.8,6
25021,-71.179875,42.169703,1034775.7,17
18069,-85.478598,40.826394,218625.3,2
1095,-86.321668,34.309564,717526.5,3
47103,-86.593388,35.142532,610050.9,1
34013,-74.246136,40.787217,778736.5,22
36069,-77.303277,42.856695,552576.8,11
37135,-79.119355,36.062499,599447.6,5
28099,-89.119274,32.752518,980779.7,1
51680,-79.195458,37.399016,501833.7,1
51107,-77.638857,39.08113,503617.3,3
12127,-81.161813,29.057617,1291891.7,5
28127,-89.917707,31.902503,1094685,1
13121,-84.468182,33.790034,733961.1,28
6097,-122.945194,38.532574,3297242.2,2
East York CAN,-79.341667,43.6912,448867.1,69
51610,-77.174639,38.883787,540071.1,9
51685,-77.448681,38.768991,529008,5
51510,-77.082026,38.818343,550736.4,4
51175,-77.103856,36.720173,677031.9,1
51540,-78.485381,38.037658,487540.4,1
51683,-77.484727,38.747561,526049,3
48209,-98.029267,30.061225,1717362.3,4
36109,-76.473712,42.453281,588893.8,2
36081,-73.837929,40.658557,798758.7,21
54107,-81.515928,39.211679,156276.4,2
42077,-75.590627,40.614241,658328.8,2
22103,-89.951962,30.410022,1254982.1,11
6041,-122.745974,38.051817,3301056.1,9
48027,-97.481921,31.04211,1599296.9,7
17025,-88.483789,38.747312,476430.3,1
42107,-76.2178,40.70369,594298.3,1
12073,-84.2778,30.45931,1076728,4
48491,-97.605069,30.64903,1642783.6,4
8035,-104.926199,39.326435,1706542,4
36045,-76.053522,43.995371,715059.8,7
6045,-123.442881,39.432388,3314371.3,1
24021,-77.397627,39.470427,488801.7,6
25015,-72.663694,42.339459,905607,3
39055,-81.173505,41.499322,221794.7,5
6095,-121.939594,38.267226,3213358.6,8
42017,-75.10706,40.336887,685383,4
Vaughan CAN,-79.508278,43.837208,457633.9,29
28045,-89.47985,30.391437,1240368.9,4
41017,-121.225575,43.915118,3093138.3,4
55075,-87.991198,45.346899,683908.4,4
20201,-97.095611,39.776714,1103417.7,1
Chatham-Kent CAN,-82.19104,42.404804,210715.2,3
46081,-103.796528,44.353669,1705543.6,2
46103,-102.823802,44.002349,1628547,3
51810,-76.02402,36.779322,757945.8,3
Mississauga CAN,-79.640579,43.59531,427998.1,37
26069,-82.849447,44.329482,421047.3,1
45015,-79.953655,33.2077,849256.7,2
25009,-70.865107,42.642711,1039571.3,13
6073,-116.776117,33.023604,3130361.9,78
51155,-80.713444,37.063385,433174.4,1
13057,-84.475057,34.244317,697531.2,8
24037,-76.534271,38.222666,637299.4,1
37077,-78.657634,36.299884,610370.9,2
41003,-123.426317,44.490623,3303068.8,7
54061,-80.059074,39.633645,260797.6,2
18057,-86.020586,40.04987,228681.2,5
38089,-102.662026,46.817031,1708359.4,1
38053,-103.403215,47.742475,1792747.2,1
38035,-97.450851,47.926003,1436160.4,5
38095,-99.248158,48.682183,1598745.1,1
