FIPS,Lng,Lat,Duration,Density
26125,-83.38421,42.660452,103247.7,51
6037,-118.261862,34.196398,99625,152
26163,-83.261953,42.284664,101086.8,78
27053,-93.475185,45.006064,89445,32
24510,-76.610516,39.300214,112037.3,15
6081,-122.371542,37.414664,120059.9,43
17031,-87.645455,41.894294,86637.9,60
34027,-74.547427,40.858581,123589.2,10
17111,-88.452245,42.324298,89230.2,2
12103,-82.739518,27.903122,81551.4,9
5005,-92.330438,36.28071,56772.7,2
34017,-74.078627,40.731384,124211.2,16
36119,-73.745912,41.15277,127219,7
36093,-74.043583,42.817542,133673.1,4
12117,-81.13198,28.690079,80700.4,3
25023,-70.741942,41.987196,141673,7
18105,-86.523325,39.160751,79986.1,4
34023,-74.407585,40.439593,123211.8,8
36103,-72.692218,40.943554,131325.7,21
27037,-93.062481,44.670893,88257,9
34025,-74.152446,40.287056,123584,6
40143,-95.941731,36.120121,44414.9,21
1083,-86.9814,34.810239,66085.5,4
26121,-86.751892,43.289258,98908,3
12086,-80.499045,25.610494,95528,25
9005,-73.235428,41.791897,132335.3,13
4021,-111.367257,32.91891,68338.5,28
33011,-71.723101,42.911643,142803.6,33
34035,-74.61993,40.565522,122310.2,12
25017,-71.396507,42.479477,140476.4,30
18067,-86.114118,40.483537,86715.9,4
26049,-83.706372,43.021077,102100,48
39155,-80.767656,41.308936,104799.8,7
26145,-84.05541,43.328267,104962,18
11001,-77.017094,38.904149,109173.3,30
48201,-95.393037,29.857273,16480,72
23005,-70.330375,43.808348,148111.2,8
4015,-113.749689,35.717705,87935.3,3
44007,-71.578242,41.870488,137382.7,13
42049,-80.096386,42.117952,108705.5,5
4013,-112.495534,33.346541,72373.8,66
26161,-83.844634,42.252327,99945.5,28
25025,-71.020173,42.33196,140375.7,46
18089,-87.374337,41.472239,86160.4,6
36055,-77.664656,43.464475,120880.7,24
26159,-86.305697,42.283986,92329.3,18
44005,-71.284063,41.502732,138572,3
17177,-89.665994,42.349726,89209.8,1
42015,-76.502124,41.791495,123961.4,1
26081,-85.547446,43.032497,96802.8,41
12031,-81.648113,30.335245,73111.5,13
34005,-74.663006,39.875786,120894.1,4
42081,-77.055253,41.343624,119497.1,1
17043,-88.086038,41.852058,86656.5,13
