FIPS,Lng,Lat,Duration,Density
26125,-83.38421,42.660452,1653067.7,51
6037,-118.261862,34.196398,2005176.7,152
26163,-83.261953,42.284664,1575606.6,78
27053,-93.475185,45.006064,1310070.9,32
24510,-76.610516,39.300214,1931332.7,15
6081,-122.371542,37.414664,2496900.3,43
17031,-87.645455,41.894294,1339177.4,60
34027,-74.547427,40.858581,2180412.7,10
17111,-88.452245,42.324298,1335670.1,2
12103,-82.739518,27.903122,1596212.9,9
5005,-92.330438,36.28071,594761.9,2
34017,-74.078627,40.731384,2206884.1,16
36119,-73.745912,41.15277,2259775.3,7
36093,-74.043583,42.817542,2200104.3,4
12117,-81.13198,28.690079,1610980.7,3
25023,-70.741942,41.987196,2430982.1,7
18105,-86.523325,39.160751,1136799.2,4
34023,-74.407585,40.439593,2182789.8,8
36103,-72.692218,40.943554,2317792.2,21
27037,-93.062481,44.670893,1300359.4,9
34025,-74.152446,40.287056,2206304.6,6
40143,-95.941731,36.120121,369392.9,21
1083,-86.9814,34.810239,919577,4
26121,-86.751892,43.289258,1447531.8,3
12086,-80.499045,25.610494,1918001.7,25
9005,-73.235428,41.791897,2311604.9,13
4021,-111.367257,32.91891,1330923.6,28
33011,-71.723101,42.911643,2390076.4,33
34035,-74.61993,40.565522,2160619.5,12
25017,-71.396507,42.479477,2422497.3,30
18067,-86.114118,40.483537,1269912.4,4
26049,-83.706372,43.021077,1640431.6,48
39155,-80.767656,41.308936,1664879.1,7
26145,-84.05541,43.328267,1655630.6,18
11001,-77.017094,38.904149,1877131.4,30
48201,-95.393037,29.857273,325775.9,72
23005,-70.330375,43.808348,2528727.7,8
4015,-113.749689,35.717705,1618667.9,3
44007,-71.578242,41.870488,2422319.4,13
42049,-80.096386,42.117952,1741609.3,5
4013,-112.495534,33.346541,1438729.1,66
26161,-83.844634,42.252327,1549379.9,28
25025,-71.020173,42.33196,2448485.2,46
18089,-87.374337,41.472239,1325022.6,6
36055,-77.664656,43.464475,1931768.8,24
26159,-86.305697,42.283986,1442162,18
44005,-71.284063,41.502732,2391869.3,3
17177,-89.665994,42.349726,1264170.2,1
42015,-76.502124,41.791495,2000655.2,1
26081,-85.547446,43.032497,1548520.5,41
12031,-81.648113,30.335245,1495883.5,13
34005,-74.663006,39.875786,2153375,4
42081,-77.055253,41.343624,1954741.2,1
17043,-88.086038,41.852058,1309408.3,13
55087,-88.464988,44.418226,1498948.7,2
