FIPS,Lng,Lat,Duration,Density
26125,-83.38421,42.660452,1781282.7,51
6037,-118.261862,34.196398,1569561,152
26163,-83.261953,42.284664,1771290.6,78
27053,-93.475185,45.006064,1158976.4,32
24510,-76.610516,39.300214,2295325.4,15
6081,-122.371542,37.414664,1703292.1,43
17031,-87.645455,41.894294,1438428.3,60
34027,-74.547427,40.858581,2422233.8,10
17111,-88.452245,42.324298,1407658.6,2
12103,-82.739518,27.903122,2496144.6,9
5005,-92.330438,36.28071,1167974.1,2
34017,-74.078627,40.731384,2461362.3,16
36119,-73.745912,41.15277,2501596.4,7
36093,-74.043583,42.817542,2442153,4
12117,-81.13198,28.690079,2510912.4,3
25023,-70.741942,41.987196,2727309,7
18105,-86.523325,39.160751,1462483.2,4
34023,-74.407585,40.439593,2438007.3,8
36103,-72.692218,40.943554,2572270.4,21
27037,-93.062481,44.670893,1158633.4,9
34025,-74.152446,40.287056,2463809.7,6
40143,-95.941731,36.120121,923713.8,21
1083,-86.9814,34.810239,1686329.6,4
26121,-86.751892,43.289258,1521631.6,3
12086,-80.499045,25.610494,2817933.4,25
9005,-73.235428,41.791897,2545027.3,13
4021,-111.367257,32.91891,1145018.1,28
33011,-71.723101,42.911643,2632125.1,33
34035,-74.61993,40.565522,2415837,12
25017,-71.396507,42.479477,2664546,30
18067,-86.114118,40.483537,1503762,4
26049,-83.706372,43.021077,1768646.6,48
39155,-80.767656,41.308936,1912536.5,7
26145,-84.05541,43.328267,1662388.4,18
11001,-77.017094,38.904149,2290385.3,30
48201,-95.393037,29.857273,1491289.6,72
23005,-70.330375,43.808348,2770776.4,8
4015,-113.749689,35.717705,1130724.4,3
44007,-71.578242,41.870488,2664368.1,13
42049,-80.096386,42.117952,1983658,5
4013,-112.495534,33.346541,1160291.7,66
26161,-83.844634,42.252327,1728597.1,28
25025,-71.020173,42.33196,2690533.9,46
18089,-87.374337,41.472239,1453237.6,6
36055,-77.664656,43.464475,2175465.5,24
26159,-86.305697,42.283986,1570377,18
44005,-71.284063,41.502732,2646347.5,3
17177,-89.665994,42.349726,1332418.3,1
42015,-76.502124,41.791495,2261006.5,1
26081,-85.547446,43.032497,1555520.7,41
12031,-81.648113,30.335245,2356184.4,13
34005,-74.663006,39.875786,2446450.4,4
42081,-77.055253,41.343624,2214444.1,1
17043,-88.086038,41.852058,1403606.6,13
55087,-88.464988,44.418226,1426544.7,2
50027,-72.591515,43.588143,2591373.9,1
