FIPS,Lng,Lat,Duration,Density
26125,-83.38421,42.660452,35828.1,51
6037,-118.261862,34.196398,3237928.7,152
26163,-83.261953,42.284664,16472.3,78
27053,-93.475185,45.006064,795697.5,32
24510,-76.610516,39.300214,718248.2,15
6081,-122.371542,37.414664,3169636.3,43
17031,-87.645455,41.894294,364512.9,60
34027,-74.547427,40.858581,820969.3,10
17111,-88.452245,42.324298,340123.9,2
12103,-82.739518,27.903122,1631623.6,9
5005,-92.330438,36.28071,1067463.7,2
34017,-74.078627,40.731384,860097.8,16
36119,-73.745912,41.15277,900331.9,7
36093,-74.043583,42.817542,825250.3,4
12117,-81.13198,28.690079,1575932,3
25023,-70.741942,41.987196,1110406.3,7
18105,-86.523325,39.160751,449058.3,4
34023,-74.407585,40.439593,836742.8,8
36103,-72.692218,40.943554,971005.9,21
27037,-93.062481,44.670893,706125.5,9
34025,-74.152446,40.287056,862545.2,6
40143,-95.941731,36.120121,1314465,21
1083,-86.9814,34.810239,882762.3,4
26121,-86.751892,43.289258,260671.2,3
12086,-80.499045,25.610494,1903349.2,25
9005,-73.235428,41.791897,925089.4,13
4021,-111.367257,32.91891,2757579,28
33011,-71.723101,42.911643,1015222.4,33
34035,-74.61993,40.565522,814572.5,12
25017,-71.396507,42.479477,1047643.3,30
18067,-86.114118,40.483537,327780.3,4
26049,-83.706372,43.021077,79772.2,48
39155,-80.767656,41.308936,301187.7,7
26145,-84.05541,43.328267,126095,18
11001,-77.017094,38.904149,711447.4,30
48201,-95.393037,29.857273,1782593.7,72
23005,-70.330375,43.808348,1153873.7,8
4015,-113.749689,35.717705,2799092.1,3
44007,-71.578242,41.870488,1047465.4,13
42049,-80.096386,42.117952,366755.3,5
4013,-112.495534,33.346541,2825714.6,66
26161,-83.844634,42.252327,57724.5,28
25025,-71.020173,42.33196,1073631.2,46
18089,-87.374337,41.472239,333327.3,6
36055,-77.664656,43.464475,555604.5,24
26159,-86.305697,42.283986,233592.1,18
44005,-71.284063,41.502732,1045083,3
17177,-89.665994,42.349726,407852.8,1
42015,-76.502124,41.791495,649024.4,1
26081,-85.547446,43.032497,189839.9,41
12031,-81.648113,30.335245,1384983.8,13
34005,-74.663006,39.875786,839133.1,4
42081,-77.055253,41.343624,613179.6,1
17043,-88.086038,41.852058,394773.6,13
55087,-88.464988,44.418226,423725,2
50027,-72.591515,43.588143,974471.2,1
25013,-72.635648,42.136198,955460.7,7
42095,-75.307447,40.752791,756512.7,4
42029,-75.749732,39.973965,773132.6,6
25027,-71.940282,42.311693,1007985.2,20
42101,-75.133346,40.009376,809571.7,36
12011,-80.476658,26.19352,1849317,35
6087,-122.007205,37.012488,3193151.4,23
51600,-77.299025,38.853183,706518.6,8
42003,-79.98092,40.46892,387344.9,22
48167,-94.894865,29.228706,1820211.4,6
39035,-81.724217,41.760392,247804.1,20
51650,-76.297149,37.04803,901025.1,2
Windsor CAN,-83.026772,42.317432,220016.4,134
9011,-72.103452,41.47863,1036969.9,6
39049,-83.008258,39.969447,255880.7,26
33013,-71.68013,43.299485,1029375.1,13
18141,-86.288159,41.617699,251883.6,14
34039,-74.308696,40.659871,839600.1,8
39061,-84.544187,39.196927,352984.7,8
36017,-75.604905,42.489732,722864.9,1
48231,-96.083807,33.123438,1523817.9,1
9003,-72.732916,41.806053,976607,28
39025,-84.149614,39.052084,350105.5,1
8069,-105.482131,40.663091,1746585.3,3
24003,-76.560511,38.993374,736608.1,7
19103,-91.588812,41.668737,644043.1,1
55043,-90.695368,42.870062,463253.1,1
9013,-72.340977,41.858076,993628.1,6
36067,-76.196117,43.00653,676768.7,3
12099,-80.448673,26.645763,1794929.4,16
12085,-80.398211,27.079954,1751380.6,4
12095,-81.323295,28.514435,1582527.4,28
Markham CAN,-79.337021,43.856098,475208.3,26
26099,-82.910869,42.671467,36745.1,36
34007,-74.961251,39.802352,843824.6,7
25005,-71.087062,41.748576,1093475.1,5
33005,-72.248217,42.925455,969381.8,3
48141,-106.241391,31.766403,2399523.3,23
34041,-75.009542,40.853524,783039,5
26061,-88.652066,46.998305,673744,8
42131,-76.00878,41.525137,702540.7,1
34031,-74.300308,41.033763,847955.3,6
42133,-76.728446,39.921839,684327.3,1
9009,-72.900204,41.349717,975745.9,15
36089,-75.074311,44.488113,799840.5,5
6055,-122.325995,38.507351,3107193,7
12009,-80.700384,28.298276,1605718.2,11
18097,-86.135794,39.782976,375370.4,14
9007,-72.524227,41.434525,1006985.4,8
26115,-83.487106,41.916097,58987.1,9
33015,-71.099437,42.98936,1065259.2,12
36001,-73.974014,42.588271,839728.8,6
6085,-121.690622,37.220777,3168736.6,30
26165,-85.570046,44.331375,281522.1,6
55133,-88.306707,43.019308,281815.2,32
36059,-73.589384,40.729687,896225.3,50
42091,-75.370201,40.209999,782405.5,9
39099,-80.770396,41.01088,304423.5,6
39173,-83.622682,41.360183,110644,2
45045,-82.372077,34.892645,906499.2,9
42115,-75.800969,41.819665,705765.5,1
34021,-74.703724,40.282503,824544.7,20
6067,-121.340441,38.450011,3025284.5,26
Longueuil CAN,-73.510712,45.536945,916455.1,43
6001,-121.913304,37.648081,3116603.7,24
42123,-79.313173,41.843669,413955,2
17161,-90.572203,41.468404,568195.3,2
34033,-75.357356,39.573828,868005,1
48439,-97.291291,32.77204,1636601.7,19
33017,-71.035927,43.293177,1073504.9,7
36061,-73.970174,40.776557,869071.4,28
36047,-73.950777,40.635133,873213.6,20
54045,-81.940853,37.830591,526891.4,1
37009,-81.49877,36.436305,741225,1
51179,-77.459043,38.418933,722807.7,1
36037,-78.192778,43.00091,510468.5,3
45019,-79.94248,32.800458,1140315.3,8
45073,-83.061522,34.748759,941474,2
51740,-76.356269,36.85943,934200.9,4
51041,-77.585847,37.378434,809911,8
12019,-81.858147,29.987116,1426273.6,1
5119,-92.316515,34.773988,1146951.7,12
42045,-75.398786,39.91667,805668.7,14
53053,-122.144709,47.040716,3101467.6,31
28047,-89.083376,30.416536,1394824.9,3
10003,-75.644132,39.575915,784980.5,5
24045,-75.632206,38.367389,900177.8,2
36085,-74.137063,40.563855,862779.6,8
53029,-122.670503,48.158436,3161135,7
36063,-78.792143,43.456731,493904.8,3
36005,-73.852939,40.848711,881008.8,31
51760,-77.476009,37.531399,796451,22
51027,-82.038151,37.26812,611115.6,1
18059,-85.772904,39.822604,356445.6,2
42047,-78.653938,41.427334,463046.4,1
51121,-80.387314,37.174885,682067.3,1
51059,-77.276117,38.833743,707319.4,4
51730,-77.392368,37.20473,828473.8,2
45091,-81.183189,34.97019,911274.6,6
45007,-82.638086,34.519549,949101.3,4
48453,-97.69127,30.239513,1834810.4,19
48157,-95.771015,29.526602,1820490.3,14
37183,-78.650624,35.789846,903531.7,20
48113,-96.778424,32.766987,1590149.4,45
1089,-86.55108,34.764238,855343.1,11
8031,-104.880625,39.761849,1783547.3,34
48071,-94.668875,29.703933,1757965.7,2
18095,-85.722454,40.166203,328250.6,1
28149,-90.851791,32.357005,1293063.2,1
48029,-98.520147,29.448671,1939985.4,40
12001,-82.357221,29.67574,1456187.7,4
18157,-86.893943,40.38926,380843.3,5
28121,-89.946552,32.262057,1251999.4,5
35001,-106.669065,35.054002,2169375.9,6
30081,-114.119065,46.079298,2451958.4,2
40071,-97.143755,36.814842,1340590.5,2
6013,-121.951543,37.919479,3110733.6,27
53035,-122.649636,47.639687,3142902.9,39
9001,-73.366757,41.228103,933216.4,9
53033,-121.832375,47.493554,3078745.5,25
39133,-81.196932,41.16864,270856.1,3
51830,-76.706717,37.269293,856289.1,2
51137,-78.00998,38.250439,717013,1
51087,-77.300333,37.437521,810368.7,4
40109,-97.409401,35.554611,1468208.9,23
6029,-118.729506,35.346629,3256640.7,5
19013,-92.306059,42.472888,587728.8,6
25021,-71.179875,42.169703,1074639.7,17
18069,-85.478598,40.826394,261909.7,2
1095,-86.321668,34.309564,926501.5,3
47103,-86.593388,35.142532,819025.9,1
34013,-74.246136,40.787217,846048.8,22
36069,-77.303277,42.856695,592440.8,11
37135,-79.119355,36.062499,856530.6,5
28099,-89.119274,32.752518,1165601.7,1
51680,-79.195458,37.399016,752178.1,1
51107,-77.638857,39.08113,674609.7,3
12127,-81.161813,29.057617,1546685.3,5
28127,-89.917707,31.902503,1279507,1
13121,-84.468182,33.790034,967827,28
6097,-122.945194,38.532574,3169805.3,2
East York CAN,-79.341667,43.6912,458354.8,69
51610,-77.174639,38.883787,707373.8,9
51685,-77.448681,38.768991,711085.8,5
51510,-77.082026,38.818343,716266.7,4
51175,-77.103856,36.720173,902180.4,1
51540,-78.485381,38.037658,712688.9,1
51683,-77.484727,38.747561,713962.6,3
48209,-98.029267,30.061225,1871924.2,4
36109,-76.473712,42.453281,654341,2
36081,-73.837929,40.658557,878728.1,21
54107,-81.515928,39.211679,395212.3,2
42077,-75.590627,40.614241,737273.2,2
22103,-89.951962,30.410022,1439804.1,11
6041,-122.745974,38.051817,3173619.2,9
48027,-97.481921,31.04211,1753858.8,7
17025,-88.483789,38.747312,616107.9,1
42107,-76.2178,40.70369,685412.9,1
12073,-84.2778,30.45931,1310593.9,4
48491,-97.605069,30.64903,1797345.5,4
8035,-104.926199,39.326435,1773110.3,4
36045,-76.053522,43.995371,722507.1,7
6045,-123.442881,39.432388,3186934.4,1
24021,-77.397627,39.470427,652593.7,6
25015,-72.663694,42.339459,945471,3
39055,-81.173505,41.499322,269137.2,5
6095,-121.939594,38.267226,3085921.7,8
42017,-75.10706,40.336887,787626.3,4
Vaughan CAN,-79.508278,43.837208,467121.6,29
28045,-89.47985,30.391437,1425190.9,4
41017,-121.225575,43.915118,2956657.1,4
55075,-87.991198,45.346899,491555.2,4
20201,-97.095611,39.776714,1162976.1,1
Chatham-Kent CAN,-82.19104,42.404804,220202.9,3
46081,-103.796528,44.353669,1475418.8,2
46103,-102.823802,44.002349,1398422.2,3
51810,-76.02402,36.779322,962536.5,3
Mississauga CAN,-79.640579,43.59531,437485.8,37
26069,-82.849447,44.329482,165638.3,1
45015,-79.953655,33.2077,1104050.3,2
25009,-70.865107,42.642711,1079435.3,13
6073,-116.776117,33.023604,3229332.5,78
51155,-80.713444,37.063385,690257.4,1
13057,-84.475057,34.244317,931397.1,8
24037,-76.534271,38.222666,801886.7,1
37077,-78.657634,36.299884,870606.3,2
41003,-123.426317,44.490623,3166587.6,7
