FIPS,Lng,Lat,Duration,Density
26125,-83.38421,42.660452,1686429.4,51
6037,-118.261862,34.196398,1957581,152
26163,-83.261953,42.284664,1627390.8,78
27053,-93.475185,45.006064,1339629.4,32
24510,-76.610516,39.300214,1983116.9,15
6081,-122.371542,37.414664,2442843.4,43
17031,-87.645455,41.894294,1372539.1,60
34027,-74.547427,40.858581,2232196.9,10
17111,-88.452245,42.324298,1369031.8,2
12103,-82.739518,27.903122,1644472.6,9
5005,-92.330438,36.28071,633340.1,2
34017,-74.078627,40.731384,2258668.3,16
36119,-73.745912,41.15277,2311559.5,7
36093,-74.043583,42.817542,2251888.5,4
12117,-81.13198,28.690079,1659240.4,3
25023,-70.741942,41.987196,2482766.3,7
18105,-86.523325,39.160751,1188583.4,4
34023,-74.407585,40.439593,2234574,8
36103,-72.692218,40.943554,2369576.4,21
27037,-93.062481,44.670893,1329917.9,9
34025,-74.152446,40.287056,2258088.8,6
40143,-95.941731,36.120121,398951.4,21
1083,-86.9814,34.810239,971361.2,4
26121,-86.751892,43.289258,1480893.5,3
12086,-80.499045,25.610494,1966261.4,25
9005,-73.235428,41.791897,2363389.1,13
4021,-111.367257,32.91891,1283327.9,28
33011,-71.723101,42.911643,2441860.6,33
34035,-74.61993,40.565522,2212403.7,12
25017,-71.396507,42.479477,2474281.5,30
18067,-86.114118,40.483537,1321696.6,4
26049,-83.706372,43.021077,1673793.3,48
39155,-80.767656,41.308936,1716663.3,7
26145,-84.05541,43.328267,1688992.3,18
11001,-77.017094,38.904149,1928915.6,30
48201,-95.393037,29.857273,352135.4,72
23005,-70.330375,43.808348,2580511.9,8
4015,-113.749689,35.717705,1564611,3
44007,-71.578242,41.870488,2474103.6,13
42049,-80.096386,42.117952,1793393.5,5
4013,-112.495534,33.346541,1391133.4,66
26161,-83.844634,42.252327,1633743.8,28
25025,-71.020173,42.33196,2500269.4,46
18089,-87.374337,41.472239,1358384.3,6
36055,-77.664656,43.464475,1983553,24
26159,-86.305697,42.283986,1475523.7,18
44005,-71.284063,41.502732,2443653.5,3
17177,-89.665994,42.349726,1297531.9,1
42015,-76.502124,41.791495,2052439.4,1
26081,-85.547446,43.032497,1581882.2,41
12031,-81.648113,30.335245,1544143.2,13
34005,-74.663006,39.875786,2205159.2,4
42081,-77.055253,41.343624,2006525.4,1
17043,-88.086038,41.852058,1342770,13
55087,-88.464988,44.418226,1532310.4,2
50027,-72.591515,43.588143,2401109.4,1
25013,-72.635648,42.136198,2382098.9,7
42095,-75.307447,40.752791,2161436.6,4
42029,-75.749732,39.973965,2116287.7,6
25027,-71.940282,42.311693,2434623.4,20
42101,-75.133346,40.009376,2165632.2,36
12011,-80.476658,26.19352,1912638.9,35
6087,-122.007205,37.012488,2380659.5,23
51600,-77.299025,38.853183,1905984.2,8
42003,-79.98092,40.46892,1748378.4,22
48167,-94.894865,29.228706,483868.6,6
39035,-81.724217,41.760392,1674442.3,20
51650,-76.297149,37.04803,1950662.4,2
Windsor CAN,-83.026772,42.317432,1647964.9,134
9011,-72.103452,41.47863,2426181.8,6
39049,-83.008258,39.969447,1482116.4,26
33013,-71.68013,43.299485,2456013.3,13
18141,-86.288159,41.617699,1437929.6,14
34039,-74.308696,40.659871,2237431.3,8
39061,-84.544187,39.196927,1339592.2,8
36017,-75.604905,42.489732,2141878.1,1
48231,-96.083807,33.123438,114418.5,1
9003,-72.732916,41.806053,2406645.6,28
39025,-84.149614,39.052084,1371864.8,1
8069,-105.482131,40.663091,1270662.8,3
24003,-76.560511,38.993374,1971338.3,7
19103,-91.588812,41.668737,1126823,1
55043,-90.695368,42.870062,1285229.9,1
9013,-72.340977,41.858076,2434832,6
36067,-76.196117,43.00653,2103406.9,3
12099,-80.448673,26.645763,1847823.6,16
12085,-80.398211,27.079954,1819274.5,4
12095,-81.323295,28.514435,1650816.2,28
Markham CAN,-79.337021,43.856098,1903156.8,26
26099,-82.910869,42.671467,1672576,36
34007,-74.961251,39.802352,2186979.7,7
25005,-71.087062,41.748576,2450243.8,5
33005,-72.248217,42.925455,2396020,3
48141,-106.241391,31.766403,773528.6,23
34041,-75.009542,40.853524,2194266.6,5
26061,-88.652066,46.998305,1783794.8,8
42131,-76.00878,41.525137,2106993.5,1
34031,-74.300308,41.033763,2259182.9,6
42133,-76.728446,39.921839,2027482.4,1
9009,-72.900204,41.349717,2374316.4,15
36089,-75.074311,44.488113,2227789,5
6055,-122.325995,38.507351,2501850,7
