FIPS,Lng,Lat,Duration,Density
26125,-83.38421,42.660452,9413.5,51
6037,-118.261862,34.196398,142978.4,152
26163,-83.261953,42.284664,10402.7,78
27053,-93.475185,45.006064,40935.8,32
24510,-76.610516,39.300214,43854.9,15
6081,-122.371542,37.414664,146477.6,43
17031,-87.645455,41.894294,12370.3,60
34027,-74.547427,40.858581,47161.3,10
17111,-88.452245,42.324298,17077,2
12103,-82.739518,27.903122,85313.9,9
5005,-92.330438,36.28071,49288.3,2
34017,-74.078627,40.731384,49379.3,16
36119,-73.745912,41.15277,51659.2,7
36093,-74.043583,42.817542,45223.1,4
12117,-81.13198,28.690079,84394.7,3
25023,-70.741942,41.987196,60089.7,7
18105,-86.523325,39.160751,22893.2,4
34023,-74.407585,40.439593,49281.9,8
36103,-72.692218,40.943554,55769.1,21
27037,-93.062481,44.670893,39926.2,9
34025,-74.152446,40.287056,50615.4,6
40143,-95.941731,36.120121,55273.8,21
1083,-86.9814,34.810239,44150.4,4
26121,-86.751892,43.289258,4903.4,3
12086,-80.499045,25.610494,99222.3,25
9005,-73.235428,41.791897,53060.2,13
4021,-111.367257,32.91891,126394.2,28
33011,-71.723101,42.911643,59283.6,33
34035,-74.61993,40.565522,48110.8,12
25017,-71.396507,42.479477,58167.1,30
18067,-86.114118,40.483537,14024.4,4
26049,-83.706372,43.021077,7449.1,48
39155,-80.767656,41.308936,23265.6,7
26145,-84.05541,43.328267,10311.1,18
11001,-77.017094,38.904149,43903.2,30
48201,-95.393037,29.857273,79983.6,72
23005,-70.330375,43.808348,65801.9,8
4015,-113.749689,35.717705,126084.7,3
44007,-71.578242,41.870488,57447,13
42049,-80.096386,42.117952,26768,5
4013,-112.495534,33.346541,125192.4,66
26161,-83.844634,42.252327,9157.3,28
25025,-71.020173,42.33196,58066.4,46
18089,-87.374337,41.472239,10374.4,6
36055,-77.664656,43.464475,30850.8,24
26159,-86.305697,42.283986,5123.6,18
44005,-71.284063,41.502732,60141.1,3
17177,-89.665994,42.349726,20645.3,1
42015,-76.502124,41.791495,40014.6,1
26081,-85.547446,43.032497,1074.8,41
12031,-81.648113,30.335245,76671.7,13
34005,-74.663006,39.875786,49340.4,4
42081,-77.055253,41.343624,38631.8,1
17043,-88.086038,41.852058,14369.9,13
55087,-88.464988,44.418226,26386.4,2
50027,-72.591515,43.588143,55594.7,1
25013,-72.635648,42.136198,51953.1,7
42095,-75.307447,40.752791,45399.4,4
42029,-75.749732,39.973965,45715.1,6
25027,-71.940282,42.311693,55710,20
42101,-75.133346,40.009376,47041.1,36
12011,-80.476658,26.19352,96495,35
6087,-122.007205,37.012488,147437.4,23
51600,-77.299025,38.853183,44106.3,8
42003,-79.98092,40.46892,27643.5,22
48167,-94.894865,29.228706,83987.8,6
39035,-81.724217,41.760392,20790.1,20
51650,-76.297149,37.04803,55975.5,2
Windsor CAN,-83.026772,42.317432,10736.1,134
9011,-72.103452,41.47863,57002,6
39049,-83.008258,39.969447,21987,26
33013,-71.68013,43.299485,59838,13
18141,-86.288159,41.617699,8231.3,14
34039,-74.308696,40.659871,49036.1,8
39061,-84.544187,39.196927,24021.3,8
36017,-75.604905,42.489732,42524.2,1
48231,-96.083807,33.123438,68258.1,1
9003,-72.732916,41.806053,53875.4,28
39025,-84.149614,39.052084,26238.1,1
8069,-105.482131,40.663091,82281.8,3
24003,-76.560511,38.993374,45028.5,7
19103,-91.588812,41.668737,26341.1,1
55043,-90.695368,42.870062,27672,1
9013,-72.340977,41.858076,54799.5,6
36067,-76.196117,43.00653,37040.6,3
12099,-80.448673,26.645763,95391,16
12085,-80.398211,27.079954,93054.8,4
12095,-81.323295,28.514435,83027.1,28
Markham CAN,-79.337021,43.856098,25024.7,26
26099,-82.910869,42.671467,11216.5,36
34007,-74.961251,39.802352,48471.3,7
25005,-71.087062,41.748576,60111.7,5
33005,-72.248217,42.925455,55435.1,3
48141,-106.241391,31.766403,106926.1,23
34041,-75.009542,40.853524,45663.2,5
26061,-88.652066,46.998305,35983.9,8
42131,-76.00878,41.525137,44564.7,1
34031,-74.300308,41.033763,48598.6,6
42133,-76.728446,39.921839,42066.2,1
9009,-72.900204,41.349717,55565.5,15
36089,-75.074311,44.488113,43638.1,5
6055,-122.325995,38.507351,143284,7
12009,-80.700384,28.298276,86173.2,11
18097,-86.135794,39.782976,18735.9,14
9007,-72.524227,41.434525,56606.1,8
26115,-83.487106,41.916097,11365.2,9
33015,-71.099437,42.98936,61345,12
36001,-73.974014,42.588271,46457.3,6
6085,-121.690622,37.220777,147589,30
26165,-85.570046,44.331375,6949.9,6
55133,-88.306707,43.019308,20069.8,32
36059,-73.589384,40.729687,51618,50
42091,-75.370201,40.209999,46622.6,9
39099,-80.770396,41.01088,23813.6,6
39173,-83.622682,41.360183,13230.5,2
45045,-82.372077,34.892645,53017.4,9
42115,-75.800969,41.819665,43494,1
34021,-74.703724,40.282503,48848.2,20
6067,-121.340441,38.450011,137760.5,26
Longueuil CAN,-73.510712,45.536945,49331,43
6001,-121.913304,37.648081,143345.4,24
42123,-79.313173,41.843669,30956.6,2
17161,-90.572203,41.468404,22006.1,2
34033,-75.357356,39.573828,49170.8,1
48439,-97.291291,32.77204,73667.8,19
33017,-71.035927,43.293177,62995.6,7
36061,-73.970174,40.776557,49936.2,28
36047,-73.950777,40.635133,50833.8,20
54045,-81.940853,37.830591,37342.2,1
37009,-81.49877,36.436305,47789.9,1
51179,-77.459043,38.418933,46897,1
36037,-78.192778,43.00091,29058,3
45019,-79.94248,32.800458,65189.6,8
45073,-83.061522,34.748759,54636.2,2
51740,-76.356269,36.85943,56867.2,4
51041,-77.585847,37.378434,53141.6,8
12019,-81.858147,29.987116,77605.9,1
5119,-92.316515,34.773988,52166.4,12
42045,-75.398786,39.91667,46657.3,14
53053,-122.144709,47.040716,145876.8,31
28047,-89.083376,30.416536,69358.1,3
10003,-75.644132,39.575915,47968.8,5
24045,-75.632206,38.367389,52165.9,2
36085,-74.137063,40.563855,50287.8,8
53029,-122.670503,48.158436,147963.6,7
2020,-149.274354,61.177549,262232.6,8
36063,-78.792143,43.456731,27049.7,3
36005,-73.852939,40.848711,49969.5,31
51760,-77.476009,37.531399,51109.7,22
51027,-82.038151,37.26812,43180.4,1
18059,-85.772904,39.822604,18574.6,2
42047,-78.653938,41.427334,32728.2,1
51121,-80.387314,37.174885,43738.4,1
51059,-77.276117,38.833743,44212.4,4
51730,-77.392368,37.20473,52796.9,2
45091,-81.183189,34.97019,53993.4,6
45007,-82.638086,34.519549,55666.6,4
48453,-97.69127,30.239513,84023.2,19
48157,-95.771015,29.526602,82541.5,14
37183,-78.650624,35.789846,55277.9,20
48113,-96.778424,32.766987,71371.8,45
1089,-86.55108,34.764238,45568.3,11
8031,-104.880625,39.761849,74288,34
48071,-94.668875,29.703933,82198.3,2
18095,-85.722454,40.166203,17210,1
28149,-90.851791,32.357005,60912.1,1
48029,-98.520147,29.448671,89128.4,40
12001,-82.357221,29.67574,75858.1,4
18157,-86.893943,40.38926,15840.3,5
28121,-89.946552,32.262057,59241.3,5
35001,-106.669065,35.054002,95353.7,6
30081,-114.119065,46.079298,120143.8,2
40071,-97.143755,36.814842,61115.9,2
6013,-121.951543,37.919479,143459.1,27
53035,-122.649636,47.639687,147020.1,39
9001,-73.366757,41.228103,53707.6,9
53033,-121.832375,47.493554,141788.1,25
39133,-81.196932,41.16864,22036.7,3
51830,-76.706717,37.269293,53896,2
51137,-78.00998,38.250439,47631.8,1
51087,-77.300333,37.437521,51796.6,4
40109,-97.409401,35.554611,61654,23
6029,-118.729506,35.346629,138213.5,5
19013,-92.306059,42.472888,31055.8,6
25021,-71.179875,42.169703,58229.4,17
18069,-85.478598,40.826394,12894.3,2
1095,-86.321668,34.309564,48869.6,3
47103,-86.593388,35.142532,43280,1
34013,-74.246136,40.787217,48440.5,22
36069,-77.303277,42.856695,32726.5,11
37135,-79.119355,36.062499,52899.2,5
28099,-89.119274,32.752518,59020.1,1
51680,-79.195458,37.399016,49031.6,1
51107,-77.638857,39.08113,43355.6,3
12127,-81.161813,29.057617,84055,5
28127,-89.917707,31.902503,60867.2,1
13121,-84.468182,33.790034,53915.5,28
6097,-122.945194,38.532574,146854.6,2
East York CAN,-79.341667,43.6912,24895,69
51610,-77.174639,38.883787,43733,9
51685,-77.448681,38.768991,44766.3,5
51510,-77.082026,38.818343,44628,4
51175,-77.103856,36.720173,56525.2,1
51540,-78.485381,38.037658,48905.8,1
51683,-77.484727,38.747561,44747.5,3
2090,-146.599867,64.690832,254424,2
48209,-98.029267,30.061225,86290.4,4
36109,-76.473712,42.453281,37952.4,2
36081,-73.837929,40.658557,51244.9,21
54107,-81.515928,39.211679,30521.6,2
42077,-75.590627,40.614241,44599.7,2
22103,-89.951962,30.410022,68989.6,11
6041,-122.745974,38.051817,145021.8,9
48027,-97.481921,31.04211,80247.7,7
