FIPS,Lng,Lat,Duration,Density
26125,-83.38421,42.660452,44349.6,51
6037,-118.261862,34.196398,162361.3,152
26163,-83.261953,42.284664,42089.6,78
27053,-93.475185,45.006064,78861.7,32
24510,-76.610516,39.300214,25283.9,15
6081,-122.371542,37.414664,178548.4,43
17031,-87.645455,41.894294,50296.2,60
34027,-74.547427,40.858581,38237.3,10
17111,-88.452245,42.324298,55002.9,2
12103,-82.739518,27.903122,46307.5,9
5005,-92.330438,36.28071,58878.6,2
34017,-74.078627,40.731384,37901.9,16
36119,-73.745912,41.15277,40761,7
36093,-74.043583,42.817542,48321.2,4
12117,-81.13198,28.690079,40296.5,3
25023,-70.741942,41.987196,55215,7
18105,-86.523325,39.160751,39620.4,4
34023,-74.407585,40.439593,36358.5,8
36103,-72.692218,40.943554,44810.4,21
27037,-93.062481,44.670893,77852.1,9
34025,-74.152446,40.287056,36730.7,6
40143,-95.941731,36.120121,70366.8,21
1083,-86.9814,34.810239,36254.1,4
26121,-86.751892,43.289258,54717,3
12086,-80.499045,25.610494,55532.5,25
9005,-73.235428,41.791897,45877.3,13
4021,-111.367257,32.91891,137700.1,28
33011,-71.723101,42.911643,56345.6,33
34035,-74.61993,40.565522,36958.3,12
25017,-71.396507,42.479477,54018.4,30
18067,-86.114118,40.483537,40860,4
26049,-83.706372,43.021077,45333.4,48
39155,-80.767656,41.308936,34138.1,7
26145,-84.05541,43.328267,49130.5,18
11001,-77.017094,38.904149,21911.7,30
48201,-95.393037,29.857273,75687,72
23005,-70.330375,43.808348,61653.2,8
4015,-113.749689,35.717705,139347.8,3
44007,-71.578242,41.870488,50924.7,13
42049,-80.096386,42.117952,37328.5,5
4013,-112.495534,33.346541,138455.5,66
26161,-83.844634,42.252327,42219.5,28
25025,-71.020173,42.33196,53917.7,46
18089,-87.374337,41.472239,47182,6
36055,-77.664656,43.464475,47587.4,24
26159,-86.305697,42.283986,50303.7,18
44005,-71.284063,41.502732,52114,3
17177,-89.665994,42.349726,58571.2,1
42015,-76.502124,41.791495,38923.4,1
26081,-85.547446,43.032497,50429.8,41
12031,-81.648113,30.335245,30818.9,13
34005,-74.663006,39.875786,34040.8,4
42081,-77.055253,41.343624,35507.6,1
17043,-88.086038,41.852058,52161.7,13
55087,-88.464988,44.418226,64312.3,2
50027,-72.591515,43.588143,57941,1
25013,-72.635648,42.136198,49146.2,7
42095,-75.307447,40.752791,34121.1,4
42029,-75.749732,39.973965,31638.6,6
25027,-71.940282,42.311693,51323.8,20
42101,-75.133346,40.009376,32973.7,36
12011,-80.476658,26.19352,52965.1,35
6087,-122.007205,37.012488,175734.9,23
51600,-77.299025,38.853183,21547.2,8
42003,-79.98092,40.46892,29608.9,22
