FIPS,Lng,Lat,Duration,Density
26125,-83.38421,42.660452,47446.2,51
6037,-118.261862,34.196398,190806.8,152
26163,-83.261953,42.284664,47867,78
27053,-93.475185,45.006064,88567.6,32
24510,-76.610516,39.300214,22133.5,15
6081,-122.371542,37.414664,194306,43
17031,-87.645455,41.894294,60002.1,60
34027,-74.547427,40.858581,11338.5,10
17111,-88.452245,42.324298,64708.8,2
12103,-82.739518,27.903122,87660.1,9
5005,-92.330438,36.28071,92213.1,2
34017,-74.078627,40.731384,9382.8,16
36119,-73.745912,41.15277,6616,7
36093,-74.043583,42.817542,9774,4
12117,-81.13198,28.690079,81649.1,3
25023,-70.741942,41.987196,9406.3,7
18105,-86.523325,39.160751,60545.2,4
34023,-74.407585,40.439593,11316.6,8
36103,-72.692218,40.943554,13909.1,21
27037,-93.062481,44.670893,87558,9
34025,-74.152446,40.287056,12471,6
40143,-95.941731,36.120121,98198.6,21
1083,-86.9814,34.810239,73102.2,4
26121,-86.751892,43.289258,58474.1,3
12086,-80.499045,25.610494,96885.1,25
9005,-73.235428,41.791897,3225.5,13
4021,-111.367257,32.91891,169319,28
33011,-71.723101,42.911643,9810.9,33
34035,-74.61993,40.565522,12115.5,12
25017,-71.396507,42.479477,7483.7,30
18067,-86.114118,40.483537,56421,4
26049,-83.706372,43.021077,46966.9,48
39155,-80.767656,41.308936,34726.7,7
26145,-84.05541,43.328267,51173.4,18
11001,-77.017094,38.904149,25013.6,30
48201,-95.393037,29.857273,117882.9,72
23005,-70.330375,43.808348,15118.5,8
4015,-113.749689,35.717705,169009.5,3
44007,-71.578242,41.870488,5240.1,13
42049,-80.096386,42.117952,34345.6,5
4013,-112.495534,33.346541,168117.2,66
26161,-83.844634,42.252327,48653.9,28
25025,-71.020173,42.33196,7383,46
18089,-87.374337,41.472239,58202.8,6
36055,-77.664656,43.464475,25101.7,24
26159,-86.305697,42.283986,57361.2,18
44005,-71.284063,41.502732,7292.2,3
17177,-89.665994,42.349726,68277.1,1
42015,-76.502124,41.791495,20359.5,1
26081,-85.547446,43.032497,54186.9,41
12031,-81.648113,30.335245,72171.5,13
34005,-74.663006,39.875786,14728.2,4
42081,-77.055253,41.343624,22125.5,1
17043,-88.086038,41.852058,62030.3,13
55087,-88.464988,44.418226,74018.2,2
50027,-72.591515,43.588143,12065.6,1
25013,-72.635648,42.136198,2474.4,7
42095,-75.307447,40.752791,14782.3,4
42029,-75.749732,39.973965,17959,6
25027,-71.940282,42.311693,4789.1,20
42101,-75.133346,40.009376,15305.7,36
12011,-80.476658,26.19352,94317.7,35
6087,-122.007205,37.012488,195265.8,23
51600,-77.299025,38.853183,26359.5,8
42003,-79.98092,40.46892,34323.6,22
48167,-94.894865,29.228706,119429,6
39035,-81.724217,41.760392,38887,20
51650,-76.297149,37.04803,36618.9,2
Windsor CAN,-83.026772,42.317432,46457.7,134
9011,-72.103452,41.47863,3174.7,6
39049,-83.008258,39.969447,45005,26
33013,-71.68013,43.299485,12482.6,13
18141,-86.288159,41.617699,54426.6,14
34039,-74.308696,40.659871,10454,8
39061,-84.544187,39.196927,52401.3,8
36017,-75.604905,42.489732,16573.6,1
48231,-96.083807,33.123438,107444.5,1
9003,-72.732916,41.806053,488,28
39025,-84.149614,39.052084,53413.7,1
8069,-105.482131,40.663091,130110.2,3
24003,-76.560511,38.993374,23797.6,7
19103,-91.588812,41.668737,74169.5,1
55043,-90.695368,42.870062,75303.8,1
9013,-72.340977,41.858076,1488.9,6
36067,-76.196117,43.00653,18646.1,3
12099,-80.448673,26.645763,93242.9,16
12085,-80.398211,27.079954,90717.6,4
12095,-81.323295,28.514435,82275,28
Markham CAN,-79.337021,43.856098,36278.1,26
