FIPS,Lng,Lat,Duration,Density
26125,-83.38421,42.660452,128729.5,51
6037,-118.261862,34.196398,23307.5,152
26163,-83.261953,42.284664,127294.6,78
27053,-93.475185,45.006064,104740.1,32
24510,-76.610516,39.300214,155514.3,15
6081,-122.371542,37.414664,39494.6,43
17031,-87.645455,41.894294,110859.6,60
34027,-74.547427,40.858581,159882.2,10
17111,-88.452245,42.324298,109943.9,2
12103,-82.739518,27.903122,151351.1,9
5005,-92.330438,36.28071,91855.4,2
34017,-74.078627,40.731384,162100.2,16
36119,-73.745912,41.15277,164380.1,7
36093,-74.043583,42.817542,164513.8,4
12117,-81.13198,28.690079,150500.1,3
25023,-70.741942,41.987196,178774.9,7
18105,-86.523325,39.160751,116232.2,4
34023,-74.407585,40.439593,162002.8,8
36103,-72.692218,40.943554,168490,21
27037,-93.062481,44.670893,103977.3,9
34025,-74.152446,40.287056,163336.3,6
40143,-95.941731,36.120121,75353.9,21
1083,-86.9814,34.810239,113057,4
26121,-86.751892,43.289258,124322,3
12086,-80.499045,25.610494,165327.7,25
9005,-73.235428,41.791897,168503.9,13
4021,-111.367257,32.91891,26351.4,28
33011,-71.723101,42.911643,178574.3,33
34035,-74.61993,40.565522,160831.7,12
25017,-71.396507,42.479477,176873.2,30
18067,-86.114118,40.483537,120999.8,4
26049,-83.706372,43.021077,127514,48
39155,-80.767656,41.308936,135986.5,7
26145,-84.05541,43.328267,130376,18
11001,-77.017094,38.904149,155562.6,30
48201,-95.393037,29.857273,91530.9,72
23005,-70.330375,43.808348,184508,8
4015,-113.749689,35.717705,14871.7,3
44007,-71.578242,41.870488,174355.3,13
42049,-80.096386,42.117952,139488.9,5
4013,-112.495534,33.346541,20123.7,66
26161,-83.844634,42.252327,125359.5,28
25025,-71.020173,42.33196,176772.5,46
18089,-87.374337,41.472239,112106.5,6
36055,-77.664656,43.464475,150915.7,24
26159,-86.305697,42.283986,117743.3,18
44005,-71.284063,41.502732,175736.3,3
17177,-89.665994,42.349726,107511.3,1
42015,-76.502124,41.791495,155817,1
26081,-85.547446,43.032497,122216.8,41
12031,-81.648113,30.335245,142911.2,13
34005,-74.663006,39.875786,162061.3,4
42081,-77.055253,41.343624,151352.7,1
17043,-88.086038,41.852058,109145.9,13
55087,-88.464988,44.418226,117641.1,2
50027,-72.591515,43.588143,174885.4,1
25013,-72.635648,42.136198,171243.8,7
