FIPS,Lng,Lat,Duration,Density
26125,-83.38421,42.660452,393952.3,51
6037,-118.261862,34.196398,2902362.2,152
26163,-83.261953,42.284664,364270.8,78
27053,-93.475185,45.006064,850446,32
24510,-76.610516,39.300214,783784.3,15
6081,-122.371542,37.414664,3157102.9,43
17031,-87.645455,41.894294,259841.7,60
34027,-74.547427,40.858581,984845.8,10
17111,-88.452245,42.324298,338081,2
12103,-82.739518,27.903122,1338026.1,9
5005,-92.330438,36.28071,687469.3,2
34017,-74.078627,40.731384,1011317.2,16
36119,-73.745912,41.15277,1064208.4,7
36093,-74.043583,42.817542,988768.5,4
12117,-81.13198,28.690079,1318977.8,3
25023,-70.741942,41.987196,1273924.5,7
18105,-86.523325,39.160751,72776.6,4
34023,-74.407585,40.439593,987222.9,8
36103,-72.692218,40.943554,1122225.3,21
27037,-93.062481,44.670893,799390,9
34025,-74.152446,40.287056,1010737.7,6
40143,-95.941731,36.120121,929235,21
1083,-86.9814,34.810239,565610.9,4
26121,-86.751892,43.289258,358604.7,3
12086,-80.499045,25.610494,1657321.5,25
9005,-73.235428,41.791897,1075810.8,13
4021,-111.367257,32.91891,2422012.5,28
33011,-71.723101,42.911643,1178740.6,33
34035,-74.61993,40.565522,965052.6,12
25017,-71.396507,42.479477,1211161.5,30
18067,-86.114118,40.483537,69004.8,4
26049,-83.706372,43.021077,403462.5,48
39155,-80.767656,41.308936,453543.3,7
26145,-84.05541,43.328267,418661.5,18
11001,-77.017094,38.904149,783451.8,30
48201,-95.393037,29.857273,1406320.2,72
23005,-70.330375,43.808348,1317391.9,8
4015,-113.749689,35.717705,2463525.6,3
44007,-71.578242,41.870488,1210983.6,13
42049,-80.096386,42.117952,530273.5,5
4013,-112.495534,33.346541,2490148.1,66
26161,-83.844634,42.252327,338044.1,28
25025,-71.020173,42.33196,1237149.4,46
18089,-87.374337,41.472239,213437.3,6
36055,-77.664656,43.464475,720433,24
26159,-86.305697,42.283986,244541.8,18
44005,-71.284063,41.502732,1196302.4,3
17177,-89.665994,42.349726,421691.5,1
42015,-76.502124,41.791495,791141.6,1
26081,-85.547446,43.032497,332913.7,41
12031,-81.648113,30.335245,1138956.1,13
34005,-74.663006,39.875786,957808.1,4
42081,-77.055253,41.343624,745227.6,1
17043,-88.086038,41.852058,284436.4,13
55087,-88.464988,44.418226,525085.5,2
50027,-72.591515,43.588143,1137989.4,1
25013,-72.635648,42.136198,1118978.9,7
42095,-75.307447,40.752791,914085.5,4
42029,-75.749732,39.973965,868936.6,6
25027,-71.940282,42.311693,1171503.4,20
42101,-75.133346,40.009376,918281.1,36
12011,-80.476658,26.19352,1603289.3,35
6087,-122.007205,37.012488,3180618,23
51600,-77.299025,38.853183,770404.7,8
42003,-79.98092,40.46892,501027.3,22
48167,-94.894865,29.228706,1443937.9,6
39035,-81.724217,41.760392,411322.3,20
51650,-76.297149,37.04803,934595.9,2
Windsor CAN,-83.026772,42.317432,384844.9,134
9011,-72.103452,41.47863,1178830.7,6
39049,-83.008258,39.969447,234765.3,26
33013,-71.68013,43.299485,1192893.3,13
18141,-86.288159,41.617699,183123.8,14
34039,-74.308696,40.659871,990080.2,8
39061,-84.544187,39.196927,149056,8
36017,-75.604905,42.489732,886383.1,1
48231,-96.083807,33.123438,1147544.4,1
9003,-72.732916,41.806053,1159294.5,28
39025,-84.149614,39.052084,186890.4,1
8069,-105.482131,40.663091,1568487.4,3
24003,-76.560511,38.993374,804004.9,7
19103,-91.588812,41.668737,493096.4,1
55043,-90.695368,42.870062,530943.2,1
9013,-72.340977,41.858076,1157146.3,6
36067,-76.196117,43.00653,840286.9,3
12099,-80.448673,26.645763,1516388.3,16
12085,-80.398211,27.079954,1505352.9,4
12095,-81.323295,28.514435,1310553.6,28
Markham CAN,-79.337021,43.856098,640036.8,26
26099,-82.910869,42.671467,409456,36
34007,-74.961251,39.802352,939628.6,7
25005,-71.087062,41.748576,1202892.7,5
33005,-72.248217,42.925455,1132900,3
48141,-106.241391,31.766403,2063956.8,23
34041,-75.009542,40.853524,946915.5,5
26061,-88.652066,46.998305,801343.3,8
42131,-76.00878,41.525137,845695.7,1
34031,-74.300308,41.033763,1011831.8,6
42133,-76.728446,39.921839,780131.3,1
9009,-72.900204,41.349717,1126965.3,15
36089,-75.074311,44.488113,964669,5
6055,-122.325995,38.507351,3094659.6,7
12009,-80.700384,28.298276,1359690.5,11
18097,-86.135794,39.782976,1056.6,14
9007,-72.524227,41.434525,1158204.8,8
26115,-83.487106,41.916097,323793.1,9
33015,-71.099437,42.98936,1228777.4,12
36001,-73.974014,42.588271,1003247,6
6085,-121.690622,37.220777,3156203.2,30
26165,-85.570046,44.331375,457909.2,6
55133,-88.306707,43.019308,390555.1,32
36059,-73.589384,40.729687,1047444.7,50
42091,-75.370201,40.209999,892996.6,9
39099,-80.770396,41.01088,435472.5,6
