FIPS,Lng,Lat,Duration,Density
26125,-83.38421,42.660452,144781.3,51
6037,-118.261862,34.196398,9371.9,152
26163,-83.261953,42.284664,143346.4,78
27053,-93.475185,45.006064,120791.9,32
24510,-76.610516,39.300214,169255.9,15
6081,-122.371542,37.414664,29358.9,43
17031,-87.645455,41.894294,126911.4,60
34027,-74.547427,40.858581,175934,10
17111,-88.452245,42.324298,125995.7,2
12103,-82.739518,27.903122,159833.5,9
5005,-92.330438,36.28071,105254.8,2
34017,-74.078627,40.731384,178152,16
36119,-73.745912,41.15277,180431.9,7
36093,-74.043583,42.817542,180565.6,4
12117,-81.13198,28.690079,158982.5,3
25023,-70.741942,41.987196,194826.7,7
18105,-86.523325,39.160751,129973.8,4
34023,-74.407585,40.439593,177775.5,8
36103,-72.692218,40.943554,184541.8,21
27037,-93.062481,44.670893,120029.1,9
34025,-74.152446,40.287056,178147.7,6
40143,-95.941731,36.120121,88753.3,21
1083,-86.9814,34.810239,126456.4,4
26121,-86.751892,43.289258,140373.8,3
12086,-80.499045,25.610494,173810.1,25
9005,-73.235428,41.791897,184555.7,13
4021,-111.367257,32.91891,29136.4,28
33011,-71.723101,42.911643,194626.1,33
34035,-74.61993,40.565522,176883.5,12
25017,-71.396507,42.479477,192925,30
18067,-86.114118,40.483537,134768.9,4
26049,-83.706372,43.021077,143565.8,48
39155,-80.767656,41.308936,152038.3,7
26145,-84.05541,43.328267,146427.8,18
11001,-77.017094,38.904149,169304.2,30
48201,-95.393037,29.857273,94675.2,72
23005,-70.330375,43.808348,200559.8,8
4015,-113.749689,35.717705,28271.1,3
44007,-71.578242,41.870488,190407.1,13
42049,-80.096386,42.117952,155540.7,5
4013,-112.495534,33.346541,22567.4,66
26161,-83.844634,42.252327,141411.3,28
25025,-71.020173,42.33196,192824.3,46
18089,-87.374337,41.472239,128158.3,6
36055,-77.664656,43.464475,166967.5,24
26159,-86.305697,42.283986,133795.1,18
44005,-71.284063,41.502732,191788.1,3
17177,-89.665994,42.349726,123563.1,1
42015,-76.502124,41.791495,171868.8,1
26081,-85.547446,43.032497,138268.6,41
12031,-81.648113,30.335245,151393.6,13
34005,-74.663006,39.875786,176530.5,4
42081,-77.055253,41.343624,167404.5,1
17043,-88.086038,41.852058,125197.7,13
55087,-88.464988,44.418226,133692.9,2
50027,-72.591515,43.588143,190937.2,1
25013,-72.635648,42.136198,187295.6,7
42095,-75.307447,40.752791,174172.1,4
42029,-75.749732,39.973965,172905.2,6
25027,-71.940282,42.311693,190230.4,20
42101,-75.133346,40.009376,174231.2,36
12011,-80.476658,26.19352,171082.8,35
6087,-122.007205,37.012488,26545.4,23
51600,-77.299025,38.853183,168283.4,8
42003,-79.98092,40.46892,154784.9,22
48167,-94.894865,29.228706,98252.4,6
39035,-81.724217,41.760392,149562.8,20
51650,-76.297149,37.04803,171130.8,2
Windsor CAN,-83.026772,42.317432,144544.1,134
9011,-72.103452,41.47863,187733.6,6
39049,-83.008258,39.969447,141708.4,26
33013,-71.68013,43.299485,195180.5,13
18141,-86.288159,41.617699,132448.9,14
34039,-74.308696,40.659871,177808.8,8
39061,-84.544187,39.196927,136985.8,8
36017,-75.604905,42.489732,175985.6,1
48231,-96.083807,33.123438,91911.8,1
9003,-72.732916,41.806053,185844,28
39025,-84.149614,39.052084,139788.4,1
8069,-105.482131,40.663091,74882.7,3
24003,-76.560511,38.993374,170429.5,7
19103,-91.588812,41.668737,112087.6,1
55043,-90.695368,42.870062,120855.4,1
9013,-72.340977,41.858076,186930.2,6
36067,-76.196117,43.00653,172383.1,3
12099,-80.448673,26.645763,169978.8,16
12085,-80.398211,27.079954,167642.6,4
12095,-81.323295,28.514435,157614.9,28
Markham CAN,-79.337021,43.856098,161141.4,26
26099,-82.910869,42.671467,146587.9,36
34007,-74.961251,39.802352,175661.4,7
25005,-71.087062,41.748576,193862.2,5
33005,-72.248217,42.925455,190777.6,3
48141,-106.241391,31.766403,51242.8,23
34041,-75.009542,40.853524,174435.9,5
26061,-88.652066,46.998305,147644.3,8
42131,-76.00878,41.525137,173792.8,1
34031,-74.300308,41.033763,177371.3,6
42133,-76.728446,39.921839,169256.3,1
9009,-72.900204,41.349717,184338.2,15
36089,-75.074311,44.488113,179754.8,5
6055,-122.325995,38.507351,32423.3,7
12009,-80.700384,28.298276,160761,11
