FIPS,Lng,Lat,Duration,Density
26125,-83.38421,42.660452,51720.5,51
6037,-118.261862,34.196398,106076.7,152
26163,-83.261953,42.284664,50285.6,78
27053,-93.475185,45.006064,29342.7,32
24510,-76.610516,39.300214,71708.6,15
6081,-122.371542,37.414664,114916.5,43
17031,-87.645455,41.894294,34525.9,60
34027,-74.547427,40.858581,79482.4,10
17111,-88.452245,42.324298,34073.5,2
12103,-82.739518,27.903122,84724.6,9
5005,-92.330438,36.28071,21669.4,2
34017,-74.078627,40.731384,81700.4,16
36119,-73.745912,41.15277,83980.3,7
36093,-74.043583,42.817542,85186.2,4
12117,-81.13198,28.690079,83805.4,3
25023,-70.741942,41.987196,98375.1,7
18105,-86.523325,39.160751,32426.5,4
34023,-74.407585,40.439593,80228.2,8
36103,-72.692218,40.943554,88090.2,21
27037,-93.062481,44.670893,28154.7,9
34025,-74.152446,40.287056,80600.4,6
40143,-95.941731,36.120121,17668.1,21
1083,-86.9814,34.810239,43561.1,4
26121,-86.751892,43.289258,47313,3
12086,-80.499045,25.610494,98633,25
9005,-73.235428,41.791897,88104.1,13
4021,-111.367257,32.91891,83772.7,28
33011,-71.723101,42.911643,98800.6,33
34035,-74.61993,40.565522,79905.7,12
25017,-71.396507,42.479477,96473.4,30
18067,-86.114118,40.483537,37221.6,4
26049,-83.706372,43.021077,50505,48
39155,-80.767656,41.308936,56255.6,7
26145,-84.05541,43.328267,53367,18
11001,-77.017094,38.904149,71756.9,30
48201,-95.393037,29.857273,49362,72
23005,-70.330375,43.808348,104108.2,8
4015,-113.749689,35.717705,83463.2,3
44007,-71.578242,41.870488,93955.5,13
42049,-80.096386,42.117952,60161.3,5
4013,-112.495534,33.346541,82570.9,66
26161,-83.844634,42.252327,48350.5,28
25025,-71.020173,42.33196,96372.7,46
18089,-87.374337,41.472239,35097.5,6
36055,-77.664656,43.464475,72336.5,24
26159,-86.305697,42.283986,40734.3,18
44005,-71.284063,41.502732,95336.5,3
17177,-89.665994,42.349726,31640.9,1
42015,-76.502124,41.791495,75417.2,1
26081,-85.547446,43.032497,45207.8,41
12031,-81.648113,30.335245,76220.7,13
34005,-74.663006,39.875786,78983.2,4
42081,-77.055253,41.343624,70952.9,1
17043,-88.086038,41.852058,33275.5,13
55087,-88.464988,44.418226,41770.7,2
50027,-72.591515,43.588143,95557.8,1
25013,-72.635648,42.136198,91476.7,7
42095,-75.307447,40.752791,77068.5,4
42029,-75.749732,39.973965,75357.9,6
25027,-71.940282,42.311693,93778.8,20
42101,-75.133346,40.009376,76683.9,36
12011,-80.476658,26.19352,95905.7,35
6087,-122.007205,37.012488,115876.3,23
51600,-77.299025,38.853183,71960,8
42003,-79.98092,40.46892,57237.6,22
48167,-94.894865,29.228706,53799.2,6
39035,-81.724217,41.760392,54581.8,20
51650,-76.297149,37.04803,76751.8,2
Windsor CAN,-83.026772,42.317432,51483.3,134
9011,-72.103452,41.47863,91282,6
39049,-83.008258,39.969447,44161.1,26
33013,-71.68013,43.299485,99801.1,13
18141,-86.288159,41.617699,39388.1,14
34039,-74.308696,40.659871,81128.5,8
39061,-84.544187,39.196927,39438.5,8
36017,-75.604905,42.489732,80606.2,1
