FIPS,Lng,Lat,Duration,Density
26125,-83.38421,42.660452,26003.3,51
6037,-118.261862,34.196398,141923.5,152
26163,-83.261953,42.284664,23743.3,78
27053,-93.475185,45.006064,54153,32
24510,-76.610516,39.300214,35487.4,15
6081,-122.371542,37.414664,154055.3,43
17031,-87.645455,41.894294,25587.5,60
34027,-74.547427,40.858581,46747.9,10
17111,-88.452245,42.324298,30294.2,2
12103,-82.739518,27.903122,56455.2,9
5005,-92.330438,36.28071,36431.4,2
34017,-74.078627,40.731384,47334.8,16
36119,-73.745912,41.15277,50193.9,7
36093,-74.043583,42.817542,54748.8,4
12117,-81.13198,28.690079,55536,3
25023,-70.741942,41.987196,64647.9,7
18105,-86.523325,39.160751,12963.9,4
34023,-74.407585,40.439593,45791.4,8
36103,-72.692218,40.943554,54243.3,21
27037,-93.062481,44.670893,53143.4,9
34025,-74.152446,40.287056,46163.6,6
40143,-95.941731,36.120121,48099.1,21
1083,-86.9814,34.810239,20983.2,4
26121,-86.751892,43.289258,33881.2,3
12086,-80.499045,25.610494,70363.6,25
9005,-73.235428,41.791897,55310.2,13
4021,-111.367257,32.91891,119219.5,28
33011,-71.723101,42.911643,65778.5,33
34035,-74.61993,40.565522,45468.9,12
25017,-71.396507,42.479477,63451.3,30
18067,-86.114118,40.483537,17249.6,4
26049,-83.706372,43.021077,26689.2,48
39155,-80.767656,41.308936,25818.2,7
26145,-84.05541,43.328267,30486.3,18
11001,-77.017094,38.904149,34589.3,30
48201,-95.393037,29.857273,65180.7,72
23005,-70.330375,43.808348,71086.1,8
4015,-113.749689,35.717705,118910,3
44007,-71.578242,41.870488,60357.6,13
42049,-80.096386,42.117952,29723.9,5
4013,-112.495534,33.346541,118017.7,66
26161,-83.844634,42.252327,23575.3,28
25025,-71.020173,42.33196,63350.6,46
18089,-87.374337,41.472239,22473.3,6
36055,-77.664656,43.464475,41899.1,24
26159,-86.305697,42.283986,27302.5,18
44005,-71.284063,41.502732,61546.9,3
17177,-89.665994,42.349726,33862.5,1
42015,-76.502124,41.791495,43294.8,1
26081,-85.547446,43.032497,31305.2,41
12031,-81.648113,30.335245,47716.6,13
34005,-74.663006,39.875786,44344.2,4
42081,-77.055253,41.343624,38830.5,1
17043,-88.086038,41.852058,27453,13
55087,-88.464988,44.418226,39603.6,2
50027,-72.591515,43.588143,65120.4,1
25013,-72.635648,42.136198,58579.1,7
42095,-75.307447,40.752791,42631.7,4
42029,-75.749732,39.973965,40921.1,6
25027,-71.940282,42.311693,60756.7,20
42101,-75.133346,40.009376,42247.1,36
12011,-80.476658,26.19352,67636.3,35
6087,-122.007205,37.012488,155015.1,23
51600,-77.299025,38.853183,33386.4,8
42003,-79.98092,40.46892,26536.9,22
48167,-94.894865,29.228706,69184.9,6
39035,-81.724217,41.760392,24144.4,20
51650,-76.297149,37.04803,38022.8,2
Windsor CAN,-83.026772,42.317432,24328.4,134
9011,-72.103452,41.47863,57492.4,6
39049,-83.008258,39.969447,13750.1,26
33013,-71.68013,43.299485,68587.3,13
18141,-86.288159,41.617699,23360.6,14
34039,-74.308696,40.659871,46691.7,8
39061,-84.544187,39.196927,6658.3,8
36017,-75.604905,42.489732,50168.8,1
48231,-96.083807,33.123438,53455.2,1
9003,-72.732916,41.806053,56598.5,28
39025,-84.149614,39.052084,8132.7,1
8069,-105.482131,40.663091,88190.4,3
24003,-76.560511,38.993374,36661,7
19103,-91.588812,41.668737,37330.5,1
55043,-90.695368,42.870062,40523.1,1
9013,-72.340977,41.858076,57456.5,6
36067,-76.196117,43.00653,46566.3,3
12099,-80.448673,26.645763,66532.3,16
12085,-80.398211,27.079954,64196.1,4
12095,-81.323295,28.514435,54168.4,28
Markham CAN,-79.337021,43.856098,41632.4,26
26099,-82.910869,42.671467,26641.3,36
34007,-74.961251,39.802352,43121.7,7
25005,-71.087062,41.748576,63683.4,5
33005,-72.248217,42.925455,64083.6,3
48141,-106.241391,31.766403,94828.2,23
34041,-75.009542,40.853524,44579.7,5
26061,-88.652066,46.998305,57230.8,8
42131,-76.00878,41.525137,45218.8,1
34031,-74.300308,41.033763,47617,6
42133,-76.728446,39.921839,36863.3,1
9009,-72.900204,41.349717,54097,15
36089,-75.074311,44.488113,56041.7,5
6055,-122.325995,38.507351,150861.7,7
12009,-80.700384,28.298276,57314.5,11
18097,-86.135794,39.782976,12888.1,14
9007,-72.524227,41.434525,56951.4,8
26115,-83.487106,41.916097,22055.7,9
33015,-71.099437,42.98936,66629.2,12
36001,-73.974014,42.588271,55983,6
6085,-121.690622,37.220777,155166.7,30
26165,-85.570046,44.331375,36880.4,6
55133,-88.306707,43.019308,33287,32
36059,-73.589384,40.729687,50101.5,50
42091,-75.370201,40.209999,41974.4,9
39099,-80.770396,41.01088,25626.3,6
39173,-83.622682,41.360183,18407.1,2
45045,-82.372077,34.892645,23276,9
42115,-75.800969,41.819665,46675.5,1
34021,-74.703724,40.282503,44054.2,20
6067,-121.340441,38.450011,145338.2,26
Longueuil CAN,-73.510712,45.536945,64567.2,43
6001,-121.913304,37.648081,150923.1,24
42123,-79.313173,41.843669,33512.5,2
17161,-90.572203,41.468404,33051.8,2
34033,-75.357356,39.573828,41979.6,1
48439,-97.291291,32.77204,58864.9,19
33017,-71.035927,43.293177,68906.6,7
36061,-73.970174,40.776557,48376.8,28
36047,-73.950777,40.635133,48359.2,20
54045,-81.940853,37.830591,13124.9,1
37009,-81.49877,36.436305,21133.2,1
51179,-77.459043,38.418933,34690.5,1
36037,-78.192778,43.00091,38583.7,3
45019,-79.94248,32.800458,36234.5,8
45073,-83.061522,34.748759,24894.8,2
51740,-76.356269,36.85943,38914.5,4
51041,-77.585847,37.378434,34290.8,8
12019,-81.858147,29.987116,48747.2,1
5119,-92.316515,34.773988,37387.6,12
42045,-75.398786,39.91667,41863.3,14
53053,-122.144709,47.040716,157672.4,31
28047,-89.083376,30.416536,46966.9,3
10003,-75.644132,39.575915,40170.4,5
24045,-75.632206,38.367389,43798.4,2
36085,-74.137063,40.563855,47133.1,8
53029,-122.670503,48.158436,159932.9,7
2020,-149.274354,61.177549,275449.8,8
36063,-78.792143,43.456731,39046.8,3
36005,-73.852939,40.848711,48501,31
51760,-77.476009,37.531399,32781.4,22
51027,-82.038151,37.26812,14884.3,1
18059,-85.772904,39.822604,13064.1,2
42047,-78.653938,41.427334,34611.9,1
51121,-80.387314,37.174885,21739.8,1
51059,-77.276117,38.833743,33549.6,4
51730,-77.392368,37.20473,34488.6,2
45091,-81.183189,34.97019,26786.6,6
45007,-82.638086,34.519549,25925.2,4
48453,-97.69127,30.239513,69220.3,19
48157,-95.771015,29.526602,67738.6,14
37183,-78.650624,35.789846,32567.2,20
48113,-96.778424,32.766987,56568.9,45
1089,-86.55108,34.764238,22401.1,11
8031,-104.880625,39.761849,75551.3,34
48071,-94.668875,29.703933,67395.4,2
18095,-85.722454,40.166203,16061.1,1
28149,-90.851791,32.357005,44291.2,1
48029,-98.520147,29.448671,74325.5,40
12001,-82.357221,29.67574,46999.4,4
18157,-86.893943,40.38926,17337.1,5
28121,-89.946552,32.262057,41393.6,5
35001,-106.669065,35.054002,88179,6
30081,-114.119065,46.079298,132113.1,2
40071,-97.143755,36.814842,54875.6,2
6013,-121.951543,37.919479,151036.8,27
53035,-122.649636,47.639687,158989.4,39
9001,-73.366757,41.228103,52239.1,9
53033,-121.832375,47.493554,153757.4,25
39133,-81.196932,41.16864,23901.6,3
51830,-76.706717,37.269293,35943.3,2
51137,-78.00998,38.250439,31087.1,1
51087,-77.300333,37.437521,33843.9,4
40109,-97.409401,35.554611,54479.3,23
6029,-118.729506,35.346629,137158.6,5
19013,-92.306059,42.472888,42045.2,6
25021,-71.179875,42.169703,63087.9,17
18069,-85.478598,40.826394,18907.5,2
1095,-86.321668,34.309564,24620,3
47103,-86.593388,35.142532,20112.8,1
34013,-74.246136,40.787217,47207.1,22
36069,-77.303277,42.856695,42252.2,11
37135,-79.119355,36.062499,30188.5,5
28099,-89.119274,32.752518,39053.6,1
51680,-79.195458,37.399016,27033,1
51107,-77.638857,39.08113,33056.3,3
12127,-81.161813,29.057617,55196.3,5
28127,-89.917707,31.902503,43253,1
