FIPS,Lng,Lat,Duration,Density
26125,-83.38421,42.660452,145675,51
6037,-118.261862,34.196398,8182,152
26163,-83.261953,42.284664,144240.1,78
27053,-93.475185,45.006064,121685.6,32
24510,-76.610516,39.300214,170149.6,15
6081,-122.371542,37.414664,28065.2,43
17031,-87.645455,41.894294,127805.1,60
34027,-74.547427,40.858581,176827.7,10
17111,-88.452245,42.324298,126889.4,2
12103,-82.739518,27.903122,160902.7,9
5005,-92.330438,36.28071,106148.5,2
34017,-74.078627,40.731384,179045.7,16
36119,-73.745912,41.15277,181325.6,7
36093,-74.043583,42.817542,181459.3,4
12117,-81.13198,28.690079,160051.7,3
25023,-70.741942,41.987196,195720.4,7
18105,-86.523325,39.160751,130867.5,4
34023,-74.407585,40.439593,178669.2,8
36103,-72.692218,40.943554,185435.5,21
27037,-93.062481,44.670893,120922.8,9
34025,-74.152446,40.287056,179041.4,6
40143,-95.941731,36.120121,89647,21
1083,-86.9814,34.810239,127350.1,4
26121,-86.751892,43.289258,141267.5,3
12086,-80.499045,25.610494,174879.3,25
9005,-73.235428,41.791897,185449.4,13
4021,-111.367257,32.91891,30205.6,28
33011,-71.723101,42.911643,195519.8,33
34035,-74.61993,40.565522,177777.2,12
25017,-71.396507,42.479477,193818.7,30
18067,-86.114118,40.483537,135662.6,4
26049,-83.706372,43.021077,144459.5,48
39155,-80.767656,41.308936,152932,7
26145,-84.05541,43.328267,147321.5,18
11001,-77.017094,38.904149,170197.9,30
48201,-95.393037,29.857273,95744.4,72
23005,-70.330375,43.808348,201453.5,8
4015,-113.749689,35.717705,29164.8,3
44007,-71.578242,41.870488,191300.8,13
42049,-80.096386,42.117952,156434.4,5
4013,-112.495534,33.346541,23636.6,66
26161,-83.844634,42.252327,142305,28
25025,-71.020173,42.33196,193718,46
18089,-87.374337,41.472239,129052,6
36055,-77.664656,43.464475,167861.2,24
26159,-86.305697,42.283986,134688.8,18
44005,-71.284063,41.502732,192681.8,3
17177,-89.665994,42.349726,124456.8,1
42015,-76.502124,41.791495,172762.5,1
26081,-85.547446,43.032497,139162.3,41
12031,-81.648113,30.335245,152462.8,13
34005,-74.663006,39.875786,177424.2,4
42081,-77.055253,41.343624,168298.2,1
17043,-88.086038,41.852058,126091.4,13
55087,-88.464988,44.418226,134586.6,2
50027,-72.591515,43.588143,191830.9,1
25013,-72.635648,42.136198,188189.3,7
42095,-75.307447,40.752791,175065.8,4
42029,-75.749732,39.973965,173798.9,6
25027,-71.940282,42.311693,191124.1,20
42101,-75.133346,40.009376,175124.9,36
12011,-80.476658,26.19352,172152,35
6087,-122.007205,37.012488,25251.7,23
51600,-77.299025,38.853183,169177.1,8
42003,-79.98092,40.46892,155678.6,22
48167,-94.894865,29.228706,99321.6,6
39035,-81.724217,41.760392,150456.5,20
51650,-76.297149,37.04803,172024.5,2
Windsor CAN,-83.026772,42.317432,145437.8,134
9011,-72.103452,41.47863,188627.3,6
39049,-83.008258,39.969447,142602.1,26
33013,-71.68013,43.299485,196074.2,13
18141,-86.288159,41.617699,133342.6,14
34039,-74.308696,40.659871,178702.5,8
39061,-84.544187,39.196927,137879.5,8
36017,-75.604905,42.489732,176879.3,1
48231,-96.083807,33.123438,92981,1
9003,-72.732916,41.806053,186737.7,28
39025,-84.149614,39.052084,140682.1,1
8069,-105.482131,40.663091,75776.4,3
24003,-76.560511,38.993374,171323.2,7
19103,-91.588812,41.668737,112981.3,1
55043,-90.695368,42.870062,121749.1,1
9013,-72.340977,41.858076,187823.9,6
36067,-76.196117,43.00653,173276.8,3
12099,-80.448673,26.645763,171048,16
12085,-80.398211,27.079954,168711.8,4
12095,-81.323295,28.514435,158684.1,28
Markham CAN,-79.337021,43.856098,162035.1,26
26099,-82.910869,42.671467,147481.6,36
34007,-74.961251,39.802352,176555.1,7
25005,-71.087062,41.748576,194755.9,5
33005,-72.248217,42.925455,191671.3,3
48141,-106.241391,31.766403,52312,23
34041,-75.009542,40.853524,175329.6,5
26061,-88.652066,46.998305,148538,8
42131,-76.00878,41.525137,174686.5,1
34031,-74.300308,41.033763,178265,6
42133,-76.728446,39.921839,170150,1
9009,-72.900204,41.349717,185231.9,15
36089,-75.074311,44.488113,180648.5,5
6055,-122.325995,38.507351,31129.6,7
12009,-80.700384,28.298276,161830.2,11
18097,-86.135794,39.782976,131188.4,14
9007,-72.524227,41.434525,187433.3,8
26115,-83.487106,41.916097,144819.3,9
33015,-71.099437,42.98936,196996.6,12
36001,-73.974014,42.588271,182693.5,6
6085,-121.690622,37.220777,25380.5,30
26165,-85.570046,44.331375,144959.6,6
55133,-88.306707,43.019308,129669.4,32
36059,-73.589384,40.729687,181284.4,50
42091,-75.370201,40.209999,174852.2,9
39099,-80.770396,41.01088,153480,6
39173,-83.622682,41.360183,143360.4,2
45045,-82.372077,34.892645,148020.2,9
42115,-75.800969,41.819665,176143.2,1
34021,-74.703724,40.282503,176932,20
6067,-121.340441,38.450011,26591.9,26
Longueuil CAN,-73.510712,45.536945,186341.4,43
6001,-121.913304,37.648081,24986.8,24
42123,-79.313173,41.843669,160623,2
17161,-90.572203,41.468404,117039.4,2
34033,-75.357356,39.573828,176641.8,1
48439,-97.291291,32.77204,87761.6,19
