FIPS,Lng,Lat,Duration,Density
26125,-83.38421,42.660452,35.21344444444444,28
6037,-118.261862,34.196398,1.2829722222222222,66
6081,-122.371542,37.414664,6.471638888888889,29
34027,-74.547427,40.858581,42.601055555555554,5
5005,-92.330438,36.28071,26.71391666666667,2
36093,-74.043583,42.817542,43.132000000000005,2
12117,-81.13198,28.690079,39.19230555555555,2
25023,-70.741942,41.987196,46.42536111111111,4
34023,-74.407585,40.439593,43.17480555555555,6
36103,-72.692218,40.943554,44.63261111111111,15
40143,-95.941731,36.120121,22.68155555555556,10
1083,-86.9814,34.810239,31.534750000000003,1
34035,-74.61993,40.565522,42.94502777777778,9
18067,-86.114118,40.483537,33.31308333333334,3
39155,-80.767656,41.308936,37.04969444444444,4
23005,-70.330375,43.808348,47.6205,7
12086,-80.499045,25.610494,42.619194444444446,5
4015,-113.749689,35.717705,7.5231111111111115,1
44007,-71.578242,41.870488,45.87288888888889,7
42049,-80.096386,42.117952,37.70988888888889,4
26161,-83.844634,42.252327,34.52016666666667,20
25025,-71.020173,42.33196,45.98788888888889,21
26049,-83.706372,43.021077,34.98880555555556,32
18089,-87.374337,41.472239,31.50186111111111,3
26159,-86.305697,42.283986,32.65830555555556,12
44005,-71.284063,41.502732,46.166916666666665,2
12103,-82.739518,27.903122,39.40569444444444,2
17177,-89.665994,42.349726,30.30483333333333,1
26081,-85.547446,43.032497,33.74572222222223,26
12031,-81.648113,30.335245,37.39647222222222,2
34005,-74.663006,39.875786,43.090833333333336,3
55087,-88.464988,44.418226,32.48638888888889,1
26163,-83.261953,42.284664,34.94819444444445,48
50027,-72.591515,43.588143,45.598305555555555,1
17031,-87.645455,41.894294,31.43777777777778,17
42017,-75.10706,40.336887,42.61377777777778,4
12011,-80.476658,26.19352,42.001777777777775,16
17043,-88.086038,41.852058,30.90908333333333,4
6087,-122.007205,37.012488,5.835472222222222,21
51600,-77.299025,38.853183,41.34433333333334,5
42003,-79.98092,40.46892,38.04394444444445,11
48167,-94.894865,29.228706,25.060861111111112,1
39035,-81.724217,41.760392,36.38455555555555,4
51650,-76.297149,37.04803,42.05169444444444,2
Windsor CAN,-83.026772,42.317432,35.27744444444445,62
25027,-71.940282,42.311693,45.415416666666665,8
39049,-83.008258,39.969447,35.02872222222222,13
33011,-71.723101,42.911643,46.20166666666667,13
18141,-86.288159,41.617699,32.352444444444444,9
34039,-74.308696,40.659871,43.063500000000005,6
26139,-86.655342,42.942346,33.476333333333336,5
39061,-84.544187,39.196927,34.00488888888889,4
36017,-75.604905,42.489732,42.32541666666667,1
48231,-96.083807,33.123438,23.30027777777778,1
25017,-71.396507,42.479477,45.93,21
9003,-72.732916,41.806053,44.80991666666667,17
8069,-105.482131,40.663091,18.136694444444444,3
19103,-91.588812,41.668737,27.69377777777778,1
55043,-90.695368,42.870062,29.63963888888889,1
9013,-72.340977,41.858076,45.03702777777777,3
36067,-76.196117,43.00653,41.34736111111111,1
25013,-72.635648,42.136198,44.58897222222222,4
12099,-80.448673,26.645763,41.56030555555556,6
12085,-80.398211,27.079954,41.37836111111111,1
Pickering CAN,-79.086761,43.838413,39.23316666666666,3
36055,-77.664656,43.464475,40.31205555555555,9
26099,-82.910869,42.671467,35.659194444444445,15
34007,-74.961251,39.802352,42.88736111111111,5
33005,-72.248217,42.925455,45.39844444444444,5
34041,-75.009542,40.853524,42.26022222222222,3
42131,-76.00878,41.525137,41.968472222222225,1
34031,-74.300308,41.033763,42.897000000000006,2
42133,-76.728446,39.921839,41.20119444444444,1
9009,-72.900204,41.349717,44.517,9
36089,-75.074311,44.488113,42.98986111111111,1
48201,-95.393037,29.857273,24.231333333333335,17
12009,-80.700384,28.298276,39.58383333333333,4
18097,-86.135794,39.782976,32.457055555555556,6
9007,-72.524227,41.434525,44.92905555555556,5
9005,-73.235428,41.791897,44.58830555555556,6
26115,-83.487106,41.916097,35.08911111111111,5
36001,-73.974014,42.588271,43.548611111111114,4
6085,-121.690622,37.220777,5.555194444444445,14
55133,-88.306707,43.019308,31.47888888888889,20
36059,-73.589384,40.729687,43.771277777777776,31
42091,-75.370201,40.209999,42.34125,4
39095,-83.468867,41.682321,34.78597222222222,6
45045,-82.372077,34.892645,36.441,5
34021,-74.703724,40.282503,42.7515,15
6067,-121.340441,38.450011,6.1025277777777776,12
Longueuil CAN,-73.510712,45.536945,44.245666666666665,23
34033,-75.357356,39.573828,42.90011111111111,1
33001,-71.425366,43.519109,46.82527777777778,4
42101,-75.133346,40.009376,42.415,13
36047,-73.950777,40.635133,43.72027777777778,10
54045,-81.940853,37.830591,36.814,1
51179,-77.459043,38.418933,41.23419444444445,1
36051,-77.76978,42.727485,40.215555555555554,2
45019,-79.94248,32.800458,38.85922222222223,5
45073,-83.061522,34.748759,36.030166666666666,1
51041,-77.585847,37.378434,40.92297222222223,2
53053,-122.144709,47.040716,18.301444444444442,16
28047,-89.083376,30.416536,30.307416666666665,3
10003,-75.644132,39.575915,42.56730555555555,3
36085,-74.137063,40.563855,43.433027777777774,4
36063,-78.792143,43.456731,39.44541666666667,2
51087,-77.300333,37.437521,41.04358333333333,4
36005,-73.852939,40.848711,43.400638888888885,12
51121,-80.387314,37.174885,37.68116666666667,1
48453,-97.69127,30.239513,21.753444444444444,9
51760,-77.476009,37.531399,40.82275,5
37183,-78.650624,35.789846,39.61008333333333,11
1089,-86.55108,34.764238,31.69333333333333,5
18095,-85.722454,40.166203,33.236111111111114,1
11001,-77.017094,38.904149,41.62163888888889,15
28149,-90.851791,32.357005,28.066000000000003,1
48029,-98.520147,29.448671,20.981666666666666,19
18157,-86.893943,40.38926,32.43969444444444,4
42045,-75.398786,39.91667,42.375527777777776,10
53035,-122.649636,47.639687,18.347555555555555,22
53033,-121.832375,47.493554,18.362555555555556,14
4013,-112.495534,33.346541,6.150388888888889,31
19013,-92.306059,42.472888,27.93738888888889,4
1095,-86.321668,34.309564,32.34258333333334,1
47103,-86.593388,35.142532,31.96386111111111,1
34013,-74.246136,40.787217,42.85655555555556,8
2020,-149.274354,61.177549,65.73483333333333,1
36069,-77.303277,42.856695,40.482749999999996,11
6029,-118.729506,35.346629,2.8144166666666663,3
37135,-79.119355,36.062499,39.096222222222224,3
28099,-89.119274,32.752518,30.1175,1
East York CAN,-79.341667,43.6912,39.07,16
51610,-77.174639,38.883787,41.458277777777774,5
51685,-77.448681,38.768991,41.29619444444444,5
51510,-77.082026,38.818343,41.669222222222224,4
51540,-78.485381,38.037658,39.77763888888889,1
48157,-95.771015,29.526602,23.893,6
36109,-76.473712,42.453281,41.39947222222222,2
36081,-73.837929,40.658557,43.75980555555555,13
48027,-97.481921,31.04211,22.05655555555556,5
17161,-90.572203,41.468404,28.628222222222224,2
8073,-103.507555,38.99374,18.027083333333334,1
24021,-77.397627,39.470427,40.71308333333334,3
34017,-74.078627,40.731384,43.046749999999996,4
39153,-81.534936,41.121851,36.52008333333333,2
4021,-111.367257,32.91891,7.746111111111111,14
6095,-121.939594,38.267226,6.514583333333333,5
26145,-84.05541,43.328267,35.49502777777778,14
Vaughan CAN,-79.508278,43.837208,38.85922222222223,11
41017,-121.225575,43.915118,13.47486111111111,4
Mississauga CAN,-79.640579,43.59531,38.57744444444444,17
26069,-82.849447,44.329482,36.89861111111111,1
6073,-116.776117,33.023604,2.692472222222222,46
13067,-84.574166,33.93994,34.21933333333334,10
42077,-75.590627,40.614241,42.0095,1
24037,-76.534271,38.222666,42.52088888888889,1
6013,-121.951543,37.919479,6.137194444444445,14
41003,-123.426317,44.490623,14.615694444444445,5
26061,-88.652066,46.998305,35.48236111111111,5
18057,-86.020586,40.04987,32.889583333333334,4
38035,-97.450851,47.926003,28.656583333333334,1
38095,-99.248158,48.682183,28.281388888888888,1
50017,-72.369687,44.003392,46.18602777777778,2
24027,-76.924406,39.252264,41.21475,7
37063,-78.877919,36.036589,39.32888888888889,7
29510,-90.244582,38.635699,28.587194444444442,12
20079,-97.436707,38.050144,22.473083333333335,1
20209,-94.763087,39.115384,24.890833333333333,19
20059,-95.278962,38.558019,24.52611111111111,1
12095,-81.323295,28.514435,38.88863888888889,8
19113,-91.597674,42.077951,28.19225,2
6079,-120.44754,35.385227,3.765888888888889,3
51083,-78.939614,36.766461,39.893277777777776,1
32003,-115.013819,36.214236,5.170055555555556,13
39017,-84.565397,39.439915,34.20433333333334,2
45067,-79.362131,34.080701,39.069583333333334,2
33015,-71.099437,42.98936,46.68841666666666,8
Whitby CAN,-78.942932,43.897545,39.315555555555555,4
51085,-77.490992,37.760166,40.74677777777777,4
55131,-88.232917,43.391156,31.937555555555555,6
29183,-90.674915,38.781102,28.34872222222222,5
9001,-73.366757,41.228103,44.114805555555556,7
13245,-82.074998,33.361487,36.36644444444445,6
20121,-94.832963,38.566772,24.97827777777778,1
24003,-76.560511,38.993374,41.69925,5
St. Catharines CAN,-79.246864,43.159374,38.74022222222222,3
51115,-76.268808,37.425348,42.14122222222222,1
42069,-75.609587,41.44025,41.81077777777777,1
25021,-71.179875,42.169703,45.952305555555554,7
8013,-105.398382,40.094826,17.02577777777778,3
35013,-106.832182,32.350912,12.363055555555556,1
29189,-90.445954,38.640702,28.438444444444443,9
17163,-89.928546,38.470198,28.885444444444445,1
37089,-82.479634,35.336424,36.19047222222222,1
8014,-105.052125,39.953383,16.54716666666667,5
Markham CAN,-79.337021,43.856098,38.95483333333333,8
33013,-71.68013,43.299485,46.396388888888886,8
39103,-81.899566,41.116051,36.323277777777776,4
48071,-94.668875,29.703933,25.026694444444445,1
13135,-84.022938,33.959101,34.58083333333333,6
51690,-79.863648,36.683527,38.655750000000005,2
45051,-78.976675,33.909269,39.59891666666667,10
25009,-70.865107,42.642711,46.4405,6
45063,-81.272853,33.892554,37.023583333333335,1
48397,-96.407501,32.889216,22.98375,2
56025,-106.764877,42.973641,17.517416666666666,1
