FIPS,Lng,Lat,Duration,Density
26125,-83.38421,42.660452,1024818.4,51
6037,-118.261862,34.196398,2584946,152
26163,-83.261953,42.284664,995136.9,78
27053,-93.475185,45.006064,1116839.1,32
24510,-76.610516,39.300214,1288375.5,15
6081,-122.371542,37.414664,3024341.8,43
17031,-87.645455,41.894294,743002.8,60
34027,-74.547427,40.858581,1560909.4,10
17111,-88.452245,42.324298,766976.9,2
12103,-82.739518,27.903122,1073314.5,9
5005,-92.330438,36.28071,265277.9,2
34017,-74.078627,40.731384,1587380.8,16
36119,-73.745912,41.15277,1640272,7
36093,-74.043583,42.817542,1598559.2,4
12117,-81.13198,28.690079,1088082.3,3
25023,-70.741942,41.987196,1811478.8,7
18105,-86.523325,39.160751,556329.5,4
34023,-74.407585,40.439593,1513265.9,8
36103,-72.692218,40.943554,1698288.9,21
27037,-93.062481,44.670893,1066112.2,9
34025,-74.152446,40.287056,1525760.6,6
40143,-95.941731,36.120121,557391.8,21
1083,-86.9814,34.810239,276619.8,4
26121,-86.751892,43.289258,955908.3,3
12086,-80.499045,25.610494,1395103.3,25
9005,-73.235428,41.791897,1692101.6,13
4021,-111.367257,32.91891,2015337.2,28
33011,-71.723101,42.911643,1788531.3,33
34035,-74.61993,40.565522,1541116.2,12
25017,-71.396507,42.479477,1820952.2,30
18067,-86.114118,40.483537,689442.7,4
26049,-83.706372,43.021077,1020173,48
39155,-80.767656,41.308936,1047237.7,7
26145,-84.05541,43.328267,1035372,18
11001,-77.017094,38.904149,1234174.2,30
48201,-95.393037,29.857273,808887.3,72
23005,-70.330375,43.808348,1927182.6,8
4015,-113.749689,35.717705,2146109.4,3
44007,-71.578242,41.870488,1814472,13
42049,-80.096386,42.117952,1161139.6,5
4013,-112.495534,33.346541,2123142.7,66
26161,-83.844634,42.252327,968910.2,28
25025,-71.020173,42.33196,1846940.1,46
18089,-87.374337,41.472239,719220.7,6
36055,-77.664656,43.464475,1351299.1,24
26159,-86.305697,42.283986,836360.1,18
44005,-71.284063,41.502732,1772366,3
17177,-89.665994,42.349726,758238.3,1
42015,-76.502124,41.791495,1381151.9,1
26081,-85.547446,43.032497,942718.6,41
12031,-81.648113,30.335245,933354.3,13
34005,-74.663006,39.875786,1480719.5,4
42081,-77.055253,41.343624,1335237.9,1
17043,-88.086038,41.852058,724779.6,13
55087,-88.464988,44.418226,963644.8,2
50027,-72.591515,43.588143,1747780.1,1
25013,-72.635648,42.136198,1728769.6,7
42095,-75.307447,40.752791,1490149.1,4
42029,-75.749732,39.973965,1396439.2,6
25027,-71.940282,42.311693,1781294.1,20
42101,-75.133346,40.009376,1446444.7,36
12011,-80.476658,26.19352,1341480.8,35
6087,-122.007205,37.012488,2962157.9,23
51600,-77.299025,38.853183,1211242.8,8
42003,-79.98092,40.46892,1077090.9,22
48167,-94.894865,29.228706,834736.6,6
39035,-81.724217,41.760392,1042188.4,20
51650,-76.297149,37.04803,1255921,2
Windsor CAN,-83.026772,42.317432,1015711,134
9011,-72.103452,41.47863,1754894.3,6
39049,-83.008258,39.969447,810828.9,26
33013,-71.68013,43.299485,1802684,13
18141,-86.288159,41.617699,784922.8,14
34039,-74.308696,40.659871,1566143.8,8
39061,-84.544187,39.196927,668304.7,8
36017,-75.604905,42.489732,1470590.6,1
48231,-96.083807,33.123438,582216.3,1
9003,-72.732916,41.806053,1735358.1,28
39025,-84.149614,39.052084,700351.7,1
8069,-105.482131,40.663091,1537911.2,3
24003,-76.560511,38.993374,1276596.9,7
19103,-91.588812,41.668737,717463.6,1
55043,-90.695368,42.870062,824345.5,1
9013,-72.340977,41.858076,1763544.5,6
36067,-76.196117,43.00653,1450077.6,3
12099,-80.448673,26.645763,1276665.5,16
12085,-80.398211,27.079954,1248116.4,4
12095,-81.323295,28.514435,1079658.1,28
Markham CAN,-79.337021,43.856098,1270902.9,26
26099,-82.910869,42.671467,1040322.1,36
34007,-74.961251,39.802352,1462899.9,7
25005,-71.087062,41.748576,1778956.3,5
33005,-72.248217,42.925455,1742690.7,3
48141,-106.241391,31.766403,1541225,23
34041,-75.009542,40.853524,1522979.1,5
26061,-88.652066,46.998305,1251250.8,8
42131,-76.00878,41.525137,1435706,1
34031,-74.300308,41.033763,1587895.4,6
42133,-76.728446,39.921839,1311707.9,1
9009,-72.900204,41.349717,1703028.9,15
36089,-75.074311,44.488113,1595535.1,5
6055,-122.325995,38.507351,3055332.1,7
12009,-80.700384,28.298276,1141996.1,11
18097,-86.135794,39.782976,631922.7,14
9007,-72.524227,41.434525,1734268.4,8
26115,-83.487106,41.916097,954659.2,9
33015,-71.099437,42.98936,1838568.1,12
36001,-73.974014,42.588271,1613037.7,6
6085,-121.690622,37.220777,2964832.5,30
26165,-85.570046,44.331375,1066870.5,6
55133,-88.306707,43.019308,837757.6,32
36059,-73.589384,40.729687,1623508.3,50
42091,-75.370201,40.209999,1434762.2,9
39099,-80.770396,41.01088,1025482.8,6
39173,-83.622682,41.360183,900318.2,2
45045,-82.372077,34.892645,741490.5,9
42115,-75.800969,41.819665,1437893,1
34021,-74.703724,40.282503,1483760.4,20
6067,-121.340441,38.450011,2973423.6,26
Longueuil CAN,-73.510712,45.536945,1712149.7,43
6001,-121.913304,37.648081,3000391.9,24
42123,-79.313173,41.843669,1169095.1,2
17161,-90.572203,41.468404,681322.9,2
34033,-75.357356,39.573828,1487080.3,1
48439,-97.291291,32.77204,695000.1,19
33017,-71.035927,43.293177,1846813.8,7
36061,-73.970174,40.776557,1596354.4,28
36047,-73.950777,40.635133,1600496.6,20
54045,-81.940853,37.830591,816760.5,1
37009,-81.49877,36.436305,800919.5,1
51179,-77.459043,38.418933,1183059.4,1
36037,-78.192778,43.00091,1306163.1,3
45019,-79.94248,32.800458,940296.4,8
45073,-83.061522,34.748759,679312,2
51740,-76.356269,36.85943,1241363.9,4
51041,-77.585847,37.378434,1133383,8
12019,-81.858147,29.987116,941268.7,1
5119,-92.316515,34.773988,205369.2,12
42045,-75.398786,39.91667,1421491.4,14
53053,-122.144709,47.040716,3152859.6,31
28047,-89.083376,30.416536,524542.2,3
10003,-75.644132,39.575915,1413815.4,5
24045,-75.632206,38.367389,1330808.6,2
