FIPS,Lng,Lat,Duration,Density
26125,-83.38421,42.660452,93948.6,51
6037,-118.261862,34.196398,178583.7,152
26163,-83.261953,42.284664,91688.6,78
27053,-93.475185,45.006064,119572.8,32
24510,-76.610516,39.300214,73542,15
6081,-122.371542,37.414664,198585.2,43
17031,-87.645455,41.894294,91835.6,60
34027,-74.547427,40.858581,87767.3,10
17111,-88.452245,42.324298,96542.3,2
12103,-82.739518,27.903122,18728.4,9
5005,-92.330438,36.28071,82014,2
34017,-74.078627,40.731384,86160,16
36119,-73.745912,41.15277,89019.1,7
36093,-74.043583,42.817542,97741.7,4
12117,-81.13198,28.690079,16418,3
25023,-70.741942,41.987196,103473.1,7
18105,-86.523325,39.160751,77402.5,4
34023,-74.407585,40.439593,84616.6,8
36103,-72.692218,40.943554,93068.5,21
27037,-93.062481,44.670893,117174.4,9
34025,-74.152446,40.287056,84988.8,6
40143,-95.941731,36.120121,92350.8,21
1083,-86.9814,34.810239,58359.9,4
26121,-86.751892,43.289258,100304.4,3
12086,-80.499045,25.610494,3003.5,25
9005,-73.235428,41.791897,94135.4,13
4021,-111.367257,32.91891,147297.2,28
33011,-71.723101,42.911643,104603.7,33
34035,-74.61993,40.565522,85061.9,12
25017,-71.396507,42.479477,102276.5,30
18067,-86.114118,40.483537,83672.8,4
26049,-83.706372,43.021077,94807.7,48
39155,-80.767656,41.308936,83737.1,7
26145,-84.05541,43.328267,98604.8,18
11001,-77.017094,38.904149,70169.8,30
48201,-95.393037,29.857273,78412.9,72
23005,-70.330375,43.808348,109911.3,8
4015,-113.749689,35.717705,159384.6,3
44007,-71.578242,41.870488,99182.8,13
42049,-80.096386,42.117952,86927.5,5
4013,-112.495534,33.346541,151332.5,66
26161,-83.844634,42.252327,91693.8,28
25025,-71.020173,42.33196,102175.8,46
18089,-87.374337,41.472239,88721.4,6
36055,-77.664656,43.464475,99233.3,24
26159,-86.305697,42.283986,93725.7,18
44005,-71.284063,41.502732,100372.1,3
17177,-89.665994,42.349726,98863.5,1
42015,-76.502124,41.791495,90956.4,1
26081,-85.547446,43.032497,98199.2,41
12031,-81.648113,30.335245,23291.8,13
34005,-74.663006,39.875786,82298.9,4
42081,-77.055253,41.343624,87540.6,1
17043,-88.086038,41.852058,93467.5,13
55087,-88.464988,44.418226,105851.7,2
50027,-72.591515,43.588143,106719.6,1
25013,-72.635648,42.136198,97404.3,7
42095,-75.307447,40.752791,85303.2,4
42029,-75.749732,39.973965,79896.7,6
25027,-71.940282,42.311693,99581.9,20
42101,-75.133346,40.009376,81231.8,36
12011,-80.476658,26.19352,3292.2,35
6087,-122.007205,37.012488,195771.7,23
51600,-77.299025,38.853183,69805.3,8
42003,-79.98092,40.46892,79207.9,22
48167,-94.894865,29.228706,79959,6
39035,-81.724217,41.760392,83694.5,20
51650,-76.297149,37.04803,64796.3,2
Windsor CAN,-83.026772,42.317432,92273.7,134
9011,-72.103452,41.47863,96317.6,6
39049,-83.008258,39.969447,77986.6,26
33013,-71.68013,43.299485,107412.5,13
18141,-86.288159,41.617699,89783.8,14
34039,-74.308696,40.659871,85638.5,8
39061,-84.544187,39.196927,74776.8,8
36017,-75.604905,42.489732,94487,1
48231,-96.083807,33.123438,87218.2,1
9003,-72.732916,41.806053,95423.7,28
39025,-84.149614,39.052084,76251.2,1
8069,-105.482131,40.663091,145894.4,3
24003,-76.560511,38.993374,72402.6,7
19103,-91.588812,41.668737,98977,1
55043,-90.695368,42.870062,103711.7,1
9013,-72.340977,41.858076,96281.7,6
36067,-76.196117,43.00653,97122.3,3
12099,-80.448673,26.645763,7856.6,16
12085,-80.398211,27.079954,9464.5,4
12095,-81.323295,28.514435,16146.4,28
Markham CAN,-79.337021,43.856098,101909.7,26
26099,-82.910869,42.671467,94586.6,36
34007,-74.961251,39.802352,81076.4,7
25005,-71.087062,41.748576,102508.6,5
33005,-72.248217,42.925455,102908.8,3
48141,-106.241391,31.766403,121607.6,23
34041,-75.009542,40.853524,86875.2,5
26061,-88.652066,46.998305,123478.9,8
42131,-76.00878,41.525137,89464,1
34031,-74.300308,41.033763,87878.6,6
42133,-76.728446,39.921839,77114.8,1
9009,-72.900204,41.349717,92922.2,15
36089,-75.074311,44.488113,107178.2,5
6055,-122.325995,38.507351,201649.6,7
12009,-80.700384,28.298276,13262.7,11
18097,-86.135794,39.782976,79136.2,14
9007,-72.524227,41.434525,95776.6,8
26115,-83.487106,41.916097,90001,9
33015,-71.099437,42.98936,105454.4,12
36001,-73.974014,42.588271,96992.8,6
6085,-121.690622,37.220777,195900.5,30
26165,-85.570046,44.331375,103996.5,6
55133,-88.306707,43.019308,99535.1,32
36059,-73.589384,40.729687,88926.7,50
42091,-75.370201,40.209999,82124.1,9
39099,-80.770396,41.01088,82449.7,6
39173,-83.622682,41.360183,86525.6,2
45045,-82.372077,34.892645,48642.9,9
42115,-75.800969,41.819665,90653.4,1
34021,-74.703724,40.282503,83293.2,20
6067,-121.340441,38.450011,196410.3,26
Longueuil CAN,-73.510712,45.536945,111892.1,43
6001,-121.913304,37.648081,195506.8,24
42123,-79.313173,41.843669,89005.6,2
17161,-90.572203,41.468404,96240.4,2
34033,-75.357356,39.573828,79934.3,1
48439,-97.291291,32.77204,89438,19
33017,-71.035927,43.293177,107731.8,7
36061,-73.970174,40.776557,87202,28
36047,-73.950777,40.635133,87184.4,20
54045,-81.940853,37.830591,67841.3,1
37009,-81.49877,36.436305,57447.4,1
51179,-77.459043,38.418933,67140.7,1
36037,-78.192778,43.00091,95917.9,3
45019,-79.94248,32.800458,39871,8
45073,-83.061522,34.748759,50195.9,2
51740,-76.356269,36.85943,63679.4,4
51041,-77.585847,37.378434,63201,8
12019,-81.858147,29.987116,23967.4,1
5119,-92.316515,34.773988,76732.1,12
42045,-75.398786,39.91667,79855.5,14
53053,-122.144709,47.040716,215376.4,31
28047,-89.083376,30.416536,51953.3,3
10003,-75.644132,39.575915,78125.1,5
24045,-75.632206,38.367389,74957.2,2
36085,-74.137063,40.563855,85958.3,8
53029,-122.670503,48.158436,217685,7
2020,-149.274354,61.177549,340869.6,8
36063,-78.792143,43.456731,96381,3
36005,-73.852939,40.848711,87326.2,31
51760,-77.476009,37.531399,62793.7,22
51027,-82.038151,37.26812,65846.8,1
18059,-85.772904,39.822604,80489.6,2
42047,-78.653938,41.427334,88188.2,1
51121,-80.387314,37.174885,59867.9,1
51059,-77.276117,38.833743,69856.3,4
51730,-77.392368,37.20473,60735.4,2
45091,-81.183189,34.97019,47625.2,6
45007,-82.638086,34.519549,48981.5,4
48453,-97.69127,30.239513,88267.6,19
48157,-95.771015,29.526602,80471.2,14
37183,-78.650624,35.789846,53152.2,20
48113,-96.778424,32.766987,87142,45
1089,-86.55108,34.764238,57389.3,11
8031,-104.880625,39.761849,133255.3,34
48071,-94.668875,29.703933,76240.5,2
18095,-85.722454,40.166203,82943.4,1
28149,-90.851791,32.357005,64244.8,1
48029,-98.520147,29.448671,90531.5,40
12001,-82.357221,29.67574,22814.5,4
