FIPS,Lng,Lat,Duration,Density
26125,-83.38421,42.660452,235106.1,51
6037,-118.261862,34.196398,2897262.6,152
26163,-83.261953,42.284664,261653,78
27053,-93.475185,45.006064,485941.7,32
24510,-76.610516,39.300214,937060,15
6081,-122.371542,37.414664,2913218.8,43
17031,-87.645455,41.894294,122034.1,60
34027,-74.547427,40.858581,1039781.1,10
17111,-88.452245,42.324298,88127.8,2
12103,-82.739518,27.903122,1695461.7,9
5005,-92.330438,36.28071,837259,2
34017,-74.078627,40.731384,1078909.6,16
36119,-73.745912,41.15277,1119143.7,7
36093,-74.043583,42.817542,1044062.1,4
12117,-81.13198,28.690079,1676413.4,3
25023,-70.741942,41.987196,1329218.1,7
18105,-86.523325,39.160751,426712.2,4
34023,-74.407585,40.439593,1055554.6,8
36103,-72.692218,40.943554,1189817.7,21
27037,-93.062481,44.670893,444265.1,9
34025,-74.152446,40.287056,1081357,6
40143,-95.941731,36.120121,1064027.1,21
1083,-86.9814,34.810239,861838.5,4
26121,-86.751892,43.289258,43913,3
12086,-80.499045,25.610494,1992261.7,25
9005,-73.235428,41.791897,1143901.2,13
4021,-111.367257,32.91891,2465361.2,28
33011,-71.723101,42.911643,1234034.2,33
34035,-74.61993,40.565522,1033384.3,12
25017,-71.396507,42.479477,1266455.1,30
18067,-86.114118,40.483537,318873,4
26049,-83.706372,43.021077,213807.6,48
39155,-80.767656,41.308936,519999.5,7
26145,-84.05541,43.328267,184669.8,18
11001,-77.017094,38.904149,930259.2,30
48201,-95.393037,29.857273,1592483.9,72
23005,-70.330375,43.808348,1372685.5,8
4015,-113.749689,35.717705,2506874.3,3
44007,-71.578242,41.870488,1266277.2,13
42049,-80.096386,42.117952,585567.1,5
4013,-112.495534,33.346541,2533496.8,66
26161,-83.844634,42.252327,235139.5,28
25025,-71.020173,42.33196,1292443,46
18089,-87.374337,41.472239,168935.1,6
36055,-77.664656,43.464475,774416.3,24
26159,-86.305697,42.283986,121768.5,18
44005,-71.284063,41.502732,1263894.8,3
17177,-89.665994,42.349726,154588.7,1
42015,-76.502124,41.791495,867836.2,1
26081,-85.547446,43.032497,77802.1,41
12031,-81.648113,30.335245,1494778.2,13
34005,-74.663006,39.875786,1057944.9,4
42081,-77.055253,41.343624,831991.4,1
17043,-88.086038,41.852058,124076.7,13
55087,-88.464988,44.418226,147154.5,2
50027,-72.591515,43.588143,1193283,1
25013,-72.635648,42.136198,1174272.5,7
42095,-75.307447,40.752791,975324.5,4
42029,-75.749732,39.973965,991944.4,6
25027,-71.940282,42.311693,1226797,20
42101,-75.133346,40.009376,1028383.5,36
12011,-80.476658,26.19352,1938639.2,35
6087,-122.007205,37.012488,2936733.9,23
51600,-77.299025,38.853183,925330.4,8
42003,-79.98092,40.46892,606156.7,22
48167,-94.894865,29.228706,1630101.6,6
39035,-81.724217,41.760392,466615.9,20
51650,-76.297149,37.04803,1119836.9,2
Windsor CAN,-83.026772,42.317432,438828.2,134
9011,-72.103452,41.47863,1255781.7,6
39049,-83.008258,39.969447,549893.7,26
33013,-71.68013,43.299485,1248186.9,13
18141,-86.288159,41.617699,240859.9,14
34039,-74.308696,40.659871,1058411.9,8
39061,-84.544187,39.196927,503238.2,8
36017,-75.604905,42.489732,941676.7,1
48231,-96.083807,33.123438,1365559.2,1
9003,-72.732916,41.806053,1195418.8,28
39025,-84.149614,39.052084,534698.5,1
8069,-105.482131,40.663091,1396573,3
24003,-76.560511,38.993374,955419.9,7
19103,-91.588812,41.668737,339708.5,1
55043,-90.695368,42.870062,206835.6,1
9013,-72.340977,41.858076,1212439.9,6
36067,-76.196117,43.00653,895580.5,3
12099,-80.448673,26.645763,1873823.9,16
12085,-80.398211,27.079954,1861175,4
12095,-81.323295,28.514435,1667989.2,28
Markham CAN,-79.337021,43.856098,694020.1,26
26099,-82.910869,42.671467,275788.6,36
34007,-74.961251,39.802352,1062636.4,7
25005,-71.087062,41.748576,1312286.9,5
33005,-72.248217,42.925455,1188193.6,3
48141,-106.241391,31.766403,2149085.4,23
34041,-75.009542,40.853524,1001850.8,5
