FIPS,Lng,Lat,Duration,Density
26125,-83.38421,42.660452,47264.7,51
6037,-118.261862,34.196398,184743.3,152
26163,-83.261953,42.284664,45004.7,78
27053,-93.475185,45.006064,85663.3,32
24510,-76.610516,39.300214,11247.3,15
6081,-122.371542,37.414664,191401.7,43
17031,-87.645455,41.894294,57097.8,60
34027,-74.547427,40.858581,18641.3,10
17111,-88.452245,42.324298,61804.5,2
12103,-82.739518,27.903122,68427.6,9
5005,-92.330438,36.28071,81682.1,2
34017,-74.078627,40.731384,17034,16
36119,-73.745912,41.15277,19893.1,7
36093,-74.043583,42.817542,28615.7,4
12117,-81.13198,28.690079,62416.6,3
25023,-70.741942,41.987196,34347.1,7
18105,-86.523325,39.160751,53265.5,4
34023,-74.407585,40.439593,15490.6,8
36103,-72.692218,40.943554,23942.5,21
27037,-93.062481,44.670893,84653.7,9
34025,-74.152446,40.287056,15862.8,6
40143,-95.941731,36.120121,90918.9,21
1083,-86.9814,34.810239,60376,4
26121,-86.751892,43.289258,58247.1,3
12086,-80.499045,25.610494,77652.6,25
9005,-73.235428,41.791897,25009.4,13
4021,-111.367257,32.91891,161780.9,28
33011,-71.723101,42.911643,35477.7,33
34035,-74.61993,40.565522,15935.9,12
25017,-71.396507,42.479477,33150.5,30
18067,-86.114118,40.483537,52293.6,4
26049,-83.706372,43.021077,48863.5,48
39155,-80.767656,41.308936,32797,7
26145,-84.05541,43.328267,52660.6,18
11001,-77.017094,38.904149,11264.3,30
48201,-95.393037,29.857273,103600.2,72
23005,-70.330375,43.808348,40785.3,8
4015,-113.749689,35.717705,161729.8,3
44007,-71.578242,41.870488,30056.8,13
42049,-80.096386,42.117952,35001.2,5
4013,-112.495534,33.346541,160837.5,66
26161,-83.844634,42.252327,45749.6,28
25025,-71.020173,42.33196,33049.8,46
18089,-87.374337,41.472239,55298.5,6
36055,-77.664656,43.464475,35836.7,24
26159,-86.305697,42.283986,54456.9,18
44005,-71.284063,41.502732,31246.1,3
17177,-89.665994,42.349726,65372.8,1
42015,-76.502124,41.791495,25260.3,1
26081,-85.547446,43.032497,53959.9,41
12031,-81.648113,30.335245,52939,13
34005,-74.663006,39.875786,13172.9,4
42081,-77.055253,41.343624,24009.1,1
17043,-88.086038,41.852058,59126,13
55087,-88.464988,44.418226,71113.9,2
