FIPS,Lng,Lat,Duration,Density
26125,-83.38421,42.660452,1478356.3,51
6037,-118.261862,34.196398,1893911.4,152
26163,-83.261953,42.284664,1468364.2,78
27053,-93.475185,45.006064,1097061.1,32
24510,-76.610516,39.300214,1877316.4,15
6081,-122.371542,37.414664,2333307.2,43
17031,-87.645455,41.894294,1151490.7,60
34027,-74.547427,40.858581,2078377.9,10
17111,-88.452245,42.324298,1153404.2,2
12103,-82.739518,27.903122,1737506,9
5005,-92.330438,36.28071,485817.4,2
34017,-74.078627,40.731384,2104849.3,16
36119,-73.745912,41.15277,2157740.5,7
36093,-74.043583,42.817542,2083185.2,4
12117,-81.13198,28.690079,1752273.8,3
25023,-70.741942,41.987196,2368341.2,7
18105,-86.523325,39.160751,1041128.6,4
34023,-74.407585,40.439593,2080755,8
36103,-72.692218,40.943554,2215757.4,21
27037,-93.062481,44.670893,1094743.3,9
34025,-74.152446,40.287056,2104269.8,6
40143,-95.941731,36.120121,165562.9,21
1083,-86.9814,34.810239,937523.3,4
26121,-86.751892,43.289258,1265265.9,3
12086,-80.499045,25.610494,2059294.8,25
9005,-73.235428,41.791897,2170227.5,13
4021,-111.367257,32.91891,1344679.2,28
33011,-71.723101,42.911643,2273157.3,33
34035,-74.61993,40.565522,2058584.7,12
25017,-71.396507,42.479477,2305578.2,30
18067,-86.114118,40.483537,1162674.4,4
26049,-83.706372,43.021077,1465720.2,48
39155,-80.767656,41.308936,1547960,7
26145,-84.05541,43.328267,1480919.2,18
11001,-77.017094,38.904149,1876983.9,30
48201,-95.393037,29.857273,629538.9,72
23005,-70.330375,43.808348,2411808.6,8
4015,-113.749689,35.717705,1455074.8,3
44007,-71.578242,41.870488,2305400.3,13
42049,-80.096386,42.117952,1624690.2,5
4013,-112.495534,33.346541,1420889.4,66
26161,-83.844634,42.252327,1425670.7,28
25025,-71.020173,42.33196,2331566.1,46
18089,-87.374337,41.472239,1150311.2,6
36055,-77.664656,43.464475,1814849.7,24
26159,-86.305697,42.283986,1267450.6,18
44005,-71.284063,41.502732,2289834.5,3
17177,-89.665994,42.349726,1081904.3,1
42015,-76.502124,41.791495,1885558.3,1
26081,-85.547446,43.032497,1373809.1,41
12031,-81.648113,30.335245,1597545.8,13
34005,-74.663006,39.875786,2051340.2,4
42081,-77.055253,41.343624,1839644.3,1
17043,-88.086038,41.852058,1120556.1,13
55087,-88.464988,44.418226,1316682.8,2
50027,-72.591515,43.588143,2232406.1,1
25013,-72.635648,42.136198,2213395.6,7
42095,-75.307447,40.752791,2007617.6,4
42029,-75.749732,39.973965,1962468.7,6
25027,-71.940282,42.311693,2265920.1,20
42101,-75.133346,40.009376,2011813.2,36
12011,-80.476658,26.19352,2005672.3,35
6087,-122.007205,37.012488,2271123.3,23
51600,-77.299025,38.853183,1863936.8,8
42003,-79.98092,40.46892,1594559.4,22
48167,-94.894865,29.228706,771976.7,6
39035,-81.724217,41.760392,1505739,20
51650,-76.297149,37.04803,1916824.5,2
Windsor CAN,-83.026772,42.317432,1479261.6,134
9011,-72.103452,41.47863,2272362.8,6
39049,-83.008258,39.969447,1328297.4,26
33013,-71.68013,43.299485,2287310,13
18141,-86.288159,41.617699,1229856.5,14
34039,-74.308696,40.659871,2083612.3,8
39061,-84.544187,39.196927,1204353.1,8
36017,-75.604905,42.489732,1980799.8,1
48231,-96.083807,33.123438,297512.2,1
9003,-72.732916,41.806053,2252826.6,28
39025,-84.149614,39.052084,1241889.6,1
8069,-105.482131,40.663091,1018564.5,3
24003,-76.560511,38.993374,1897537,7
19103,-91.588812,41.668737,907261.7,1
55043,-90.695368,42.870062,1071735.8,1
9013,-72.340977,41.858076,2251563,6
36067,-76.196117,43.00653,1934703.6,3
12099,-80.448673,26.645763,1940857,16
12085,-80.398211,27.079954,1912307.9,4
12095,-81.323295,28.514435,1743849.6,28
Markham CAN,-79.337021,43.856098,1734453.5,26
26099,-82.910869,42.671467,1508345.5,36
34007,-74.961251,39.802352,2033160.7,7
25005,-71.087062,41.748576,2296424.8,5
33005,-72.248217,42.925455,2227316.7,3
48141,-106.241391,31.766403,936294.9,23
34041,-75.009542,40.853524,2040447.6,5
26061,-88.652066,46.998305,1546969.2,8
42131,-76.00878,41.525137,1940112.4,1
34031,-74.300308,41.033763,2105363.9,6
42133,-76.728446,39.921839,1873663.4,1
9009,-72.900204,41.349717,2220497.4,15
36089,-75.074311,44.488113,2059085.7,5
6055,-122.325995,38.507351,2392313.8,7
12009,-80.700384,28.298276,1806187.6,11
18097,-86.135794,39.782976,1095473.3,14
9007,-72.524227,41.434525,2251736.9,8
26115,-83.487106,41.916097,1429647.3,9
33015,-71.099437,42.98936,2323194.1,12
36001,-73.974014,42.588271,2097663.7,6
6085,-121.690622,37.220777,2273797.9,30
26165,-85.570046,44.331375,1380808.1,6
55133,-88.306707,43.019308,1208207.7,32
36059,-73.589384,40.729687,2140976.8,50
42091,-75.370201,40.209999,1986528.7,9
39099,-80.770396,41.01088,1529889.2,6
39173,-83.622682,41.360183,1383048.6,2
45045,-82.372077,34.892645,1402394,9
42115,-75.800969,41.819665,1942299.4,1
34021,-74.703724,40.282503,2042733.3,20
6067,-121.340441,38.450011,2330548.2,26
Longueuil CAN,-73.510712,45.536945,2175700.3,43
6001,-121.913304,37.648081,2309357.3,24
42123,-79.313173,41.843669,1669817.4,2
17161,-90.572203,41.468404,961654.2,2
34033,-75.357356,39.573828,2057341.1,1
48439,-97.291291,32.77204,297139,19
33017,-71.035927,43.293177,2331439.8,7
36061,-73.970174,40.776557,2113822.9,28
36047,-73.950777,40.635133,2117965.1,20
54045,-81.940853,37.830591,1451304.8,1
37009,-81.49877,36.436305,1461823,1
51179,-77.459043,38.418933,1880064.6,1
36037,-78.192778,43.00091,1769713.7,3
45019,-79.94248,32.800458,1601199.9,8
45073,-83.061522,34.748759,1340215.5,2
51740,-76.356269,36.85943,1902267.4,4
51041,-77.585847,37.378434,1794286.5,8
12019,-81.858147,29.987116,1605460.2,1
5119,-92.316515,34.773988,462485.3,12
42045,-75.398786,39.91667,1995004.8,14
53053,-122.144709,47.040716,2617964.3,31
28047,-89.083376,30.416536,1082079.7,3
10003,-75.644132,39.575915,1974316.6,5
24045,-75.632206,38.367389,2064098.2,2
36085,-74.137063,40.563855,2102146.4,8
53029,-122.670503,48.158436,2713382.9,7
36063,-78.792143,43.456731,1753150,3
36005,-73.852939,40.848711,2125760.3,31
51760,-77.476009,37.531399,1810477.4,22
51027,-82.038151,37.26812,1465039.7,1
18059,-85.772904,39.822604,1125394.4,2
42047,-78.653938,41.427334,1699580.3,1
51121,-80.387314,37.174885,1549445.9,1
51059,-77.276117,38.833743,1864737.6,4
51730,-77.392368,37.20473,1805250.4,2
45091,-81.183189,34.97019,1502672.4,6
45007,-82.638086,34.519549,1365045,4
48453,-97.69127,30.239513,552275.5,19
48157,-95.771015,29.526602,659430.2,14
37183,-78.650624,35.789846,1719040.3,20
48113,-96.778424,32.766987,306617.4,45
1089,-86.55108,34.764238,975419.9,11
8031,-104.880625,39.761849,893161.9,34
48071,-94.668875,29.703933,698246.4,2
18095,-85.722454,40.166203,1150296.1,1
28149,-90.851791,32.357005,971221.4,1
48029,-98.520147,29.448671,657450.5,40
12001,-82.357221,29.67574,1583537.6,4
18157,-86.893943,40.38926,1102389.8,5
