FIPS,Lng,Lat,Duration,Density
26125,-83.38421,42.660452,49786.6,51
6037,-118.261862,34.196398,101428.1,152
26163,-83.261953,42.284664,48351.7,78
27053,-93.475185,45.006064,26222.4,32
24510,-76.610516,39.300214,77632.9,15
6081,-122.371542,37.414664,104927.3,43
17031,-87.645455,41.894294,31916.7,60
34027,-74.547427,40.858581,80939.3,10
17111,-88.452245,42.324298,31001,2
12103,-82.739518,27.903122,97271.4,9
5005,-92.330438,36.28071,34188.8,2
34017,-74.078627,40.731384,83157.3,16
36119,-73.745912,41.15277,85437.2,7
36093,-74.043583,42.817542,85570.9,4
12117,-81.13198,28.690079,96352.2,3
25023,-70.741942,41.987196,99832,7
18105,-86.523325,39.160751,43305.6,4
34023,-74.407585,40.439593,83059.9,8
36103,-72.692218,40.943554,89547.1,21
27037,-93.062481,44.670893,25034.4,9
34025,-74.152446,40.287056,84393.4,6
40143,-95.941731,36.120121,29393,21
1083,-86.9814,34.810239,56107.9,4
26121,-86.751892,43.289258,45379.1,3
12086,-80.499045,25.610494,111179.8,25
9005,-73.235428,41.791897,89561,13
4021,-111.367257,32.91891,89232.1,28
33011,-71.723101,42.911643,99631.4,33
34035,-74.61993,40.565522,81888.8,12
25017,-71.396507,42.479477,97930.3,30
18067,-86.114118,40.483537,42056.9,4
26049,-83.706372,43.021077,48571.1,48
39155,-80.767656,41.308936,57043.6,7
26145,-84.05541,43.328267,51433.1,18
11001,-77.017094,38.904149,77681.2,30
48201,-95.393037,29.857273,58705.1,72
23005,-70.330375,43.808348,105565.1,8
4015,-113.749689,35.717705,88922.6,3
44007,-71.578242,41.870488,95412.4,13
42049,-80.096386,42.117952,60546,5
4013,-112.495534,33.346541,88030.3,66
26161,-83.844634,42.252327,46416.6,28
25025,-71.020173,42.33196,97829.6,46
18089,-87.374337,41.472239,33163.6,6
36055,-77.664656,43.464475,71972.8,24
26159,-86.305697,42.283986,38800.4,18
44005,-71.284063,41.502732,96793.4,3
17177,-89.665994,42.349726,28568.4,1
42015,-76.502124,41.791495,76874.1,1
26081,-85.547446,43.032497,43273.9,41
12031,-81.648113,30.335245,88767.5,13
34005,-74.663006,39.875786,83118.4,4
42081,-77.055253,41.343624,72409.8,1
17043,-88.086038,41.852058,30203,13
