FIPS,Lng,Lat,Duration,Density
26125,-83.38421,42.660452,80606.6,51
6037,-118.261862,34.196398,165068.5,152
26163,-83.261953,42.284664,78346.6,78
27053,-93.475185,45.006064,106057.6,32
24510,-76.610516,39.300214,61361.9,15
6081,-122.371542,37.414664,185070,43
17031,-87.645455,41.894294,78320.4,60
34027,-74.547427,40.858581,75587.2,10
17111,-88.452245,42.324298,83027.1,2
12103,-82.739518,27.903122,7956.1,9
5005,-92.330438,36.28071,68498.8,2
34017,-74.078627,40.731384,73979.9,16
36119,-73.745912,41.15277,76839,7
36093,-74.043583,42.817542,85561.6,4
12117,-81.13198,28.690079,2659.5,3
25023,-70.741942,41.987196,91293,7
18105,-86.523325,39.160751,63887.3,4
34023,-74.407585,40.439593,72436.5,8
36103,-72.692218,40.943554,80888.4,21
27037,-93.062481,44.670893,103659.2,9
34025,-74.152446,40.287056,72808.7,6
40143,-95.941731,36.120121,78835.6,21
1083,-86.9814,34.810239,44844.7,4
26121,-86.751892,43.289258,86789.2,3
12086,-80.499045,25.610494,17757.6,25
9005,-73.235428,41.791897,81955.3,13
4021,-111.367257,32.91891,133782,28
33011,-71.723101,42.911643,92423.6,33
34035,-74.61993,40.565522,72881.8,12
25017,-71.396507,42.479477,90096.4,30
18067,-86.114118,40.483537,70157.6,4
26049,-83.706372,43.021077,81292.5,48
39155,-80.767656,41.308936,71557,7
26145,-84.05541,43.328267,85089.6,18
11001,-77.017094,38.904149,57989.7,30
48201,-95.393037,29.857273,64897.7,72
23005,-70.330375,43.808348,97731.2,8
4015,-113.749689,35.717705,145869.4,3
44007,-71.578242,41.870488,87002.7,13
42049,-80.096386,42.117952,74747.4,5
4013,-112.495534,33.346541,137817.3,66
26161,-83.844634,42.252327,78178.6,28
25025,-71.020173,42.33196,89995.7,46
18089,-87.374337,41.472239,75206.2,6
36055,-77.664656,43.464475,87053.2,24
26159,-86.305697,42.283986,80210.5,18
44005,-71.284063,41.502732,88192,3
17177,-89.665994,42.349726,85348.3,1
42015,-76.502124,41.791495,78776.3,1
26081,-85.547446,43.032497,84684,41
12031,-81.648113,30.335245,11111.7,13
34005,-74.663006,39.875786,70118.8,4
42081,-77.055253,41.343624,75360.5,1
17043,-88.086038,41.852058,79952.3,13
55087,-88.464988,44.418226,92336.5,2
50027,-72.591515,43.588143,94539.5,1
25013,-72.635648,42.136198,85224.2,7
42095,-75.307447,40.752791,73123.1,4
42029,-75.749732,39.973965,67716.6,6
25027,-71.940282,42.311693,87401.8,20
42101,-75.133346,40.009376,69051.7,36
12011,-80.476658,26.19352,15178.2,35
6087,-122.007205,37.012488,182256.5,23
51600,-77.299025,38.853183,57625.2,8
42003,-79.98092,40.46892,67027.8,22
48167,-94.894865,29.228706,66443.8,6
39035,-81.724217,41.760392,71514.4,20
51650,-76.297149,37.04803,52616.2,2
Windsor CAN,-83.026772,42.317432,78931.7,134
9011,-72.103452,41.47863,84137.5,6
39049,-83.008258,39.969447,65806.5,26
33013,-71.68013,43.299485,95232.4,13
18141,-86.288159,41.617699,76268.6,14
34039,-74.308696,40.659871,73458.4,8
39061,-84.544187,39.196927,61261.6,8
36017,-75.604905,42.489732,82306.9,1
48231,-96.083807,33.123438,73703,1
9003,-72.732916,41.806053,83243.6,28
39025,-84.149614,39.052084,62736,1
8069,-105.482131,40.663091,132379.2,3
24003,-76.560511,38.993374,60222.5,7
19103,-91.588812,41.668737,85461.8,1
55043,-90.695368,42.870062,90196.5,1
9013,-72.340977,41.858076,84101.6,6
36067,-76.196117,43.00653,84942.2,3
12099,-80.448673,26.645763,14074.2,16
12085,-80.398211,27.079954,11590.1,4
12095,-81.323295,28.514435,1409.7,28
Markham CAN,-79.337021,43.856098,89729.6,26
26099,-82.910869,42.671467,81244.6,36
34007,-74.961251,39.802352,68896.3,7
