FIPS,Lng,Lat,Duration,Density
26125,-83.38421,42.660452,2786764.8,51
6037,-118.261862,34.196398,588418.2,152
26163,-83.261953,42.284664,2776772.7,78
27053,-93.475185,45.006064,2234110.6,32
24510,-76.610516,39.300214,3236346,15
6081,-122.371542,37.414664,1087655.2,43
17031,-87.645455,41.894294,2459899.2,60
34027,-74.547427,40.858581,3391409.5,10
17111,-88.452245,42.324298,2419189.5,2
12103,-82.739518,27.903122,3021070.2,9
5005,-92.330438,36.28071,1875908.9,2
34017,-74.078627,40.731384,3430538,16
36119,-73.745912,41.15277,3470772.1,7
36093,-74.043583,42.817542,3417750.3,4
12117,-81.13198,28.690079,3035838,3
25023,-70.741942,41.987196,3702906.3,7
18105,-86.523325,39.160751,2404483,4
34023,-74.407585,40.439593,3407183,8
36103,-72.692218,40.943554,3541446.1,21
27037,-93.062481,44.670893,2258829.8,9
34025,-74.152446,40.287056,3432985.4,6
40143,-95.941731,36.120121,1555654.4,21
1083,-86.9814,34.810239,2388931.6,4
26121,-86.751892,43.289258,2533162.5,3
12086,-80.499045,25.610494,3342859,25
9005,-73.235428,41.791897,3514203,13
4021,-111.367257,32.91891,108869.6,28
33011,-71.723101,42.911643,3607722.4,33
34035,-74.61993,40.565522,3385012.7,12
25017,-71.396507,42.479477,3640143.3,30
18067,-86.114118,40.483537,2471082.9,4
26049,-83.706372,43.021077,2774128.7,48
39155,-80.767656,41.308936,2883947.4,7
26145,-84.05541,43.328267,2789327.7,18
11001,-77.017094,38.904149,3236013.5,30
48201,-95.393037,29.857273,1627111.8,72
23005,-70.330375,43.808348,3746373.7,8
4015,-113.749689,35.717705,349923.6,3
44007,-71.578242,41.870488,3639965.4,13
42049,-80.096386,42.117952,2959255.3,5
4013,-112.495534,33.346541,47009.3,66
26161,-83.844634,42.252327,2734079.2,28
25025,-71.020173,42.33196,3666131.2,46
18089,-87.374337,41.472239,2458719.7,6
36055,-77.664656,43.464475,3149414.8,24
26159,-86.305697,42.283986,2575859.1,18
44005,-71.284063,41.502732,3615523.2,3
17177,-89.665994,42.349726,2343949.2,1
42015,-76.502124,41.791495,3232417.4,1
26081,-85.547446,43.032497,2682217.6,41
12031,-81.648113,30.335245,2920740.8,13
34005,-74.663006,39.875786,3410369.8,4
42081,-77.055253,41.343624,3183619.8,1
17043,-88.086038,41.852058,2428964.6,13
55087,-88.464988,44.418226,2578727.7,2
50027,-72.591515,43.588143,3566971.2,1
25013,-72.635648,42.136198,3547960.7,7
42095,-75.307447,40.752791,3326952.9,4
42029,-75.749732,39.973965,3321498.3,6
25027,-71.940282,42.311693,3600485.2,20
42101,-75.133346,40.009376,3370842.8,36
12011,-80.476658,26.19352,3289236.5,35
6087,-122.007205,37.012488,1025471.3,23
51600,-77.299025,38.853183,3222966.4,8
42003,-79.98092,40.46892,2936343.2,22
48167,-94.894865,29.228706,1706413.9,6
39035,-81.724217,41.760392,2840304.1,20
51650,-76.297149,37.04803,3387157.6,2
Windsor CAN,-83.026772,42.317432,2813826.7,134
9011,-72.103452,41.47863,3598051.5,6
39049,-83.008258,39.969447,2687327,26
33013,-71.68013,43.299485,3621875.1,13
18141,-86.288159,41.617699,2538265,14
34039,-74.308696,40.659871,3410040.3,8
39061,-84.544187,39.196927,2567707.5,8
36017,-75.604905,42.489732,3315364.9,1
48231,-96.083807,33.123438,1496766.2,1
9003,-72.732916,41.806053,3569107,28
39025,-84.149614,39.052084,2605244,1
8069,-105.482131,40.663091,1150435.7,3
24003,-76.560511,38.993374,3256566.6,7
19103,-91.588812,41.668737,2172166.2,1
55043,-90.695368,42.870062,2327551.3,1
9013,-72.340977,41.858076,3586128.1,6
36067,-76.196117,43.00653,3269268.7,3
12099,-80.448673,26.645763,3224421.2,16
12085,-80.398211,27.079954,3195872.1,4
12095,-81.323295,28.514435,3027413.8,28
Markham CAN,-79.337021,43.856098,3069018.6,26
26099,-82.910869,42.671467,2816754,36
34007,-74.961251,39.802352,3392190.3,7
25005,-71.087062,41.748576,3622113.5,5
33005,-72.248217,42.925455,3561881.8,3
48141,-106.241391,31.766403,616874.9,23
34041,-75.009542,40.853524,3353479.2,5
26061,-88.652066,46.998305,2686871.9,8
42131,-76.00878,41.525137,3284087.9,1
34031,-74.300308,41.033763,3418395.5,6
42133,-76.728446,39.921839,3232693,1
9009,-72.900204,41.349717,3546186.1,15
36089,-75.074311,44.488113,3393650.8,5
6055,-122.325995,38.507351,1146661.8,7
12009,-80.700384,28.298276,3089751.8,11
18097,-86.135794,39.782976,2454502.9,14
9007,-72.524227,41.434525,3577425.6,8
26115,-83.487106,41.916097,2738055.8,9
33015,-71.099437,42.98936,3657759.2,12
36001,-73.974014,42.588271,3432228.8,6
6085,-121.690622,37.220777,1028145.9,30
26165,-85.570046,44.331375,2648704.7,6
55133,-88.306707,43.019308,2474879.6,32
36059,-73.589384,40.729687,3466665.5,50
42091,-75.370201,40.209999,3345558.3,9
39099,-80.770396,41.01088,2872329.6,6
39173,-83.622682,41.360183,2691457.1,2
45045,-82.372077,34.892645,2853802.3,9
42115,-75.800969,41.819665,3289158.5,1
34021,-74.703724,40.282503,3394984.9,20
6067,-121.340441,38.450011,1084896.2,26
Longueuil CAN,-73.510712,45.536945,3510265.4,43
6001,-121.913304,37.648081,1063705.3,24
42123,-79.313173,41.843669,3005804.8,2
17161,-90.572203,41.468404,2270062.7,2
34033,-75.357356,39.573828,3416370.7,1
48439,-97.291291,32.77204,1387326.8,19
33017,-71.035927,43.293177,3666004.9,7
36061,-73.970174,40.776557,3439511.6,28
36047,-73.950777,40.635133,3443653.8,20
54045,-81.940853,37.830591,2822525.6,1
37009,-81.49877,36.436305,2923561.1,1
51179,-77.459043,38.418933,3239094.2,1
36037,-78.192778,43.00091,3104278.8,3
45019,-79.94248,32.800458,3052608.2,8
45073,-83.061522,34.748759,2791623.8,2
51740,-76.356269,36.85943,3364005.5,4
51041,-77.585847,37.378434,3279020.2,8
12019,-81.858147,29.987116,2907575.6,1
5119,-92.316515,34.773988,1910518.5,12
42045,-75.398786,39.91667,3354034.4,14
53053,-122.144709,47.040716,1918240,31
28047,-89.083376,30.416536,2245673.6,3
10003,-75.644132,39.575915,3333346.2,5
24045,-75.632206,38.367389,3423127.8,2
36085,-74.137063,40.563855,3433219.8,8
53029,-122.670503,48.158436,2013658.6,7
36063,-78.792143,43.456731,3087715.1,3
36005,-73.852939,40.848711,3451449,31
51760,-77.476009,37.531399,3273908.2,22
51027,-82.038151,37.26812,2901746.4,1
18059,-85.772904,39.822604,2484424,2
42047,-78.653938,41.427334,3046439.4,1
51121,-80.387314,37.174885,3011184,1
51059,-77.276117,38.833743,3223767.2,4
51730,-77.392368,37.20473,3266988.5,2
45091,-81.183189,34.97019,2954080.7,6
45007,-82.638086,34.519549,2816453.3,4
48453,-97.69127,30.239513,1424405.2,19
48157,-95.771015,29.526602,1597287.3,14
37183,-78.650624,35.789846,3180778.4,20
48113,-96.778424,32.766987,1429609.2,45
1089,-86.55108,34.764238,2426828.2,11
8031,-104.880625,39.761849,1108510.5,34
48071,-94.668875,29.703933,1737550.5,2
18095,-85.722454,40.166203,2490633.9,1
28149,-90.851791,32.357005,2422629.7,1
48029,-98.520147,29.448671,1371562.7,40
12001,-82.357221,29.67574,2867101.8,4
18157,-86.893943,40.38926,2410798.3,5
28121,-89.946552,32.262057,2417003.7,5
35001,-106.669065,35.054002,609207.1,6
30081,-114.119065,46.079298,1457212.3,2
40071,-97.143755,36.814842,1472353.7,2
6013,-121.951543,37.919479,1073331.6,27
53035,-122.649636,47.639687,1959675.3,39
9001,-73.366757,41.228103,3503656.6,9
53033,-121.832375,47.493554,1926100.1,25
39133,-81.196932,41.16864,2846684.8,3
51830,-76.706717,37.269293,3342193.8,2
51137,-78.00998,38.250439,3211423.6,1
51087,-77.300333,37.437521,3287825.9,4
40109,-97.409401,35.554611,1402948,23
6029,-118.729506,35.346629,666971.4,5
19013,-92.306059,42.472888,2188877.7,6
25021,-71.179875,42.169703,3667139.7,17
18069,-85.478598,40.826394,2532845.2,2
1095,-86.321668,34.309564,2466023.6,3
47103,-86.593388,35.142532,2424954.1,1
34013,-74.246136,40.787217,3416489,22
36069,-77.303277,42.856695,3184940.8,11
37135,-79.119355,36.062499,3142712,5
28099,-89.119274,32.752518,2389464.1,1
51680,-79.195458,37.399016,3124286.8,1
51107,-77.638857,39.08113,3187367.8,3
12127,-81.161813,29.057617,3012422.1,5
28127,-89.917707,31.902503,2318456.3,1
13121,-84.468182,33.790034,2639940.2,28
6097,-122.945194,38.532574,1189738.8,2
East York CAN,-79.341667,43.6912,3052165.1,69
51610,-77.174639,38.883787,3223821.6,9
51685,-77.448681,38.768991,3212758.5,5
51510,-77.082026,38.818343,3234486.9,4
51175,-77.103856,36.720173,3298883.5,1
51540,-78.485381,38.037658,3169588.3,1
51683,-77.484727,38.747561,3209799.5,3
48209,-98.029267,30.061225,1398811.5,4
36109,-76.473712,42.453281,3246841,2
36081,-73.837929,40.658557,3449168.3,21
54107,-81.515928,39.211679,2827639.1,2
42077,-75.590627,40.614241,3307713.4,2
22103,-89.951962,30.410022,2205449.1,11
6041,-122.745974,38.051817,1152859.4,9
48027,-97.481921,31.04211,1419229.2,7
17025,-88.483789,38.747312,2248365.9,1
42107,-76.2178,40.70369,3255853.1,1
12073,-84.2778,30.45931,2689001.9,4
48491,-97.605069,30.64903,1412045.7,4
8035,-104.926199,39.326435,1061248,4
36045,-76.053522,43.995371,3316317.4,7
6045,-123.442881,39.432388,1308013.8,1
24021,-77.397627,39.470427,3172552.2,6
25015,-72.663694,42.339459,3537971,3
39055,-81.173505,41.499322,2861637.2,5
6095,-121.939594,38.267226,1123764.6,8
42017,-75.10706,40.336887,3358066.5,4
Vaughan CAN,-79.508278,43.837208,3060931.9,29
28045,-89.47985,30.391437,2215330.3,4
41017,-121.225575,43.915118,1525142,4
55075,-87.991198,45.346899,2692393.8,4
20201,-97.095611,39.776714,1601230.8,1
Chatham-Kent CAN,-82.19104,42.404804,2814013.2,3
46081,-103.796528,44.353669,1613732.7,2
46103,-102.823802,44.002349,1662349.1,3
51810,-76.02402,36.779322,3392341.1,3
Mississauga CAN,-79.640579,43.59531,3031296.1,37
26069,-82.849447,44.329482,2905476.6,1
45015,-79.953655,33.2077,3062507.3,2
25009,-70.865107,42.642711,3671935.3,13
6073,-116.776117,33.023604,462106.4,78
51155,-80.713444,37.063385,2982437.2,1
13057,-84.475057,34.244317,2635983.1,8
24037,-76.534271,38.222666,3321049.9,1
37077,-78.657634,36.299884,3183328.5,2
41003,-123.426317,44.490623,1724564.8,7
54061,-80.059074,39.633645,2944548.1,2
18057,-86.020586,40.04987,2468557,5
38089,-102.662026,46.817031,1871500.2,1
38053,-103.403215,47.742475,1904361.4,1
38035,-97.450851,47.926003,2290557,5
38095,-99.248158,48.682183,2202915.8,1
38069,-99.966497,48.238883,2155486.5,1
38061,-102.364756,48.210291,1985811,1
27155,-96.475049,45.76984,2119387.4,1
38015,-100.462001,46.971843,2023026.1,1
50017,-72.369687,44.003392,3602117.7,2
24027,-76.924406,39.252264,3214574,12
39045,-82.628276,39.752935,2719942.6,2
37063,-78.877919,36.036589,3164226.1,10
29161,-91.790349,37.866326,1950319.1,2
