FIPS,Lng,Lat,Duration,Density
26125,-83.38421,42.660452,21263.8,51
6037,-118.261862,34.196398,160276.3,152
26163,-83.261953,42.284664,19003.8,78
27053,-93.475185,45.006064,59662.4,32
24510,-76.610516,39.300214,17409.7,15
6081,-122.371542,37.414664,165400.8,43
17031,-87.645455,41.894294,31096.9,60
34027,-74.547427,40.858581,24612.4,10
17111,-88.452245,42.324298,35803.6,2
12103,-82.739518,27.903122,71791.7,9
5005,-92.330438,36.28071,60402.5,2
34017,-74.078627,40.731384,25683.6,16
36119,-73.745912,41.15277,28542.7,7
36093,-74.043583,42.817542,33568.9,4
12117,-81.13198,28.690079,65780.7,3
25023,-70.741942,41.987196,42996.7,7
18105,-86.523325,39.160751,28798.5,4
34023,-74.407585,40.439593,24140.2,8
36103,-72.692218,40.943554,32592.1,21
27037,-93.062481,44.670893,58652.8,9
34025,-74.152446,40.287056,24512.4,6
40143,-95.941731,36.120121,66451.9,21
1083,-86.9814,34.810239,44954.3,4
26121,-86.751892,43.289258,32246.2,3
12086,-80.499045,25.610494,81016.7,25
9005,-73.235428,41.791897,33234.1,13
4021,-111.367257,32.91891,137572.3,28
33011,-71.723101,42.911643,43930.6,33
34035,-74.61993,40.565522,23817.7,12
25017,-71.396507,42.479477,41603.4,30
18067,-86.114118,40.483537,27627.7,4
26049,-83.706372,43.021077,22862.6,48
39155,-80.767656,41.308936,6796.1,7
26145,-84.05541,43.328267,26659.7,18
11001,-77.017094,38.904149,17458,30
48201,-95.393037,29.857273,89151.8,72
23005,-70.330375,43.808348,49238.2,8
4015,-113.749689,35.717705,137262.8,3
44007,-71.578242,41.870488,38706.4,13
42049,-80.096386,42.117952,8767.3,5
4013,-112.495534,33.346541,136370.5,66
26161,-83.844634,42.252327,19748.7,28
25025,-71.020173,42.33196,41502.7,46
18089,-87.374337,41.472239,29297.6,6
36055,-77.664656,43.464475,21073.1,24
26159,-86.305697,42.283986,28456,18
44005,-71.284063,41.502732,39895.7,3
17177,-89.665994,42.349726,39371.9,1
42015,-76.502124,41.791495,20547.2,1
26081,-85.547446,43.032497,27959,41
12031,-81.648113,30.335245,56303.1,13
34005,-74.663006,39.875786,22895.2,4
42081,-77.055253,41.343624,16082.9,1
17043,-88.086038,41.852058,33125.1,13
55087,-88.464988,44.418226,45113,2
50027,-72.591515,43.588143,43188.7,1
25013,-72.635648,42.136198,36606.7,7
42095,-75.307447,40.752791,20980.5,4
42029,-75.749732,39.973965,19269.9,6
25027,-71.940282,42.311693,38908.8,20
42101,-75.133346,40.009376,20595.9,36
12011,-80.476658,26.19352,78449.3,35
6087,-122.007205,37.012488,166360.6,23
51600,-77.299025,38.853183,17661.1,8
42003,-79.98092,40.46892,540.3,22
48167,-94.894865,29.228706,93156,6
39035,-81.724217,41.760392,9981.8,20
51650,-76.297149,37.04803,29530.3,2
Windsor CAN,-83.026772,42.317432,19588.9,134
9011,-72.103452,41.47863,35841.2,6
39049,-83.008258,39.969447,13327.4,26
33013,-71.68013,43.299485,46465.7,13
18141,-86.288159,41.617699,25521.4,14
34039,-74.308696,40.659871,25040.5,8
39061,-84.544187,39.196927,20405.3,8
36017,-75.604905,42.489732,27523,1
48231,-96.083807,33.123438,77426.3,1
9003,-72.732916,41.806053,34522.4,28
39025,-84.149614,39.052084,21417.7,1
8069,-105.482131,40.663091,101205,3
24003,-76.560511,38.993374,18583.3,7
19103,-91.588812,41.668737,45264.3,1
55043,-90.695368,42.870062,46398.6,1
9013,-72.340977,41.858076,35608.6,6
36067,-76.196117,43.00653,25740.3,3
12099,-80.448673,26.645763,77374.5,16
12085,-80.398211,27.079954,74849.2,4
12095,-81.323295,28.514435,66406.6,28
Markham CAN,-79.337021,43.856098,23749.5,26
26099,-82.910869,42.671467,21901.8,36
34007,-74.961251,39.802352,22026.1,7
25005,-71.087062,41.748576,42032.2,5
33005,-72.248217,42.925455,42062.8,3
48141,-106.241391,31.766403,118104.2,23
34041,-75.009542,40.853524,22928.5,5
26061,-88.652066,46.998305,56695,8
42131,-76.00878,41.525137,22471.2,1
34031,-74.300308,41.033763,25965.8,6
42133,-76.728446,39.921839,15621,1
9009,-72.900204,41.349717,32445.8,15
36089,-75.074311,44.488113,35215.7,5
6055,-122.325995,38.507351,162207.2,7
12009,-80.700384,28.298276,66733.2,11
18097,-86.135794,39.782976,24691.7,14
9007,-72.524227,41.434525,35218,8
26115,-83.487106,41.916097,17316.2,9
33015,-71.099437,42.98936,44781.3,12
36001,-73.974014,42.588271,33461.9,6
6085,-121.690622,37.220777,166512.2,30
26165,-85.570046,44.331375,33053.8,6
55133,-88.306707,43.019308,38796.4,32
36059,-73.589384,40.729687,28450.3,50
42091,-75.370201,40.209999,20323.2,9
39099,-80.770396,41.01088,5321.1,6
39173,-83.622682,41.360183,16185.7,2
45045,-82.372077,34.892645,37382,9
42115,-75.800969,41.819665,23927.9,1
34021,-74.703724,40.282503,22403,20
6067,-121.340441,38.450011,156683.7,26
Longueuil CAN,-73.510712,45.536945,43741.2,43
6001,-121.913304,37.648081,162268.6,24
42123,-79.313173,41.843669,10845.4,2
17161,-90.572203,41.468404,40929.3,2
34033,-75.357356,39.573828,22725.6,1
48439,-97.291291,32.77204,82836,19
33017,-71.035927,43.293177,47058.7,7
36061,-73.970174,40.776557,26725.6,28
36047,-73.950777,40.635133,26708,20
54045,-81.940853,37.830591,19904.6,1
37009,-81.49877,36.436305,27421.3,1
51179,-77.459043,38.418933,20451.8,1
36037,-78.192778,43.00091,17757.7,3
45019,-79.94248,32.800458,44821,8
