FIPS,Lng,Lat,Duration,Density
26125,-83.38421,42.660452,78744.8,51
6037,-118.261862,34.196398,95591,152
26163,-83.261953,42.284664,76909.8,78
27053,-93.475185,45.006064,62522.9,32
24510,-76.610516,39.300214,89985.4,15
6081,-122.371542,37.414664,111778.1,43
17031,-87.645455,41.894294,61550.2,60
34027,-74.547427,40.858581,101537.3,10
17111,-88.452245,42.324298,63401.5,2
12103,-82.739518,27.903122,76108.3,9
5005,-92.330438,36.28071,31371.9,2
34017,-74.078627,40.731384,102159.3,16
36119,-73.745912,41.15277,105167.1,7
36093,-74.043583,42.817542,109700,4
12117,-81.13198,28.690079,75257.3,3
25023,-70.741942,41.987196,119621.1,7
18105,-86.523325,39.160751,55955.7,4
34023,-74.407585,40.439593,101159.9,8
36103,-72.692218,40.943554,109273.8,21
27037,-93.062481,44.670893,61334.9,9
34025,-74.152446,40.287056,101532.1,6
40143,-95.941731,36.120121,16864.7,21
1083,-86.9814,34.810239,44091.5,4
26121,-86.751892,43.289258,74337.3,3
12086,-80.499045,25.610494,90084.9,25
9005,-73.235428,41.791897,110283.4,13
4021,-111.367257,32.91891,65368.1,28
33011,-71.723101,42.911643,120751.7,33
34035,-74.61993,40.565522,100258.3,12
25017,-71.396507,42.479477,118424.5,30
18067,-86.114118,40.483537,62538.9,4
26049,-83.706372,43.021077,77529.3,48
39155,-80.767656,41.308936,80769.4,7
26145,-84.05541,43.328267,80391.3,18
11001,-77.017094,38.904149,87121.4,30
48201,-95.393037,29.857273,16627.2,72
23005,-70.330375,43.808348,126059.3,8
4015,-113.749689,35.717705,72577.5,3
44007,-71.578242,41.870488,115330.8,13
42049,-80.096386,42.117952,84675.1,5
4013,-112.495534,33.346541,69403.4,66
26161,-83.844634,42.252327,75374.8,28
25025,-71.020173,42.33196,118323.8,46
18089,-87.374337,41.472239,61983.4,6
36055,-77.664656,43.464475,96850.3,24
26159,-86.305697,42.283986,67758.6,18
44005,-71.284063,41.502732,116520.1,3
17177,-89.665994,42.349726,63381.1,1
42015,-76.502124,41.791495,99931,1
26081,-85.547446,43.032497,72232.1,41
12031,-81.648113,30.335245,67668.4,13
34005,-74.663006,39.875786,98842.2,4
42081,-77.055253,41.343624,95466.7,1
17043,-88.086038,41.852058,60827.8,13
55087,-88.464988,44.418226,73588.2,2
50027,-72.591515,43.588143,120071.6,1
25013,-72.635648,42.136198,113552.3,7
42095,-75.307447,40.752791,97421.1,4
42029,-75.749732,39.973965,96386.2,6
25027,-71.940282,42.311693,115729.9,20
42101,-75.133346,40.009376,97712.2,36
12011,-80.476658,26.19352,87357.6,35
6087,-122.007205,37.012488,108964.6,23
51600,-77.299025,38.853183,85918.5,8
42003,-79.98092,40.46892,81488.1,22
48167,-94.894865,29.228706,21064.4,6
39035,-81.724217,41.760392,79095.6,20
51650,-76.297149,37.04803,88765.9,2
Windsor CAN,-83.026772,42.317432,77494.9,134
9011,-72.103452,41.47863,112465.6,6
39049,-83.008258,39.969447,68701.3,26
33013,-71.68013,43.299485,123560.5,13
18141,-86.288159,41.617699,66412.4,14
34039,-74.308696,40.659871,101481.1,8
39061,-84.544187,39.196927,61609.5,8
36017,-75.604905,42.489732,105120,1
48231,-96.083807,33.123438,3937.3,1
9003,-72.732916,41.806053,111571.7,28
39025,-84.149614,39.052084,63083.9,1
8069,-105.482131,40.663091,65315,3
24003,-76.560511,38.993374,89381.6,7
19103,-91.588812,41.668737,53345.6,1
55043,-90.695368,42.870062,62113.4,1
9013,-72.340977,41.858076,112429.7,6
36067,-76.196117,43.00653,101517.5,3
12099,-80.448673,26.645763,86253.6,16
12085,-80.398211,27.079954,83917.4,4
12095,-81.323295,28.514435,73889.7,28
Markham CAN,-79.337021,43.856098,94798.9,26
26099,-82.910869,42.671467,79807.8,36
34007,-74.961251,39.802352,97619.7,7
25005,-71.087062,41.748576,118656.6,5
33005,-72.248217,42.925455,119056.8,3
