FIPS,Lng,Lat,Duration,Density
26125,-83.38421,42.660452,149883.9,51
6037,-118.261862,34.196398,69491,152
26163,-83.261953,42.284664,148449,78
27053,-93.475185,45.006064,108740.2,32
24510,-76.610516,39.300214,177730.2,15
6081,-122.371542,37.414664,47211.8,43
17031,-87.645455,41.894294,132014,60
34027,-74.547427,40.858581,181036.6,10
17111,-88.452245,42.324298,131098.3,2
12103,-82.739518,27.903122,195174.1,9
5005,-92.330438,36.28071,132091.5,2
34017,-74.078627,40.731384,183254.6,16
36119,-73.745912,41.15277,185534.5,7
36093,-74.043583,42.817542,185668.2,4
12117,-81.13198,28.690079,194254.9,3
25023,-70.741942,41.987196,199929.3,7
18105,-86.523325,39.160751,142876,4
34023,-74.407585,40.439593,183157.2,8
36103,-72.692218,40.943554,189644.4,21
27037,-93.062481,44.670893,111954.1,9
34025,-74.152446,40.287056,184490.7,6
40143,-95.941731,36.120121,118905.9,21
1083,-86.9814,34.810239,154010.6,4
26121,-86.751892,43.289258,145476.4,3
12086,-80.499045,25.610494,209082.5,25
9005,-73.235428,41.791897,189658.3,13
4021,-111.367257,32.91891,94646.6,28
33011,-71.723101,42.911643,199728.7,33
34035,-74.61993,40.565522,181986.1,12
25017,-71.396507,42.479477,198027.6,30
18067,-86.114118,40.483537,142154.2,4
26049,-83.706372,43.021077,148668.4,48
39155,-80.767656,41.308936,157140.9,7
26145,-84.05541,43.328267,151530.4,18
11001,-77.017094,38.904149,177778.5,30
48201,-95.393037,29.857273,143988.7,72
23005,-70.330375,43.808348,205662.4,8
4015,-113.749689,35.717705,84503.7,3
44007,-71.578242,41.870488,195509.7,13
42049,-80.096386,42.117952,160643.3,5
4013,-112.495534,33.346541,88077.6,66
26161,-83.844634,42.252327,146513.9,28
25025,-71.020173,42.33196,197926.9,46
18089,-87.374337,41.472239,133260.9,6
36055,-77.664656,43.464475,172070.1,24
26159,-86.305697,42.283986,138897.7,18
44005,-71.284063,41.502732,196890.7,3
17177,-89.665994,42.349726,128665.7,1
42015,-76.502124,41.791495,176971.4,1
26081,-85.547446,43.032497,143371.2,41
12031,-81.648113,30.335245,186670.2,13
34005,-74.663006,39.875786,183215.7,4
42081,-77.055253,41.343624,172507.1,1
17043,-88.086038,41.852058,130300.3,13
55087,-88.464988,44.418226,128287.6,2
50027,-72.591515,43.588143,196039.8,1
25013,-72.635648,42.136198,192398.2,7
42095,-75.307447,40.752791,179274.7,4
42029,-75.749732,39.973965,179590.4,6
25027,-71.940282,42.311693,195333,20
42101,-75.133346,40.009376,180916.4,36
12011,-80.476658,26.19352,206355.2,35
6087,-122.007205,37.012488,48171.6,23
51600,-77.299025,38.853183,177981.6,8
42003,-79.98092,40.46892,161518.8,22
48167,-94.894865,29.228706,148425.9,6
39035,-81.724217,41.760392,154665.4,20
51650,-76.297149,37.04803,187201.3,2
Windsor CAN,-83.026772,42.317432,149646.7,134
9011,-72.103452,41.47863,192836.2,6
39049,-83.008258,39.969447,152140,26
33013,-71.68013,43.299485,200283.1,13
18141,-86.288159,41.617699,137551.5,14
34039,-74.308696,40.659871,182911.4,8
39061,-84.544187,39.196927,147944.4,8
36017,-75.604905,42.489732,181088.2,1
48231,-96.083807,33.123438,131387.4,1
9003,-72.732916,41.806053,190946.6,28
39025,-84.149614,39.052084,150894.4,1
8069,-105.482131,40.663091,78326.8,3
24003,-76.560511,38.993374,178903.8,7
19103,-91.588812,41.668737,117190.2,1
55043,-90.695368,42.870062,124388.4,1
9013,-72.340977,41.858076,192032.8,6
36067,-76.196117,43.00653,177485.7,3
12099,-80.448673,26.645763,205251.2,16
12085,-80.398211,27.079954,202915,4
12095,-81.323295,28.514435,192887.3,28
Markham CAN,-79.337021,43.856098,166244,26
26099,-82.910869,42.671467,151690.5,36
34007,-74.961251,39.802352,182346.6,7
25005,-71.087062,41.748576,198964.8,5
33005,-72.248217,42.925455,195880.2,3
48141,-106.241391,31.766403,107059.9,23
34041,-75.009542,40.853524,179538.5,5
26061,-88.652066,46.998305,130021.6,8
42131,-76.00878,41.525137,178895.4,1
34031,-74.300308,41.033763,182473.9,6
42133,-76.728446,39.921839,175941.5,1
9009,-72.900204,41.349717,189440.8,15
36089,-75.074311,44.488113,184857.4,5
6055,-122.325995,38.507351,42964.6,7
12009,-80.700384,28.298276,196033.4,11
18097,-86.135794,39.782976,140807.6,14
9007,-72.524227,41.434525,191642.2,8
26115,-83.487106,41.916097,149028.2,9
