FIPS,Lng,Lat,Duration,Density
26125,-83.38421,42.660452,49794.2,51
6037,-118.261862,34.196398,167805.9,152
26163,-83.261953,42.284664,47534.2,78
27053,-93.475185,45.006064,84306.3,32
24510,-76.610516,39.300214,22469.1,15
6081,-122.371542,37.414664,183993,43
17031,-87.645455,41.894294,55740.8,60
34027,-74.547427,40.858581,36694.4,10
17111,-88.452245,42.324298,60447.5,2
12103,-82.739518,27.903122,45946.7,9
5005,-92.330438,36.28071,64323.2,2
34017,-74.078627,40.731384,35087.1,16
36119,-73.745912,41.15277,37946.2,7
36093,-74.043583,42.817542,46668.8,4
12117,-81.13198,28.690079,39935.7,3
25023,-70.741942,41.987196,52400.2,7
18105,-86.523325,39.160751,45065,4
34023,-74.407585,40.439593,33543.7,8
36103,-72.692218,40.943554,41995.6,21
27037,-93.062481,44.670893,83296.7,9
34025,-74.152446,40.287056,33915.9,6
40143,-95.941731,36.120121,75811.4,21
1083,-86.9814,34.810239,41698.7,4
26121,-86.751892,43.289258,60161.6,3
12086,-80.499045,25.610494,55171.7,25
9005,-73.235428,41.791897,43062.5,13
4021,-111.367257,32.91891,142782.5,28
33011,-71.723101,42.911643,53530.8,33
34035,-74.61993,40.565522,33989,12
25017,-71.396507,42.479477,51203.6,30
18067,-86.114118,40.483537,46304.6,4
26049,-83.706372,43.021077,50778,48
39155,-80.767656,41.308936,39582.7,7
26145,-84.05541,43.328267,54575.1,18
11001,-77.017094,38.904149,19096.9,30
48201,-95.393037,29.857273,80769.4,72
23005,-70.330375,43.808348,58838.4,8
4015,-113.749689,35.717705,144792.4,3
44007,-71.578242,41.870488,48109.9,13
42049,-80.096386,42.117952,42773.1,5
4013,-112.495534,33.346541,143900.1,66
26161,-83.844634,42.252327,47664.1,28
25025,-71.020173,42.33196,51102.9,46
18089,-87.374337,41.472239,52626.6,6
36055,-77.664656,43.464475,48547.5,24
26159,-86.305697,42.283986,55748.3,18
44005,-71.284063,41.502732,49299.2,3
17177,-89.665994,42.349726,64015.8,1
42015,-76.502124,41.791495,39883.5,1
26081,-85.547446,43.032497,55874.4,41
12031,-81.648113,30.335245,30458.1,13
34005,-74.663006,39.875786,31226,4
42081,-77.055253,41.343624,36467.7,1
17043,-88.086038,41.852058,57606.3,13
55087,-88.464988,44.418226,69756.9,2
50027,-72.591515,43.588143,55646.7,1
25013,-72.635648,42.136198,46331.4,7
42095,-75.307447,40.752791,34230.3,4
42029,-75.749732,39.973965,28823.8,6
25027,-71.940282,42.311693,48509,20
42101,-75.133346,40.009376,30158.9,36
12011,-80.476658,26.19352,52604.3,35
6087,-122.007205,37.012488,181179.5,23
51600,-77.299025,38.853183,18732.4,8
42003,-79.98092,40.46892,35053.5,22
48167,-94.894865,29.228706,82315.5,6
39035,-81.724217,41.760392,39540.1,20
51650,-76.297149,37.04803,13971.3,2
Windsor CAN,-83.026772,42.317432,48119.3,134
9011,-72.103452,41.47863,45244.7,6
39049,-83.008258,39.969447,33832.2,26
33013,-71.68013,43.299485,56339.6,13
18141,-86.288159,41.617699,51806.4,14
34039,-74.308696,40.659871,34565.6,8
39061,-84.544187,39.196927,37523.4,8
36017,-75.604905,42.489732,43414.1,1
48231,-96.083807,33.123438,76260.3,1
9003,-72.732916,41.806053,44350.8,28
39025,-84.149614,39.052084,35357.7,1
8069,-105.482131,40.663091,120291.5,3
24003,-76.560511,38.993374,21329.7,7
19103,-91.588812,41.668737,67710.3,1
55043,-90.695368,42.870062,70902.9,1
9013,-72.340977,41.858076,45208.8,6
36067,-76.196117,43.00653,46049.4,3
12099,-80.448673,26.645763,51529.5,16
12085,-80.398211,27.079954,49004.2,4
12095,-81.323295,28.514435,40561.6,28
Markham CAN,-79.337021,43.856098,55969.1,26
26099,-82.910869,42.671467,50432.2,36
34007,-74.961251,39.802352,30003.5,7
25005,-71.087062,41.748576,51435.7,5
33005,-72.248217,42.925455,51835.9,3
48141,-106.241391,31.766403,117092.9,23
34041,-75.009542,40.853524,35802.3,5
26061,-88.652066,46.998305,84610.4,8
42131,-76.00878,41.525137,38391.1,1
34031,-74.300308,41.033763,36805.7,6
42133,-76.728446,39.921839,26041.9,1
9009,-72.900204,41.349717,41849.3,15
36089,-75.074311,44.488113,56105.3,5
6055,-122.325995,38.507351,182962.8,7
12009,-80.700384,28.298276,40888.2,11
18097,-86.135794,39.782976,43169.7,14
9007,-72.524227,41.434525,44703.7,8
26115,-83.487106,41.916097,45846.6,9
33015,-71.099437,42.98936,54381.5,12
36001,-73.974014,42.588271,45919.9,6
6085,-121.690622,37.220777,181308.3,30
26165,-85.570046,44.331375,60969.2,6
55133,-88.306707,43.019308,63440.3,32
36059,-73.589384,40.729687,37853.8,50
42091,-75.370201,40.209999,31051.2,9
39099,-80.770396,41.01088,38295.3,6
39173,-83.622682,41.360183,42495.9,2
45045,-82.372077,34.892645,18752.5,9
42115,-75.800969,41.819665,39580.5,1
34021,-74.703724,40.282503,32220.3,20
6067,-121.340441,38.450011,177439.3,26
Longueuil CAN,-73.510712,45.536945,60819.2,43
6001,-121.913304,37.648081,180914.6,24
42123,-79.313173,41.843669,42509.5,2
17161,-90.572203,41.468404,63431.6,2
34033,-75.357356,39.573828,28861.4,1
48439,-97.291291,32.77204,81441,19
33017,-71.035927,43.293177,56658.9,7
36061,-73.970174,40.776557,36129.1,28
36047,-73.950777,40.635133,36111.5,20
54045,-81.940853,37.830591,23686.9,1
37009,-81.49877,36.436305,14576.7,1
51179,-77.459043,38.418933,16067.8,1
36037,-78.192778,43.00091,47330.9,3
45019,-79.94248,32.800458,19079.5,8
45073,-83.061522,34.748759,22788,2
51740,-76.356269,36.85943,12854.4,4
51041,-77.585847,37.378434,11772.1,8
12019,-81.858147,29.987116,33786.8,1
5119,-92.316515,34.773988,60192.7,12
42045,-75.398786,39.91667,28782.6,14
53053,-122.144709,47.040716,188225.9,31
28047,-89.083376,30.416536,54309.8,3
10003,-75.644132,39.575915,27052.2,5
24045,-75.632206,38.367389,24132.2,2
36085,-74.137063,40.563855,34885.4,8
53029,-122.670503,48.158436,190312.7,7
2020,-149.274354,61.177549,305603.1,8
36063,-78.792143,43.456731,50286.6,3
36005,-73.852939,40.848711,36253.3,31
51760,-77.476009,37.531399,11600.1,22
51027,-82.038151,37.26812,21692.4,1
18059,-85.772904,39.822604,41732.3,2
42047,-78.653938,41.427334,37889.1,1
51121,-80.387314,37.174885,15186.3,1
51059,-77.276117,38.833743,18783.4,4
51730,-77.392368,37.20473,9665.2,2
45091,-81.183189,34.97019,14452,6
45007,-82.638086,34.519549,20766,4
48453,-97.69127,30.239513,89363.3,19
48157,-95.771015,29.526602,82827.7,14
37183,-78.650624,35.789846,513.8,20
48113,-96.778424,32.766987,79145,45
1089,-86.55108,34.764238,39392.1,11
8031,-104.880625,39.761849,107652.4,34
48071,-94.668875,29.703933,78597,2
18095,-85.722454,40.166203,43667.9,1
28149,-90.851791,32.357005,56247.8,1
48029,-98.520147,29.448671,92888,40
12001,-82.357221,29.67574,36059,4
18157,-86.893943,40.38926,47490.4,5
28121,-89.946552,32.262057,52529.8,5
35001,-106.669065,35.054002,114061.4,6
30081,-114.119065,46.079298,162492.9,2
40071,-97.143755,36.814842,83490.3,2
6013,-121.951543,37.919479,183137.9,27
53035,-122.649636,47.639687,189369.2,39
9001,-73.366757,41.228103,39991.4,9
53033,-121.832375,47.493554,184137.2,25
39133,-81.196932,41.16864,37618.6,3
51830,-76.706717,37.269293,14175,2
51137,-78.00998,38.250439,17289.5,1
51087,-77.300333,37.437521,11195.2,4
40109,-97.409401,35.554611,81109,23
6029,-118.729506,35.346629,163041,5
19013,-92.306059,42.472888,72425,6
25021,-71.179875,42.169703,50840.2,17
18069,-85.478598,40.826394,46015.9,2
1095,-86.321668,34.309564,39559.1,3
47103,-86.593388,35.142532,39534.2,1
34013,-74.246136,40.787217,35457,22
36069,-77.303277,42.856695,45375.8,11
37135,-79.119355,36.062499,3126,5
28099,-89.119274,32.752518,50651.5,1
51680,-79.195458,37.399016,11901.5,1
51107,-77.638857,39.08113,21012.3,3
12127,-81.161813,29.057617,38286.3,5
28127,-89.917707,31.902503,54389.2,1
13121,-84.468182,33.790034,28551.9,28
6097,-122.945194,38.532574,186533.4,2
East York CAN,-79.341667,43.6912,55118,69
51610,-77.174639,38.883787,18860.1,9
51685,-77.448681,38.768991,18379,5
51510,-77.082026,38.818343,18652,4
51175,-77.103856,36.720173,9382.1,1
51540,-78.485381,38.037658,16277.6,1
51683,-77.484727,38.747561,18188,3
2090,-146.599867,64.690832,297794.5,2
48209,-98.029267,30.061225,91630.5,4
36109,-76.473712,42.453281,43996.6,2
36081,-73.837929,40.658557,36529.5,21
54107,-81.515928,39.211679,27330.9,2
42077,-75.590627,40.614241,32816.4,2
22103,-89.951962,30.410022,58179.8,11
6041,-122.745974,38.051817,184700.6,9
48027,-97.481921,31.04211,85587.8,7
17025,-88.483789,38.747312,51055,1
42107,-76.2178,40.70369,32438.1,1
12073,-84.2778,30.45931,39282.9,4
48491,-97.605069,30.64903,87676.3,4
8035,-104.926199,39.326435,109463.9,4
36045,-76.053522,43.995371,51029.3,7
6045,-123.442881,39.432388,190834.7,1
24021,-77.397627,39.470427,22450.5,6
25015,-72.663694,42.339459,47649,3
39055,-81.173505,41.499322,39574.6,5
6095,-121.939594,38.267226,179704.8,8
42017,-75.10706,40.336887,32013.1,4
Vaughan CAN,-79.508278,43.837208,55421.7,29
28045,-89.47985,30.391437,55903.6,4
41017,-121.225575,43.915118,177694.3,4
55075,-87.991198,45.346899,74281.5,4
20201,-97.095611,39.776714,84168.4,1
Chatham-Kent CAN,-82.19104,42.404804,52222.2,3
46081,-103.796528,44.353669,114855.2,2
46103,-102.823802,44.002349,111211.2,3
51810,-76.02402,36.779322,14338.3,3
Mississauga CAN,-79.640579,43.59531,53747.3,37
26069,-82.849447,44.329482,59305.5,1
45015,-79.953655,33.2077,16905.2,2
25009,-70.865107,42.642711,53337.6,13
6073,-116.776117,33.023604,163743.6,78
51155,-80.713444,37.063385,14160.2,1
13057,-84.475057,34.244317,29431.2,8
24037,-76.534271,38.222666,19916.1,1
37077,-78.657634,36.299884,3938.5,2
41003,-123.426317,44.490623,189243.5,7
54061,-80.059074,39.633645,30213.9,2
18057,-86.020586,40.04987,43877.4,5
38089,-102.662026,46.817031,117229.6,1
38053,-103.403215,47.742475,122608.3,1
38035,-97.450851,47.926003,104626.5,5
38095,-99.248158,48.682183,113550.5,1
38069,-99.966497,48.238883,114855.6,1
38061,-102.364756,48.210291,121504.1,1
27155,-96.475049,45.76984,97357.4,1
38015,-100.462001,46.971843,111405.4,1
50017,-72.369687,44.003392,57210.6,2
24027,-76.924406,39.252264,22110.3,12
39045,-82.628276,39.752935,32043.3,2
37063,-78.877919,36.036589,2436.9,10
29161,-91.790349,37.866326,62624.2,2
20045,-95.290529,38.896573,74589.9,3
48479,-99.326641,27.770584,103366.9,6
37159,-80.525344,35.639218,9188.5,2
29510,-90.244582,38.635699,55033.5,33
17201,-89.161205,42.337396,62245.3,4
20079,-97.436707,38.050144,83925.7,1
20141,-98.767876,39.348649,89062.8,1
