FIPS,Lng,Lat,Duration,Density
26125,-83.38421,42.660452,21065.5,51
6037,-118.261862,34.196398,132244.1,152
26163,-83.261953,42.284664,19630.6,78
27053,-93.475185,45.006064,27791.1,32
24510,-76.610516,39.300214,48645.4,15
6081,-122.371542,37.414664,135743.3,43
17031,-87.645455,41.894294,1718.6,60
34027,-74.547427,40.858581,51951.8,10
17111,-88.452245,42.324298,3932.3,2
12103,-82.739518,27.903122,80893.2,9
5005,-92.330438,36.28071,39592.6,2
34017,-74.078627,40.731384,54169.8,16
36119,-73.745912,41.15277,56449.7,7
36093,-74.043583,42.817542,56583.4,4
12117,-81.13198,28.690079,79974,3
25023,-70.741942,41.987196,70844.5,7
18105,-86.523325,39.160751,17761.2,4
34023,-74.407585,40.439593,54072.4,8
36103,-72.692218,40.943554,60559.6,21
27037,-93.062481,44.670893,26781.5,9
34025,-74.152446,40.287056,55405.9,6
40143,-95.941731,36.120121,45578.1,21
1083,-86.9814,34.810239,39729.7,4
26121,-86.751892,43.289258,16658,3
12086,-80.499045,25.610494,94801.6,25
9005,-73.235428,41.791897,60573.5,13
4021,-111.367257,32.91891,116698.5,28
33011,-71.723101,42.911643,70643.9,33
34035,-74.61993,40.565522,52901.3,12
25017,-71.396507,42.479477,68942.8,30
18067,-86.114118,40.483537,13236.9,4
26049,-83.706372,43.021077,19850,48
39155,-80.767656,41.308936,28056.1,7
26145,-84.05541,43.328267,22712,18
11001,-77.017094,38.904149,48693.7,30
48201,-95.393037,29.857273,71512.9,72
23005,-70.330375,43.808348,76577.6,8
4015,-113.749689,35.717705,116389,3
44007,-71.578242,41.870488,66424.9,13
42049,-80.096386,42.117952,31558.5,5
4013,-112.495534,33.346541,115496.7,66
26161,-83.844634,42.252327,17695.5,28
25025,-71.020173,42.33196,68842.1,46
18089,-87.374337,41.472239,4920.5,6
36055,-77.664656,43.464475,43251.7,24
26159,-86.305697,42.283986,10079.3,18
44005,-71.284063,41.502732,67805.9,3
17177,-89.665994,42.349726,7500.6,1
42015,-76.502124,41.791495,47886.6,1
26081,-85.547446,43.032497,14552.8,41
12031,-81.648113,30.335245,72389.3,13
34005,-74.663006,39.875786,54130.9,4
42081,-77.055253,41.343624,43422.3,1
17043,-88.086038,41.852058,2205.1,13
55087,-88.464988,44.418226,13773.9,2
50027,-72.591515,43.588143,66955,1
25013,-72.635648,42.136198,63313.4,7
42095,-75.307447,40.752791,50189.9,4
42029,-75.749732,39.973965,50505.6,6
25027,-71.940282,42.311693,66248.2,20
42101,-75.133346,40.009376,51831.6,36
12011,-80.476658,26.19352,92074.3,35
6087,-122.007205,37.012488,136703.1,23
51600,-77.299025,38.853183,48896.8,8
42003,-79.98092,40.46892,32434,22
48167,-94.894865,29.228706,75517.1,6
39035,-81.724217,41.760392,25580.6,20
51650,-76.297149,37.04803,60766,2
Windsor CAN,-83.026772,42.317432,20828.3,134
9011,-72.103452,41.47863,63751.4,6
39049,-83.008258,39.969447,24984.8,26
33013,-71.68013,43.299485,71198.3,13
18141,-86.288159,41.617699,8733.1,14
34039,-74.308696,40.659871,53826.6,8
39061,-84.544187,39.196927,21489.1,8
36017,-75.604905,42.489732,52003.4,1
48231,-96.083807,33.123438,59787.4,1
9003,-72.732916,41.806053,61861.8,28
39025,-84.149614,39.052084,24439.1,1
8069,-105.482131,40.663091,71547.5,3
24003,-76.560511,38.993374,49819,7
19103,-91.588812,41.668737,15606.8,1
55043,-90.695368,42.870062,14527.3,1
9013,-72.340977,41.858076,62948,6
36067,-76.196117,43.00653,48400.9,3
12099,-80.448673,26.645763,90970.3,16
12085,-80.398211,27.079954,88634.1,4
12095,-81.323295,28.514435,78606.4,28
Markham CAN,-79.337021,43.856098,37425.6,26
26099,-82.910869,42.671467,22872.1,36
34007,-74.961251,39.802352,53261.8,7
25005,-71.087062,41.748576,69880,5
33005,-72.248217,42.925455,66795.4,3
48141,-106.241391,31.766403,97230.4,23
34041,-75.009542,40.853524,50453.7,5
26061,-88.652066,46.998305,31401.1,8
42131,-76.00878,41.525137,49810.6,1
34031,-74.300308,41.033763,53389.1,6
42133,-76.728446,39.921839,46856.7,1
9009,-72.900204,41.349717,60356,15
36089,-75.074311,44.488113,56039,5
6055,-122.325995,38.507351,132549.7,7
12009,-80.700384,28.298276,81752.5,11
18097,-86.135794,39.782976,14313.9,14
9007,-72.524227,41.434525,62557.4,8
26115,-83.487106,41.916097,19943.4,9
33015,-71.099437,42.98936,72120.7,12
36001,-73.974014,42.588271,57817.6,6
6085,-121.690622,37.220777,136854.7,30
26165,-85.570046,44.331375,20350.1,6
55133,-88.306707,43.019308,7360.5,32
36059,-73.589384,40.729687,56408.5,50
42091,-75.370201,40.209999,51413.1,9
39099,-80.770396,41.01088,28604.1,6
39173,-83.622682,41.360183,18484.5,2
45045,-82.372077,34.892645,49786.7,9
42115,-75.800969,41.819665,51267.3,1
34021,-74.703724,40.282503,53638.7,20
6067,-121.340441,38.450011,127026.2,26
Longueuil CAN,-73.510712,45.536945,61731.9,43
6001,-121.913304,37.648081,132611.1,24
42123,-79.313173,41.843669,35747.1,2
17161,-90.572203,41.468404,11972.5,2
34033,-75.357356,39.573828,53961.3,1
48439,-97.291291,32.77204,64028.3,19
33017,-71.035927,43.293177,74355.9,7
36061,-73.970174,40.776557,54726.7,28
36047,-73.950777,40.635133,55624.3,20
54045,-81.940853,37.830591,38899.6,1
37009,-81.49877,36.436305,47489.8,1
51179,-77.459043,38.418933,51687.5,1
36037,-78.192778,43.00091,40418.3,3
45019,-79.94248,32.800458,62745.2,8
