FIPS,Lng,Lat,Duration,Density
26125,-83.38421,42.660452,3304080.9,51
6037,-118.261862,34.196398,182011.8,152
26163,-83.261953,42.284664,3294088.8,78
27053,-93.475185,45.006064,2595488.9,32
24510,-76.610516,39.300214,3753662.1,15
6081,-122.371542,37.414664,708035,43
17031,-87.645455,41.894294,2977215.3,60
34027,-74.547427,40.858581,3908725.6,10
17111,-88.452245,42.324298,2936505.6,2
12103,-82.739518,27.903122,3463783,9
5005,-92.330438,36.28071,2421619.9,2
34017,-74.078627,40.731384,3947854.1,16
36119,-73.745912,41.15277,3988088.2,7
36093,-74.043583,42.817542,3935066.4,4
12117,-81.13198,28.690079,3478550.8,3
25023,-70.741942,41.987196,4220222.4,7
18105,-86.523325,39.160751,2921799.1,4
34023,-74.407585,40.439593,3924499.1,8
36103,-72.692218,40.943554,4058762.2,21
27037,-93.062481,44.670893,2622712.6,9
34025,-74.152446,40.287056,3950301.5,6
40143,-95.941731,36.120121,2118558.5,21
1083,-86.9814,34.810239,2841387.7,4
26121,-86.751892,43.289258,3016876.4,3
12086,-80.499045,25.610494,3785571.8,25
9005,-73.235428,41.791897,4031519.1,13
4021,-111.367257,32.91891,559648.9,28
33011,-71.723101,42.911643,4125038.5,33
34035,-74.61993,40.565522,3902328.8,12
25017,-71.396507,42.479477,4157459.4,30
18067,-86.114118,40.483537,2988399,4
26049,-83.706372,43.021077,3291444.8,48
39155,-80.767656,41.308936,3401263.5,7
26145,-84.05541,43.328267,3306643.8,18
11001,-77.017094,38.904149,3753329.6,30
48201,-95.393037,29.857273,2069824.6,72
23005,-70.330375,43.808348,4263689.8,8
4015,-113.749689,35.717705,582181.8,3
44007,-71.578242,41.870488,4157281.5,13
42049,-80.096386,42.117952,3476571.4,5
4013,-112.495534,33.346541,459881.6,66
26161,-83.844634,42.252327,3251395.3,28
25025,-71.020173,42.33196,4183447.3,46
18089,-87.374337,41.472239,2976035.8,6
36055,-77.664656,43.464475,3666730.9,24
26159,-86.305697,42.283986,3093175.2,18
44005,-71.284063,41.502732,4132839.3,3
17177,-89.665994,42.349726,2861265.3,1
42015,-76.502124,41.791495,3749733.5,1
26081,-85.547446,43.032497,3199533.7,41
12031,-81.648113,30.335245,3363453.6,13
34005,-74.663006,39.875786,3927685.9,4
42081,-77.055253,41.343624,3700935.9,1
17043,-88.086038,41.852058,2946280.7,13
55087,-88.464988,44.418226,2967967.9,2
50027,-72.591515,43.588143,4084287.3,1
25013,-72.635648,42.136198,4065276.8,7
42095,-75.307447,40.752791,3844269,4
42029,-75.749732,39.973965,3838814.4,6
25027,-71.940282,42.311693,4117801.3,20
42101,-75.133346,40.009376,3888158.9,36
12011,-80.476658,26.19352,3731949.3,35
6087,-122.007205,37.012488,651762.4,23
51600,-77.299025,38.853183,3740282.5,8
42003,-79.98092,40.46892,3453659.3,22
48167,-94.894865,29.228706,2149126.7,6
39035,-81.724217,41.760392,3357620.2,20
51650,-76.297149,37.04803,3904473.7,2
Windsor CAN,-83.026772,42.317432,3331142.8,134
9011,-72.103452,41.47863,4115367.6,6
39049,-83.008258,39.969447,3204643.1,26
33013,-71.68013,43.299485,4139191.2,13
18141,-86.288159,41.617699,3055581.1,14
34039,-74.308696,40.659871,3927356.4,8
39061,-84.544187,39.196927,3085023.6,8
36017,-75.604905,42.489732,3832681,1
48231,-96.083807,33.123438,1939479,1
9003,-72.732916,41.806053,4086423.1,28
39025,-84.149614,39.052084,3122560.1,1
8069,-105.482131,40.663091,1621527.2,3
24003,-76.560511,38.993374,3773882.7,7
19103,-91.588812,41.668737,2655002.4,1
55043,-90.695368,42.870062,2784970.2,1
9013,-72.340977,41.858076,4103444.2,6
36067,-76.196117,43.00653,3786584.8,3
12099,-80.448673,26.645763,3667134,16
12085,-80.398211,27.079954,3638584.9,4
12095,-81.323295,28.514435,3470126.6,28
Markham CAN,-79.337021,43.856098,3586334.7,26
26099,-82.910869,42.671467,3334070.1,36
34007,-74.961251,39.802352,3909506.4,7
25005,-71.087062,41.748576,4139429.6,5
33005,-72.248217,42.925455,4079197.9,3
48141,-106.241391,31.766403,1060075.9,23
34041,-75.009542,40.853524,3870795.3,5
26061,-88.652066,46.998305,3057816.1,8
42131,-76.00878,41.525137,3801404,1
34031,-74.300308,41.033763,3935711.6,6
42133,-76.728446,39.921839,3750009.1,1
9009,-72.900204,41.349717,4063502.2,15
36089,-75.074311,44.488113,3910966.9,5
6055,-122.325995,38.507351,795788.7,7
12009,-80.700384,28.298276,3532464.6,11
18097,-86.135794,39.782976,2971819,14
9007,-72.524227,41.434525,4094741.7,8
26115,-83.487106,41.916097,3255371.9,9
33015,-71.099437,42.98936,4175075.3,12
36001,-73.974014,42.588271,3949544.9,6
6085,-121.690622,37.220777,648525.7,30
26165,-85.570046,44.331375,3157081,6
55133,-88.306707,43.019308,2952976.7,32
36059,-73.589384,40.729687,3983981.6,50
42091,-75.370201,40.209999,3862874.4,9
39099,-80.770396,41.01088,3389645.7,6
39173,-83.622682,41.360183,3208773.2,2
45045,-82.372077,34.892645,3306258.4,9
42115,-75.800969,41.819665,3806474.6,1
34021,-74.703724,40.282503,3912301,20
6067,-121.340441,38.450011,734023.1,26
Longueuil CAN,-73.510712,45.536945,4027581.5,43
6001,-121.913304,37.648081,712832.2,24
42123,-79.313173,41.843669,3523120.9,2
17161,-90.572203,41.468404,2787378.8,2
34033,-75.357356,39.573828,3933686.8,1
48439,-97.291291,32.77204,1830039.6,19
33017,-71.035927,43.293177,4183321,7
36061,-73.970174,40.776557,3956827.7,28
36047,-73.950777,40.635133,3960969.9,20
54045,-81.940853,37.830591,3339841.7,1
37009,-81.49877,36.436305,3365687.4,1
51179,-77.459043,38.418933,3756410.3,1
36037,-78.192778,43.00091,3621594.9,3
45019,-79.94248,32.800458,3505064.3,8
45073,-83.061522,34.748759,3244079.9,2
51740,-76.356269,36.85943,3806131.8,4
51041,-77.585847,37.378434,3698150.9,8
12019,-81.858147,29.987116,3350288.4,1
5119,-92.316515,34.773988,2362974.6,12
42045,-75.398786,39.91667,3871350.5,14
53053,-122.144709,47.040716,1760863.2,31
28047,-89.083376,30.416536,2688386.4,3
10003,-75.644132,39.575915,3850662.3,5
24045,-75.632206,38.367389,3940443.9,2
36085,-74.137063,40.563855,3950535.9,8
