FIPS,Lng,Lat,Duration,Density
26125,-83.38421,42.660452,3180490.6,51
6037,-118.261862,34.196398,625861.8,152
26163,-83.261953,42.284664,3207037.5,78
27053,-93.475185,45.006064,2567910,32
24510,-76.610516,39.300214,3875978.8,15
6081,-122.371542,37.414664,119289.5,43
17031,-87.645455,41.894294,3004736.8,60
34027,-74.547427,40.858581,4046789.9,10
17111,-88.452245,42.324298,2933890.2,2
12103,-82.739518,27.903122,4189885.6,9
5005,-92.330438,36.28071,2897029.7,2
34017,-74.078627,40.731384,4085918.4,16
36119,-73.745912,41.15277,4126152.5,7
36093,-74.043583,42.817542,4051070.9,4
12117,-81.13198,28.690079,4204653.4,3
25023,-70.741942,41.987196,4336226.9,7
18105,-86.523325,39.160751,3172093.2,4
34023,-74.407585,40.439593,4062563.4,8
36103,-72.692218,40.943554,4196826.5,21
27037,-93.062481,44.670893,2595133.7,9
34025,-74.152446,40.287056,4088365.8,6
40143,-95.941731,36.120121,2581545.9,21
1083,-86.9814,34.810239,3389902.9,4
26121,-86.751892,43.289258,2989297.5,3
12086,-80.499045,25.610494,4511674.4,25
9005,-73.235428,41.791897,4150910,13
4021,-111.367257,32.91891,1263177.4,28
33011,-71.723101,42.911643,4241043,33
34035,-74.61993,40.565522,4040393.1,12
25017,-71.396507,42.479477,4273463.9,30
18067,-86.114118,40.483537,3090300.9,4
26049,-83.706372,43.021077,3159192.1,48
39155,-80.767656,41.308936,3527008.3,7
26145,-84.05541,43.328267,3130054.3,18
11001,-77.017094,38.904149,3871038.7,30
48201,-95.393037,29.857273,2775112.5,72
23005,-70.330375,43.808348,4379694.3,8
4015,-113.749689,35.717705,1045169.2,3
44007,-71.578242,41.870488,4273286,13
42049,-80.096386,42.117952,3592575.9,5
4013,-112.495534,33.346541,1141608.9,66
26161,-83.844634,42.252327,3180524,28
25025,-71.020173,42.33196,4299451.8,46
18089,-87.374337,41.472239,3049564.7,6
36055,-77.664656,43.464475,3781425.1,24
26159,-86.305697,42.283986,3152094.5,18
44005,-71.284063,41.502732,4270903.6,3
17177,-89.665994,42.349726,2839381.6,1
42015,-76.502124,41.791495,3874845,1
26081,-85.547446,43.032497,3023186.6,41
12031,-81.648113,30.335245,4049925.4,13
34005,-74.663006,39.875786,4027103.8,4
42081,-77.055253,41.343624,3839000.2,1
17043,-88.086038,41.852058,2974793.1,13
55087,-88.464988,44.418226,2940389,2
50027,-72.591515,43.588143,4200291.8,1
25013,-72.635648,42.136198,4181281.3,7
42095,-75.307447,40.752791,3982333.3,4
42029,-75.749732,39.973965,3938232.3,6
25027,-71.940282,42.311693,4233805.8,20
42101,-75.133346,40.009376,3987576.8,36
12011,-80.476658,26.19352,4458051.9,35
6087,-122.007205,37.012488,169877.6,23
51600,-77.299025,38.853183,3866109.9,8
42003,-79.98092,40.46892,3551666.8,22
48167,-94.894865,29.228706,2854414.6,6
39035,-81.724217,41.760392,3473624.7,20
51650,-76.297149,37.04803,4038532.4,2
Windsor CAN,-83.026772,42.317432,3445837,134
9011,-72.103452,41.47863,4262790.5,6
39049,-83.008258,39.969447,3333425.8,26
33013,-71.68013,43.299485,4255195.7,13
18141,-86.288159,41.617699,3121489.5,14
34039,-74.308696,40.659871,4065420.7,8
39061,-84.544187,39.196927,3327935.6,8
36017,-75.604905,42.489732,3948685.5,1
48231,-96.083807,33.123438,2633211.1,1
9003,-72.732916,41.806053,4202427.6,28
39025,-84.149614,39.052084,3379666.5,1
8069,-105.482131,40.663091,1656485.6,3
24003,-76.560511,38.993374,3896199.4,7
19103,-91.588812,41.668737,2623918.2,1
55043,-90.695368,42.870062,2757391.3,1
9013,-72.340977,41.858076,4219448.7,6
36067,-76.196117,43.00653,3902589.3,3
12099,-80.448673,26.645763,4393236.6,16
12085,-80.398211,27.079954,4364687.5,4
12095,-81.323295,28.514435,4196229.2,28
Markham CAN,-79.337021,43.856098,3701028.9,26
26099,-82.910869,42.671467,3221173.1,36
34007,-74.961251,39.802352,4008924.3,7
25005,-71.087062,41.748576,4319295.7,5
33005,-72.248217,42.925455,4195202.4,3
48141,-106.241391,31.766403,1764875.6,23
34041,-75.009542,40.853524,4008859.6,5
26061,-88.652066,46.998305,3030237.2,8
42131,-76.00878,41.525137,3928361.3,1
34031,-74.300308,41.033763,4073775.9,6
42133,-76.728446,39.921839,3849427,1
9009,-72.900204,41.349717,4201566.5,15
36089,-75.074311,44.488113,4025661.1,5
6055,-122.325995,38.507351,110393.6,7
12009,-80.700384,28.298276,4258567.2,11
18097,-86.135794,39.782976,3194717.3,14
9007,-72.524227,41.434525,4232806,8
26115,-83.487106,41.916097,3224055.8,9
33015,-71.099437,42.98936,4291079.8,12
36001,-73.974014,42.588271,4065549.4,6
6085,-121.690622,37.220777,159439.7,30
26165,-85.570046,44.331375,3129502.1,6
55133,-88.306707,43.019308,2925397.8,32
36059,-73.589384,40.729687,4122045.9,50
42091,-75.370201,40.209999,3962292.3,9
39099,-80.770396,41.01088,3479106.1,6
39173,-83.622682,41.360183,3314926.4,2
45045,-82.372077,34.892645,3869250,9
42115,-75.800969,41.819665,3931586.1,1
34021,-74.703724,40.282503,4050365.3,20
6067,-121.340441,38.450011,195375.1,26
Longueuil CAN,-73.510712,45.536945,4142275.7,43
6001,-121.913304,37.648081,118893.1,24
42123,-79.313173,41.843669,3639775.6,2
17161,-90.572203,41.468404,2703085.7,2
34033,-75.357356,39.573828,4033104.7,1
48439,-97.291291,32.77204,2540446.8,19
33017,-71.035927,43.293177,4299325.5,7
36061,-73.970174,40.776557,4094892,28
36047,-73.950777,40.635133,4099034.2,20
54045,-81.940853,37.830591,3632290,1
37009,-81.49877,36.436305,3768930.4,1
51179,-77.459043,38.418933,3872512.2,1
36037,-78.192778,43.00091,3736289.1,3
45019,-79.94248,32.800458,4053579.5,8
45073,-83.061522,34.748759,3807071.5,2
51740,-76.356269,36.85943,4075564.3,4
51041,-77.585847,37.378434,3930395,8
12019,-81.858147,29.987116,4057839.8,1
5119,-92.316515,34.773988,2911489.8,12
42045,-75.398786,39.91667,3970768.4,14
53053,-122.144709,47.040716,1209696.6,31
28047,-89.083376,30.416536,3407082.1,3
