FIPS,Lng,Lat,Duration,Density
26125,-83.38421,42.660452,3092523.2,51
6037,-118.261862,34.196398,1676253,152
26163,-83.261953,42.284664,3123408.9,78
27053,-93.475185,45.006064,2331871.9,32
24510,-76.610516,39.300214,3798815.9,15
6081,-122.371542,37.414664,1207769,43
17031,-87.645455,41.894294,2905760.8,60
34027,-74.547427,40.858581,3901537,10
17111,-88.452245,42.324298,2827904,2
12103,-82.739518,27.903122,4250990,9
5005,-92.330438,36.28071,2922819.5,2
34017,-74.078627,40.731384,3940665.5,16
36119,-73.745912,41.15277,3980899.6,7
36093,-74.043583,42.817542,3905818,4
12117,-81.13198,28.690079,4265757.8,3
25023,-70.741942,41.987196,4190974,7
18105,-86.523325,39.160751,3195198,4
34023,-74.407585,40.439593,3917310.5,8
36103,-72.692218,40.943554,4051573.6,21
27037,-93.062481,44.670893,2368651.8,9
34025,-74.152446,40.287056,3943112.9,6
40143,-95.941731,36.120121,2672911.9,21
1083,-86.9814,34.810239,3441175,4
26121,-86.751892,43.289258,2871712.8,3
12086,-80.499045,25.610494,4572778.8,25
9005,-73.235428,41.791897,4005657.1,13
4021,-111.367257,32.91891,2048519.4,28
33011,-71.723101,42.911643,4095790.1,33
34035,-74.61993,40.565522,3895140.2,12
25017,-71.396507,42.479477,4128211,30
18067,-86.114118,40.483537,3105568.8,4
26049,-83.706372,43.021077,3046618.1,48
39155,-80.767656,41.308936,3381755.4,7
26145,-84.05541,43.328267,3021415.3,18
11001,-77.017094,38.904149,3792015.1,30
48201,-95.393037,29.857273,3212503.7,72
23005,-70.330375,43.808348,4234441.4,8
4015,-113.749689,35.717705,1850547.6,3
44007,-71.578242,41.870488,4128033.1,13
42049,-80.096386,42.117952,3447323,5
4013,-112.495534,33.346541,2020964.4,66
26161,-83.844634,42.252327,3096895.4,28
25025,-71.020173,42.33196,4154198.9,46
18089,-87.374337,41.472239,2955630.9,6
36055,-77.664656,43.464475,3636172.2,24
26159,-86.305697,42.283986,2986234.5,18
