FIPS,Lng,Lat,Duration,Density
26125,-83.38421,42.660452,37440.3,51
6037,-118.261862,34.196398,119248.7,152
26163,-83.261953,42.284664,35605.3,78
27053,-93.475185,45.006064,39224.8,32
24510,-76.610516,39.300214,55721.4,15
6081,-122.371542,37.414664,131420.4,43
17031,-87.645455,41.894294,20245.7,60
34027,-74.547427,40.858581,63495.2,10
17111,-88.452245,42.324298,22097,2
12103,-82.739518,27.903122,68204.8,9
5005,-92.330438,36.28071,19438.8,2
34017,-74.078627,40.731384,65713.2,16
36119,-73.745912,41.15277,67993.1,7
36093,-74.043583,42.817542,69199,4
12117,-81.13198,28.690079,67285.6,3
25023,-70.741942,41.987196,82387.9,7
18105,-86.523325,39.160751,16439.3,4
34023,-74.407585,40.439593,64241,8
36103,-72.692218,40.943554,72103,21
27037,-93.062481,44.670893,36803.7,9
34025,-74.152446,40.287056,64613.2,6
40143,-95.941731,36.120121,25424.3,21
1083,-86.9814,34.810239,27041.3,4
26121,-86.751892,43.289258,33032.8,3
12086,-80.499045,25.610494,82113.2,25
9005,-73.235428,41.791897,72116.9,13
4021,-111.367257,32.91891,96544.7,28
33011,-71.723101,42.911643,82813.4,33
34035,-74.61993,40.565522,63918.5,12
25017,-71.396507,42.479477,80486.2,30
18067,-86.114118,40.483537,21234.4,4
26049,-83.706372,43.021077,36224.8,48
39155,-80.767656,41.308936,40268.4,7
26145,-84.05541,43.328267,39086.8,18
11001,-77.017094,38.904149,55769.7,30
48201,-95.393037,29.857273,51733.2,72
23005,-70.330375,43.808348,88121,8
4015,-113.749689,35.717705,96235.2,3
44007,-71.578242,41.870488,77968.3,13
42049,-80.096386,42.117952,44174.1,5
4013,-112.495534,33.346541,95342.9,66
26161,-83.844634,42.252327,34070.3,28
25025,-71.020173,42.33196,80385.5,46
18089,-87.374337,41.472239,20678.9,6
36055,-77.664656,43.464475,56349.3,24
26159,-86.305697,42.283986,26454.1,18
44005,-71.284063,41.502732,79349.3,3
17177,-89.665994,42.349726,22076.6,1
42015,-76.502124,41.791495,59430,1
26081,-85.547446,43.032497,30927.6,41
12031,-81.648113,30.335245,59700.9,13
34005,-74.663006,39.875786,62996,4
42081,-77.055253,41.343624,54965.7,1
17043,-88.086038,41.852058,19523.3,13
55087,-88.464988,44.418226,32283.7,2
50027,-72.591515,43.588143,79570.6,1
25013,-72.635648,42.136198,75489.5,7
42095,-75.307447,40.752791,61081.3,4
42029,-75.749732,39.973965,59370.7,6
25027,-71.940282,42.311693,77791.6,20
42101,-75.133346,40.009376,60696.7,36
12011,-80.476658,26.19352,79385.9,35
6087,-122.007205,37.012488,132380.2,23
51600,-77.299025,38.853183,55595.6,8
42003,-79.98092,40.46892,41250.4,22
48167,-94.894865,29.228706,55737.4,6
39035,-81.724217,41.760392,38594.6,20
51650,-76.297149,37.04803,60232,2
Windsor CAN,-83.026772,42.317432,36190.4,134
9011,-72.103452,41.47863,75294.8,6
39049,-83.008258,39.969447,28173.9,26
33013,-71.68013,43.299485,83813.9,13
18141,-86.288159,41.617699,25107.9,14
34039,-74.308696,40.659871,65141.3,8
39061,-84.544187,39.196927,23451.3,8
36017,-75.604905,42.489732,64619,1
48231,-96.083807,33.123438,40007.7,1
