FIPS,Lng,Lat,Duration,Density
26125,-83.38421,42.660452,80610.9,51
6037,-118.261862,34.196398,165072.8,152
26163,-83.261953,42.284664,78350.9,78
27053,-93.475185,45.006064,106061.9,32
24510,-76.610516,39.300214,64680.1,15
6081,-122.371542,37.414664,185074.3,43
17031,-87.645455,41.894294,78324.7,60
34027,-74.547427,40.858581,78905.4,10
17111,-88.452245,42.324298,83031.4,2
12103,-82.739518,27.903122,1808.1,9
5005,-92.330438,36.28071,68503.1,2
34017,-74.078627,40.731384,77298.1,16
36119,-73.745912,41.15277,80157.2,7
36093,-74.043583,42.817542,88879.8,4
12117,-81.13198,28.690079,7940.2,3
25023,-70.741942,41.987196,94611.2,7
18105,-86.523325,39.160751,63891.6,4
34023,-74.407585,40.439593,75754.7,8
36103,-72.692218,40.943554,84206.6,21
27037,-93.062481,44.670893,103663.5,9
34025,-74.152446,40.287056,76126.9,6
40143,-95.941731,36.120121,78839.9,21
1083,-86.9814,34.810239,44849,4
26121,-86.751892,43.289258,86793.5,3
12086,-80.499045,25.610494,19264.5,25
9005,-73.235428,41.791897,85273.5,13
4021,-111.367257,32.91891,133786.3,28
33011,-71.723101,42.911643,95741.8,33
34035,-74.61993,40.565522,76200,12
25017,-71.396507,42.479477,93414.6,30
18067,-86.114118,40.483537,70161.9,4
26049,-83.706372,43.021077,81296.8,48
39155,-80.767656,41.308936,74875.2,7
26145,-84.05541,43.328267,85093.9,18
11001,-77.017094,38.904149,61307.9,30
48201,-95.393037,29.857273,64902,72
23005,-70.330375,43.808348,101049.4,8
4015,-113.749689,35.717705,145873.7,3
44007,-71.578242,41.870488,90320.9,13
42049,-80.096386,42.117952,78065.6,5
4013,-112.495534,33.346541,137821.6,66
26161,-83.844634,42.252327,78182.9,28
25025,-71.020173,42.33196,93313.9,46
18089,-87.374337,41.472239,75210.5,6
36055,-77.664656,43.464475,90371.4,24
26159,-86.305697,42.283986,80214.8,18
44005,-71.284063,41.502732,91510.2,3
17177,-89.665994,42.349726,85352.6,1
42015,-76.502124,41.791495,82094.5,1
26081,-85.547446,43.032497,84688.3,41
12031,-81.648113,30.335245,14654.7,13
34005,-74.663006,39.875786,73437,4
42081,-77.055253,41.343624,78678.7,1
17043,-88.086038,41.852058,79956.6,13
55087,-88.464988,44.418226,92340.8,2
50027,-72.591515,43.588143,97857.7,1
25013,-72.635648,42.136198,88542.4,7
42095,-75.307447,40.752791,76441.3,4
42029,-75.749732,39.973965,71034.8,6
25027,-71.940282,42.311693,90720,20
42101,-75.133346,40.009376,72369.9,36
12011,-80.476658,26.19352,16411.6,35
6087,-122.007205,37.012488,182260.8,23
51600,-77.299025,38.853183,60943.4,8
42003,-79.98092,40.46892,70346,22
48167,-94.894865,29.228706,66448.1,6
39035,-81.724217,41.760392,74832.6,20
51650,-76.297149,37.04803,55934.4,2
Windsor CAN,-83.026772,42.317432,78936,134
9011,-72.103452,41.47863,87455.7,6
39049,-83.008258,39.969447,68357.7,26
33013,-71.68013,43.299485,98550.6,13
18141,-86.288159,41.617699,76272.9,14
34039,-74.308696,40.659871,76776.6,8
39061,-84.544187,39.196927,61265.9,8
36017,-75.604905,42.489732,85625.1,1
48231,-96.083807,33.123438,73707.3,1
9003,-72.732916,41.806053,86561.8,28
39025,-84.149614,39.052084,62740.3,1
8069,-105.482131,40.663091,132383.5,3
24003,-76.560511,38.993374,63540.7,7
19103,-91.588812,41.668737,85466.1,1
55043,-90.695368,42.870062,90200.8,1
9013,-72.340977,41.858076,87419.8,6
36067,-76.196117,43.00653,88260.4,3
12099,-80.448673,26.645763,17183.9,16
12085,-80.398211,27.079954,15029.6,4
12095,-81.323295,28.514435,6572.6,28
Markham CAN,-79.337021,43.856098,93047.8,26
26099,-82.910869,42.671467,81248.9,36
34007,-74.961251,39.802352,72214.5,7
25005,-71.087062,41.748576,93646.7,5
33005,-72.248217,42.925455,94046.9,3
48141,-106.241391,31.766403,108096.7,23
34041,-75.009542,40.853524,78013.3,5
26061,-88.652066,46.998305,109968,8
42131,-76.00878,41.525137,80602.1,1
34031,-74.300308,41.033763,79016.7,6
42133,-76.728446,39.921839,68252.9,1
9009,-72.900204,41.349717,84060.3,15
36089,-75.074311,44.488113,98316.3,5
6055,-122.325995,38.507351,188138.7,7
12009,-80.700384,28.298276,9021.2,11
18097,-86.135794,39.782976,65625.3,14
9007,-72.524227,41.434525,86914.7,8
26115,-83.487106,41.916097,76663.3,9
33015,-71.099437,42.98936,96592.5,12
36001,-73.974014,42.588271,88130.9,6
6085,-121.690622,37.220777,182389.6,30
26165,-85.570046,44.331375,90485.6,6
55133,-88.306707,43.019308,86024.2,32
36059,-73.589384,40.729687,80064.8,50
42091,-75.370201,40.209999,73262.2,9
39099,-80.770396,41.01088,73587.8,6
39173,-83.622682,41.360183,73014.7,2
45045,-82.372077,34.892645,39781,9
42115,-75.800969,41.819665,81791.5,1
34021,-74.703724,40.282503,74431.3,20
6067,-121.340441,38.450011,182899.4,26
Longueuil CAN,-73.510712,45.536945,103030.2,43
6001,-121.913304,37.648081,181995.9,24
42123,-79.313173,41.843669,80143.7,2
17161,-90.572203,41.468404,82729.5,2
34033,-75.357356,39.573828,71072.4,1
48439,-97.291291,32.77204,75927.1,19
33017,-71.035927,43.293177,98869.9,7
36061,-73.970174,40.776557,78340.1,28
36047,-73.950777,40.635133,78322.5,20
54045,-81.940853,37.830591,58979.4,1
37009,-81.49877,36.436305,48585.5,1
51179,-77.459043,38.418933,58278.8,1
36037,-78.192778,43.00091,87056,3
45019,-79.94248,32.800458,31009.1,8
45073,-83.061522,34.748759,37997.1,2
51740,-76.356269,36.85943,54817.5,4
51041,-77.585847,37.378434,54339.1,8
12019,-81.858147,29.987116,12427.4,1
5119,-92.316515,34.773988,63221.2,12
42045,-75.398786,39.91667,70993.6,14
53053,-122.144709,47.040716,201865.5,31
28047,-89.083376,30.416536,38442.4,3
10003,-75.644132,39.575915,69263.2,5
24045,-75.632206,38.367389,66095.3,2
36085,-74.137063,40.563855,77096.4,8
53029,-122.670503,48.158436,204174.1,7
2020,-149.274354,61.177549,327358.7,8
36063,-78.792143,43.456731,87519.1,3
36005,-73.852939,40.848711,78464.3,31
51760,-77.476009,37.531399,53931.8,22
51027,-82.038151,37.26812,56984.9,1
18059,-85.772904,39.822604,66978.7,2
42047,-78.653938,41.427334,79326.3,1
51121,-80.387314,37.174885,51006,1
51059,-77.276117,38.833743,60994.4,4
51730,-77.392368,37.20473,51873.5,2
45091,-81.183189,34.97019,38763.3,6
45007,-82.638086,34.519549,38146.2,4
48453,-97.69127,30.239513,74756.7,19
48157,-95.771015,29.526602,66960.3,14
37183,-78.650624,35.789846,44290.3,20
48113,-96.778424,32.766987,73631.1,45
1089,-86.55108,34.764238,43878.4,11
8031,-104.880625,39.761849,119744.4,34
48071,-94.668875,29.703933,62729.6,2
18095,-85.722454,40.166203,69432.5,1
28149,-90.851791,32.357005,50733.9,1
48029,-98.520147,29.448671,77020.6,40
12001,-82.357221,29.67574,9303.6,4
18157,-86.893943,40.38926,70074.3,5
28121,-89.946552,32.262057,48004.4,5
35001,-106.669065,35.054002,115142.7,6
30081,-114.119065,46.079298,177152.2,2
40071,-97.143755,36.814842,86518.8,2
6013,-121.951543,37.919479,184570,27
53035,-122.649636,47.639687,203230.6,39
9001,-73.366757,41.228103,82202.4,9
53033,-121.832375,47.493554,197998.6,25
39133,-81.196932,41.16864,72911.1,3
51830,-76.706717,37.269293,56198.3,2
51137,-78.00998,38.250439,59621.2,1
51087,-77.300333,37.437521,53176.2,4
40109,-97.409401,35.554611,84137.5,23
6029,-118.729506,35.346629,164122.3,5
19013,-92.306059,42.472888,90515.5,6
25021,-71.179875,42.169703,93051.2,17
18069,-85.478598,40.826394,72264.3,2
1095,-86.321668,34.309564,41364.5,3
47103,-86.593388,35.142532,44781.9,1
34013,-74.246136,40.787217,77668,22
36069,-77.303277,42.856695,87586.8,11
37135,-79.119355,36.062499,46805.3,5
28099,-89.119274,32.752518,46641.3,1
51680,-79.195458,37.399016,53302.1,1
51107,-77.638857,39.08113,63223.3,3
12127,-81.161813,29.057617,9434.5,5
28127,-89.917707,31.902503,46241,1
13121,-84.468182,33.790034,30650.9,28
6097,-122.945194,38.532574,190291.7,2
East York CAN,-79.341667,43.6912,92196.7,69
51610,-77.174639,38.883787,61071.1,9
51685,-77.448681,38.768991,60590,5
51510,-77.082026,38.818343,60863,4
51175,-77.103856,36.720173,51345.2,1
51540,-78.485381,38.037658,57910.7,1
51683,-77.484727,38.747561,60399,3
2090,-146.599867,64.690832,319550.1,2
48209,-98.029267,30.061225,76980.3,4
36109,-76.473712,42.453281,86207.6,2
36081,-73.837929,40.658557,78740.5,21
54107,-81.515928,39.211679,62623.4,2
42077,-75.590627,40.614241,75027.4,2
22103,-89.951962,30.410022,42312.4,11
6041,-122.745974,38.051817,187224.7,9
48027,-97.481921,31.04211,78187.2,7
17025,-88.483789,38.747312,64335.6,1
42107,-76.2178,40.70369,74649.1,1
12073,-84.2778,30.45931,18337,4
48491,-97.605069,30.64903,76381.7,4
8035,-104.926199,39.326435,121555.9,4
36045,-76.053522,43.995371,93240.3,7
6045,-123.442881,39.432388,196450.1,1
24021,-77.397627,39.470427,64661.5,6
25015,-72.663694,42.339459,89860,3
39055,-81.173505,41.499322,74867.1,5
6095,-121.939594,38.267226,185013.5,8
42017,-75.10706,40.336887,74224.1,4
Vaughan CAN,-79.508278,43.837208,92500.4,29
28045,-89.47985,30.391437,40036.2,4
41017,-121.225575,43.915118,189786.3,4
55075,-87.991198,45.346899,96865.4,4
20201,-97.095611,39.776714,96260.4,1
Chatham-Kent CAN,-82.19104,42.404804,83038.9,3
46081,-103.796528,44.353669,129514.5,2
46103,-102.823802,44.002349,125870.5,3
51810,-76.02402,36.779322,56301.4,3
Mississauga CAN,-79.640579,43.59531,90826,37
26069,-82.849447,44.329482,90122.2,1
45015,-79.953655,33.2077,32220.4,2
25009,-70.865107,42.642711,95548.6,13
6073,-116.776117,33.023604,154747.4,78
51155,-80.713444,37.063385,49452.7,1
13057,-84.475057,34.244317,33045.2,8
24037,-76.534271,38.222666,62127.1,1
37077,-78.657634,36.299884,47961.7,2
41003,-123.426317,44.490623,201335.5,7
54061,-80.059074,39.633645,65506.4,2
18057,-86.020586,40.04987,67441.1,5
38089,-102.662026,46.817031,138985.2,1
38053,-103.403215,47.742475,144363.9,1
38035,-97.450851,47.926003,126382.1,5
38095,-99.248158,48.682183,135306.1,1
38069,-99.966497,48.238883,136611.2,1
38061,-102.364756,48.210291,143259.7,1
27155,-96.475049,45.76984,118866.2,1
38015,-100.462001,46.971843,133161,1
50017,-72.369687,44.003392,99421.6,2
24027,-76.924406,39.252264,64321.3,12
39045,-82.628276,39.752935,67335.8,2
37063,-78.877919,36.036589,46343.9,10
29161,-91.790349,37.866326,73772.9,2
20045,-95.290529,38.896573,86681.9,3
48479,-99.326641,27.770584,87499.5,6
37159,-80.525344,35.639218,42407.1,2
29510,-90.244582,38.635699,67125.5,33
17201,-89.161205,42.337396,83582.1,4
20079,-97.436707,38.050144,92177.5,1
20141,-98.767876,39.348649,101154.8,1
20209,-94.763087,39.115384,84358.3,37
20059,-95.278962,38.558019,87194.2,2
46109,-96.947551,45.623397,116110,1
46011,-96.797797,44.376675,110371,2
46029,-97.198843,44.966324,113243.1,1
46111,-98.092105,44.021032,112552,1
32029,-119.524646,39.438385,184389.1,11
32013,-118.127592,41.407914,175188,1
39153,-81.534936,41.121851,72048.4,6
19113,-91.597674,42.077951,87923.4,2
47189,-86.29021,36.148476,47265,1
6079,-120.44754,35.385227,174808.6,3
51135,-78.052162,37.143696,53277.6,2
51083,-78.939614,36.766461,50830.6,1
39113,-84.290546,39.755218,64693.5,7
46099,-96.795726,43.667472,107496.3,1
32003,-115.013819,36.214236,150625.7,47
2122,-152.321973,60.366373,341351.2,1
18127,-87.071308,41.509922,76732.2,1
13067,-84.574166,33.93994,31839.6,16
Whitby CAN,-78.942932,43.897545,94273.8,11
13135,-84.022938,33.959101,31796.7,20
45031,-79.962116,34.332185,35420.3,2
18035,-85.398856,40.227165,69796,2
18003,-85.07223,41.091855,73861,1
39095,-83.468867,41.682321,75134,6
39017,-84.565397,39.439915,63375.7,5
6065,-116.002239,33.729828,154874.6,4
6059,-117.777207,33.675687,158613.3,80
45067,-79.362131,34.080701,36649.5,2
Major's Hill Park CAN,-75.69883,45.427944,101738.9,18
51029,-78.529169,37.573928,57052.2,1
13303,-82.798112,32.971848,28393.7,1
55079,-87.481575,43.017655,84426.6,7
Ajax CAN,-79.02037,43.850857,93743.7,5
26147,-82.668914,42.928804,83567.8,20
51085,-77.490992,37.760166,54980.7,6
Pickering CAN,-79.086761,43.838413,93467.9,6
55131,-88.232917,43.391156,87080.2,6
29183,-90.674915,38.781102,69318,7
51143,-79.398502,36.821721,49265.4,2
51750,-80.557048,37.120036,50094,1
38101,-101.540537,48.216686,140486.4,2
13245,-82.074998,33.361487,31208.7,9
55127,-88.541731,42.66811,84155.7,1
20131,-96.005381,39.791043,92347.4,2
38097,-97.164754,47.446215,123913.7,2
20121,-94.832963,38.566772,86662.9,1
Sudbury CAN,-80.995415,46.493919,109480.4,14
St. Catharines CAN,-79.246864,43.159374,86957.6,4
47093,-83.937721,35.992727,44264.6,13
13117,-84.127336,34.225143,33237.9,15
24043,-77.814671,39.603621,65988.3,2
51115,-76.268808,37.425348,58689.1,1
13089,-84.226343,33.770661,30081.7,10
42069,-75.609587,41.44025,79036.7,1
6111,-119.133143,34.358742,164990.1,23
4025,-112.573745,34.630044,142130.5,5
51660,-78.874197,38.436013,59114.5,2
8013,-105.398382,40.094826,126796,4
8045,-107.90978,39.599352,141121.4,2
46049,-99.153564,45.065476,123112,1
35013,-106.832182,32.350912,112109.8,2
13051,-81.091768,31.974756,23590.7,7
29189,-90.445954,38.640702,67931,17
24025,-76.299789,39.537429,66820.2,4
55125,-89.501254,46.049848,103921,2
24033,-76.847272,38.82588,61801.8,7
42129,-79.466688,40.311068,69360.3,5
28095,-88.485038,33.89003,47032.5,1
42021,-78.715284,40.494127,73117,2
48247,-98.700127,27.041212,89017.9,1
39093,-82.179722,41.438805,75410.9,8
17163,-89.928546,38.470198,66329.6,2
29071,-91.07341,38.408313,71320.9,1
37089,-82.479634,35.336424,42155.9,2
Kitchener CAN,-80.495064,43.452969,92127,24
28087,-88.439723,33.471424,45426.8,2
51590,-79.408071,36.583334,47901.3,2
39103,-81.899566,41.116051,73285.7,9
55071,-87.313828,44.105108,90642.7,4
26151,-82.642815,43.449155,86775.4,5
8014,-105.052125,39.953383,120908.4,11
54059,-82.158993,37.721151,59451,2
26093,-83.911718,42.602532,79454.7,9
51690,-79.863648,36.683527,48361.4,2
1103,-86.846402,34.454484,43306,2
23013,-69.038515,44.042045,107087,1
45051,-78.976675,33.909269,38083.2,12
Saint John CAN,-66.067657,45.273918,121152.6,2
45063,-81.272853,33.892554,34163.5,2
48397,-96.407501,32.889216,73150.1,4
1121,-86.175805,33.369277,35751.5,1
1073,-86.896536,33.553444,39038.4,9
13227,-84.490256,34.456621,34645.7,1
34037,-74.691855,41.137424,80412,3
56025,-106.764877,42.973641,137999.6,1
22071,-89.939007,30.068636,42134.3,25
55025,-89.417852,43.067468,87994.1,2
29099,-90.543138,38.257414,67691.7,2
39041,-83.007462,40.278941,70384.5,3
6039,-119.749852,37.210039,175140.9,1
12081,-82.365784,27.481386,4454.8,3
Richmond CAN,-123.133568,49.166592,208436.8,8
46101,-96.676054,44.012429,109284,1
41043,-122.543756,44.494824,196748.3,1
8041,-104.527472,38.827383,119335.7,3
12057,-82.349568,27.90659,1329,8
34011,-75.121644,39.328387,73019.9,2
39151,-81.365667,40.814131,70029.4,3
12097,-81.139312,28.059027,11103.7,2
45079,-80.896566,34.029783,34546.3,11
Distrito Federal MEX,-99.1309882,19.44244244,133327.1,22
13013,-83.712303,33.992009,32628.2,4
25003,-73.213948,42.375314,90394.2,1
Brampton CAN,-79.76667,43.683334,91672.4,17
34003,-74.074522,40.95909,78369.3,13
51117,-78.368959,36.687256,50353.1,1
13215,-84.874946,32.510197,28228.2,5
51770,-79.958472,37.27783,52199.2,2
6019,-119.655019,36.761006,172360.1,17
41067,-123.097615,45.553542,196285.2,14
4001,-109.493747,35.385845,127283.9,2
41051,-122.417173,45.547693,193126.2,28
20099,-95.297473,37.191468,83783.2,1
17119,-89.900195,38.827082,67808,3
48121,-97.119046,33.205005,76032.8,7
24013,-77.015512,39.563189,65468.8,2
37081,-79.788665,36.079065,44705.9,7
22033,-91.093174,30.544002,47101.8,9
48339,-95.503523,30.302364,66504.5,8
High River CAN,-113.873505,50.584435,184357.1,38
26065,-84.373811,42.603534,81614.4,12
49057,-111.875879,41.270355,149674.1,8
36075,-76.209258,43.461443,90391.2,4
26033,-84.52063,46.321819,97858.2,8
45055,-80.590885,34.338356,35496.4,1
18039,-85.863986,41.600693,77513.7,3
12069,-81.712282,28.764113,7655,6
16051,-112.318588,43.796965,159815,1
16005,-112.228986,42.692939,156429.6,5
8047,-105.528947,39.861082,126650.7,1
53063,-117.404392,47.620379,181721.7,16
51620,-76.941396,36.684014,51601.8,1
13103,-81.343337,32.361711,24651.5,1
12053,-82.464835,28.567911,4508.3,1
27131,-93.298503,44.350943,102505.8,4
53011,-122.485903,45.771674,195441.2,7
24023,-79.269416,39.529871,69126.6,1
42025,-75.709428,40.917833,77512.7,1
30093,-112.660222,45.895959,163029.2,1
55059,-87.424898,42.579703,82899.3,2
51173,-81.539786,36.842318,51091.5,1
6077,-121.272237,37.935034,180515.7,3
36021,-73.626805,42.247729,87019.1,2
20175,-100.854741,37.180585,102974.9,1
20091,-94.82233,38.883907,84997.6,8
20161,-96.727489,39.291211,92426.2,2
36087,-74.024772,41.154785,79724,7
26101,-86.602967,44.350385,90715.6,2
26077,-85.532854,42.246266,81248.4,21
6113,-121.903178,38.679268,186121.3,4
36029,-78.778192,42.752759,84271,6
26087,-83.224325,43.088633,83340.6,11
30083,-104.563387,47.785513,150253.4,1
30043,-112.056771,46.126557,163057.3,1
30013,-111.350571,47.316443,169161.7,3
26055,-85.553848,44.718688,92870,9
45083,-81.991053,34.933239,38780.1,4
55009,-87.995926,44.473961,91993.7,2
6083,-120.038485,34.537378,169401.9,4
24005,-76.616569,39.443167,65556,5
29095,-94.342507,39.007233,82883,20
4003,-109.75412,31.881793,127086.9,3
51061,-77.821585,38.744103,60855,2
12091,-86.594194,30.665858,28516.1,7
17179,-89.51626,40.508074,75663.2,2
29047,-94.421502,39.315551,84516.2,8
18081,-86.0946,39.495986,64394.7,3
40027,-97.328332,35.203117,84117,7
12021,-81.400884,26.118713,12163.4,4
40119,-96.975255,36.079225,83629.1,3
55055,-88.773986,43.013807,87262.3,2
17143,-89.767358,40.785999,77320.6,3
45041,-79.710233,34.028535,35013.3,1
18005,-85.897999,39.205843,63036.8,2
48063,-94.979085,32.974581,68939.5,2
26129,-84.128073,44.33328,87331.1,4
8049,-106.095876,40.123289,129593.8,2
34015,-75.143708,39.721019,71453.7,2
51710,-76.244641,36.923015,55351.5,3
4023,-110.84519,31.525904,131386,10
48199,-94.393149,30.329612,60828.5,2
48303,-101.819944,33.611469,95353.7,12
22017,-93.882423,32.577195,62756.9,3
24031,-77.203063,39.137382,62556.5,5
8059,-105.245601,39.58646,122592.7,6
51001,-75.757807,37.765944,61695.1,1
33001,-71.425366,43.519109,99387.9,4
22065,-91.240729,32.365824,52782.4,1
16065,-111.65655,43.789709,158926,4
12111,-80.443364,27.380775,11673,5
22117,-90.046253,30.852144,45166.5,1
Edmonton CAN,-113.323975,53.631611,188804.5,15
51036,-77.054171,37.361048,54056.1,1
29019,-92.310779,38.989657,75483.2,2
45013,-80.68932,32.358147,26343,3
13187,-83.998828,34.568149,35448.9,1
16011,-112.399206,43.216357,157819.8,1
48085,-96.578153,33.193885,75542.5,17
47037,-86.78479,36.169129,46805.9,7
16001,-116.244456,43.447861,166617.8,6
St. Thomas CAN,-81.175369,42.778828,87571.2,23
51147,-78.432957,37.224881,54377.8,1
51131,-75.923868,37.302629,58683.2,1
30015,-110.436189,47.886837,169777.6,2
26123,-85.791423,43.562709,87694.2,6
36051,-77.76978,42.727485,87545.1,2
30031,-111.173443,45.535559,159113.4,4
30063,-113.892681,47.027263,173063.7,2
6025,-115.355395,33.040816,148769,9
48095,-99.863648,31.318865,87467.3,1
23009,-68.370703,44.564906,111372.3,3
Barrie CAN,-79.690331,44.389355,95199.3,9
51630,-77.486658,38.299272,57365.2,4
17089,-88.42804,41.939594,81956.3,7
6071,-116.181197,34.85722,157847.1,1
6053,-121.315573,36.240107,179282.7,2
13255,-84.286067,33.262389,28151.8,1
31153,-96.109125,41.115064,95792.7,1
27123,-93.100141,45.01525,104624.5,47
36007,-75.830291,42.161977,83319,1
Hamilton CAN,-79.843826,43.255203,89215,10
6099,-121.002656,37.562384,178479.6,4
28093,-89.504231,34.76619,51352.6,2
22105,-90.406633,30.621581,44726,1
41047,-122.57626,44.900898,199690.2,2
51075,-77.914273,37.724166,56307.3,2
18111,-87.402172,40.962399,73254.7,1
13045,-85.080527,33.582237,33259.5,1
16021,-116.524619,48.773065,191774.6,1
47101,-87.496983,35.523244,50681.3,1
20125,-95.742403,37.189537,85032,3
55035,-91.286414,44.726355,98480.3,2
29037,-94.354242,38.647159,83941.7,2
40147,-95.906155,36.70438,82273.8,1
29147,-94.883281,40.360484,90101.1,1
27139,-93.534553,44.651932,105047.7,6
27163,-92.890117,45.037929,103904.7,9
28105,-88.876151,33.422313,47123.1,1
27003,-93.242723,45.27411,106184.6,9
22089,-90.359314,29.913833,45177.4,11
4007,-110.81187,33.789618,137727,10
26067,-85.073766,42.94465,83708.8,7
28035,-89.259447,31.18858,41111.4,2
55039,-88.493284,43.754722,88817.8,1
35045,-108.324578,36.511625,132707.1,1
Burlington CAN,-79.817734,43.328674,89189.3,8
51013,-77.100703,38.878337,61117.6,5
17077,-89.381212,37.786096,61695.5,1
49037,-109.78932,37.623064,139521.9,1
54081,-81.264671,37.76247,53968.8,1
26019,-86.494317,44.648621,94262.2,2
