FIPS,Lng,Lat,Duration,Density
26125,-83.38421,42.660452,6276.4,51
6037,-118.261862,34.196398,147507.1,152
26163,-83.261953,42.284664,4016.4,78
27053,-93.475185,45.006064,45267.9,32
24510,-76.610516,39.300214,32146.8,15
6081,-122.371542,37.414664,151006.3,43
17031,-87.645455,41.894294,16702.4,60
34027,-74.547427,40.858581,35453.2,10
17111,-88.452245,42.324298,21409.1,2
12103,-82.739518,27.903122,76159.5,9
5005,-92.330438,36.28071,51175.6,2
34017,-74.078627,40.731384,37671.2,16
36119,-73.745912,41.15277,39951.1,7
36093,-74.043583,42.817542,40084.8,4
12117,-81.13198,28.690079,75014.8,3
25023,-70.741942,41.987196,54345.9,7
18105,-86.523325,39.160751,19719.2,4
34023,-74.407585,40.439593,37573.8,8
36103,-72.692218,40.943554,44061,21
27037,-93.062481,44.670893,44258.3,9
34025,-74.152446,40.287056,38907.3,6
40143,-95.941731,36.120121,57161.1,21
1083,-86.9814,34.810239,39144.2,4
26121,-86.751892,43.289258,16791.8,3
12086,-80.499045,25.610494,90067.9,25
9005,-73.235428,41.791897,44074.9,13
4021,-111.367257,32.91891,128281.5,28
33011,-71.723101,42.911643,54145.3,33
34035,-74.61993,40.565522,36402.7,12
25017,-71.396507,42.479477,52444.2,30
18067,-86.114118,40.483537,12838.8,4
26049,-83.706372,43.021077,7408.2,48
39155,-80.767656,41.308936,11557.5,7
26145,-84.05541,43.328267,11205.3,18
11001,-77.017094,38.904149,32195.1,30
48201,-95.393037,29.857273,81502.4,72
23005,-70.330375,43.808348,60079,8
4015,-113.749689,35.717705,127972,3
44007,-71.578242,41.870488,49926.3,13
42049,-80.096386,42.117952,15059.9,5
4013,-112.495534,33.346541,127079.7,66
26161,-83.844634,42.252327,4294.3,28
25025,-71.020173,42.33196,52343.5,46
18089,-87.374337,41.472239,14903.1,6
36055,-77.664656,43.464475,27235.1,24
26159,-86.305697,42.283986,13130.1,18
44005,-71.284063,41.502732,51307.3,3
17177,-89.665994,42.349726,24977.4,1
42015,-76.502124,41.791495,31388,1
26081,-85.547446,43.032497,12504.6,41
12031,-81.648113,30.335245,65537.2,13
34005,-74.663006,39.875786,37632.3,4
42081,-77.055253,41.343624,26923.7,1
17043,-88.086038,41.852058,18730.6,13
55087,-88.464988,44.418226,30718.5,2
50027,-72.591515,43.588143,50456.4,1
25013,-72.635648,42.136198,46814.8,7
42095,-75.307447,40.752791,33691.3,4
42029,-75.749732,39.973965,34007,6
25027,-71.940282,42.311693,49749.6,20
42101,-75.133346,40.009376,35333,36
12011,-80.476658,26.19352,87340.6,35
6087,-122.007205,37.012488,151966.1,23
51600,-77.299025,38.853183,32398.2,8
42003,-79.98092,40.46892,15935.4,22
48167,-94.894865,29.228706,85506.6,6
39035,-81.724217,41.760392,9082,20
51650,-76.297149,37.04803,44267.4,2
Windsor CAN,-83.026772,42.317432,4601.5,134
9011,-72.103452,41.47863,47252.8,6
39049,-83.008258,39.969447,10852.5,26
33013,-71.68013,43.299485,54699.7,13
18141,-86.288159,41.617699,11126.9,14
34039,-74.308696,40.659871,37328,8
39061,-84.544187,39.196927,14492.6,8
36017,-75.604905,42.489732,35504.8,1
48231,-96.083807,33.123438,69776.9,1
9003,-72.732916,41.806053,45363.2,28
39025,-84.149614,39.052084,16201,1
8069,-105.482131,40.663091,86810.5,3
24003,-76.560511,38.993374,33320.4,7
19103,-91.588812,41.668737,30869.8,1
55043,-90.695368,42.870062,32004.1,1
9013,-72.340977,41.858076,46449.4,6
36067,-76.196117,43.00653,31902.3,3
12099,-80.448673,26.645763,86236.6,16
12085,-80.398211,27.079954,83900.4,4
12095,-81.323295,28.514435,73872.7,28
Markham CAN,-79.337021,43.856098,21905.5,26
26099,-82.910869,42.671467,6914.4,36
34007,-74.961251,39.802352,36763.2,7
25005,-71.087062,41.748576,53381.4,5
33005,-72.248217,42.925455,50296.8,3
48141,-106.241391,31.766403,108813.4,23
34041,-75.009542,40.853524,33955.1,5
26061,-88.652066,46.998305,41240.6,8
42131,-76.00878,41.525137,33312,1
34031,-74.300308,41.033763,36890.5,6
42133,-76.728446,39.921839,30358.1,1
9009,-72.900204,41.349717,43857.4,15
36089,-75.074311,44.488113,40518.9,5
6055,-122.325995,38.507351,147812.7,7
12009,-80.700384,28.298276,75967.3,11
18097,-86.135794,39.782976,15363.5,14
9007,-72.524227,41.434525,46058.8,8
26115,-83.487106,41.916097,2163.9,9
33015,-71.099437,42.98936,55622.1,12
36001,-73.974014,42.588271,41319,6
6085,-121.690622,37.220777,152117.7,30
26165,-85.570046,44.331375,17599.4,6
55133,-88.306707,43.019308,24401.9,32
36059,-73.589384,40.729687,39909.9,50
42091,-75.370201,40.209999,34914.5,9
39099,-80.770396,41.01088,12105.5,6
39173,-83.622682,41.360183,2096,2
45045,-82.372077,34.892645,42980.3,9
42115,-75.800969,41.819665,34768.7,1
34021,-74.703724,40.282503,37140.1,20
6067,-121.340441,38.450011,142289.2,26
Longueuil CAN,-73.510712,45.536945,46211.8,43
6001,-121.913304,37.648081,147874.1,24
42123,-79.313173,41.843669,19248.5,2
17161,-90.572203,41.468404,26534.8,2
34033,-75.357356,39.573828,37462.7,1
48439,-97.291291,32.77204,75186.6,19
33017,-71.035927,43.293177,57857.3,7
36061,-73.970174,40.776557,38228.1,28
36047,-73.950777,40.635133,39125.7,20
54045,-81.940853,37.830591,26207.7,1
37009,-81.49877,36.436305,36655.4,1
51179,-77.459043,38.418933,35188.9,1
36037,-78.192778,43.00091,23919.7,3
45019,-79.94248,32.800458,54055.1,8
45073,-83.061522,34.748759,44599.1,2
51740,-76.356269,36.85943,45159.1,4
51041,-77.585847,37.378434,41433.5,8
12019,-81.858147,29.987116,68451.5,1
5119,-92.316515,34.773988,53685.2,12
42045,-75.398786,39.91667,34949.2,14
53053,-122.144709,47.040716,150208.9,31
28047,-89.083376,30.416536,65127.9,3
10003,-75.644132,39.575915,36260.7,5
24045,-75.632206,38.367389,40457.8,2
36085,-74.137063,40.563855,38579.7,8
53029,-122.670503,48.158436,152295.7,7
2020,-149.274354,61.177549,266564.7,8
36063,-78.792143,43.456731,23930.5,3
36005,-73.852939,40.848711,38261.4,31
51760,-77.476009,37.531399,39401.6,22
51027,-82.038151,37.26812,32045.9,1
18059,-85.772904,39.822604,14587.5,2
42047,-78.653938,41.427334,21020.1,1
51121,-80.387314,37.174885,32603.9,1
51059,-77.276117,38.833743,32504.3,4
51730,-77.392368,37.20473,41088.8,2
45091,-81.183189,34.97019,42858.9,6
45007,-82.638086,34.519549,45629.5,4
48453,-97.69127,30.239513,85542,19
48157,-95.771015,29.526602,84060.3,14
37183,-78.650624,35.789846,44143.4,20
48113,-96.778424,32.766987,72890.6,45
1089,-86.55108,34.764238,40562.1,11
8031,-104.880625,39.761849,78816.7,34
48071,-94.668875,29.703933,83717.1,2
18095,-85.722454,40.166203,13222.9,1
28149,-90.851791,32.357005,62430.9,1
48029,-98.520147,29.448671,90647.2,40
12001,-82.357221,29.67574,66703.7,4
18157,-86.893943,40.38926,16297.9,5
28121,-89.946552,32.262057,59554.6,5
35001,-106.669065,35.054002,97241,6
30081,-114.119065,46.079298,124475.9,2
40071,-97.143755,36.814842,63937.6,2
6013,-121.951543,37.919479,147987.8,27
53035,-122.649636,47.639687,151352.2,39
9001,-73.366757,41.228103,41999.5,9
53033,-121.832375,47.493554,146120.2,25
39133,-81.196932,41.16864,10328.6,3
51830,-76.706717,37.269293,42187.9,2
51137,-78.00998,38.250439,35923.7,1
51087,-77.300333,37.437521,40088.5,4
40109,-97.409401,35.554611,63541.3,23
6029,-118.729506,35.346629,142742.2,5
19013,-92.306059,42.472888,35584.5,6
25021,-71.179875,42.169703,52506.5,17
18069,-85.478598,40.826394,9605.9,2
1095,-86.321668,34.309564,43863.4,3
47103,-86.593388,35.142532,38273.8,1
34013,-74.246136,40.787217,36732.4,22
36069,-77.303277,42.856695,27588.2,11
37135,-79.119355,36.062499,41764.7,5
28099,-89.119274,32.752518,57214.6,1
51680,-79.195458,37.399016,37897.1,1
51107,-77.638857,39.08113,31647.5,3
12127,-81.161813,29.057617,73365.4,5
28127,-89.917707,31.902503,61414,1
13121,-84.468182,33.790034,44761.1,28
6097,-122.945194,38.532574,151383.3,2
East York CAN,-79.341667,43.6912,21775.8,69
51610,-77.174639,38.883787,32024.9,9
51685,-77.448681,38.768991,33058.2,5
51510,-77.082026,38.818343,32919.9,4
51175,-77.103856,36.720173,44817.1,1
51540,-78.485381,38.037658,37197.7,1
51683,-77.484727,38.747561,33039.4,3
2090,-146.599867,64.690832,258756.1,2
48209,-98.029267,30.061225,87809.2,4
36109,-76.473712,42.453281,31095.9,2
36081,-73.837929,40.658557,39536.8,21
54107,-81.515928,39.211679,18992.3,2
42077,-75.590627,40.614241,32891.6,2
22103,-89.951962,30.410022,66399.6,11
6041,-122.745974,38.051817,149550.5,9
48027,-97.481921,31.04211,81766.5,7
17025,-88.483789,38.747312,27769.6,1
42107,-76.2178,40.70369,30411.2,1
12073,-84.2778,30.45931,63951.8,4
48491,-97.605069,30.64903,83855,4
8035,-104.926199,39.326435,81895.9,4
36045,-76.053522,43.995371,36301.7,7
6045,-123.442881,39.432388,155684.6,1
24021,-77.397627,39.470427,29124.1,6
25015,-72.663694,42.339459,47803.3,3
39055,-81.173505,41.499322,10525.9,5
6095,-121.939594,38.267226,144554.7,8
42017,-75.10706,40.336887,35754.9,4
Vaughan CAN,-79.508278,43.837208,21446.6,29
28045,-89.47985,30.391437,65724.7,4
41017,-121.225575,43.915118,142544.2,4
55075,-87.991198,45.346899,35243.1,4
20201,-97.095611,39.776714,57435.8,1
Chatham-Kent CAN,-82.19104,42.404804,8704.4,3
46081,-103.796528,44.353669,76838.2,2
46103,-102.823802,44.002349,73194.2,3
51810,-76.02402,36.779322,46592.3,3
Mississauga CAN,-79.640579,43.59531,20241.4,37
26069,-82.849447,44.329482,15787.7,1
45015,-79.953655,33.2077,53010.2,2
25009,-70.865107,42.642711,54578.2,13
6073,-116.776117,33.023604,146976.9,78
51155,-80.713444,37.063385,32569.5,1
13057,-84.475057,34.244317,43914.1,8
24037,-76.534271,38.222666,38015.4,1
37077,-78.657634,36.299884,44784.3,2
41003,-123.426317,44.490623,154093.4,7
54061,-80.059074,39.633645,20950.2,2
18057,-86.020586,40.04987,14409.9,5
38089,-102.662026,46.817031,78191.2,1
38053,-103.403215,47.742475,83569.9,1
38035,-97.450851,47.926003,65588.1,5
38095,-99.248158,48.682183,74512.1,1
38069,-99.966497,48.238883,75817.2,1
38061,-102.364756,48.210291,82465.7,1
27155,-96.475049,45.76984,58319,1
38015,-100.462001,46.971843,72367,1
50017,-72.369687,44.003392,53056.1,2
24027,-76.924406,39.252264,31076.7,12
39045,-82.628276,39.752935,13073.4,2
37063,-78.877919,36.036589,42842.4,10
29161,-91.790349,37.866326,39585.1,2
20045,-95.290529,38.896573,51035.3,3
48479,-99.326641,27.770584,101364.4,6
37159,-80.525344,35.639218,39495.7,2
29510,-90.244582,38.635699,31994.4,33
17201,-89.161205,42.337396,23206.9,4
20079,-97.436707,38.050144,60371.1,1
20141,-98.767876,39.348649,64544.7,1
20209,-94.763087,39.115384,48711.7,37
20059,-95.278962,38.558019,51547.6,2
46109,-96.947551,45.623397,61571,1
46011,-96.797797,44.376675,57748.1,2
