FIPS,Lng,Lat,Duration,Density
26125,-83.38421,42.660452,129757.5,51
6037,-118.261862,34.196398,38054,152
26163,-83.261953,42.284664,127922.5,78
27053,-93.475185,45.006064,109871.6,32
24510,-76.610516,39.300214,147484.3,15
6081,-122.371542,37.414664,58488.9,43
17031,-87.645455,41.894294,112562.9,60
34027,-74.547427,40.858581,155812.4,10
17111,-88.452245,42.324298,114414.2,2
12103,-82.739518,27.903122,129353.5,9
5005,-92.330438,36.28071,84037.5,2
34017,-74.078627,40.731384,158030.4,16
36119,-73.745912,41.15277,160310.3,7
36093,-74.043583,42.817542,161516.2,4
12117,-81.13198,28.690079,128502.5,3
25023,-70.741942,41.987196,174705.1,7
18105,-86.523325,39.160751,108756.5,4
34023,-74.407585,40.439593,156558.2,8
36103,-72.692218,40.943554,164420.2,21
27037,-93.062481,44.670893,108683.6,9
34025,-74.152446,40.287056,156930.4,6
40143,-95.941731,36.120121,67536,21
1083,-86.9814,34.810239,101590.4,4
26121,-86.751892,43.289258,125350,3
12086,-80.499045,25.610494,143330.1,25
9005,-73.235428,41.791897,164434.1,13
4021,-111.367257,32.91891,6677.5,28
33011,-71.723101,42.911643,175130.6,33
34035,-74.61993,40.565522,156235.7,12
25017,-71.396507,42.479477,172803.4,30
18067,-86.114118,40.483537,113551.6,4
26049,-83.706372,43.021077,128542,48
39155,-80.767656,41.308936,132585.6,7
26145,-84.05541,43.328267,131404,18
11001,-77.017094,38.904149,144620.3,30
48201,-95.393037,29.857273,64195.2,72
23005,-70.330375,43.808348,180438.2,8
4015,-113.749689,35.717705,26963.1,3
44007,-71.578242,41.870488,170285.5,13
42049,-80.096386,42.117952,136491.3,5
4013,-112.495534,33.346541,10802.8,66
26161,-83.844634,42.252327,126387.5,28
25025,-71.020173,42.33196,172702.7,46
18089,-87.374337,41.472239,112996.1,6
36055,-77.664656,43.464475,148666.5,24
26159,-86.305697,42.283986,118771.3,18
44005,-71.284063,41.502732,171666.5,3
17177,-89.665994,42.349726,112169.8,1
42015,-76.502124,41.791495,151747.2,1
26081,-85.547446,43.032497,123244.8,41
12031,-81.648113,30.335245,120913.6,13
34005,-74.663006,39.875786,155313.2,4
42081,-77.055253,41.343624,147282.9,1
17043,-88.086038,41.852058,111840.5,13
55087,-88.464988,44.418226,122299.6,2
50027,-72.591515,43.588143,171887.8,1
25013,-72.635648,42.136198,167806.7,7
42095,-75.307447,40.752791,153398.5,4
42029,-75.749732,39.973965,151687.9,6
25027,-71.940282,42.311693,170108.8,20
42101,-75.133346,40.009376,153013.9,36
12011,-80.476658,26.19352,140602.8,35
6087,-122.007205,37.012488,55675.4,23
51600,-77.299025,38.853183,143417.4,8
42003,-79.98092,40.46892,133567.6,22
48167,-94.894865,29.228706,67772.4,6
39035,-81.724217,41.760392,130911.8,20
51650,-76.297149,37.04803,146264.8,2
Windsor CAN,-83.026772,42.317432,128507.6,134
9011,-72.103452,41.47863,167612,6
39049,-83.008258,39.969447,120491.1,26
33013,-71.68013,43.299485,176131.1,13
18141,-86.288159,41.617699,117425.1,14
34039,-74.308696,40.659871,157458.5,8
39061,-84.544187,39.196927,115768.5,8
36017,-75.604905,42.489732,156936.2,1
48231,-96.083807,33.123438,61431.8,1
9003,-72.732916,41.806053,165722.4,28
39025,-84.149614,39.052084,118571.1,1
8069,-105.482131,40.663091,69498,3
24003,-76.560511,38.993374,146880.5,7
19103,-91.588812,41.668737,100694.3,1
55043,-90.695368,42.870062,109462.1,1
9013,-72.340977,41.858076,166808.6,6
36067,-76.196117,43.00653,153333.7,3
12099,-80.448673,26.645763,139498.8,16
12085,-80.398211,27.079954,137162.6,4
12095,-81.323295,28.514435,127134.9,28
Markham CAN,-79.337021,43.856098,145811.6,26
26099,-82.910869,42.671467,130820.5,36
34007,-74.961251,39.802352,154444.1,7
25005,-71.087062,41.748576,173740.6,5
33005,-72.248217,42.925455,171728.2,3
48141,-106.241391,31.766403,20762.8,23
34041,-75.009542,40.853524,154314.3,5
26061,-88.652066,46.998305,136298.8,8
42131,-76.00878,41.525137,153671.2,1
34031,-74.300308,41.033763,157249.7,6
42133,-76.728446,39.921839,148039,1
9009,-72.900204,41.349717,164216.6,15
36089,-75.074311,44.488113,162809.1,5
6055,-122.325995,38.507351,61553.3,7
12009,-80.700384,28.298276,130281,11
18097,-86.135794,39.782976,109077.4,14
9007,-72.524227,41.434525,166418,8
26115,-83.487106,41.916097,126234.9,9
33015,-71.099437,42.98936,175981.3,12
36001,-73.974014,42.588271,162750.4,6
6085,-121.690622,37.220777,55804.2,30
26165,-85.570046,44.331375,129042.1,6
55133,-88.306707,43.019308,117194.2,32
36059,-73.589384,40.729687,160269.1,50
42091,-75.370201,40.209999,152741.2,9
39099,-80.770396,41.01088,132393.7,6
39173,-83.622682,41.360183,124279.8,2
45045,-82.372077,34.892645,119165.3,9
42115,-75.800969,41.819665,155127.9,1
34021,-74.703724,40.282503,154821,20
6067,-121.340441,38.450011,57015.6,26
Longueuil CAN,-73.510712,45.536945,170117.9,43
6001,-121.913304,37.648081,55410.5,24
42123,-79.313173,41.843669,140279.9,2
17161,-90.572203,41.468404,104752.4,2
34033,-75.357356,39.573828,153976.5,1
48439,-97.291291,32.77204,56212.4,19
33017,-71.035927,43.293177,178258.7,7
36061,-73.970174,40.776557,158587.3,28
36047,-73.950777,40.635133,159126,20
54045,-81.940853,37.830591,125914.3,1
37009,-81.49877,36.436305,124903,1
51179,-77.459043,38.418933,142932.5,1
36037,-78.192778,43.00091,145351.1,3
45019,-79.94248,32.800458,129374.1,8
45073,-83.061522,34.748759,117241,2
51740,-76.356269,36.85943,146647.8,4
51041,-77.585847,37.378434,141883.9,8
12019,-81.858147,29.987116,121709.5,1
5119,-92.316515,34.773988,78264.3,12
42045,-75.398786,39.91667,152630.1,14
53053,-122.144709,47.040716,105910.9,31
28047,-89.083376,30.416536,90179.5,3
10003,-75.644132,39.575915,152167.3,5
24045,-75.632206,38.367389,154244.5,2
36085,-74.137063,40.563855,157899.9,8
53029,-122.670503,48.158436,108219.5,7
2020,-149.274354,61.177549,255913,8
36063,-78.792143,43.456731,145814.2,3
36005,-73.852939,40.848711,158620.6,31
51760,-77.476009,37.531399,141023.4,22
51027,-82.038151,37.26812,127011.6,1
18059,-85.772904,39.822604,110776,2
42047,-78.653938,41.427334,141379.3,1
51121,-80.387314,37.174885,127445.3,1
51059,-77.276117,38.833743,143580.6,4
51730,-77.392368,37.20473,141967.9,2
45091,-81.183189,34.97019,124257,6
45007,-82.638086,34.519549,117390.1,4
48453,-97.69127,30.239513,54667.1,19
48157,-95.771015,29.526602,63277,14
37183,-78.650624,35.789846,136598.7,20
48113,-96.778424,32.766987,58232.1,45
1089,-86.55108,34.764238,102501.9,11
8031,-104.880625,39.761849,56724.5,34
48071,-94.668875,29.703933,68254.1,2
18095,-85.722454,40.166203,113082.5,1
28149,-90.851791,32.357005,81340,1
48029,-98.520147,29.448671,51245.2,40
12001,-82.357221,29.67574,119965.9,4
18157,-86.893943,40.38926,110497.3,5
28121,-89.946552,32.262057,84965.5,5
35001,-106.669065,35.054002,28679.9,6
30081,-114.119065,46.079298,88139.3,2
40071,-97.143755,36.814842,67975.6,2
6013,-121.951543,37.919479,57984.6,27
53035,-122.649636,47.639687,107276,39
