FIPS,Lng,Lat,Duration,Density
26125,-83.38421,42.660452,62524.8,51
6037,-118.261862,34.196398,94344.6,152
26163,-83.261953,42.284664,60689.8,78
27053,-93.475185,45.006064,46302.9,32
24510,-76.610516,39.300214,80805.9,15
6081,-122.371542,37.414664,110531.7,43
17031,-87.645455,41.894294,45330.2,60
34027,-74.547427,40.858581,88579.7,10
17111,-88.452245,42.324298,47181.5,2
12103,-82.739518,27.903122,80078.3,9
5005,-92.330438,36.28071,16804.8,2
34017,-74.078627,40.731384,90797.7,16
36119,-73.745912,41.15277,93077.6,7
36093,-74.043583,42.817542,94283.5,4
12117,-81.13198,28.690079,79159.1,3
25023,-70.741942,41.987196,107472.4,7
18105,-86.523325,39.160751,41523.8,4
34023,-74.407585,40.439593,89325.5,8
36103,-72.692218,40.943554,97187.5,21
27037,-93.062481,44.670893,45114.9,9
34025,-74.152446,40.287056,89697.7,6
40143,-95.941731,36.120121,395,21
1083,-86.9814,34.810239,39916.7,4
26121,-86.751892,43.289258,58117.3,3
12086,-80.499045,25.610494,93986.7,25
9005,-73.235428,41.791897,97201.4,13
4021,-111.367257,32.91891,71640.6,28
33011,-71.723101,42.911643,107897.9,33
34035,-74.61993,40.565522,89003,12
25017,-71.396507,42.479477,105570.7,30
18067,-86.114118,40.483537,46318.9,4
26049,-83.706372,43.021077,61309.3,48
39155,-80.767656,41.308936,65352.9,7
26145,-84.05541,43.328267,64171.3,18
11001,-77.017094,38.904149,80854.2,30
48201,-95.393037,29.857273,32488.5,72
23005,-70.330375,43.808348,113205.5,8
4015,-113.749689,35.717705,71331.1,3
44007,-71.578242,41.870488,103052.8,13
42049,-80.096386,42.117952,69258.6,5
4013,-112.495534,33.346541,70438.8,66
26161,-83.844634,42.252327,59154.8,28
25025,-71.020173,42.33196,105470,46
18089,-87.374337,41.472239,45763.4,6
36055,-77.664656,43.464475,81433.8,24
26159,-86.305697,42.283986,51538.6,18
44005,-71.284063,41.502732,104433.8,3
17177,-89.665994,42.349726,47161.1,1
42015,-76.502124,41.791495,84514.5,1
26081,-85.547446,43.032497,56012.1,41
12031,-81.648113,30.335245,71574.4,13
34005,-74.663006,39.875786,88080.5,4
42081,-77.055253,41.343624,80050.2,1
17043,-88.086038,41.852058,44607.8,13
55087,-88.464988,44.418226,57368.2,2
50027,-72.591515,43.588143,104655.1,1
25013,-72.635648,42.136198,100574,7
42095,-75.307447,40.752791,86165.8,4
42029,-75.749732,39.973965,84455.2,6
25027,-71.940282,42.311693,102876.1,20
42101,-75.133346,40.009376,85781.2,36
12011,-80.476658,26.19352,91259.4,35
6087,-122.007205,37.012488,107718.2,23
51600,-77.299025,38.853183,80680.1,8
42003,-79.98092,40.46892,66334.9,22
48167,-94.894865,29.228706,36925.7,6
39035,-81.724217,41.760392,63679.1,20
51650,-76.297149,37.04803,84591.1,2
Windsor CAN,-83.026772,42.317432,61274.9,134
9011,-72.103452,41.47863,100379.3,6
39049,-83.008258,39.969447,53258.4,26
33013,-71.68013,43.299485,108898.4,13
18141,-86.288159,41.617699,50192.4,14
34039,-74.308696,40.659871,90225.8,8
39061,-84.544187,39.196927,48535.8,8
36017,-75.604905,42.489732,89703.5,1
48231,-96.083807,33.123438,16757.6,1
9003,-72.732916,41.806053,98489.7,28
39025,-84.149614,39.052084,51338.4,1
8069,-105.482131,40.663091,55292.5,3
24003,-76.560511,38.993374,81979.5,7
19103,-91.588812,41.668737,37125.6,1
55043,-90.695368,42.870062,45893.4,1
9013,-72.340977,41.858076,99575.9,6
36067,-76.196117,43.00653,86101,3
12099,-80.448673,26.645763,90155.4,16
12085,-80.398211,27.079954,87819.2,4
12095,-81.323295,28.514435,77791.5,28
Markham CAN,-79.337021,43.856098,78578.9,26
26099,-82.910869,42.671467,63587.8,36
34007,-74.961251,39.802352,87211.4,7
25005,-71.087062,41.748576,106507.9,5
33005,-72.248217,42.925455,104495.5,3
48141,-106.241391,31.766403,52172.5,23
34041,-75.009542,40.853524,87081.6,5
26061,-88.652066,46.998305,72730.1,8
42131,-76.00878,41.525137,86438.5,1
34031,-74.300308,41.033763,90017,6
42133,-76.728446,39.921839,80806.3,1
9009,-72.900204,41.349717,96983.9,15
36089,-75.074311,44.488113,95576.4,5
6055,-122.325995,38.507351,113596.1,7
12009,-80.700384,28.298276,80937.6,11
18097,-86.135794,39.782976,41844.7,14
9007,-72.524227,41.434525,99185.3,8
26115,-83.487106,41.916097,59002.2,9
33015,-71.099437,42.98936,108748.6,12
36001,-73.974014,42.588271,95517.7,6
6085,-121.690622,37.220777,107847,30
26165,-85.570046,44.331375,61809.4,6
55133,-88.306707,43.019308,49961.5,32
36059,-73.589384,40.729687,93036.4,50
42091,-75.370201,40.209999,85508.5,9
39099,-80.770396,41.01088,65161,6
39173,-83.622682,41.360183,57047.1,2
45045,-82.372077,34.892645,60586.8,9
42115,-75.800969,41.819665,87895.2,1
34021,-74.703724,40.282503,87588.3,20
6067,-121.340441,38.450011,108356.8,26
Longueuil CAN,-73.510712,45.536945,102885.2,43
6001,-121.913304,37.648081,107453.3,24
42123,-79.313173,41.843669,73047.2,2
17161,-90.572203,41.468404,40694.3,2
34033,-75.357356,39.573828,87298.1,1
48439,-97.291291,32.77204,19044.2,19
33017,-71.035927,43.293177,111026,7
36061,-73.970174,40.776557,91354.6,28
36047,-73.950777,40.635133,91893.3,20
54045,-81.940853,37.830591,60418.6,1
37009,-81.49877,36.436305,63229.3,1
51179,-77.459043,38.418933,81258.8,1
36037,-78.192778,43.00091,78118.4,3
45019,-79.94248,32.800458,70795.6,8
45073,-83.061522,34.748759,58662.5,2
51740,-76.356269,36.85943,84974.1,4
51041,-77.585847,37.378434,80210.2,8
12019,-81.858147,29.987116,72370.3,1
5119,-92.316515,34.773988,16882.3,12
42045,-75.398786,39.91667,85397.4,14
53053,-122.144709,47.040716,126755.1,31
28047,-89.083376,30.416536,46828.6,3
10003,-75.644132,39.575915,85488.9,5
24045,-75.632206,38.367389,89116.9,2
36085,-74.137063,40.563855,90667.2,8
53029,-122.670503,48.158436,129063.7,7
2020,-149.274354,61.177549,260552.4,8
36063,-78.792143,43.456731,78581.5,3
36005,-73.852939,40.848711,91387.9,31
51760,-77.476009,37.531399,79349.7,22
51027,-82.038151,37.26812,62178,1
18059,-85.772904,39.822604,43543.3,2
42047,-78.653938,41.427334,74146.6,1
51121,-80.387314,37.174885,65771.6,1
51059,-77.276117,38.833743,80843.3,4
51730,-77.392368,37.20473,80294.2,2
45091,-81.183189,34.97019,65678.5,6
45007,-82.638086,34.519549,58811.6,4
48453,-97.69127,30.239513,30429.4,19
48157,-95.771015,29.526602,35364.3,14
37183,-78.650624,35.789846,75561.3,20
48113,-96.778424,32.766987,17735.9,45
1089,-86.55108,34.764238,40828.2,11
8031,-104.880625,39.761849,42653.4,34
48071,-94.668875,29.703933,36730,2
18095,-85.722454,40.166203,45849.8,1
28149,-90.851791,32.357005,33313.4,1
48029,-98.520147,29.448671,35534.6,40
12001,-82.357221,29.67574,70622.5,4
18157,-86.893943,40.38926,43264.6,5
28121,-89.946552,32.262057,36711.4,5
35001,-106.669065,35.054002,40600.1,6
30081,-114.119065,46.079298,104622.3,2
40071,-97.143755,36.814842,8073.9,2
6013,-121.951543,37.919479,110027.4,27
53035,-122.649636,47.639687,128120.2,39
9001,-73.366757,41.228103,95126,9
53033,-121.832375,47.493554,122888.2,25
39133,-81.196932,41.16864,63436.3,3
51830,-76.706717,37.269293,82511.6,2
51137,-78.00998,38.250439,77655.4,1
51087,-77.300333,37.437521,80412.2,4
40109,-97.409401,35.554611,6900.4,23
6029,-118.729506,35.346629,89579.7,5
19013,-92.306059,42.472888,38459.9,6
25021,-71.179875,42.169703,105633,17
18069,-85.478598,40.826394,48681.6,2
1095,-86.321668,34.309564,43779.8,3
47103,-86.593388,35.142532,40671,1
34013,-74.246136,40.787217,89858.9,22
36069,-77.303277,42.856695,81786.9,11
37135,-79.119355,36.062499,73182.6,5
28099,-89.119274,32.752518,38865.8,1
51680,-79.195458,37.399016,71960,1
51107,-77.638857,39.08113,80158.4,3
12127,-81.161813,29.057617,78819.4,5
28127,-89.917707,31.902503,38337.7,1
13121,-84.468182,33.790034,49999.8,28
6097,-122.945194,38.532574,115749.1,2
East York CAN,-79.341667,43.6912,78449.2,69
51610,-77.174639,38.883787,80684,9
51685,-77.448681,38.768991,80157.8,5
51510,-77.082026,38.818343,81579,4
51175,-77.103856,36.720173,81501.8,1
51540,-78.485381,38.037658,74675,1
51683,-77.484727,38.747561,79785.3,3
2090,-146.599867,64.690832,252743.8,2
48209,-98.029267,30.061225,32696.6,4
36109,-76.473712,42.453281,85294.6,2
36081,-73.837929,40.658557,92311.3,21
54107,-81.515928,39.211679,61873.1,2
42077,-75.590627,40.614241,84715.6,2
22103,-89.951962,30.410022,44851.7,11
6041,-122.745974,38.051817,112682.1,9
48027,-97.481921,31.04211,26653.9,7
17025,-88.483789,38.747312,33928.1,1
42107,-76.2178,40.70369,83537.7,1
12073,-84.2778,30.45931,61175.3,4
48491,-97.605069,30.64903,28742.4,4
8035,-104.926199,39.326435,44464.9,4
36045,-76.053522,43.995371,90500.4,7
6045,-123.442881,39.432388,121907.5,1
24021,-77.397627,39.470427,77783.2,6
25015,-72.663694,42.339459,101891.6,3
39055,-81.173505,41.499322,64511,5
6095,-121.939594,38.267226,110470.9,8
42017,-75.10706,40.336887,86539.3,4
Vaughan CAN,-79.508278,43.837208,78120,29
28045,-89.47985,30.391437,47280.7,4
41017,-121.225575,43.915118,114675.9,4
55075,-87.991198,45.346899,62894.7,4
20201,-97.095611,39.776714,23974.7,1
Chatham-Kent CAN,-82.19104,42.404804,65377.8,3
46081,-103.796528,44.353669,61749.4,2
