FIPS,Lng,Lat,Duration,Density
26125,-83.38421,42.660452,733632.8,51
6037,-118.261862,34.196398,3684857.9,152
26163,-83.261953,42.284664,699373.2,78
27053,-93.475185,45.006064,1461595.3,32
24510,-76.610516,39.300214,55397.7,15
6081,-122.371542,37.414664,3834409.4,43
17031,-87.645455,41.894294,937500.4,60
34027,-74.547427,40.858581,296121.3,10
17111,-88.452245,42.324298,1015739.7,2
12103,-82.739518,27.903122,1308358.8,9
5005,-92.330438,36.28071,1466585.2,2
34017,-74.078627,40.731384,315274.4,16
36119,-73.745912,41.15277,366343.7,7
36093,-74.043583,42.817542,492069.8,4
12117,-81.13198,28.690079,1213814.5,3
25023,-70.741942,41.987196,539372.4,7
18105,-86.523325,39.160751,840596.5,4
34023,-74.407585,40.439593,280288.1,8
36103,-72.692218,40.943554,426182.5,21
27037,-93.062481,44.670893,1375503.6,9
34025,-74.152446,40.287056,292782.8,6
40143,-95.941731,36.120121,1711730.7,21
1083,-86.9814,34.810239,996260.8,4
26121,-86.751892,43.289258,930049.3,3
12086,-80.499045,25.610494,1541231.7,25
9005,-73.235428,41.791897,454180.6,13
4021,-111.367257,32.91891,3204508.2,28
33011,-71.723101,42.911643,618641.5,33
34035,-74.61993,40.565522,270958.7,12
25017,-71.396507,42.479477,600060.6,30
18067,-86.114118,40.483537,790848.3,4
26049,-83.706372,43.021077,764392.6,48
39155,-80.767656,41.308936,424545.1,7
26145,-84.05541,43.328267,803735.7,18
11001,-77.017094,38.904149,93.9,30
48201,-95.393037,29.857273,2039939.5,72
23005,-70.330375,43.808348,763236.3,8
4015,-113.749689,35.717705,3246021.3,3
44007,-71.578242,41.870488,542365.6,13
42049,-80.096386,42.117952,433278,5
4013,-112.495534,33.346541,3272643.8,66
26161,-83.844634,42.252327,698026.7,28
25025,-71.020173,42.33196,613855.7,46
18089,-87.374337,41.472239,896666.9,6
36055,-77.664656,43.464475,497922.6,24
26159,-86.305697,42.283986,856577.9,18
44005,-71.284063,41.502732,500259.6,3
17177,-89.665994,42.349726,1099350.2,1
42015,-76.502124,41.791495,336343.7,1
26081,-85.547446,43.032497,856270,41
12031,-81.648113,30.335245,1022866.3,13
34005,-74.663006,39.875786,247741.7,4
42081,-77.055253,41.343624,276292.4,1
17043,-88.086038,41.852058,967761.1,13
55087,-88.464988,44.418226,1089622.8,2
50027,-72.591515,43.588143,627583.6,1
25013,-72.635648,42.136198,506895.8,7
42095,-75.307447,40.752791,245879.2,4
42029,-75.749732,39.973965,163461.4,6
25027,-71.940282,42.311693,558936.8,20
42101,-75.133346,40.009376,213466.9,36
12011,-80.476658,26.19352,1487199.5,35
6087,-122.007205,37.012488,3857924.5,23
51600,-77.299025,38.853183,23497.8,8
42003,-79.98092,40.46892,322113,22
48167,-94.894865,29.228706,2065788.8,6
39035,-81.724217,41.760392,492758,20
51650,-76.297149,37.04803,255880.8,2
Windsor CAN,-83.026772,42.317432,630388.1,134
9011,-72.103452,41.47863,482787.9,6
39049,-83.008258,39.969447,552531.3,26
33013,-71.68013,43.299485,657599.7,13
18141,-86.288159,41.617699,817583.1,14
34039,-74.308696,40.659871,294037.4,8
39061,-84.544187,39.196927,696021.3,8
36017,-75.604905,42.489732,409168.6,1
48231,-96.083807,33.123438,1813268.5,1
9003,-72.732916,41.806053,477432.3,28
39025,-84.149614,39.052084,652521.4,1
8069,-105.482131,40.663091,2367126.9,3
24003,-76.560511,38.993374,42962.4,7
19103,-91.588812,41.668737,1210322.2,1
55043,-90.695368,42.870062,1208601.9,1
9013,-72.340977,41.858076,504506.9,6
36067,-76.196117,43.00653,466011,3
12099,-80.448673,26.645763,1432811.9,16
12085,-80.398211,27.079954,1389263.1,4
12095,-81.323295,28.514435,1227178.8,28
Markham CAN,-79.337021,43.856098,633752,26
26099,-82.910869,42.671467,744558.4,36
34007,-74.961251,39.802352,229922.1,7
25005,-71.087062,41.748576,506849.9,5
33005,-72.248217,42.925455,596579.1,3
48141,-106.241391,31.766403,2846452.5,23
34041,-75.009542,40.853524,267220,5
26061,-88.652066,46.998305,1339641.8,8
42131,-76.00878,41.525137,310512,1
34031,-74.300308,41.033763,323807.1,6
42133,-76.728446,39.921839,111635.7,1
9009,-72.900204,41.349717,430922.5,15
36089,-75.074311,44.488113,626282.4,5
6055,-122.325995,38.507351,3771966.1,7
12009,-80.700384,28.298276,1243600.7,11
18097,-86.135794,39.782976,783264.4,14
9007,-72.524227,41.434525,462162,8
26115,-83.487106,41.916097,657130.6,9
33015,-71.099437,42.98936,657085.6,12
36001,-73.974014,42.588271,466871.7,6
6085,-121.690622,37.220777,3833509.7,30
26165,-85.570046,44.331375,972920.5,6
55133,-88.306707,43.019308,951193.3,32
36059,-73.589384,40.729687,351401.9,50
42091,-75.370201,40.209999,201784.4,9
39099,-80.770396,41.01088,410076.5,6
39173,-83.622682,41.360183,625189.9,2
45045,-82.372077,34.892645,629278,9
42115,-75.800969,41.819665,337444.7,1
34021,-74.703724,40.282503,250782.6,20
6067,-121.340441,38.450011,3690057.6,26
Longueuil CAN,-73.510712,45.536945,791311.5,43
6001,-121.913304,37.648081,3781376.8,24
42123,-79.313173,41.843669,384611.6,2
17161,-90.572203,41.468404,1133585,2
34033,-75.357356,39.573828,254102.5,1
48439,-97.291291,32.77204,1926052.3,19
33017,-71.035927,43.293177,683996.8,7
36061,-73.970174,40.776557,324248,28
36047,-73.950777,40.635133,328390.2,20
54045,-81.940853,37.830591,510451.6,1
37009,-81.49877,36.436305,487195.6,1
51179,-77.459043,38.418933,63970.3,1
36037,-78.192778,43.00091,472632.4,3
45019,-79.94248,32.800458,705032.3,8
45073,-83.061522,34.748759,696017.8,2
51740,-76.356269,36.85943,290702.2,4
51041,-77.585847,37.378434,175979.2,8
12019,-81.858147,29.987116,1069546.3,1
5119,-92.316515,34.773988,1436421.4,12
